record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.80,,,,1006.80,Collecting baseline... RawAvg=1006.80
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1005.60,,,,1005.60,Collecting baseline... RawAvg=1005.60
baseline,1005.60,,,,1005.60,Collecting baseline... RawAvg=1005.60
baseline,1005.80,,,,1005.80,Collecting baseline... RawAvg=1005.80
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.00,,,,1006.00,Collecting baseline... RawAvg=1006.00
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.80,,,,1006.80,Collecting baseline... RawAvg=1006.80
baseline,1006.80,,,,1006.80,Collecting baseline... RawAvg=1006.80
baseline,1006.80,,,,1006.80,Collecting baseline... RawAvg=1006.80
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.20,,,,1006.20,Collecting baseline... RawAvg=1006.20
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.40,,,,1006.40,Collecting baseline... RawAvg=1006.40
baseline,1006.80,,,,1006.80,Collecting baseline... RawAvg=1006.80
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
baseline,1006.60,,,,1006.60,Collecting baseline... RawAvg=1006.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1006.31,,,1006.31,Final Base Raw Average = 1006.31
info,,,,,,--------------------------------------------------------------------------
data,,1006.3,1006.4,0.1,1006.4,Time=0.1s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=0.2s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=0.3s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=0.4s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=0.5s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=0.6s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=0.7s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=0.8s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=0.9s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=1.0s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=1.1s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=1.2s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=1.3s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=1.4s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.8,0.5,1006.8,Time=1.5s | BaseRaw=1006.3 | CurrentRaw=1006.8 | Change=0.5 => Floor
data,,1006.3,1006.8,0.5,1006.8,Time=1.6s | BaseRaw=1006.3 | CurrentRaw=1006.8 | Change=0.5 => Floor
data,,1006.3,1006.8,0.5,1006.8,Time=1.7s | BaseRaw=1006.3 | CurrentRaw=1006.8 | Change=0.5 => Floor
data,,1006.3,1007.0,0.7,1007.0,Time=1.8s | BaseRaw=1006.3 | CurrentRaw=1007.0 | Change=0.7 => Floor
data,,1006.3,1006.8,0.5,1006.8,Time=1.9s | BaseRaw=1006.3 | CurrentRaw=1006.8 | Change=0.5 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=2.0s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=2.1s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=2.2s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=2.3s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=2.4s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=2.5s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=2.6s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=2.7s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=2.8s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=2.9s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=3.0s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=3.1s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=3.2s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=3.3s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.6,0.3,1006.6,Time=3.4s | BaseRaw=1006.3 | CurrentRaw=1006.6 | Change=0.3 => Floor
data,,1006.3,1006.4,0.1,1006.4,Time=3.5s | BaseRaw=1006.3 | CurrentRaw=1006.4 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=3.6s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.2,0.1,1006.2,Time=3.7s | BaseRaw=1006.3 | CurrentRaw=1006.2 | Change=0.1 => Floor
data,,1006.3,1006.0,0.3,1006.0,Time=3.8s | BaseRaw=1006.3 | CurrentRaw=1006.0 | Change=0.3 => Floor
data,,1006.3,1006.0,0.3,1006.0,Time=3.9s | BaseRaw=1006.3 | CurrentRaw=1006.0 | Change=0.3 => Floor
data,,1006.3,1005.8,0.5,1005.8,Time=4.0s | BaseRaw=1006.3 | CurrentRaw=1005.8 | Change=0.5 => Floor
data,,1006.3,1005.2,1.1,1005.2,Time=4.1s | BaseRaw=1006.3 | CurrentRaw=1005.2 | Change=1.1 => Floor
data,,1006.3,1004.6,1.7,1004.6,Time=4.2s | BaseRaw=1006.3 | CurrentRaw=1004.6 | Change=1.7 => Floor
data,,1006.3,1003.6,2.7,1003.6,Time=4.3s | BaseRaw=1006.3 | CurrentRaw=1003.6 | Change=2.7 => Floor
data,,1006.3,1002.6,3.7,1002.6,Time=4.4s | BaseRaw=1006.3 | CurrentRaw=1002.6 | Change=3.7 => Floor
data,,1006.3,1001.8,4.5,1001.8,Time=4.5s | BaseRaw=1006.3 | CurrentRaw=1001.8 | Change=4.5 => Floor
data,,1006.3,1001.2,5.1,1001.2,Time=4.6s | BaseRaw=1006.3 | CurrentRaw=1001.2 | Change=5.1 => Floor
data,,1006.3,1000.8,5.5,1000.8,Time=4.7s | BaseRaw=1006.3 | CurrentRaw=1000.8 | Change=5.5 => Floor
data,,1006.3,1001.0,5.3,1001.0,Time=4.8s | BaseRaw=1006.3 | CurrentRaw=1001.0 | Change=5.3 => Floor
data,,1006.3,1001.0,5.3,1001.0,Time=4.9s | BaseRaw=1006.3 | CurrentRaw=1001.0 | Change=5.3 => Floor
data,,1006.3,1000.8,5.5,1000.8,Time=5.0s | BaseRaw=1006.3 | CurrentRaw=1000.8 | Change=5.5 => Floor
data,,1006.3,1001.0,5.3,1001.0,Time=5.1s | BaseRaw=1006.3 | CurrentRaw=1001.0 | Change=5.3 => Floor
data,,1006.3,1000.8,5.5,1000.8,Time=5.2s | BaseRaw=1006.3 | CurrentRaw=1000.8 | Change=5.5 => Floor
data,,1006.3,1000.8,5.5,1000.8,Time=5.3s | BaseRaw=1006.3 | CurrentRaw=1000.8 | Change=5.5 => Floor
data,,1006.3,1000.8,5.5,1000.8,Time=5.4s | BaseRaw=1006.3 | CurrentRaw=1000.8 | Change=5.5 => Floor
data,,1006.3,1001.0,5.3,1001.0,Time=5.5s | BaseRaw=1006.3 | CurrentRaw=1001.0 | Change=5.3 => Floor
data,,1006.3,1001.0,5.3,1001.0,Time=5.6s | BaseRaw=1006.3 | CurrentRaw=1001.0 | Change=5.3 => Floor
data,,1006.3,1001.2,5.1,1001.2,Time=5.7s | BaseRaw=1006.3 | CurrentRaw=1001.2 | Change=5.1 => Floor
data,,1006.3,1001.2,5.1,1001.2,Time=5.8s | BaseRaw=1006.3 | CurrentRaw=1001.2 | Change=5.1 => Floor
