record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1015.60,,,,1015.60,Collecting baseline... RawAvg=1015.60
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.80,,,,1016.80,Collecting baseline... RawAvg=1016.80
baseline,1016.80,,,,1016.80,Collecting baseline... RawAvg=1016.80
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1015.80,,,,1015.80,Collecting baseline... RawAvg=1015.80
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.00,,,,1016.00,Collecting baseline... RawAvg=1016.00
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.60,,,,1016.60,Collecting baseline... RawAvg=1016.60
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.40,,,,1016.40,Collecting baseline... RawAvg=1016.40
baseline,1016.20,,,,1016.20,Collecting baseline... RawAvg=1016.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1016.22,,,1016.22,Final Base Raw Average = 1016.22
info,,,,,,--------------------------------------------------------------------------
data,,1016.2,1016.6,0.4,1016.6,Time=0.1s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.6,0.4,1016.6,Time=0.2s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.6,0.4,1016.6,Time=0.3s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.8,0.6,1016.8,Time=0.4s | BaseRaw=1016.2 | CurrentRaw=1016.8 | Change=0.6 => Floor
data,,1016.2,1016.8,0.6,1016.8,Time=0.5s | BaseRaw=1016.2 | CurrentRaw=1016.8 | Change=0.6 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=0.6s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=0.7s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=0.8s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=0.9s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=1.0s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=1.1s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=1.2s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.6,0.4,1016.6,Time=1.3s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.8,0.6,1016.8,Time=1.4s | BaseRaw=1016.2 | CurrentRaw=1016.8 | Change=0.6 => Floor
data,,1016.2,1017.0,0.8,1017.0,Time=1.5s | BaseRaw=1016.2 | CurrentRaw=1017.0 | Change=0.8 => Floor
data,,1016.2,1017.0,0.8,1017.0,Time=1.6s | BaseRaw=1016.2 | CurrentRaw=1017.0 | Change=0.8 => Floor
data,,1016.2,1017.0,0.8,1017.0,Time=1.7s | BaseRaw=1016.2 | CurrentRaw=1017.0 | Change=0.8 => Floor
data,,1016.2,1017.0,0.8,1017.0,Time=1.8s | BaseRaw=1016.2 | CurrentRaw=1017.0 | Change=0.8 => Floor
data,,1016.2,1016.8,0.6,1016.8,Time=1.9s | BaseRaw=1016.2 | CurrentRaw=1016.8 | Change=0.6 => Floor
data,,1016.2,1016.6,0.4,1016.6,Time=2.0s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.1s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.2s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.3s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.4s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.5s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.6s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.7s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=2.8s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=2.9s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=3.0s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.1s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.2s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.3s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=3.4s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.6,0.4,1016.6,Time=3.5s | BaseRaw=1016.2 | CurrentRaw=1016.6 | Change=0.4 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.6s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.7s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.8s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=3.9s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=4.0s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=4.1s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1015.8,0.4,1015.8,Time=4.2s | BaseRaw=1016.2 | CurrentRaw=1015.8 | Change=0.4 => Floor
data,,1016.2,1015.6,0.6,1015.6,Time=4.3s | BaseRaw=1016.2 | CurrentRaw=1015.6 | Change=0.6 => Floor
data,,1016.2,1015.8,0.4,1015.8,Time=4.4s | BaseRaw=1016.2 | CurrentRaw=1015.8 | Change=0.4 => Floor
data,,1016.2,1015.8,0.4,1015.8,Time=4.5s | BaseRaw=1016.2 | CurrentRaw=1015.8 | Change=0.4 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=4.6s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1016.2,0.0,1016.2,Time=4.7s | BaseRaw=1016.2 | CurrentRaw=1016.2 | Change=0.0 => Floor
data,,1016.2,1016.4,0.2,1016.4,Time=4.8s | BaseRaw=1016.2 | CurrentRaw=1016.4 | Change=0.2 => Floor
data,,1016.2,1016.0,0.2,1016.0,Time=4.9s | BaseRaw=1016.2 | CurrentRaw=1016.0 | Change=0.2 => Floor
data,,1016.2,1015.8,0.4,1015.8,Time=5.0s | BaseRaw=1016.2 | CurrentRaw=1015.8 | Change=0.4 => Floor
data,,1016.2,1015.6,0.6,1015.6,Time=5.1s | BaseRaw=1016.2 | CurrentRaw=1015.6 | Change=0.6 => Floor
data,,1016.2,1015.4,0.8,1015.4,Time=5.2s | BaseRaw=1016.2 | CurrentRaw=1015.4 | Change=0.8 => Floor
data,,1016.2,1014.0,2.2,1014.0,Time=5.3s | BaseRaw=1016.2 | CurrentRaw=1014.0 | Change=2.2 => Floor
data,,1016.2,1006.0,10.2,1006.0,Time=5.4s | BaseRaw=1016.2 | CurrentRaw=1006.0 | Change=10.2 => Liquid
data,,1016.2,984.8,31.4,984.8,Time=5.5s | BaseRaw=1016.2 | CurrentRaw=984.8 | Change=31.4 => Liquid
data,,1016.2,960.6,55.6,960.6,Time=5.6s | BaseRaw=1016.2 | CurrentRaw=960.6 | Change=55.6 => Liquid
data,,1016.2,935.8,80.4,935.8,Time=5.7s | BaseRaw=1016.2 | CurrentRaw=935.8 | Change=80.4 => Liquid
data,,1016.2,912.0,104.2,912.0,Time=5.8s | BaseRaw=1016.2 | CurrentRaw=912.0 | Change=104.2 => Liquid
