record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,772.80,,,,772.80,Collecting baseline... RawAvg=772.80
baseline,772.80,,,,772.80,Collecting baseline... RawAvg=772.80
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.80,,,,774.80,Collecting baseline... RawAvg=774.80
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,773.60,,,,773.60,Collecting baseline... RawAvg=773.60
baseline,772.80,,,,772.80,Collecting baseline... RawAvg=772.80
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,773.60,,,,773.60,Collecting baseline... RawAvg=773.60
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,773.60,,,,773.60,Collecting baseline... RawAvg=773.60
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,773.59,,,773.59,Final Base Raw Average = 773.59
info,,,,,,--------------------------------------------------------------------------
data,,773.6,774.4,0.8,774.4,Time=0.1s | BaseRaw=773.6 | CurrentRaw=774.4 | Change=0.8 => Floor
data,,773.6,774.0,0.4,774.0,Time=0.2s | BaseRaw=773.6 | CurrentRaw=774.0 | Change=0.4 => Floor
data,,773.6,774.0,0.4,774.0,Time=0.3s | BaseRaw=773.6 | CurrentRaw=774.0 | Change=0.4 => Floor
data,,773.6,773.6,0.0,773.6,Time=0.4s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.8,0.2,773.8,Time=0.5s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=0.6s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=0.7s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.4,0.2,773.4,Time=0.8s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.4,0.2,773.4,Time=0.9s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=1.0s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=1.1s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.8,0.2,773.8,Time=1.2s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.8,0.2,773.8,Time=1.3s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.8,0.2,773.8,Time=1.4s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=1.5s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.4,0.2,773.4,Time=1.6s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.4,0.2,773.4,Time=1.7s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.2,0.4,773.2,Time=1.8s | BaseRaw=773.6 | CurrentRaw=773.2 | Change=0.4 => Floor
data,,773.6,773.4,0.2,773.4,Time=1.9s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.4,0.2,773.4,Time=2.0s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.4,0.2,773.4,Time=2.1s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=2.2s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=2.3s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.8,0.2,773.8,Time=2.4s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.8,0.2,773.8,Time=2.5s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.8,0.2,773.8,Time=2.6s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.8,0.2,773.8,Time=2.7s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=2.8s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.8,0.2,773.8,Time=2.9s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.0s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.1s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.2s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.3s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.4s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.4,0.2,773.4,Time=3.5s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.6s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.7s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.8s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=3.9s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=4.0s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.8,0.2,773.8,Time=4.1s | BaseRaw=773.6 | CurrentRaw=773.8 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=4.2s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=4.3s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.6,0.0,773.6,Time=4.4s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,773.4,0.2,773.4,Time=4.5s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.4,0.2,773.4,Time=4.6s | BaseRaw=773.6 | CurrentRaw=773.4 | Change=0.2 => Floor
data,,773.6,773.6,0.0,773.6,Time=4.7s | BaseRaw=773.6 | CurrentRaw=773.6 | Change=0.0 => Floor
data,,773.6,774.8,1.2,774.8,Time=4.8s | BaseRaw=773.6 | CurrentRaw=774.8 | Change=1.2 => Floor
data,,773.6,776.2,2.6,776.2,Time=4.9s | BaseRaw=773.6 | CurrentRaw=776.2 | Change=2.6 => Floor
data,,773.6,778.0,4.4,778.0,Time=5.0s | BaseRaw=773.6 | CurrentRaw=778.0 | Change=4.4 => Floor
data,,773.6,780.2,6.6,780.2,Time=5.1s | BaseRaw=773.6 | CurrentRaw=780.2 | Change=6.6 => Floor
data,,773.6,782.2,8.6,782.2,Time=5.2s | BaseRaw=773.6 | CurrentRaw=782.2 | Change=8.6 => Floor
data,,773.6,786.2,12.6,786.2,Time=5.3s | BaseRaw=773.6 | CurrentRaw=786.2 | Change=12.6 => Liquid
data,,773.6,791.0,17.4,791.0,Time=5.4s | BaseRaw=773.6 | CurrentRaw=791.0 | Change=17.4 => Liquid
data,,773.6,798.2,24.6,798.2,Time=5.5s | BaseRaw=773.6 | CurrentRaw=798.2 | Change=24.6 => Liquid
data,,773.6,805.2,31.6,805.2,Time=5.6s | BaseRaw=773.6 | CurrentRaw=805.2 | Change=31.6 => Liquid
data,,773.6,812.0,38.4,812.0,Time=5.7s | BaseRaw=773.6 | CurrentRaw=812.0 | Change=38.4 => Liquid
data,,773.6,816.8,43.2,816.8,Time=5.8s | BaseRaw=773.6 | CurrentRaw=816.8 | Change=43.2 => Liquid
data,,773.6,819.8,46.2,819.8,Time=5.9s | BaseRaw=773.6 | CurrentRaw=819.8 | Change=46.2 => Liquid
data,,773.6,820.6,47.0,820.6,Time=6.0s | BaseRaw=773.6 | CurrentRaw=820.6 | Change=47.0 => Liquid
data,,773.6,821.0,47.4,821.0,Time=6.1s | BaseRaw=773.6 | CurrentRaw=821.0 | Change=47.4 => Liquid
data,,773.6,821.4,47.8,821.4,Time=6.2s | BaseRaw=773.6 | CurrentRaw=821.4 | Change=47.8 => Liquid
data,,773.6,821.0,47.4,821.0,Time=6.3s | BaseRaw=773.6 | CurrentRaw=821.0 | Change=47.4 => Liquid
data,,773.6,821.2,47.6,821.2,Time=6.4s | BaseRaw=773.6 | CurrentRaw=821.2 | Change=47.6 => Liquid
data,,773.6,821.0,47.4,821.0,Time=6.5s | BaseRaw=773.6 | CurrentRaw=821.0 | Change=47.4 => Liquid
