record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.40,,,,804.40,Collecting baseline... RawAvg=804.40
baseline,804.40,,,,804.40,Collecting baseline... RawAvg=804.40
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.40,,,,804.40,Collecting baseline... RawAvg=804.40
baseline,804.40,,,,804.40,Collecting baseline... RawAvg=804.40
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.00,,,,804.00,Collecting baseline... RawAvg=804.00
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,804.17,,,804.17,Final Base Raw Average = 804.17
info,,,,,,--------------------------------------------------------------------------
data,,804.2,804.2,0.0,804.2,Time=0.1s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=0.2s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.3s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.4s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.5s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.6s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.7s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.8s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=0.9s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.0,0.2,804.0,Time=1.0s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=1.1s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=1.2s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=1.3s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.4,0.2,804.4,Time=1.4s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=1.5s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=1.6s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.6,0.4,804.6,Time=1.7s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.6,0.4,804.6,Time=1.8s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.4,0.2,804.4,Time=1.9s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.0s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.4,0.2,804.4,Time=2.1s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=2.2s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.4,0.2,804.4,Time=2.3s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.4s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.4,0.2,804.4,Time=2.5s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.6s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.7s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.8s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.6,0.4,804.6,Time=2.9s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.6,0.4,804.6,Time=3.0s | BaseRaw=804.2 | CurrentRaw=804.6 | Change=0.4 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.1s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.2s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.3s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.4s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.5s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.6s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=3.7s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=3.8s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.0,0.2,804.0,Time=3.9s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=4.0s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.4,0.2,804.4,Time=4.1s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=4.2s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=4.3s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.4,0.2,804.4,Time=4.4s | BaseRaw=804.2 | CurrentRaw=804.4 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=4.5s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.0,0.2,804.0,Time=4.6s | BaseRaw=804.2 | CurrentRaw=804.0 | Change=0.2 => Floor
data,,804.2,804.2,0.0,804.2,Time=4.7s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=4.8s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=4.9s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=5.0s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,804.2,0.0,804.2,Time=5.1s | BaseRaw=804.2 | CurrentRaw=804.2 | Change=0.0 => Floor
data,,804.2,805.2,1.0,805.2,Time=5.2s | BaseRaw=804.2 | CurrentRaw=805.2 | Change=1.0 => Floor
data,,804.2,807.6,3.4,807.6,Time=5.3s | BaseRaw=804.2 | CurrentRaw=807.6 | Change=3.4 => Floor
data,,804.2,811.0,6.8,811.0,Time=5.4s | BaseRaw=804.2 | CurrentRaw=811.0 | Change=6.8 => Floor
data,,804.2,815.0,10.8,815.0,Time=5.5s | BaseRaw=804.2 | CurrentRaw=815.0 | Change=10.8 => Liquid
data,,804.2,819.2,15.0,819.2,Time=5.6s | BaseRaw=804.2 | CurrentRaw=819.2 | Change=15.0 => Liquid
data,,804.2,822.4,18.2,822.4,Time=5.7s | BaseRaw=804.2 | CurrentRaw=822.4 | Change=18.2 => Liquid
data,,804.2,824.4,20.2,824.4,Time=5.8s | BaseRaw=804.2 | CurrentRaw=824.4 | Change=20.2 => Liquid
data,,804.2,825.4,21.2,825.4,Time=5.9s | BaseRaw=804.2 | CurrentRaw=825.4 | Change=21.2 => Liquid
data,,804.2,825.8,21.6,825.8,Time=6.0s | BaseRaw=804.2 | CurrentRaw=825.8 | Change=21.6 => Liquid
data,,804.2,826.0,21.8,826.0,Time=6.1s | BaseRaw=804.2 | CurrentRaw=826.0 | Change=21.8 => Liquid
data,,804.2,826.0,21.8,826.0,Time=6.2s | BaseRaw=804.2 | CurrentRaw=826.0 | Change=21.8 => Liquid
data,,804.2,826.0,21.8,826.0,Time=6.3s | BaseRaw=804.2 | CurrentRaw=826.0 | Change=21.8 => Liquid
data,,804.2,825.8,21.6,825.8,Time=6.4s | BaseRaw=804.2 | CurrentRaw=825.8 | Change=21.6 => Liquid
data,,804.2,825.8,21.6,825.8,Time=6.5s | BaseRaw=804.2 | CurrentRaw=825.8 | Change=21.6 => Liquid
