record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,801.00,,,,801.00,Collecting baseline... RawAvg=801.00
baseline,801.00,,,,801.00,Collecting baseline... RawAvg=801.00
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,801.00,,,,801.00,Collecting baseline... RawAvg=801.00
baseline,801.60,,,,801.60,Collecting baseline... RawAvg=801.60
baseline,802.00,,,,802.00,Collecting baseline... RawAvg=802.00
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.40,,,,801.40,Collecting baseline... RawAvg=801.40
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,801.40,,,,801.40,Collecting baseline... RawAvg=801.40
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,802.20,,,,802.20,Collecting baseline... RawAvg=802.20
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.40,,,,801.40,Collecting baseline... RawAvg=801.40
baseline,801.00,,,,801.00,Collecting baseline... RawAvg=801.00
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,800.80,,,,800.80,Collecting baseline... RawAvg=800.80
baseline,801.20,,,,801.20,Collecting baseline... RawAvg=801.20
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,802.20,,,,802.20,Collecting baseline... RawAvg=802.20
baseline,802.80,,,,802.80,Collecting baseline... RawAvg=802.80
baseline,802.20,,,,802.20,Collecting baseline... RawAvg=802.20
baseline,801.60,,,,801.60,Collecting baseline... RawAvg=801.60
baseline,800.80,,,,800.80,Collecting baseline... RawAvg=800.80
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.80,,,,800.80,Collecting baseline... RawAvg=800.80
baseline,801.60,,,,801.60,Collecting baseline... RawAvg=801.60
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.20,,,,801.20,Collecting baseline... RawAvg=801.20
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.80,,,,800.80,Collecting baseline... RawAvg=800.80
baseline,801.60,,,,801.60,Collecting baseline... RawAvg=801.60
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.20,,,,801.20,Collecting baseline... RawAvg=801.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,801.04,,,801.04,Final Base Raw Average = 801.04
info,,,,,,--------------------------------------------------------------------------
data,,801.0,800.0,1.0,800.0,Time=0.1s | BaseRaw=801.0 | CurrentRaw=800.0 | Change=1.0 => Floor
data,,801.0,800.4,0.6,800.4,Time=0.2s | BaseRaw=801.0 | CurrentRaw=800.4 | Change=0.6 => Floor
data,,801.0,800.6,0.4,800.6,Time=0.3s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,801.0,0.0,801.0,Time=0.4s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.4,0.4,801.4,Time=0.5s | BaseRaw=801.0 | CurrentRaw=801.4 | Change=0.4 => Floor
data,,801.0,801.2,0.2,801.2,Time=0.6s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.2,0.2,801.2,Time=0.7s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.0,0.0,801.0,Time=0.8s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=0.9s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,800.8,0.2,800.8,Time=1.0s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.8,0.2,800.8,Time=1.1s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.6,0.4,800.6,Time=1.2s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=1.3s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.8,0.2,800.8,Time=1.4s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.6,0.4,800.6,Time=1.5s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,801.0,0.0,801.0,Time=1.6s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=1.7s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,800.8,0.2,800.8,Time=1.8s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,801.0,0.0,801.0,Time=1.9s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.0s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.1s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.2s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.2,0.2,801.2,Time=2.3s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.4s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.5s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.6s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.7s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=2.8s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.2,0.2,801.2,Time=2.9s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.2,0.2,801.2,Time=3.0s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.4,0.4,801.4,Time=3.1s | BaseRaw=801.0 | CurrentRaw=801.4 | Change=0.4 => Floor
data,,801.0,801.4,0.4,801.4,Time=3.2s | BaseRaw=801.0 | CurrentRaw=801.4 | Change=0.4 => Floor
data,,801.0,801.4,0.4,801.4,Time=3.3s | BaseRaw=801.0 | CurrentRaw=801.4 | Change=0.4 => Floor
data,,801.0,801.4,0.4,801.4,Time=3.4s | BaseRaw=801.0 | CurrentRaw=801.4 | Change=0.4 => Floor
data,,801.0,801.2,0.2,801.2,Time=3.5s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.2,0.2,801.2,Time=3.6s | BaseRaw=801.0 | CurrentRaw=801.2 | Change=0.2 => Floor
data,,801.0,801.0,0.0,801.0,Time=3.7s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,801.0,0.0,801.0,Time=3.8s | BaseRaw=801.0 | CurrentRaw=801.0 | Change=0.0 => Floor
data,,801.0,800.8,0.2,800.8,Time=3.9s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.8,0.2,800.8,Time=4.0s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.8,0.2,800.8,Time=4.1s | BaseRaw=801.0 | CurrentRaw=800.8 | Change=0.2 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.2s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.3s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.4s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.5s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.6s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.6,0.4,800.6,Time=4.7s | BaseRaw=801.0 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,801.0,800.2,0.8,800.2,Time=4.8s | BaseRaw=801.0 | CurrentRaw=800.2 | Change=0.8 => Floor
data,,801.0,799.8,1.2,799.8,Time=4.9s | BaseRaw=801.0 | CurrentRaw=799.8 | Change=1.2 => Floor
data,,801.0,798.4,2.6,798.4,Time=5.0s | BaseRaw=801.0 | CurrentRaw=798.4 | Change=2.6 => Floor
data,,801.0,795.4,5.6,795.4,Time=5.1s | BaseRaw=801.0 | CurrentRaw=795.4 | Change=5.6 => Floor
data,,801.0,790.6,10.4,790.6,Time=5.2s | BaseRaw=801.0 | CurrentRaw=790.6 | Change=10.4 => Liquid
data,,801.0,787.8,13.2,787.8,Time=5.3s | BaseRaw=801.0 | CurrentRaw=787.8 | Change=13.2 => Liquid
data,,801.0,784.6,16.4,784.6,Time=5.4s | BaseRaw=801.0 | CurrentRaw=784.6 | Change=16.4 => Liquid
data,,801.0,783.2,17.8,783.2,Time=5.5s | BaseRaw=801.0 | CurrentRaw=783.2 | Change=17.8 => Liquid
data,,801.0,783.0,18.0,783.0,Time=5.6s | BaseRaw=801.0 | CurrentRaw=783.0 | Change=18.0 => Liquid
data,,801.0,784.6,16.4,784.6,Time=5.7s | BaseRaw=801.0 | CurrentRaw=784.6 | Change=16.4 => Liquid
data,,801.0,784.6,16.4,784.6,Time=5.8s | BaseRaw=801.0 | CurrentRaw=784.6 | Change=16.4 => Liquid
data,,801.0,785.2,15.8,785.2,Time=5.9s | BaseRaw=801.0 | CurrentRaw=785.2 | Change=15.8 => Liquid
data,,801.0,785.0,16.0,785.0,Time=6.0s | BaseRaw=801.0 | CurrentRaw=785.0 | Change=16.0 => Liquid
data,,801.0,784.8,16.2,784.8,Time=6.1s | BaseRaw=801.0 | CurrentRaw=784.8 | Change=16.2 => Liquid
data,,801.0,785.4,15.6,785.4,Time=6.2s | BaseRaw=801.0 | CurrentRaw=785.4 | Change=15.6 => Liquid
data,,801.0,785.4,15.6,785.4,Time=6.3s | BaseRaw=801.0 | CurrentRaw=785.4 | Change=15.6 => Liquid
data,,801.0,785.0,16.0,785.0,Time=6.4s | BaseRaw=801.0 | CurrentRaw=785.0 | Change=16.0 => Liquid
data,,801.0,785.6,15.4,785.6,Time=6.5s | BaseRaw=801.0 | CurrentRaw=785.6 | Change=15.4 => Liquid
