record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.80,,,,780.80,Collecting baseline... RawAvg=780.80
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,781.20,,,781.20,Final Base Raw Average = 781.20
info,,,,,,--------------------------------------------------------------------------
data,,781.2,782.0,0.8,782.0,Time=0.1s | BaseRaw=781.2 | CurrentRaw=782.0 | Change=0.8 => Floor
data,,781.2,781.6,0.4,781.6,Time=0.2s | BaseRaw=781.2 | CurrentRaw=781.6 | Change=0.4 => Floor
data,,781.2,781.8,0.6,781.8,Time=0.3s | BaseRaw=781.2 | CurrentRaw=781.8 | Change=0.6 => Floor
data,,781.2,781.4,0.2,781.4,Time=0.4s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=0.5s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=0.6s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=0.7s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=0.8s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,780.8,0.4,780.8,Time=0.9s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,781.0,0.2,781.0,Time=1.0s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.1s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,781.0,0.2,781.0,Time=1.2s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.3s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.4s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.5s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.6,0.6,780.6,Time=1.6s | BaseRaw=781.2 | CurrentRaw=780.6 | Change=0.6 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.7s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.8s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=1.9s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=2.0s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,780.8,0.4,780.8,Time=2.1s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,781.0,0.2,781.0,Time=2.2s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,780.8,0.4,780.8,Time=2.3s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,781.0,0.2,781.0,Time=2.4s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=2.5s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.2,0.0,781.2,Time=2.6s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.4,0.2,781.4,Time=2.7s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.4,0.2,781.4,Time=2.8s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.6,0.4,781.6,Time=2.9s | BaseRaw=781.2 | CurrentRaw=781.6 | Change=0.4 => Floor
data,,781.2,781.4,0.2,781.4,Time=3.0s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.4,0.2,781.4,Time=3.1s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=3.2s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.0,0.2,781.0,Time=3.3s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=3.4s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=3.5s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=3.6s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.4,0.2,781.4,Time=3.7s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=3.8s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.4,0.2,781.4,Time=3.9s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=4.0s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.4,0.2,781.4,Time=4.1s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.0,0.2,781.0,Time=4.2s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=4.3s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.4,0.2,781.4,Time=4.4s | BaseRaw=781.2 | CurrentRaw=781.4 | Change=0.2 => Floor
data,,781.2,781.2,0.0,781.2,Time=4.5s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.2,0.0,781.2,Time=4.6s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,781.0,0.2,781.0,Time=4.7s | BaseRaw=781.2 | CurrentRaw=781.0 | Change=0.2 => Floor
data,,781.2,780.8,0.4,780.8,Time=4.8s | BaseRaw=781.2 | CurrentRaw=780.8 | Change=0.4 => Floor
data,,781.2,781.2,0.0,781.2,Time=4.9s | BaseRaw=781.2 | CurrentRaw=781.2 | Change=0.0 => Floor
data,,781.2,782.6,1.4,782.6,Time=5.0s | BaseRaw=781.2 | CurrentRaw=782.6 | Change=1.4 => Floor
data,,781.2,786.0,4.8,786.0,Time=5.1s | BaseRaw=781.2 | CurrentRaw=786.0 | Change=4.8 => Floor
data,,781.2,790.8,9.6,790.8,Time=5.2s | BaseRaw=781.2 | CurrentRaw=790.8 | Change=9.6 => Floor
data,,781.2,796.6,15.4,796.6,Time=5.3s | BaseRaw=781.2 | CurrentRaw=796.6 | Change=15.4 => Liquid
data,,781.2,801.4,20.2,801.4,Time=5.4s | BaseRaw=781.2 | CurrentRaw=801.4 | Change=20.2 => Liquid
data,,781.2,806.2,25.0,806.2,Time=5.5s | BaseRaw=781.2 | CurrentRaw=806.2 | Change=25.0 => Liquid
data,,781.2,808.4,27.2,808.4,Time=5.6s | BaseRaw=781.2 | CurrentRaw=808.4 | Change=27.2 => Liquid
data,,781.2,809.2,28.0,809.2,Time=5.7s | BaseRaw=781.2 | CurrentRaw=809.2 | Change=28.0 => Liquid
data,,781.2,809.6,28.4,809.6,Time=5.8s | BaseRaw=781.2 | CurrentRaw=809.6 | Change=28.4 => Liquid
data,,781.2,809.4,28.2,809.4,Time=5.9s | BaseRaw=781.2 | CurrentRaw=809.4 | Change=28.2 => Liquid
data,,781.2,808.8,27.6,808.8,Time=6.0s | BaseRaw=781.2 | CurrentRaw=808.8 | Change=27.6 => Liquid
data,,781.2,809.0,27.8,809.0,Time=6.1s | BaseRaw=781.2 | CurrentRaw=809.0 | Change=27.8 => Liquid
data,,781.2,808.8,27.6,808.8,Time=6.2s | BaseRaw=781.2 | CurrentRaw=808.8 | Change=27.6 => Liquid
data,,781.2,808.4,27.2,808.4,Time=6.3s | BaseRaw=781.2 | CurrentRaw=808.4 | Change=27.2 => Liquid
data,,781.2,808.8,27.6,808.8,Time=6.4s | BaseRaw=781.2 | CurrentRaw=808.8 | Change=27.6 => Liquid
data,,781.2,808.8,27.6,808.8,Time=6.5s | BaseRaw=781.2 | CurrentRaw=808.8 | Change=27.6 => Liquid
