record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,854.20,,,,854.20,Collecting baseline... RawAvg=854.20
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,854.20,,,,854.20,Collecting baseline... RawAvg=854.20
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.40,,,,853.40,Collecting baseline... RawAvg=853.40
baseline,853.60,,,,853.60,Collecting baseline... RawAvg=853.60
baseline,853.80,,,,853.80,Collecting baseline... RawAvg=853.80
baseline,854.00,,,,854.00,Collecting baseline... RawAvg=854.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,853.72,,,853.72,Final Base Raw Average = 853.72
info,,,,,,--------------------------------------------------------------------------
data,,853.7,853.8,0.1,853.8,Time=0.1s | BaseRaw=853.7 | CurrentRaw=853.8 | Change=0.1 => Floor
data,,853.7,853.8,0.1,853.8,Time=0.2s | BaseRaw=853.7 | CurrentRaw=853.8 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=0.3s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.2,0.5,853.2,Time=0.4s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.6,0.1,853.6,Time=0.5s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,854.0,0.3,854.0,Time=0.6s | BaseRaw=853.7 | CurrentRaw=854.0 | Change=0.3 => Floor
data,,853.7,854.0,0.3,854.0,Time=0.7s | BaseRaw=853.7 | CurrentRaw=854.0 | Change=0.3 => Floor
data,,853.7,854.0,0.3,854.0,Time=0.8s | BaseRaw=853.7 | CurrentRaw=854.0 | Change=0.3 => Floor
data,,853.7,854.0,0.3,854.0,Time=0.9s | BaseRaw=853.7 | CurrentRaw=854.0 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=1.0s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=1.1s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.2,0.5,853.2,Time=1.2s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.4,0.3,853.4,Time=1.3s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=1.4s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.8,0.1,853.8,Time=1.5s | BaseRaw=853.7 | CurrentRaw=853.8 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=1.6s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=1.7s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=1.8s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=1.9s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.0s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.1s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=2.2s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.3s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=2.4s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.5s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=2.6s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.7s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.4,0.3,853.4,Time=2.8s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.2,0.5,853.2,Time=2.9s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=3.0s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.0,0.7,853.0,Time=3.1s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.0,0.7,853.0,Time=3.2s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.0,0.7,853.0,Time=3.3s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.0,0.7,853.0,Time=3.4s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.0,0.7,853.0,Time=3.5s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.2,0.5,853.2,Time=3.6s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=3.7s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.4,0.3,853.4,Time=3.8s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.4,0.3,853.4,Time=3.9s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.6,0.1,853.6,Time=4.0s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=4.1s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=4.2s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=4.3s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.6,0.1,853.6,Time=4.4s | BaseRaw=853.7 | CurrentRaw=853.6 | Change=0.1 => Floor
data,,853.7,853.4,0.3,853.4,Time=4.5s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.2,0.5,853.2,Time=4.6s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=4.7s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.0,0.7,853.0,Time=4.8s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.0,0.7,853.0,Time=4.9s | BaseRaw=853.7 | CurrentRaw=853.0 | Change=0.7 => Floor
data,,853.7,853.2,0.5,853.2,Time=5.0s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=5.1s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=5.2s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=5.3s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,853.4,0.3,853.4,Time=5.4s | BaseRaw=853.7 | CurrentRaw=853.4 | Change=0.3 => Floor
data,,853.7,853.8,0.1,853.8,Time=5.5s | BaseRaw=853.7 | CurrentRaw=853.8 | Change=0.1 => Floor
data,,853.7,854.2,0.5,854.2,Time=5.6s | BaseRaw=853.7 | CurrentRaw=854.2 | Change=0.5 => Floor
data,,853.7,853.2,0.5,853.2,Time=5.7s | BaseRaw=853.7 | CurrentRaw=853.2 | Change=0.5 => Floor
data,,853.7,851.0,2.7,851.0,Time=5.8s | BaseRaw=853.7 | CurrentRaw=851.0 | Change=2.7 => Floor
data,,853.7,845.6,8.1,845.6,Time=5.9s | BaseRaw=853.7 | CurrentRaw=845.6 | Change=8.1 => Floor
data,,853.7,838.4,15.3,838.4,Time=6.0s | BaseRaw=853.7 | CurrentRaw=838.4 | Change=15.3 => Liquid
data,,853.7,831.2,22.5,831.2,Time=6.1s | BaseRaw=853.7 | CurrentRaw=831.2 | Change=22.5 => Liquid
data,,853.7,825.4,28.3,825.4,Time=6.2s | BaseRaw=853.7 | CurrentRaw=825.4 | Change=28.3 => Liquid
data,,853.7,821.0,32.7,821.0,Time=6.3s | BaseRaw=853.7 | CurrentRaw=821.0 | Change=32.7 => Liquid
data,,853.7,819.6,34.1,819.6,Time=6.4s | BaseRaw=853.7 | CurrentRaw=819.6 | Change=34.1 => Liquid
data,,853.7,819.6,34.1,819.6,Time=6.5s | BaseRaw=853.7 | CurrentRaw=819.6 | Change=34.1 => Liquid
