record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,803.80,,,,803.80,Collecting baseline... RawAvg=803.80
baseline,803.80,,,,803.80,Collecting baseline... RawAvg=803.80
baseline,803.60,,,,803.60,Collecting baseline... RawAvg=803.60
baseline,803.40,,,,803.40,Collecting baseline... RawAvg=803.40
baseline,803.20,,,,803.20,Collecting baseline... RawAvg=803.20
baseline,803.20,,,,803.20,Collecting baseline... RawAvg=803.20
baseline,803.00,,,,803.00,Collecting baseline... RawAvg=803.00
baseline,802.40,,,,802.40,Collecting baseline... RawAvg=802.40
baseline,801.80,,,,801.80,Collecting baseline... RawAvg=801.80
baseline,801.20,,,,801.20,Collecting baseline... RawAvg=801.20
baseline,800.60,,,,800.60,Collecting baseline... RawAvg=800.60
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.00,,,,799.00,Collecting baseline... RawAvg=799.00
baseline,798.80,,,,798.80,Collecting baseline... RawAvg=798.80
baseline,799.00,,,,799.00,Collecting baseline... RawAvg=799.00
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.00,,,,799.00,Collecting baseline... RawAvg=799.00
baseline,798.80,,,,798.80,Collecting baseline... RawAvg=798.80
baseline,799.00,,,,799.00,Collecting baseline... RawAvg=799.00
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.00,,,,799.00,Collecting baseline... RawAvg=799.00
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,800.28,,,800.28,Final Base Raw Average = 800.28
info,,,,,,--------------------------------------------------------------------------
data,,800.3,799.6,0.7,799.6,Time=0.1s | BaseRaw=800.3 | CurrentRaw=799.6 | Change=0.7 => Floor
data,,800.3,799.4,0.9,799.4,Time=0.2s | BaseRaw=800.3 | CurrentRaw=799.4 | Change=0.9 => Floor
data,,800.3,799.4,0.9,799.4,Time=0.3s | BaseRaw=800.3 | CurrentRaw=799.4 | Change=0.9 => Floor
data,,800.3,799.2,1.1,799.2,Time=0.4s | BaseRaw=800.3 | CurrentRaw=799.2 | Change=1.1 => Floor
data,,800.3,799.8,0.5,799.8,Time=0.5s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,799.8,0.5,799.8,Time=0.6s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,800.0,0.3,800.0,Time=0.7s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
data,,800.3,800.0,0.3,800.0,Time=0.8s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
data,,800.3,800.2,0.1,800.2,Time=0.9s | BaseRaw=800.3 | CurrentRaw=800.2 | Change=0.1 => Floor
data,,800.3,800.2,0.1,800.2,Time=1.0s | BaseRaw=800.3 | CurrentRaw=800.2 | Change=0.1 => Floor
data,,800.3,800.8,0.5,800.8,Time=1.1s | BaseRaw=800.3 | CurrentRaw=800.8 | Change=0.5 => Floor
data,,800.3,801.2,0.9,801.2,Time=1.2s | BaseRaw=800.3 | CurrentRaw=801.2 | Change=0.9 => Floor
data,,800.3,801.6,1.3,801.6,Time=1.3s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,802.0,1.7,802.0,Time=1.4s | BaseRaw=800.3 | CurrentRaw=802.0 | Change=1.7 => Floor
data,,800.3,802.2,1.9,802.2,Time=1.5s | BaseRaw=800.3 | CurrentRaw=802.2 | Change=1.9 => Floor
data,,800.3,802.0,1.7,802.0,Time=1.6s | BaseRaw=800.3 | CurrentRaw=802.0 | Change=1.7 => Floor
data,,800.3,801.8,1.5,801.8,Time=1.7s | BaseRaw=800.3 | CurrentRaw=801.8 | Change=1.5 => Floor
data,,800.3,801.6,1.3,801.6,Time=1.8s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,801.6,1.3,801.6,Time=1.9s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,801.6,1.3,801.6,Time=2.0s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,801.6,1.3,801.6,Time=2.1s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,801.6,1.3,801.6,Time=2.2s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,802.0,1.7,802.0,Time=2.3s | BaseRaw=800.3 | CurrentRaw=802.0 | Change=1.7 => Floor
data,,800.3,801.8,1.5,801.8,Time=2.4s | BaseRaw=800.3 | CurrentRaw=801.8 | Change=1.5 => Floor
data,,800.3,801.6,1.3,801.6,Time=2.5s | BaseRaw=800.3 | CurrentRaw=801.6 | Change=1.3 => Floor
data,,800.3,801.2,0.9,801.2,Time=2.6s | BaseRaw=800.3 | CurrentRaw=801.2 | Change=0.9 => Floor
data,,800.3,801.2,0.9,801.2,Time=2.7s | BaseRaw=800.3 | CurrentRaw=801.2 | Change=0.9 => Floor
data,,800.3,800.4,0.1,800.4,Time=2.8s | BaseRaw=800.3 | CurrentRaw=800.4 | Change=0.1 => Floor
data,,800.3,800.2,0.1,800.2,Time=2.9s | BaseRaw=800.3 | CurrentRaw=800.2 | Change=0.1 => Floor
data,,800.3,800.0,0.3,800.0,Time=3.0s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
data,,800.3,800.0,0.3,800.0,Time=3.1s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
data,,800.3,799.8,0.5,799.8,Time=3.2s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,799.8,0.5,799.8,Time=3.3s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,799.8,0.5,799.8,Time=3.4s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,799.6,0.7,799.6,Time=3.5s | BaseRaw=800.3 | CurrentRaw=799.6 | Change=0.7 => Floor
data,,800.3,799.8,0.5,799.8,Time=3.6s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,799.8,0.5,799.8,Time=3.7s | BaseRaw=800.3 | CurrentRaw=799.8 | Change=0.5 => Floor
data,,800.3,800.0,0.3,800.0,Time=3.8s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
data,,800.3,800.8,0.5,800.8,Time=3.9s | BaseRaw=800.3 | CurrentRaw=800.8 | Change=0.5 => Floor
data,,800.3,802.8,2.5,802.8,Time=4.0s | BaseRaw=800.3 | CurrentRaw=802.8 | Change=2.5 => Floor
data,,800.3,805.2,4.9,805.2,Time=4.1s | BaseRaw=800.3 | CurrentRaw=805.2 | Change=4.9 => Floor
data,,800.3,808.0,7.7,808.0,Time=4.2s | BaseRaw=800.3 | CurrentRaw=808.0 | Change=7.7 => Floor
data,,800.3,812.0,11.7,812.0,Time=4.3s | BaseRaw=800.3 | CurrentRaw=812.0 | Change=11.7 => Liquid
data,,800.3,817.4,17.1,817.4,Time=4.4s | BaseRaw=800.3 | CurrentRaw=817.4 | Change=17.1 => Liquid
data,,800.3,823.0,22.7,823.0,Time=4.5s | BaseRaw=800.3 | CurrentRaw=823.0 | Change=22.7 => Liquid
data,,800.3,828.2,27.9,828.2,Time=4.6s | BaseRaw=800.3 | CurrentRaw=828.2 | Change=27.9 => Liquid
data,,800.3,832.8,32.5,832.8,Time=4.7s | BaseRaw=800.3 | CurrentRaw=832.8 | Change=32.5 => Liquid
data,,800.3,836.6,36.3,836.6,Time=4.8s | BaseRaw=800.3 | CurrentRaw=836.6 | Change=36.3 => Liquid
data,,800.3,837.8,37.5,837.8,Time=4.9s | BaseRaw=800.3 | CurrentRaw=837.8 | Change=37.5 => Liquid
data,,800.3,838.2,37.9,838.2,Time=5.0s | BaseRaw=800.3 | CurrentRaw=838.2 | Change=37.9 => Liquid
data,,800.3,838.2,37.9,838.2,Time=5.1s | BaseRaw=800.3 | CurrentRaw=838.2 | Change=37.9 => Liquid
data,,800.3,838.4,38.1,838.4,Time=5.2s | BaseRaw=800.3 | CurrentRaw=838.4 | Change=38.1 => Liquid
data,,800.3,838.4,38.1,838.4,Time=5.3s | BaseRaw=800.3 | CurrentRaw=838.4 | Change=38.1 => Liquid
data,,800.3,838.6,38.3,838.6,Time=5.4s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.2,37.9,838.2,Time=5.5s | BaseRaw=800.3 | CurrentRaw=838.2 | Change=37.9 => Liquid
data,,800.3,838.6,38.3,838.6,Time=5.6s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.6,38.3,838.6,Time=5.7s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.6,38.3,838.6,Time=5.8s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.8,38.5,838.8,Time=5.9s | BaseRaw=800.3 | CurrentRaw=838.8 | Change=38.5 => Liquid
data,,800.3,839.0,38.7,839.0,Time=6.0s | BaseRaw=800.3 | CurrentRaw=839.0 | Change=38.7 => Liquid
data,,800.3,838.6,38.3,838.6,Time=6.1s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.8,38.5,838.8,Time=6.2s | BaseRaw=800.3 | CurrentRaw=838.8 | Change=38.5 => Liquid
data,,800.3,838.6,38.3,838.6,Time=6.3s | BaseRaw=800.3 | CurrentRaw=838.6 | Change=38.3 => Liquid
data,,800.3,838.2,37.9,838.2,Time=6.4s | BaseRaw=800.3 | CurrentRaw=838.2 | Change=37.9 => Liquid
data,,800.3,838.4,38.1,838.4,Time=6.5s | BaseRaw=800.3 | CurrentRaw=838.4 | Change=38.1 => Liquid
