record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.00,,,,823.00,Collecting baseline... RawAvg=823.00
baseline,822.60,,,,822.60,Collecting baseline... RawAvg=822.60
baseline,822.40,,,,822.40,Collecting baseline... RawAvg=822.40
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,823.00,,,,823.00,Collecting baseline... RawAvg=823.00
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,824.00,,,,824.00,Collecting baseline... RawAvg=824.00
baseline,824.20,,,,824.20,Collecting baseline... RawAvg=824.20
baseline,824.00,,,,824.00,Collecting baseline... RawAvg=824.00
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,823.20,,,,823.20,Collecting baseline... RawAvg=823.20
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,822.60,,,,822.60,Collecting baseline... RawAvg=822.60
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,823.00,,,,823.00,Collecting baseline... RawAvg=823.00
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.00,,,,823.00,Collecting baseline... RawAvg=823.00
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,822.60,,,,822.60,Collecting baseline... RawAvg=822.60
baseline,822.80,,,,822.80,Collecting baseline... RawAvg=822.80
baseline,823.20,,,,823.20,Collecting baseline... RawAvg=823.20
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,823.40,,,,823.40,Collecting baseline... RawAvg=823.40
baseline,823.20,,,,823.20,Collecting baseline... RawAvg=823.20
baseline,823.00,,,,823.00,Collecting baseline... RawAvg=823.00
baseline,823.20,,,,823.20,Collecting baseline... RawAvg=823.20
baseline,823.60,,,,823.60,Collecting baseline... RawAvg=823.60
baseline,824.00,,,,824.00,Collecting baseline... RawAvg=824.00
baseline,824.00,,,,824.00,Collecting baseline... RawAvg=824.00
baseline,824.00,,,,824.00,Collecting baseline... RawAvg=824.00
baseline,823.80,,,,823.80,Collecting baseline... RawAvg=823.80
baseline,823.20,,,,823.20,Collecting baseline... RawAvg=823.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,823.34,,,823.34,Final Base Raw Average = 823.34
info,,,,,,--------------------------------------------------------------------------
data,,823.3,822.6,0.7,822.6,Time=0.1s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,823.0,0.3,823.0,Time=0.2s | BaseRaw=823.3 | CurrentRaw=823.0 | Change=0.3 => Floor
data,,823.3,822.8,0.5,822.8,Time=0.3s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.4s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.5s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.4,0.1,823.4,Time=0.6s | BaseRaw=823.3 | CurrentRaw=823.4 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.7s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.8s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.9s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=1.0s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.4,0.1,823.4,Time=1.1s | BaseRaw=823.3 | CurrentRaw=823.4 | Change=0.1 => Floor
data,,823.3,823.6,0.3,823.6,Time=1.2s | BaseRaw=823.3 | CurrentRaw=823.6 | Change=0.3 => Floor
data,,823.3,824.0,0.7,824.0,Time=1.3s | BaseRaw=823.3 | CurrentRaw=824.0 | Change=0.7 => Floor
data,,823.3,824.4,1.1,824.4,Time=1.4s | BaseRaw=823.3 | CurrentRaw=824.4 | Change=1.1 => Floor
data,,823.3,824.8,1.5,824.8,Time=1.5s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=1.6s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.2,1.9,825.2,Time=1.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.4,2.1,825.4,Time=1.8s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.8,2.5,825.8,Time=1.9s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=2.0s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.1s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.2s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.3s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,825.6,2.3,825.6,Time=2.4s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.4,2.1,825.4,Time=2.5s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.6,2.3,825.6,Time=2.6s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.2,1.9,825.2,Time=2.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.0,1.7,825.0,Time=2.8s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=2.9s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.0s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.1s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.2s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.3s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.4s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.5s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.6s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.2,1.9,825.2,Time=3.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.4,2.1,825.4,Time=3.8s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.4,2.1,825.4,Time=3.9s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.6,2.3,825.6,Time=4.0s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.1s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.2s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.3s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.6,2.3,825.6,Time=4.4s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.2,1.9,825.2,Time=4.5s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,824.2,0.9,824.2,Time=4.6s | BaseRaw=823.3 | CurrentRaw=824.2 | Change=0.9 => Floor
data,,823.3,823.0,0.3,823.0,Time=4.7s | BaseRaw=823.3 | CurrentRaw=823.0 | Change=0.3 => Floor
data,,823.3,822.4,0.9,822.4,Time=4.8s | BaseRaw=823.3 | CurrentRaw=822.4 | Change=0.9 => Floor
data,,823.3,823.4,0.1,823.4,Time=4.9s | BaseRaw=823.3 | CurrentRaw=823.4 | Change=0.1 => Floor
data,,823.3,826.0,2.7,826.0,Time=5.0s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,829.4,6.1,829.4,Time=5.1s | BaseRaw=823.3 | CurrentRaw=829.4 | Change=6.1 => Floor
data,,823.3,833.4,10.1,833.4,Time=5.2s | BaseRaw=823.3 | CurrentRaw=833.4 | Change=10.1 => Liquid
data,,823.3,836.2,12.9,836.2,Time=5.3s | BaseRaw=823.3 | CurrentRaw=836.2 | Change=12.9 => Liquid
data,,823.3,838.2,14.9,838.2,Time=5.4s | BaseRaw=823.3 | CurrentRaw=838.2 | Change=14.9 => Liquid
data,,823.3,838.2,14.9,838.2,Time=5.5s | BaseRaw=823.3 | CurrentRaw=838.2 | Change=14.9 => Liquid
data,,823.3,837.8,14.5,837.8,Time=5.6s | BaseRaw=823.3 | CurrentRaw=837.8 | Change=14.5 => Liquid
data,,823.3,837.6,14.3,837.6,Time=5.7s | BaseRaw=823.3 | CurrentRaw=837.6 | Change=14.3 => Liquid
data,,823.3,837.4,14.1,837.4,Time=5.8s | BaseRaw=823.3 | CurrentRaw=837.4 | Change=14.1 => Liquid
data,,823.3,837.0,13.7,837.0,Time=5.9s | BaseRaw=823.3 | CurrentRaw=837.0 | Change=13.7 => Liquid
data,,823.3,837.0,13.7,837.0,Time=6.0s | BaseRaw=823.3 | CurrentRaw=837.0 | Change=13.7 => Liquid
data,,823.3,836.6,13.3,836.6,Time=6.1s | BaseRaw=823.3 | CurrentRaw=836.6 | Change=13.3 => Liquid
data,,823.3,836.2,12.9,836.2,Time=6.2s | BaseRaw=823.3 | CurrentRaw=836.2 | Change=12.9 => Liquid
data,,823.3,836.4,13.1,836.4,Time=6.3s | BaseRaw=823.3 | CurrentRaw=836.4 | Change=13.1 => Liquid
data,,823.3,836.0,12.7,836.0,Time=6.4s | BaseRaw=823.3 | CurrentRaw=836.0 | Change=12.7 => Liquid
data,,823.3,835.8,12.5,835.8,Time=6.5s | BaseRaw=823.3 | CurrentRaw=835.8 | Change=12.5 => Liquid
