record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,786.60,,,,786.60,Collecting baseline... RawAvg=786.60
baseline,787.20,,,,787.20,Collecting baseline... RawAvg=787.20
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,787.20,,,,787.20,Collecting baseline... RawAvg=787.20
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.80,,,,787.80,Collecting baseline... RawAvg=787.80
baseline,787.80,,,,787.80,Collecting baseline... RawAvg=787.80
baseline,787.40,,,,787.40,Collecting baseline... RawAvg=787.40
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.60,,,,786.60,Collecting baseline... RawAvg=786.60
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,786.47,,,786.47,Final Base Raw Average = 786.47
info,,,,,,--------------------------------------------------------------------------
data,,786.5,787.6,1.1,787.6,Time=0.1s | BaseRaw=786.5 | CurrentRaw=787.6 | Change=1.1 => Floor
data,,786.5,787.2,0.7,787.2,Time=0.2s | BaseRaw=786.5 | CurrentRaw=787.2 | Change=0.7 => Floor
data,,786.5,787.2,0.7,787.2,Time=0.3s | BaseRaw=786.5 | CurrentRaw=787.2 | Change=0.7 => Floor
data,,786.5,786.6,0.1,786.6,Time=0.4s | BaseRaw=786.5 | CurrentRaw=786.6 | Change=0.1 => Floor
data,,786.5,786.8,0.3,786.8,Time=0.5s | BaseRaw=786.5 | CurrentRaw=786.8 | Change=0.3 => Floor
data,,786.5,786.6,0.1,786.6,Time=0.6s | BaseRaw=786.5 | CurrentRaw=786.6 | Change=0.1 => Floor
data,,786.5,786.6,0.1,786.6,Time=0.7s | BaseRaw=786.5 | CurrentRaw=786.6 | Change=0.1 => Floor
data,,786.5,786.4,0.1,786.4,Time=0.8s | BaseRaw=786.5 | CurrentRaw=786.4 | Change=0.1 => Floor
data,,786.5,786.4,0.1,786.4,Time=0.9s | BaseRaw=786.5 | CurrentRaw=786.4 | Change=0.1 => Floor
data,,786.5,786.6,0.1,786.6,Time=1.0s | BaseRaw=786.5 | CurrentRaw=786.6 | Change=0.1 => Floor
data,,786.5,786.4,0.1,786.4,Time=1.1s | BaseRaw=786.5 | CurrentRaw=786.4 | Change=0.1 => Floor
data,,786.5,786.4,0.1,786.4,Time=1.2s | BaseRaw=786.5 | CurrentRaw=786.4 | Change=0.1 => Floor
data,,786.5,786.2,0.3,786.2,Time=1.3s | BaseRaw=786.5 | CurrentRaw=786.2 | Change=0.3 => Floor
data,,786.5,786.2,0.3,786.2,Time=1.4s | BaseRaw=786.5 | CurrentRaw=786.2 | Change=0.3 => Floor
data,,786.5,786.0,0.5,786.0,Time=1.5s | BaseRaw=786.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,786.5,785.8,0.7,785.8,Time=1.6s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=1.7s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=1.8s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=1.9s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.6,0.9,785.6,Time=2.0s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.6,0.9,785.6,Time=2.1s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.2s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.6,0.9,785.6,Time=2.3s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.4s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.5s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.6s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.7s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.8s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.8,0.7,785.8,Time=2.9s | BaseRaw=786.5 | CurrentRaw=785.8 | Change=0.7 => Floor
data,,786.5,785.6,0.9,785.6,Time=3.0s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.6,0.9,785.6,Time=3.1s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.6,0.9,785.6,Time=3.2s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.3s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.4s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.5s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.6s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.7s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.4,1.1,785.4,Time=3.8s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.6,0.9,785.6,Time=3.9s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.4,1.1,785.4,Time=4.0s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.6,0.9,785.6,Time=4.1s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.6,0.9,785.6,Time=4.2s | BaseRaw=786.5 | CurrentRaw=785.6 | Change=0.9 => Floor
data,,786.5,785.4,1.1,785.4,Time=4.3s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.2,1.3,785.2,Time=4.4s | BaseRaw=786.5 | CurrentRaw=785.2 | Change=1.3 => Floor
data,,786.5,785.2,1.3,785.2,Time=4.5s | BaseRaw=786.5 | CurrentRaw=785.2 | Change=1.3 => Floor
data,,786.5,785.4,1.1,785.4,Time=4.6s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.2,1.3,785.2,Time=4.7s | BaseRaw=786.5 | CurrentRaw=785.2 | Change=1.3 => Floor
data,,786.5,785.4,1.1,785.4,Time=4.8s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,785.2,1.3,785.2,Time=4.9s | BaseRaw=786.5 | CurrentRaw=785.2 | Change=1.3 => Floor
data,,786.5,785.0,1.5,785.0,Time=5.0s | BaseRaw=786.5 | CurrentRaw=785.0 | Change=1.5 => Floor
data,,786.5,785.2,1.3,785.2,Time=5.1s | BaseRaw=786.5 | CurrentRaw=785.2 | Change=1.3 => Floor
data,,786.5,785.4,1.1,785.4,Time=5.2s | BaseRaw=786.5 | CurrentRaw=785.4 | Change=1.1 => Floor
data,,786.5,789.0,2.5,789.0,Time=5.3s | BaseRaw=786.5 | CurrentRaw=789.0 | Change=2.5 => Floor
data,,786.5,793.4,6.9,793.4,Time=5.4s | BaseRaw=786.5 | CurrentRaw=793.4 | Change=6.9 => Floor
data,,786.5,797.4,10.9,797.4,Time=5.5s | BaseRaw=786.5 | CurrentRaw=797.4 | Change=10.9 => Liquid
data,,786.5,801.2,14.7,801.2,Time=5.6s | BaseRaw=786.5 | CurrentRaw=801.2 | Change=14.7 => Liquid
data,,786.5,804.8,18.3,804.8,Time=5.7s | BaseRaw=786.5 | CurrentRaw=804.8 | Change=18.3 => Liquid
data,,786.5,805.2,18.7,805.2,Time=5.8s | BaseRaw=786.5 | CurrentRaw=805.2 | Change=18.7 => Liquid
data,,786.5,805.2,18.7,805.2,Time=5.9s | BaseRaw=786.5 | CurrentRaw=805.2 | Change=18.7 => Liquid
data,,786.5,805.4,18.9,805.4,Time=6.0s | BaseRaw=786.5 | CurrentRaw=805.4 | Change=18.9 => Liquid
data,,786.5,805.0,18.5,805.0,Time=6.1s | BaseRaw=786.5 | CurrentRaw=805.0 | Change=18.5 => Liquid
data,,786.5,805.4,18.9,805.4,Time=6.2s | BaseRaw=786.5 | CurrentRaw=805.4 | Change=18.9 => Liquid
data,,786.5,805.8,19.3,805.8,Time=6.3s | BaseRaw=786.5 | CurrentRaw=805.8 | Change=19.3 => Liquid
data,,786.5,805.4,18.9,805.4,Time=6.4s | BaseRaw=786.5 | CurrentRaw=805.4 | Change=18.9 => Liquid
data,,786.5,805.8,19.3,805.8,Time=6.5s | BaseRaw=786.5 | CurrentRaw=805.8 | Change=19.3 => Liquid
