record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,808.20,,,,808.20,Collecting baseline... RawAvg=808.20
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.80,,,,808.80,Collecting baseline... RawAvg=808.80
baseline,808.80,,,,808.80,Collecting baseline... RawAvg=808.80
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.80,,,,808.80,Collecting baseline... RawAvg=808.80
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.20,,,,808.20,Collecting baseline... RawAvg=808.20
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.80,,,,808.80,Collecting baseline... RawAvg=808.80
baseline,808.80,,,,808.80,Collecting baseline... RawAvg=808.80
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.20,,,,808.20,Collecting baseline... RawAvg=808.20
baseline,808.20,,,,808.20,Collecting baseline... RawAvg=808.20
baseline,808.40,,,,808.40,Collecting baseline... RawAvg=808.40
baseline,808.60,,,,808.60,Collecting baseline... RawAvg=808.60
baseline,809.00,,,,809.00,Collecting baseline... RawAvg=809.00
baseline,809.80,,,,809.80,Collecting baseline... RawAvg=809.80
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,811.00,,,,811.00,Collecting baseline... RawAvg=811.00
baseline,811.40,,,,811.40,Collecting baseline... RawAvg=811.40
baseline,811.80,,,,811.80,Collecting baseline... RawAvg=811.80
baseline,811.60,,,,811.60,Collecting baseline... RawAvg=811.60
baseline,811.60,,,,811.60,Collecting baseline... RawAvg=811.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,808.89,,,808.89,Final Base Raw Average = 808.89
info,,,,,,--------------------------------------------------------------------------
data,,808.9,811.6,2.7,811.6,Time=0.1s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=0.2s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.6,2.7,811.6,Time=0.3s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=0.4s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=0.5s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=0.6s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=0.7s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.2,2.3,811.2,Time=0.8s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.2,2.3,811.2,Time=0.9s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.0s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.2,2.3,811.2,Time=1.1s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.2,2.3,811.2,Time=1.2s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.3s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.4s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.5s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.6s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=1.7s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.2,2.3,811.2,Time=1.8s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.2,2.3,811.2,Time=1.9s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.2,2.3,811.2,Time=2.0s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.4,2.5,811.4,Time=2.1s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.6,2.7,811.6,Time=2.2s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.6,2.7,811.6,Time=2.3s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.6,2.7,811.6,Time=2.4s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.6,2.7,811.6,Time=2.5s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=2.6s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=2.7s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=2.8s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=2.9s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=3.0s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.6,2.7,811.6,Time=3.1s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=3.2s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.6,2.7,811.6,Time=3.3s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.6,2.7,811.6,Time=3.4s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=3.5s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.2,2.3,811.2,Time=3.6s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.2,2.3,811.2,Time=3.7s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.0,2.1,811.0,Time=3.8s | BaseRaw=808.9 | CurrentRaw=811.0 | Change=2.1 => Floor
data,,808.9,811.0,2.1,811.0,Time=3.9s | BaseRaw=808.9 | CurrentRaw=811.0 | Change=2.1 => Floor
data,,808.9,811.2,2.3,811.2,Time=4.0s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.4,2.5,811.4,Time=4.1s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=4.2s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.4,2.5,811.4,Time=4.3s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.6,2.7,811.6,Time=4.4s | BaseRaw=808.9 | CurrentRaw=811.6 | Change=2.7 => Floor
data,,808.9,811.4,2.5,811.4,Time=4.5s | BaseRaw=808.9 | CurrentRaw=811.4 | Change=2.5 => Floor
data,,808.9,811.2,2.3,811.2,Time=4.6s | BaseRaw=808.9 | CurrentRaw=811.2 | Change=2.3 => Floor
data,,808.9,811.0,2.1,811.0,Time=4.7s | BaseRaw=808.9 | CurrentRaw=811.0 | Change=2.1 => Floor
data,,808.9,810.8,1.9,810.8,Time=4.8s | BaseRaw=808.9 | CurrentRaw=810.8 | Change=1.9 => Floor
data,,808.9,810.4,1.5,810.4,Time=4.9s | BaseRaw=808.9 | CurrentRaw=810.4 | Change=1.5 => Floor
data,,808.9,810.0,1.1,810.0,Time=5.0s | BaseRaw=808.9 | CurrentRaw=810.0 | Change=1.1 => Floor
data,,808.9,810.2,1.3,810.2,Time=5.1s | BaseRaw=808.9 | CurrentRaw=810.2 | Change=1.3 => Floor
data,,808.9,812.2,3.3,812.2,Time=5.2s | BaseRaw=808.9 | CurrentRaw=812.2 | Change=3.3 => Floor
data,,808.9,816.8,7.9,816.8,Time=5.3s | BaseRaw=808.9 | CurrentRaw=816.8 | Change=7.9 => Floor
data,,808.9,821.6,12.7,821.6,Time=5.4s | BaseRaw=808.9 | CurrentRaw=821.6 | Change=12.7 => Liquid
data,,808.9,826.6,17.7,826.6,Time=5.5s | BaseRaw=808.9 | CurrentRaw=826.6 | Change=17.7 => Liquid
data,,808.9,831.0,22.1,831.0,Time=5.6s | BaseRaw=808.9 | CurrentRaw=831.0 | Change=22.1 => Liquid
data,,808.9,834.0,25.1,834.0,Time=5.7s | BaseRaw=808.9 | CurrentRaw=834.0 | Change=25.1 => Liquid
data,,808.9,834.4,25.5,834.4,Time=5.8s | BaseRaw=808.9 | CurrentRaw=834.4 | Change=25.5 => Liquid
data,,808.9,834.6,25.7,834.6,Time=5.9s | BaseRaw=808.9 | CurrentRaw=834.6 | Change=25.7 => Liquid
data,,808.9,834.6,25.7,834.6,Time=6.0s | BaseRaw=808.9 | CurrentRaw=834.6 | Change=25.7 => Liquid
data,,808.9,834.8,25.9,834.8,Time=6.1s | BaseRaw=808.9 | CurrentRaw=834.8 | Change=25.9 => Liquid
data,,808.9,834.6,25.7,834.6,Time=6.2s | BaseRaw=808.9 | CurrentRaw=834.6 | Change=25.7 => Liquid
data,,808.9,834.4,25.5,834.4,Time=6.3s | BaseRaw=808.9 | CurrentRaw=834.4 | Change=25.5 => Liquid
data,,808.9,834.2,25.3,834.2,Time=6.4s | BaseRaw=808.9 | CurrentRaw=834.2 | Change=25.3 => Liquid
data,,808.9,834.2,25.3,834.2,Time=6.5s | BaseRaw=808.9 | CurrentRaw=834.2 | Change=25.3 => Liquid
