record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.80,,,,1003.80,Collecting baseline... RawAvg=1003.80
baseline,1003.80,,,,1003.80,Collecting baseline... RawAvg=1003.80
baseline,1003.80,,,,1003.80,Collecting baseline... RawAvg=1003.80
baseline,1004.00,,,,1004.00,Collecting baseline... RawAvg=1004.00
baseline,1004.00,,,,1004.00,Collecting baseline... RawAvg=1004.00
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.00,,,,1003.00,Collecting baseline... RawAvg=1003.00
baseline,1003.00,,,,1003.00,Collecting baseline... RawAvg=1003.00
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.00,,,,1003.00,Collecting baseline... RawAvg=1003.00
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.40,,,,1003.40,Collecting baseline... RawAvg=1003.40
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.00,,,,1003.00,Collecting baseline... RawAvg=1003.00
baseline,1003.00,,,,1003.00,Collecting baseline... RawAvg=1003.00
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1003.20,,,,1003.20,Collecting baseline... RawAvg=1003.20
baseline,1003.60,,,,1003.60,Collecting baseline... RawAvg=1003.60
baseline,1003.80,,,,1003.80,Collecting baseline... RawAvg=1003.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1003.22,,,1003.22,Final Base Raw Average = 1003.22
info,,,,,,--------------------------------------------------------------------------
data,,1003.2,1003.6,0.4,1003.6,Time=0.1s | BaseRaw=1003.2 | CurrentRaw=1003.6 | Change=0.4 => Floor
data,,1003.2,1003.4,0.2,1003.4,Time=0.2s | BaseRaw=1003.2 | CurrentRaw=1003.4 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.3s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.4s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.5s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.6s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.7s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.2,0.0,1003.2,Time=0.8s | BaseRaw=1003.2 | CurrentRaw=1003.2 | Change=0.0 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=0.9s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.0s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=1.1s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.2s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.3s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.4s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=1.5s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.6s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=1.7s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=1.8s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1002.6,0.6,1002.6,Time=1.9s | BaseRaw=1003.2 | CurrentRaw=1002.6 | Change=0.6 => Floor
data,,1003.2,1002.6,0.6,1002.6,Time=2.0s | BaseRaw=1003.2 | CurrentRaw=1002.6 | Change=0.6 => Floor
data,,1003.2,1002.6,0.6,1002.6,Time=2.1s | BaseRaw=1003.2 | CurrentRaw=1002.6 | Change=0.6 => Floor
data,,1003.2,1002.6,0.6,1002.6,Time=2.2s | BaseRaw=1003.2 | CurrentRaw=1002.6 | Change=0.6 => Floor
data,,1003.2,1002.8,0.4,1002.8,Time=2.3s | BaseRaw=1003.2 | CurrentRaw=1002.8 | Change=0.4 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=2.4s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=2.5s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1003.2,0.0,1003.2,Time=2.6s | BaseRaw=1003.2 | CurrentRaw=1003.2 | Change=0.0 => Floor
data,,1003.2,1003.2,0.0,1003.2,Time=2.7s | BaseRaw=1003.2 | CurrentRaw=1003.2 | Change=0.0 => Floor
data,,1003.2,1003.4,0.2,1003.4,Time=2.8s | BaseRaw=1003.2 | CurrentRaw=1003.4 | Change=0.2 => Floor
data,,1003.2,1003.6,0.4,1003.6,Time=2.9s | BaseRaw=1003.2 | CurrentRaw=1003.6 | Change=0.4 => Floor
data,,1003.2,1003.6,0.4,1003.6,Time=3.0s | BaseRaw=1003.2 | CurrentRaw=1003.6 | Change=0.4 => Floor
data,,1003.2,1003.4,0.2,1003.4,Time=3.1s | BaseRaw=1003.2 | CurrentRaw=1003.4 | Change=0.2 => Floor
data,,1003.2,1003.6,0.4,1003.6,Time=3.2s | BaseRaw=1003.2 | CurrentRaw=1003.6 | Change=0.4 => Floor
data,,1003.2,1003.4,0.2,1003.4,Time=3.3s | BaseRaw=1003.2 | CurrentRaw=1003.4 | Change=0.2 => Floor
data,,1003.2,1003.2,0.0,1003.2,Time=3.4s | BaseRaw=1003.2 | CurrentRaw=1003.2 | Change=0.0 => Floor
data,,1003.2,1003.0,0.2,1003.0,Time=3.5s | BaseRaw=1003.2 | CurrentRaw=1003.0 | Change=0.2 => Floor
data,,1003.2,1001.6,1.6,1001.6,Time=3.6s | BaseRaw=1003.2 | CurrentRaw=1001.6 | Change=1.6 => Floor
data,,1003.2,997.6,5.6,997.6,Time=3.7s | BaseRaw=1003.2 | CurrentRaw=997.6 | Change=5.6 => Floor
data,,1003.2,988.6,14.6,988.6,Time=3.8s | BaseRaw=1003.2 | CurrentRaw=988.6 | Change=14.6 => Liquid
data,,1003.2,975.8,27.4,975.8,Time=3.9s | BaseRaw=1003.2 | CurrentRaw=975.8 | Change=27.4 => Liquid
data,,1003.2,962.2,41.0,962.2,Time=4.0s | BaseRaw=1003.2 | CurrentRaw=962.2 | Change=41.0 => Liquid
data,,1003.2,949.8,53.4,949.8,Time=4.1s | BaseRaw=1003.2 | CurrentRaw=949.8 | Change=53.4 => Liquid
data,,1003.2,940.0,63.2,940.0,Time=4.2s | BaseRaw=1003.2 | CurrentRaw=940.0 | Change=63.2 => Liquid
data,,1003.2,935.2,68.0,935.2,Time=4.3s | BaseRaw=1003.2 | CurrentRaw=935.2 | Change=68.0 => Liquid
data,,1003.2,934.2,69.0,934.2,Time=4.4s | BaseRaw=1003.2 | CurrentRaw=934.2 | Change=69.0 => Liquid
data,,1003.2,934.2,69.0,934.2,Time=4.5s | BaseRaw=1003.2 | CurrentRaw=934.2 | Change=69.0 => Liquid
data,,1003.2,934.6,68.6,934.6,Time=4.6s | BaseRaw=1003.2 | CurrentRaw=934.6 | Change=68.6 => Liquid
data,,1003.2,934.4,68.8,934.4,Time=4.7s | BaseRaw=1003.2 | CurrentRaw=934.4 | Change=68.8 => Liquid
data,,1003.2,934.4,68.8,934.4,Time=4.8s | BaseRaw=1003.2 | CurrentRaw=934.4 | Change=68.8 => Liquid
data,,1003.2,934.4,68.8,934.4,Time=4.9s | BaseRaw=1003.2 | CurrentRaw=934.4 | Change=68.8 => Liquid
data,,1003.2,934.6,68.6,934.6,Time=5.0s | BaseRaw=1003.2 | CurrentRaw=934.6 | Change=68.6 => Liquid
data,,1003.2,934.6,68.6,934.6,Time=5.1s | BaseRaw=1003.2 | CurrentRaw=934.6 | Change=68.6 => Liquid
data,,1003.2,934.8,68.4,934.8,Time=5.2s | BaseRaw=1003.2 | CurrentRaw=934.8 | Change=68.4 => Liquid
data,,1003.2,934.8,68.4,934.8,Time=5.3s | BaseRaw=1003.2 | CurrentRaw=934.8 | Change=68.4 => Liquid
data,,1003.2,934.6,68.6,934.6,Time=5.4s | BaseRaw=1003.2 | CurrentRaw=934.6 | Change=68.6 => Liquid
data,,1003.2,934.8,68.4,934.8,Time=5.5s | BaseRaw=1003.2 | CurrentRaw=934.8 | Change=68.4 => Liquid
data,,1003.2,934.4,68.8,934.4,Time=5.6s | BaseRaw=1003.2 | CurrentRaw=934.4 | Change=68.8 => Liquid
data,,1003.2,934.0,69.2,934.0,Time=5.7s | BaseRaw=1003.2 | CurrentRaw=934.0 | Change=69.2 => Liquid
data,,1003.2,934.0,69.2,934.0,Time=5.8s | BaseRaw=1003.2 | CurrentRaw=934.0 | Change=69.2 => Liquid
data,,1003.2,934.2,69.0,934.2,Time=5.9s | BaseRaw=1003.2 | CurrentRaw=934.2 | Change=69.0 => Liquid
