record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,818.10,,,818.10,Final Base Raw Average = 818.10
info,,,,,,--------------------------------------------------------------------------
data,,818.1,818.0,0.1,818.0,Time=0.1s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=0.2s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.4,0.3,818.4,Time=0.3s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=0.4s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=0.5s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=0.6s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.2,0.1,818.2,Time=0.7s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=0.8s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=0.9s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.0s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.1s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.2s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.3s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.4s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.5s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.6s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.7s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=1.8s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=1.9s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.4,0.3,818.4,Time=2.0s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=2.1s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=2.2s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=2.3s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.2,0.1,818.2,Time=2.4s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=2.5s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=2.6s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=2.7s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=2.8s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=2.9s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=3.0s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.4,0.3,818.4,Time=3.1s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=3.2s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=3.3s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=3.4s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.2,0.1,818.2,Time=3.5s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=3.6s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=3.7s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=3.8s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.4,0.3,818.4,Time=3.9s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=4.0s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=4.1s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.4,0.3,818.4,Time=4.2s | BaseRaw=818.1 | CurrentRaw=818.4 | Change=0.3 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.3s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=4.4s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.5s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.6s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.7s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.8s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=4.9s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.0s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.1s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.2s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.3s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.4s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.0,0.1,818.0,Time=5.5s | BaseRaw=818.1 | CurrentRaw=818.0 | Change=0.1 => Floor
data,,818.1,818.2,0.1,818.2,Time=5.6s | BaseRaw=818.1 | CurrentRaw=818.2 | Change=0.1 => Floor
data,,818.1,817.8,0.3,817.8,Time=5.7s | BaseRaw=818.1 | CurrentRaw=817.8 | Change=0.3 => Floor
data,,818.1,817.2,0.9,817.2,Time=5.8s | BaseRaw=818.1 | CurrentRaw=817.2 | Change=0.9 => Floor
data,,818.1,815.8,2.3,815.8,Time=5.9s | BaseRaw=818.1 | CurrentRaw=815.8 | Change=2.3 => Floor
data,,818.1,814.4,3.7,814.4,Time=6.0s | BaseRaw=818.1 | CurrentRaw=814.4 | Change=3.7 => Floor
data,,818.1,812.8,5.3,812.8,Time=6.1s | BaseRaw=818.1 | CurrentRaw=812.8 | Change=5.3 => Floor
data,,818.1,811.8,6.3,811.8,Time=6.2s | BaseRaw=818.1 | CurrentRaw=811.8 | Change=6.3 => Floor
data,,818.1,811.0,7.1,811.0,Time=6.3s | BaseRaw=818.1 | CurrentRaw=811.0 | Change=7.1 => Floor
data,,818.1,811.0,7.1,811.0,Time=6.4s | BaseRaw=818.1 | CurrentRaw=811.0 | Change=7.1 => Floor
data,,818.1,811.2,6.9,811.2,Time=6.5s | BaseRaw=818.1 | CurrentRaw=811.2 | Change=6.9 => Floor
