record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,797.00,,,,797.00,Collecting baseline... RawAvg=797.00
baseline,797.00,,,,797.00,Collecting baseline... RawAvg=797.00
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.00,,,,796.00,Collecting baseline... RawAvg=796.00
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.00,,,,796.00,Collecting baseline... RawAvg=796.00
baseline,796.00,,,,796.00,Collecting baseline... RawAvg=796.00
baseline,796.00,,,,796.00,Collecting baseline... RawAvg=796.00
baseline,796.00,,,,796.00,Collecting baseline... RawAvg=796.00
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,797.00,,,,797.00,Collecting baseline... RawAvg=797.00
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.20,,,,796.20,Collecting baseline... RawAvg=796.20
baseline,796.40,,,,796.40,Collecting baseline... RawAvg=796.40
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,796.47,,,796.47,Final Base Raw Average = 796.47
info,,,,,,--------------------------------------------------------------------------
data,,796.5,796.8,0.3,796.8,Time=0.1s | BaseRaw=796.5 | CurrentRaw=796.8 | Change=0.3 => Floor
data,,796.5,796.8,0.3,796.8,Time=0.2s | BaseRaw=796.5 | CurrentRaw=796.8 | Change=0.3 => Floor
data,,796.5,796.6,0.1,796.6,Time=0.3s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=0.4s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=0.5s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.2,0.3,796.2,Time=0.6s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=0.7s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.4,0.1,796.4,Time=0.8s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.2,0.3,796.2,Time=0.9s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.0s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.1s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.2s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.3s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.4s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.5s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.6s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.7s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.0,0.5,796.0,Time=1.8s | BaseRaw=796.5 | CurrentRaw=796.0 | Change=0.5 => Floor
data,,796.5,796.2,0.3,796.2,Time=1.9s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=2.0s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=2.1s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=2.2s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.4,0.1,796.4,Time=2.3s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=2.4s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=2.5s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=2.6s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=2.7s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.2,0.3,796.2,Time=2.8s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.2,0.3,796.2,Time=2.9s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.4,0.1,796.4,Time=3.0s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=3.1s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.2s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.8,0.3,796.8,Time=3.3s | BaseRaw=796.5 | CurrentRaw=796.8 | Change=0.3 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.4s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.5s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.6s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.7s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.4,0.1,796.4,Time=3.8s | BaseRaw=796.5 | CurrentRaw=796.4 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=3.9s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=4.0s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=4.1s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.8,0.3,796.8,Time=4.2s | BaseRaw=796.5 | CurrentRaw=796.8 | Change=0.3 => Floor
data,,796.5,797.0,0.5,797.0,Time=4.3s | BaseRaw=796.5 | CurrentRaw=797.0 | Change=0.5 => Floor
data,,796.5,796.8,0.3,796.8,Time=4.4s | BaseRaw=796.5 | CurrentRaw=796.8 | Change=0.3 => Floor
data,,796.5,796.6,0.1,796.6,Time=4.5s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.6,0.1,796.6,Time=4.6s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,796.2,0.3,796.2,Time=4.7s | BaseRaw=796.5 | CurrentRaw=796.2 | Change=0.3 => Floor
data,,796.5,796.6,0.1,796.6,Time=4.8s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,797.2,0.7,797.2,Time=4.9s | BaseRaw=796.5 | CurrentRaw=797.2 | Change=0.7 => Floor
data,,796.5,796.6,0.1,796.6,Time=5.0s | BaseRaw=796.5 | CurrentRaw=796.6 | Change=0.1 => Floor
data,,796.5,794.4,2.1,794.4,Time=5.1s | BaseRaw=796.5 | CurrentRaw=794.4 | Change=2.1 => Floor
data,,796.5,782.0,14.5,782.0,Time=5.2s | BaseRaw=796.5 | CurrentRaw=782.0 | Change=14.5 => Liquid
data,,796.5,760.6,35.9,760.6,Time=5.3s | BaseRaw=796.5 | CurrentRaw=760.6 | Change=35.9 => Liquid
data,,796.5,738.8,57.7,738.8,Time=5.4s | BaseRaw=796.5 | CurrentRaw=738.8 | Change=57.7 => Liquid
data,,796.5,718.4,78.1,718.4,Time=5.5s | BaseRaw=796.5 | CurrentRaw=718.4 | Change=78.1 => Liquid
data,,796.5,700.0,96.5,700.0,Time=5.6s | BaseRaw=796.5 | CurrentRaw=700.0 | Change=96.5 => Liquid
data,,796.5,692.0,104.5,692.0,Time=5.7s | BaseRaw=796.5 | CurrentRaw=692.0 | Change=104.5 => Liquid
data,,796.5,692.4,104.1,692.4,Time=5.8s | BaseRaw=796.5 | CurrentRaw=692.4 | Change=104.1 => Liquid
data,,796.5,693.2,103.3,693.2,Time=5.9s | BaseRaw=796.5 | CurrentRaw=693.2 | Change=103.3 => Liquid
data,,796.5,693.8,102.7,693.8,Time=6.0s | BaseRaw=796.5 | CurrentRaw=693.8 | Change=102.7 => Liquid
data,,796.5,694.4,102.1,694.4,Time=6.1s | BaseRaw=796.5 | CurrentRaw=694.4 | Change=102.1 => Liquid
data,,796.5,695.0,101.5,695.0,Time=6.2s | BaseRaw=796.5 | CurrentRaw=695.0 | Change=101.5 => Liquid
data,,796.5,695.6,100.9,695.6,Time=6.3s | BaseRaw=796.5 | CurrentRaw=695.6 | Change=100.9 => Liquid
data,,796.5,696.2,100.3,696.2,Time=6.4s | BaseRaw=796.5 | CurrentRaw=696.2 | Change=100.3 => Liquid
data,,796.5,696.8,99.7,696.8,Time=6.5s | BaseRaw=796.5 | CurrentRaw=696.8 | Change=99.7 => Liquid
