record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,827.40,,,,827.40,Collecting baseline... RawAvg=827.40
baseline,827.20,,,,827.20,Collecting baseline... RawAvg=827.20
baseline,827.20,,,,827.20,Collecting baseline... RawAvg=827.20
baseline,827.00,,,,827.00,Collecting baseline... RawAvg=827.00
baseline,826.80,,,,826.80,Collecting baseline... RawAvg=826.80
baseline,827.00,,,,827.00,Collecting baseline... RawAvg=827.00
baseline,827.20,,,,827.20,Collecting baseline... RawAvg=827.20
baseline,827.40,,,,827.40,Collecting baseline... RawAvg=827.40
baseline,828.00,,,,828.00,Collecting baseline... RawAvg=828.00
baseline,828.40,,,,828.40,Collecting baseline... RawAvg=828.40
baseline,828.60,,,,828.60,Collecting baseline... RawAvg=828.60
baseline,828.40,,,,828.40,Collecting baseline... RawAvg=828.40
baseline,828.00,,,,828.00,Collecting baseline... RawAvg=828.00
baseline,827.40,,,,827.40,Collecting baseline... RawAvg=827.40
baseline,827.00,,,,827.00,Collecting baseline... RawAvg=827.00
baseline,827.00,,,,827.00,Collecting baseline... RawAvg=827.00
baseline,827.40,,,,827.40,Collecting baseline... RawAvg=827.40
baseline,828.00,,,,828.00,Collecting baseline... RawAvg=828.00
baseline,828.60,,,,828.60,Collecting baseline... RawAvg=828.60
baseline,828.80,,,,828.80,Collecting baseline... RawAvg=828.80
baseline,828.60,,,,828.60,Collecting baseline... RawAvg=828.60
baseline,828.00,,,,828.00,Collecting baseline... RawAvg=828.00
baseline,827.20,,,,827.20,Collecting baseline... RawAvg=827.20
baseline,826.80,,,,826.80,Collecting baseline... RawAvg=826.80
baseline,827.00,,,,827.00,Collecting baseline... RawAvg=827.00
baseline,827.60,,,,827.60,Collecting baseline... RawAvg=827.60
baseline,828.60,,,,828.60,Collecting baseline... RawAvg=828.60
baseline,829.40,,,,829.40,Collecting baseline... RawAvg=829.40
baseline,830.00,,,,830.00,Collecting baseline... RawAvg=830.00
baseline,830.00,,,,830.00,Collecting baseline... RawAvg=830.00
baseline,829.80,,,,829.80,Collecting baseline... RawAvg=829.80
baseline,829.20,,,,829.20,Collecting baseline... RawAvg=829.20
baseline,829.00,,,,829.00,Collecting baseline... RawAvg=829.00
baseline,829.00,,,,829.00,Collecting baseline... RawAvg=829.00
baseline,829.40,,,,829.40,Collecting baseline... RawAvg=829.40
baseline,829.60,,,,829.60,Collecting baseline... RawAvg=829.60
baseline,830.00,,,,830.00,Collecting baseline... RawAvg=830.00
baseline,830.20,,,,830.20,Collecting baseline... RawAvg=830.20
baseline,829.80,,,,829.80,Collecting baseline... RawAvg=829.80
baseline,829.00,,,,829.00,Collecting baseline... RawAvg=829.00
baseline,828.60,,,,828.60,Collecting baseline... RawAvg=828.60
baseline,828.20,,,,828.20,Collecting baseline... RawAvg=828.20
baseline,828.00,,,,828.00,Collecting baseline... RawAvg=828.00
baseline,828.40,,,,828.40,Collecting baseline... RawAvg=828.40
baseline,829.20,,,,829.20,Collecting baseline... RawAvg=829.20
baseline,829.40,,,,829.40,Collecting baseline... RawAvg=829.40
baseline,829.80,,,,829.80,Collecting baseline... RawAvg=829.80
baseline,829.60,,,,829.60,Collecting baseline... RawAvg=829.60
baseline,829.20,,,,829.20,Collecting baseline... RawAvg=829.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,828.40,,,828.40,Final Base Raw Average = 828.40
info,,,,,,--------------------------------------------------------------------------
data,,828.4,828.8,0.4,828.8,Time=0.1s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.8,0.4,828.8,Time=0.2s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.8,0.4,828.8,Time=0.3s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=0.4s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=0.5s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,828.8,0.4,828.8,Time=0.6s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.8,0.4,828.8,Time=0.7s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.6,0.2,828.6,Time=0.8s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.6,0.2,828.6,Time=0.9s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.0s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.6,0.2,828.6,Time=1.1s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.2s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.3s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.4s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.5s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.6s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=1.7s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.6,0.2,828.6,Time=1.8s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.8,0.4,828.8,Time=1.9s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.6,0.2,828.6,Time=2.0s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.6,0.2,828.6,Time=2.1s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.4,0.0,828.4,Time=2.2s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=2.3s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=2.4s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.6,0.2,828.6,Time=2.5s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.8,0.4,828.8,Time=2.6s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.8,0.4,828.8,Time=2.7s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=2.8s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,828.8,0.4,828.8,Time=2.9s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.0s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.1s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.2s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.3s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.2,0.8,829.2,Time=3.4s | BaseRaw=828.4 | CurrentRaw=829.2 | Change=0.8 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.5s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.6s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,828.8,0.4,828.8,Time=3.7s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=3.8s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,828.8,0.4,828.8,Time=3.9s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=4.0s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.0,0.6,829.0,Time=4.1s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,829.2,0.8,829.2,Time=4.2s | BaseRaw=828.4 | CurrentRaw=829.2 | Change=0.8 => Floor
data,,828.4,829.2,0.8,829.2,Time=4.3s | BaseRaw=828.4 | CurrentRaw=829.2 | Change=0.8 => Floor
data,,828.4,828.8,0.4,828.8,Time=4.4s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,829.0,0.6,829.0,Time=4.5s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,828.6,0.2,828.6,Time=4.6s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.8,0.4,828.8,Time=4.7s | BaseRaw=828.4 | CurrentRaw=828.8 | Change=0.4 => Floor
data,,828.4,828.6,0.2,828.6,Time=4.8s | BaseRaw=828.4 | CurrentRaw=828.6 | Change=0.2 => Floor
data,,828.4,828.4,0.0,828.4,Time=4.9s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,828.4,0.0,828.4,Time=5.0s | BaseRaw=828.4 | CurrentRaw=828.4 | Change=0.0 => Floor
data,,828.4,829.0,0.6,829.0,Time=5.1s | BaseRaw=828.4 | CurrentRaw=829.0 | Change=0.6 => Floor
data,,828.4,831.6,3.2,831.6,Time=5.2s | BaseRaw=828.4 | CurrentRaw=831.6 | Change=3.2 => Floor
data,,828.4,836.0,7.6,836.0,Time=5.3s | BaseRaw=828.4 | CurrentRaw=836.0 | Change=7.6 => Floor
data,,828.4,842.0,13.6,842.0,Time=5.4s | BaseRaw=828.4 | CurrentRaw=842.0 | Change=13.6 => Liquid
data,,828.4,848.6,20.2,848.6,Time=5.5s | BaseRaw=828.4 | CurrentRaw=848.6 | Change=20.2 => Liquid
data,,828.4,856.0,27.6,856.0,Time=5.6s | BaseRaw=828.4 | CurrentRaw=856.0 | Change=27.6 => Liquid
data,,828.4,860.4,32.0,860.4,Time=5.7s | BaseRaw=828.4 | CurrentRaw=860.4 | Change=32.0 => Liquid
data,,828.4,863.2,34.8,863.2,Time=5.8s | BaseRaw=828.4 | CurrentRaw=863.2 | Change=34.8 => Liquid
data,,828.4,865.2,36.8,865.2,Time=5.9s | BaseRaw=828.4 | CurrentRaw=865.2 | Change=36.8 => Liquid
data,,828.4,865.6,37.2,865.6,Time=6.0s | BaseRaw=828.4 | CurrentRaw=865.6 | Change=37.2 => Liquid
data,,828.4,864.8,36.4,864.8,Time=6.1s | BaseRaw=828.4 | CurrentRaw=864.8 | Change=36.4 => Liquid
data,,828.4,865.2,36.8,865.2,Time=6.2s | BaseRaw=828.4 | CurrentRaw=865.2 | Change=36.8 => Liquid
data,,828.4,864.8,36.4,864.8,Time=6.3s | BaseRaw=828.4 | CurrentRaw=864.8 | Change=36.4 => Liquid
data,,828.4,864.4,36.0,864.4,Time=6.4s | BaseRaw=828.4 | CurrentRaw=864.4 | Change=36.0 => Liquid
data,,828.4,864.2,35.8,864.2,Time=6.5s | BaseRaw=828.4 | CurrentRaw=864.2 | Change=35.8 => Liquid
