record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.20,,,,862.20,Collecting baseline... RawAvg=862.20
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.40,,,,862.40,Collecting baseline... RawAvg=862.40
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
baseline,862.60,,,,862.60,Collecting baseline... RawAvg=862.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,862.38,,,862.38,Final Base Raw Average = 862.38
info,,,,,,--------------------------------------------------------------------------
data,,862.4,862.8,0.4,862.8,Time=0.1s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=0.2s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=0.3s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=0.4s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,863.0,0.6,863.0,Time=0.5s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,863.0,0.6,863.0,Time=0.6s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,862.8,0.4,862.8,Time=0.7s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.6,0.2,862.6,Time=0.8s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=0.9s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=1.0s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.2,0.2,862.2,Time=1.1s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=1.2s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=1.3s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.0,0.4,862.0,Time=1.4s | BaseRaw=862.4 | CurrentRaw=862.0 | Change=0.4 => Floor
data,,862.4,862.0,0.4,862.0,Time=1.5s | BaseRaw=862.4 | CurrentRaw=862.0 | Change=0.4 => Floor
data,,862.4,862.2,0.2,862.2,Time=1.6s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=1.7s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=1.8s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=1.9s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.6,0.2,862.6,Time=2.0s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=2.1s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=2.2s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=2.3s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=2.4s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=2.5s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=2.6s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=2.7s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.6,0.2,862.6,Time=2.8s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.8,0.4,862.8,Time=2.9s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.6,0.2,862.6,Time=3.0s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=3.1s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=3.2s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=3.3s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.2,0.2,862.2,Time=3.4s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=3.5s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=3.6s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=3.7s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=3.8s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=3.9s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.8,0.4,862.8,Time=4.0s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.6,0.2,862.6,Time=4.1s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.8,0.4,862.8,Time=4.2s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=4.3s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,863.0,0.6,863.0,Time=4.4s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,862.6,0.2,862.6,Time=4.5s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,863.0,0.6,863.0,Time=4.6s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,863.0,0.6,863.0,Time=4.7s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,863.0,0.6,863.0,Time=4.8s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,863.0,0.6,863.0,Time=4.9s | BaseRaw=862.4 | CurrentRaw=863.0 | Change=0.6 => Floor
data,,862.4,863.2,0.8,863.2,Time=5.0s | BaseRaw=862.4 | CurrentRaw=863.2 | Change=0.8 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.1s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.2s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.3s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.4s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.6,0.2,862.6,Time=5.5s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.6s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.8,0.4,862.8,Time=5.7s | BaseRaw=862.4 | CurrentRaw=862.8 | Change=0.4 => Floor
data,,862.4,862.6,0.2,862.6,Time=5.8s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=5.9s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.6,0.2,862.6,Time=6.0s | BaseRaw=862.4 | CurrentRaw=862.6 | Change=0.2 => Floor
data,,862.4,862.4,0.0,862.4,Time=6.1s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=6.2s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.4,0.0,862.4,Time=6.3s | BaseRaw=862.4 | CurrentRaw=862.4 | Change=0.0 => Floor
data,,862.4,862.2,0.2,862.2,Time=6.4s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
data,,862.4,862.2,0.2,862.2,Time=6.5s | BaseRaw=862.4 | CurrentRaw=862.2 | Change=0.2 => Floor
