record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.00,,,,867.00,Collecting baseline... RawAvg=867.00
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.00,,,,867.00,Collecting baseline... RawAvg=867.00
baseline,867.00,,,,867.00,Collecting baseline... RawAvg=867.00
baseline,867.00,,,,867.00,Collecting baseline... RawAvg=867.00
baseline,867.00,,,,867.00,Collecting baseline... RawAvg=867.00
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
baseline,868.00,,,,868.00,Collecting baseline... RawAvg=868.00
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.20,,,,867.20,Collecting baseline... RawAvg=867.20
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.40,,,,867.40,Collecting baseline... RawAvg=867.40
baseline,867.60,,,,867.60,Collecting baseline... RawAvg=867.60
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
baseline,867.80,,,,867.80,Collecting baseline... RawAvg=867.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,867.42,,,867.42,Final Base Raw Average = 867.42
info,,,,,,--------------------------------------------------------------------------
data,,867.4,867.6,0.2,867.6,Time=0.1s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.2s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.0,0.4,867.0,Time=0.3s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=0.4s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.5s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.6s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.7s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.8s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=0.9s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.0,0.4,867.0,Time=1.0s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=1.1s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=1.2s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=1.3s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=1.4s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.2,0.2,867.2,Time=1.5s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=1.6s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.6,0.2,867.6,Time=1.7s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.6,0.2,867.6,Time=1.8s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.6,0.2,867.6,Time=1.9s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.0s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.1s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.2,0.2,867.2,Time=2.2s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.3s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.4s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.6,0.2,867.6,Time=2.5s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.6s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=2.7s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.2,0.2,867.2,Time=2.8s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.2,0.2,867.2,Time=2.9s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=3.0s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=3.1s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=3.2s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.6,0.2,867.6,Time=3.3s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,868.0,0.6,868.0,Time=3.4s | BaseRaw=867.4 | CurrentRaw=868.0 | Change=0.6 => Floor
data,,867.4,868.0,0.6,868.0,Time=3.5s | BaseRaw=867.4 | CurrentRaw=868.0 | Change=0.6 => Floor
data,,867.4,868.0,0.6,868.0,Time=3.6s | BaseRaw=867.4 | CurrentRaw=868.0 | Change=0.6 => Floor
data,,867.4,868.0,0.6,868.0,Time=3.7s | BaseRaw=867.4 | CurrentRaw=868.0 | Change=0.6 => Floor
data,,867.4,867.8,0.4,867.8,Time=3.8s | BaseRaw=867.4 | CurrentRaw=867.8 | Change=0.4 => Floor
data,,867.4,867.4,0.0,867.4,Time=3.9s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.0,0.4,867.0,Time=4.0s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=4.1s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.2,0.2,867.2,Time=4.2s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=4.3s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=4.4s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=4.5s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=4.6s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.2,0.2,867.2,Time=4.7s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.0,0.4,867.0,Time=4.8s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=4.9s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.0,0.4,867.0,Time=5.0s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,867.2,0.2,867.2,Time=5.1s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.2,0.2,867.2,Time=5.2s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.4,0.0,867.4,Time=5.3s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.4,0.0,867.4,Time=5.4s | BaseRaw=867.4 | CurrentRaw=867.4 | Change=0.0 => Floor
data,,867.4,867.2,0.2,867.2,Time=5.5s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.2,0.2,867.2,Time=5.6s | BaseRaw=867.4 | CurrentRaw=867.2 | Change=0.2 => Floor
data,,867.4,867.6,0.2,867.6,Time=5.7s | BaseRaw=867.4 | CurrentRaw=867.6 | Change=0.2 => Floor
data,,867.4,867.0,0.4,867.0,Time=5.8s | BaseRaw=867.4 | CurrentRaw=867.0 | Change=0.4 => Floor
data,,867.4,866.8,0.6,866.8,Time=5.9s | BaseRaw=867.4 | CurrentRaw=866.8 | Change=0.6 => Floor
data,,867.4,864.2,3.2,864.2,Time=6.0s | BaseRaw=867.4 | CurrentRaw=864.2 | Change=3.2 => Floor
data,,867.4,857.2,10.2,857.2,Time=6.1s | BaseRaw=867.4 | CurrentRaw=857.2 | Change=10.2 => Liquid
data,,867.4,845.8,21.6,845.8,Time=6.2s | BaseRaw=867.4 | CurrentRaw=845.8 | Change=21.6 => Liquid
data,,867.4,833.8,33.6,833.8,Time=6.3s | BaseRaw=867.4 | CurrentRaw=833.8 | Change=33.6 => Liquid
data,,867.4,820.0,47.4,820.0,Time=6.4s | BaseRaw=867.4 | CurrentRaw=820.0 | Change=47.4 => Liquid
data,,867.4,808.2,59.2,808.2,Time=6.5s | BaseRaw=867.4 | CurrentRaw=808.2 | Change=59.2 => Liquid
