record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,612.80,,,,612.80,Collecting baseline... RawAvg=612.80
baseline,597.80,,,,597.80,Collecting baseline... RawAvg=597.80
baseline,583.20,,,,583.20,Collecting baseline... RawAvg=583.20
baseline,572.20,,,,572.20,Collecting baseline... RawAvg=572.20
baseline,567.00,,,,567.00,Collecting baseline... RawAvg=567.00
baseline,575.00,,,,575.00,Collecting baseline... RawAvg=575.00
baseline,589.60,,,,589.60,Collecting baseline... RawAvg=589.60
baseline,599.40,,,,599.40,Collecting baseline... RawAvg=599.40
baseline,601.20,,,,601.20,Collecting baseline... RawAvg=601.20
baseline,593.60,,,,593.60,Collecting baseline... RawAvg=593.60
baseline,579.40,,,,579.40,Collecting baseline... RawAvg=579.40
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,559.80,,,,559.80,Collecting baseline... RawAvg=559.80
baseline,563.80,,,,563.80,Collecting baseline... RawAvg=563.80
baseline,576.60,,,,576.60,Collecting baseline... RawAvg=576.60
baseline,591.40,,,,591.40,Collecting baseline... RawAvg=591.40
baseline,602.00,,,,602.00,Collecting baseline... RawAvg=602.00
baseline,604.80,,,,604.80,Collecting baseline... RawAvg=604.80
baseline,597.60,,,,597.60,Collecting baseline... RawAvg=597.60
baseline,583.20,,,,583.20,Collecting baseline... RawAvg=583.20
baseline,568.20,,,,568.20,Collecting baseline... RawAvg=568.20
baseline,559.60,,,,559.60,Collecting baseline... RawAvg=559.60
baseline,561.20,,,,561.20,Collecting baseline... RawAvg=561.20
baseline,572.20,,,,572.20,Collecting baseline... RawAvg=572.20
baseline,586.80,,,,586.80,Collecting baseline... RawAvg=586.80
baseline,598.60,,,,598.60,Collecting baseline... RawAvg=598.60
baseline,603.20,,,,603.20,Collecting baseline... RawAvg=603.20
baseline,598.40,,,,598.40,Collecting baseline... RawAvg=598.40
baseline,585.40,,,,585.40,Collecting baseline... RawAvg=585.40
baseline,570.40,,,,570.40,Collecting baseline... RawAvg=570.40
baseline,561.20,,,,561.20,Collecting baseline... RawAvg=561.20
baseline,561.60,,,,561.60,Collecting baseline... RawAvg=561.60
baseline,571.40,,,,571.40,Collecting baseline... RawAvg=571.40
baseline,586.20,,,,586.20,Collecting baseline... RawAvg=586.20
baseline,598.80,,,,598.80,Collecting baseline... RawAvg=598.80
baseline,604.20,,,,604.20,Collecting baseline... RawAvg=604.20
baseline,600.20,,,,600.20,Collecting baseline... RawAvg=600.20
baseline,587.80,,,,587.80,Collecting baseline... RawAvg=587.80
baseline,571.60,,,,571.60,Collecting baseline... RawAvg=571.60
baseline,560.60,,,,560.60,Collecting baseline... RawAvg=560.60
baseline,558.60,,,,558.60,Collecting baseline... RawAvg=558.60
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,580.80,,,,580.80,Collecting baseline... RawAvg=580.80
baseline,594.00,,,,594.00,Collecting baseline... RawAvg=594.00
baseline,601.20,,,,601.20,Collecting baseline... RawAvg=601.20
baseline,599.80,,,,599.80,Collecting baseline... RawAvg=599.80
baseline,589.40,,,,589.40,Collecting baseline... RawAvg=589.40
baseline,574.80,,,,574.80,Collecting baseline... RawAvg=574.80
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,582.72,,,582.72,Final Base Raw Average = 582.72
info,,,,,,--------------------------------------------------------------------------
data,,582.7,564.0,18.7,564.0,Time=0.1s | BaseRaw=582.7 | CurrentRaw=564.0 | Change=18.7 => Liquid
data,,582.7,564.0,18.7,564.0,Time=0.2s | BaseRaw=582.7 | CurrentRaw=564.0 | Change=18.7 => Liquid
data,,582.7,577.0,5.7,577.0,Time=0.3s | BaseRaw=582.7 | CurrentRaw=577.0 | Change=5.7 => Floor
data,,582.7,575.6,7.1,575.6,Time=0.4s | BaseRaw=582.7 | CurrentRaw=575.6 | Change=7.1 => Floor
data,,582.7,583.0,0.3,583.0,Time=0.5s | BaseRaw=582.7 | CurrentRaw=583.0 | Change=0.3 => Floor
data,,582.7,580.6,2.1,580.6,Time=0.6s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,583.2,0.5,583.2,Time=0.7s | BaseRaw=582.7 | CurrentRaw=583.2 | Change=0.5 => Floor
data,,582.7,581.2,1.5,581.2,Time=0.8s | BaseRaw=582.7 | CurrentRaw=581.2 | Change=1.5 => Floor
data,,582.7,581.0,1.7,581.0,Time=0.9s | BaseRaw=582.7 | CurrentRaw=581.0 | Change=1.7 => Floor
data,,582.7,582.6,0.1,582.6,Time=1.0s | BaseRaw=582.7 | CurrentRaw=582.6 | Change=0.1 => Floor
data,,582.7,580.6,2.1,580.6,Time=1.1s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,583.0,0.3,583.0,Time=1.2s | BaseRaw=582.7 | CurrentRaw=583.0 | Change=0.3 => Floor
data,,582.7,581.0,1.7,581.0,Time=1.3s | BaseRaw=582.7 | CurrentRaw=581.0 | Change=1.7 => Floor
data,,582.7,581.4,1.3,581.4,Time=1.4s | BaseRaw=582.7 | CurrentRaw=581.4 | Change=1.3 => Floor
data,,582.7,581.6,1.1,581.6,Time=1.5s | BaseRaw=582.7 | CurrentRaw=581.6 | Change=1.1 => Floor
data,,582.7,580.4,2.3,580.4,Time=1.6s | BaseRaw=582.7 | CurrentRaw=580.4 | Change=2.3 => Floor
data,,582.7,583.0,0.3,583.0,Time=1.7s | BaseRaw=582.7 | CurrentRaw=583.0 | Change=0.3 => Floor
data,,582.7,581.2,1.5,581.2,Time=1.8s | BaseRaw=582.7 | CurrentRaw=581.2 | Change=1.5 => Floor
data,,582.7,582.4,0.3,582.4,Time=1.9s | BaseRaw=582.7 | CurrentRaw=582.4 | Change=0.3 => Floor
data,,582.7,581.6,1.1,581.6,Time=2.0s | BaseRaw=582.7 | CurrentRaw=581.6 | Change=1.1 => Floor
data,,582.7,580.6,2.1,580.6,Time=2.1s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,583.2,0.5,583.2,Time=2.2s | BaseRaw=582.7 | CurrentRaw=583.2 | Change=0.5 => Floor
data,,582.7,581.0,1.7,581.0,Time=2.3s | BaseRaw=582.7 | CurrentRaw=581.0 | Change=1.7 => Floor
data,,582.7,582.6,0.1,582.6,Time=2.4s | BaseRaw=582.7 | CurrentRaw=582.6 | Change=0.1 => Floor
data,,582.7,580.6,2.1,580.6,Time=2.5s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,579.6,3.1,579.6,Time=2.6s | BaseRaw=582.7 | CurrentRaw=579.6 | Change=3.1 => Floor
data,,582.7,581.8,0.9,581.8,Time=2.7s | BaseRaw=582.7 | CurrentRaw=581.8 | Change=0.9 => Floor
data,,582.7,580.2,2.5,580.2,Time=2.8s | BaseRaw=582.7 | CurrentRaw=580.2 | Change=2.5 => Floor
data,,582.7,582.6,0.1,582.6,Time=2.9s | BaseRaw=582.7 | CurrentRaw=582.6 | Change=0.1 => Floor
data,,582.7,580.6,2.1,580.6,Time=3.0s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,581.0,1.7,581.0,Time=3.1s | BaseRaw=582.7 | CurrentRaw=581.0 | Change=1.7 => Floor
data,,582.7,582.0,0.7,582.0,Time=3.2s | BaseRaw=582.7 | CurrentRaw=582.0 | Change=0.7 => Floor
data,,582.7,580.6,2.1,580.6,Time=3.3s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,583.0,0.3,583.0,Time=3.4s | BaseRaw=582.7 | CurrentRaw=583.0 | Change=0.3 => Floor
data,,582.7,580.8,1.9,580.8,Time=3.5s | BaseRaw=582.7 | CurrentRaw=580.8 | Change=1.9 => Floor
data,,582.7,581.2,1.5,581.2,Time=3.6s | BaseRaw=582.7 | CurrentRaw=581.2 | Change=1.5 => Floor
data,,582.7,580.8,1.9,580.8,Time=3.7s | BaseRaw=582.7 | CurrentRaw=580.8 | Change=1.9 => Floor
data,,582.7,579.4,3.3,579.4,Time=3.8s | BaseRaw=582.7 | CurrentRaw=579.4 | Change=3.3 => Floor
data,,582.7,581.8,0.9,581.8,Time=3.9s | BaseRaw=582.7 | CurrentRaw=581.8 | Change=0.9 => Floor
data,,582.7,580.2,2.5,580.2,Time=4.0s | BaseRaw=582.7 | CurrentRaw=580.2 | Change=2.5 => Floor
data,,582.7,581.0,1.7,581.0,Time=4.1s | BaseRaw=582.7 | CurrentRaw=581.0 | Change=1.7 => Floor
data,,582.7,580.6,2.1,580.6,Time=4.2s | BaseRaw=582.7 | CurrentRaw=580.6 | Change=2.1 => Floor
data,,582.7,580.2,2.5,580.2,Time=4.3s | BaseRaw=582.7 | CurrentRaw=580.2 | Change=2.5 => Floor
data,,582.7,582.6,0.1,582.6,Time=4.4s | BaseRaw=582.7 | CurrentRaw=582.6 | Change=0.1 => Floor
data,,582.7,581.8,0.9,581.8,Time=4.5s | BaseRaw=582.7 | CurrentRaw=581.8 | Change=0.9 => Floor
data,,582.7,584.2,1.5,584.2,Time=4.6s | BaseRaw=582.7 | CurrentRaw=584.2 | Change=1.5 => Floor
data,,582.7,583.6,0.9,583.6,Time=4.7s | BaseRaw=582.7 | CurrentRaw=583.6 | Change=0.9 => Floor
data,,582.7,584.6,1.9,584.6,Time=4.8s | BaseRaw=582.7 | CurrentRaw=584.6 | Change=1.9 => Floor
data,,582.7,586.0,3.3,586.0,Time=4.9s | BaseRaw=582.7 | CurrentRaw=586.0 | Change=3.3 => Floor
data,,582.7,584.4,1.7,584.4,Time=5.0s | BaseRaw=582.7 | CurrentRaw=584.4 | Change=1.7 => Floor
data,,582.7,586.2,3.5,586.2,Time=5.1s | BaseRaw=582.7 | CurrentRaw=586.2 | Change=3.5 => Floor
data,,582.7,584.0,1.3,584.0,Time=5.2s | BaseRaw=582.7 | CurrentRaw=584.0 | Change=1.3 => Floor
data,,582.7,583.6,0.9,583.6,Time=5.3s | BaseRaw=582.7 | CurrentRaw=583.6 | Change=0.9 => Floor
data,,582.7,584.8,2.1,584.8,Time=5.4s | BaseRaw=582.7 | CurrentRaw=584.8 | Change=2.1 => Floor
data,,582.7,584.2,1.5,584.2,Time=5.5s | BaseRaw=582.7 | CurrentRaw=584.2 | Change=1.5 => Floor
data,,582.7,585.6,2.9,585.6,Time=5.6s | BaseRaw=582.7 | CurrentRaw=585.6 | Change=2.9 => Floor
data,,582.7,581.8,0.9,581.8,Time=5.7s | BaseRaw=582.7 | CurrentRaw=581.8 | Change=0.9 => Floor
data,,582.7,580.8,1.9,580.8,Time=5.8s | BaseRaw=582.7 | CurrentRaw=580.8 | Change=1.9 => Floor
data,,582.7,577.6,5.1,577.6,Time=5.9s | BaseRaw=582.7 | CurrentRaw=577.6 | Change=5.1 => Floor
data,,582.7,573.0,9.7,573.0,Time=6.0s | BaseRaw=582.7 | CurrentRaw=573.0 | Change=9.7 => Floor
data,,582.7,573.4,9.3,573.4,Time=6.1s | BaseRaw=582.7 | CurrentRaw=573.4 | Change=9.3 => Floor
data,,582.7,570.6,12.1,570.6,Time=6.2s | BaseRaw=582.7 | CurrentRaw=570.6 | Change=12.1 => Liquid
data,,582.7,581.2,1.5,581.2,Time=6.3s | BaseRaw=582.7 | CurrentRaw=581.2 | Change=1.5 => Floor
data,,582.7,571.2,11.5,571.2,Time=6.4s | BaseRaw=582.7 | CurrentRaw=571.2 | Change=11.5 => Liquid
data,,582.7,584.0,1.3,584.0,Time=6.5s | BaseRaw=582.7 | CurrentRaw=584.0 | Change=1.3 => Floor
