record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,769.80,,,,769.80,Collecting baseline... RawAvg=769.80
baseline,770.00,,,,770.00,Collecting baseline... RawAvg=770.00
baseline,770.00,,,,770.00,Collecting baseline... RawAvg=770.00
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,769.60,,,,769.60,Collecting baseline... RawAvg=769.60
baseline,769.60,,,,769.60,Collecting baseline... RawAvg=769.60
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,771.60,,,,771.60,Collecting baseline... RawAvg=771.60
baseline,771.00,,,,771.00,Collecting baseline... RawAvg=771.00
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.00,,,,770.00,Collecting baseline... RawAvg=770.00
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,771.00,,,,771.00,Collecting baseline... RawAvg=771.00
baseline,771.60,,,,771.60,Collecting baseline... RawAvg=771.60
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,773.60,,,,773.60,Collecting baseline... RawAvg=773.60
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.40,,,,773.40,Collecting baseline... RawAvg=773.40
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,771.60,,,,771.60,Collecting baseline... RawAvg=771.60
baseline,771.00,,,,771.00,Collecting baseline... RawAvg=771.00
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,771.76,,,771.76,Final Base Raw Average = 771.76
info,,,,,,--------------------------------------------------------------------------
data,,771.8,774.4,2.6,774.4,Time=0.1s | BaseRaw=771.8 | CurrentRaw=774.4 | Change=2.6 => Floor
data,,771.8,774.6,2.8,774.6,Time=0.2s | BaseRaw=771.8 | CurrentRaw=774.6 | Change=2.8 => Floor
data,,771.8,773.6,1.8,773.6,Time=0.3s | BaseRaw=771.8 | CurrentRaw=773.6 | Change=1.8 => Floor
data,,771.8,772.8,1.0,772.8,Time=0.4s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.4,0.6,772.4,Time=0.5s | BaseRaw=771.8 | CurrentRaw=772.4 | Change=0.6 => Floor
data,,771.8,772.4,0.6,772.4,Time=0.6s | BaseRaw=771.8 | CurrentRaw=772.4 | Change=0.6 => Floor
data,,771.8,772.0,0.2,772.0,Time=0.7s | BaseRaw=771.8 | CurrentRaw=772.0 | Change=0.2 => Floor
data,,771.8,772.2,0.4,772.2,Time=0.8s | BaseRaw=771.8 | CurrentRaw=772.2 | Change=0.4 => Floor
data,,771.8,772.4,0.6,772.4,Time=0.9s | BaseRaw=771.8 | CurrentRaw=772.4 | Change=0.6 => Floor
data,,771.8,772.8,1.0,772.8,Time=1.0s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,773.0,1.2,773.0,Time=1.1s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.2,1.4,773.2,Time=1.2s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=1.3s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=1.4s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=1.5s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=1.6s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.0,1.2,773.0,Time=1.7s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.0,1.2,773.0,Time=1.8s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.0,1.2,773.0,Time=1.9s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.2,1.4,773.2,Time=2.0s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=2.1s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=2.2s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.2,1.4,773.2,Time=2.3s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.4,1.6,773.4,Time=2.4s | BaseRaw=771.8 | CurrentRaw=773.4 | Change=1.6 => Floor
data,,771.8,773.2,1.4,773.2,Time=2.5s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.0,1.2,773.0,Time=2.6s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,772.8,1.0,772.8,Time=2.7s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.8,1.0,772.8,Time=2.8s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.8,1.0,772.8,Time=2.9s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.8,1.0,772.8,Time=3.0s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.1s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.2s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.3s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.4s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.5s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.6s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.7s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.8s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=3.9s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.6,0.8,772.6,Time=4.0s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.4,0.6,772.4,Time=4.1s | BaseRaw=771.8 | CurrentRaw=772.4 | Change=0.6 => Floor
data,,771.8,772.4,0.6,772.4,Time=4.2s | BaseRaw=771.8 | CurrentRaw=772.4 | Change=0.6 => Floor
data,,771.8,772.6,0.8,772.6,Time=4.3s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.8,1.0,772.8,Time=4.4s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.6,0.8,772.6,Time=4.5s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,772.8,1.0,772.8,Time=4.6s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.8,1.0,772.8,Time=4.7s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,772.8,1.0,772.8,Time=4.8s | BaseRaw=771.8 | CurrentRaw=772.8 | Change=1.0 => Floor
data,,771.8,773.2,1.4,773.2,Time=4.9s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.4,1.6,773.4,Time=5.0s | BaseRaw=771.8 | CurrentRaw=773.4 | Change=1.6 => Floor
data,,771.8,773.2,1.4,773.2,Time=5.1s | BaseRaw=771.8 | CurrentRaw=773.2 | Change=1.4 => Floor
data,,771.8,773.0,1.2,773.0,Time=5.2s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.0,1.2,773.0,Time=5.3s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.0,1.2,773.0,Time=5.4s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,773.0,1.2,773.0,Time=5.5s | BaseRaw=771.8 | CurrentRaw=773.0 | Change=1.2 => Floor
data,,771.8,772.6,0.8,772.6,Time=5.6s | BaseRaw=771.8 | CurrentRaw=772.6 | Change=0.8 => Floor
data,,771.8,771.4,0.4,771.4,Time=5.7s | BaseRaw=771.8 | CurrentRaw=771.4 | Change=0.4 => Floor
data,,771.8,769.4,2.4,769.4,Time=5.8s | BaseRaw=771.8 | CurrentRaw=769.4 | Change=2.4 => Floor
data,,771.8,766.8,5.0,766.8,Time=5.9s | BaseRaw=771.8 | CurrentRaw=766.8 | Change=5.0 => Floor
data,,771.8,764.4,7.4,764.4,Time=6.0s | BaseRaw=771.8 | CurrentRaw=764.4 | Change=7.4 => Floor
data,,771.8,762.6,9.2,762.6,Time=6.1s | BaseRaw=771.8 | CurrentRaw=762.6 | Change=9.2 => Floor
data,,771.8,762.2,9.6,762.2,Time=6.2s | BaseRaw=771.8 | CurrentRaw=762.2 | Change=9.6 => Floor
data,,771.8,762.8,9.0,762.8,Time=6.3s | BaseRaw=771.8 | CurrentRaw=762.8 | Change=9.0 => Floor
data,,771.8,763.6,8.2,763.6,Time=6.4s | BaseRaw=771.8 | CurrentRaw=763.6 | Change=8.2 => Floor
data,,771.8,764.2,7.6,764.2,Time=6.5s | BaseRaw=771.8 | CurrentRaw=764.2 | Change=7.6 => Floor
