record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,762.20,,,,762.20,Collecting baseline... RawAvg=762.20
baseline,763.00,,,,763.00,Collecting baseline... RawAvg=763.00
baseline,763.60,,,,763.60,Collecting baseline... RawAvg=763.60
baseline,764.00,,,,764.00,Collecting baseline... RawAvg=764.00
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,763.60,,,,763.60,Collecting baseline... RawAvg=763.60
baseline,763.00,,,,763.00,Collecting baseline... RawAvg=763.00
baseline,762.60,,,,762.60,Collecting baseline... RawAvg=762.60
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,762.20,,,,762.20,Collecting baseline... RawAvg=762.20
baseline,762.80,,,,762.80,Collecting baseline... RawAvg=762.80
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,764.00,,,,764.00,Collecting baseline... RawAvg=764.00
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,763.00,,,,763.00,Collecting baseline... RawAvg=763.00
baseline,762.20,,,,762.20,Collecting baseline... RawAvg=762.20
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,762.80,,,,762.80,Collecting baseline... RawAvg=762.80
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,762.10,,,762.10,Final Base Raw Average = 762.10
info,,,,,,--------------------------------------------------------------------------
data,,762.1,763.4,1.3,763.4,Time=0.1s | BaseRaw=762.1 | CurrentRaw=763.4 | Change=1.3 => Floor
data,,762.1,762.4,0.3,762.4,Time=0.2s | BaseRaw=762.1 | CurrentRaw=762.4 | Change=0.3 => Floor
data,,762.1,761.6,0.5,761.6,Time=0.3s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=0.4s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.8,0.3,761.8,Time=0.5s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.6,0.5,761.6,Time=0.6s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=0.7s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=0.8s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.8,0.3,761.8,Time=0.9s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=1.0s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=1.1s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,762.0,0.1,762.0,Time=1.2s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=1.3s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=1.4s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=1.5s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=1.6s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=1.7s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.4,0.3,762.4,Time=1.8s | BaseRaw=762.1 | CurrentRaw=762.4 | Change=0.3 => Floor
data,,762.1,762.2,0.1,762.2,Time=1.9s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=2.0s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.1s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.2s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.3s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.4s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.5s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.6s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=2.7s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,762.0,0.1,762.0,Time=2.8s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=2.9s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,761.8,0.3,761.8,Time=3.0s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=3.1s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,762.0,0.1,762.0,Time=3.2s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=3.3s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=3.4s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=3.5s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=3.6s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=3.7s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.2,0.1,762.2,Time=3.8s | BaseRaw=762.1 | CurrentRaw=762.2 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=3.9s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.0s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,762.0,0.1,762.0,Time=4.1s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=4.2s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=4.3s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,762.0,0.1,762.0,Time=4.4s | BaseRaw=762.1 | CurrentRaw=762.0 | Change=0.1 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.5s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.6s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.7s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.8s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.8,0.3,761.8,Time=4.9s | BaseRaw=762.1 | CurrentRaw=761.8 | Change=0.3 => Floor
data,,762.1,761.6,0.5,761.6,Time=5.0s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=5.1s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=5.2s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.6,0.5,761.6,Time=5.3s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,761.4,0.7,761.4,Time=5.4s | BaseRaw=762.1 | CurrentRaw=761.4 | Change=0.7 => Floor
data,,762.1,761.4,0.7,761.4,Time=5.5s | BaseRaw=762.1 | CurrentRaw=761.4 | Change=0.7 => Floor
data,,762.1,761.6,0.5,761.6,Time=5.6s | BaseRaw=762.1 | CurrentRaw=761.6 | Change=0.5 => Floor
data,,762.1,762.6,0.5,762.6,Time=5.7s | BaseRaw=762.1 | CurrentRaw=762.6 | Change=0.5 => Floor
data,,762.1,763.4,1.3,763.4,Time=5.8s | BaseRaw=762.1 | CurrentRaw=763.4 | Change=1.3 => Floor
data,,762.1,764.8,2.7,764.8,Time=5.9s | BaseRaw=762.1 | CurrentRaw=764.8 | Change=2.7 => Floor
data,,762.1,766.6,4.5,766.6,Time=6.0s | BaseRaw=762.1 | CurrentRaw=766.6 | Change=4.5 => Floor
data,,762.1,768.2,6.1,768.2,Time=6.1s | BaseRaw=762.1 | CurrentRaw=768.2 | Change=6.1 => Floor
data,,762.1,768.8,6.7,768.8,Time=6.2s | BaseRaw=762.1 | CurrentRaw=768.8 | Change=6.7 => Floor
data,,762.1,769.2,7.1,769.2,Time=6.3s | BaseRaw=762.1 | CurrentRaw=769.2 | Change=7.1 => Floor
data,,762.1,769.0,6.9,769.0,Time=6.4s | BaseRaw=762.1 | CurrentRaw=769.0 | Change=6.9 => Floor
data,,762.1,768.6,6.5,768.6,Time=6.5s | BaseRaw=762.1 | CurrentRaw=768.6 | Change=6.5 => Floor
