record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,450.20,,,,450.20,Collecting baseline... RawAvg=450.20
baseline,452.20,,,,452.20,Collecting baseline... RawAvg=452.20
baseline,454.80,,,,454.80,Collecting baseline... RawAvg=454.80
baseline,457.80,,,,457.80,Collecting baseline... RawAvg=457.80
baseline,461.00,,,,461.00,Collecting baseline... RawAvg=461.00
baseline,464.40,,,,464.40,Collecting baseline... RawAvg=464.40
baseline,466.20,,,,466.20,Collecting baseline... RawAvg=466.20
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,468.40,,,,468.40,Collecting baseline... RawAvg=468.40
baseline,468.60,,,,468.60,Collecting baseline... RawAvg=468.60
baseline,469.00,,,,469.00,Collecting baseline... RawAvg=469.00
baseline,468.40,,,,468.40,Collecting baseline... RawAvg=468.40
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,467.00,,,,467.00,Collecting baseline... RawAvg=467.00
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,465.00,,,,465.00,Collecting baseline... RawAvg=465.00
baseline,464.40,,,,464.40,Collecting baseline... RawAvg=464.40
baseline,464.20,,,,464.20,Collecting baseline... RawAvg=464.20
baseline,463.80,,,,463.80,Collecting baseline... RawAvg=463.80
baseline,463.40,,,,463.40,Collecting baseline... RawAvg=463.40
baseline,463.60,,,,463.60,Collecting baseline... RawAvg=463.60
baseline,464.00,,,,464.00,Collecting baseline... RawAvg=464.00
baseline,464.20,,,,464.20,Collecting baseline... RawAvg=464.20
baseline,464.80,,,,464.80,Collecting baseline... RawAvg=464.80
baseline,465.60,,,,465.60,Collecting baseline... RawAvg=465.60
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,467.00,,,,467.00,Collecting baseline... RawAvg=467.00
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,464.00,,,,464.00,Collecting baseline... RawAvg=464.00
baseline,460.60,,,,460.60,Collecting baseline... RawAvg=460.60
baseline,456.80,,,,456.80,Collecting baseline... RawAvg=456.80
baseline,452.40,,,,452.40,Collecting baseline... RawAvg=452.40
baseline,448.40,,,,448.40,Collecting baseline... RawAvg=448.40
baseline,445.80,,,,445.80,Collecting baseline... RawAvg=445.80
baseline,444.00,,,,444.00,Collecting baseline... RawAvg=444.00
baseline,443.20,,,,443.20,Collecting baseline... RawAvg=443.20
baseline,442.80,,,,442.80,Collecting baseline... RawAvg=442.80
baseline,443.00,,,,443.00,Collecting baseline... RawAvg=443.00
baseline,443.40,,,,443.40,Collecting baseline... RawAvg=443.40
baseline,444.00,,,,444.00,Collecting baseline... RawAvg=444.00
baseline,444.40,,,,444.40,Collecting baseline... RawAvg=444.40
baseline,445.00,,,,445.00,Collecting baseline... RawAvg=445.00
baseline,447.00,,,,447.00,Collecting baseline... RawAvg=447.00
baseline,450.00,,,,450.00,Collecting baseline... RawAvg=450.00
baseline,452.40,,,,452.40,Collecting baseline... RawAvg=452.40
baseline,454.40,,,,454.40,Collecting baseline... RawAvg=454.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,458.71,,,458.71,Final Base Raw Average = 458.71
info,,,,,,--------------------------------------------------------------------------
data,,458.7,452.6,6.1,452.6,Time=0.1s | BaseRaw=458.7 | CurrentRaw=452.6 | Change=6.1 => Floor
data,,458.7,448.6,10.1,448.6,Time=0.2s | BaseRaw=458.7 | CurrentRaw=448.6 | Change=10.1 => Liquid
data,,458.7,445.6,13.1,445.6,Time=0.3s | BaseRaw=458.7 | CurrentRaw=445.6 | Change=13.1 => Liquid
data,,458.7,443.0,15.7,443.0,Time=0.4s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,441.0,17.7,441.0,Time=0.5s | BaseRaw=458.7 | CurrentRaw=441.0 | Change=17.7 => Liquid
data,,458.7,441.2,17.5,441.2,Time=0.6s | BaseRaw=458.7 | CurrentRaw=441.2 | Change=17.5 => Liquid
data,,458.7,441.8,16.9,441.8,Time=0.7s | BaseRaw=458.7 | CurrentRaw=441.8 | Change=16.9 => Liquid
data,,458.7,441.2,17.5,441.2,Time=0.8s | BaseRaw=458.7 | CurrentRaw=441.2 | Change=17.5 => Liquid
data,,458.7,441.2,17.5,441.2,Time=0.9s | BaseRaw=458.7 | CurrentRaw=441.2 | Change=17.5 => Liquid
data,,458.7,441.8,16.9,441.8,Time=1.0s | BaseRaw=458.7 | CurrentRaw=441.8 | Change=16.9 => Liquid
data,,458.7,441.4,17.3,441.4,Time=1.1s | BaseRaw=458.7 | CurrentRaw=441.4 | Change=17.3 => Liquid
data,,458.7,441.4,17.3,441.4,Time=1.2s | BaseRaw=458.7 | CurrentRaw=441.4 | Change=17.3 => Liquid
data,,458.7,442.6,16.1,442.6,Time=1.3s | BaseRaw=458.7 | CurrentRaw=442.6 | Change=16.1 => Liquid
data,,458.7,442.2,16.5,442.2,Time=1.4s | BaseRaw=458.7 | CurrentRaw=442.2 | Change=16.5 => Liquid
data,,458.7,442.6,16.1,442.6,Time=1.5s | BaseRaw=458.7 | CurrentRaw=442.6 | Change=16.1 => Liquid
data,,458.7,443.6,15.1,443.6,Time=1.6s | BaseRaw=458.7 | CurrentRaw=443.6 | Change=15.1 => Liquid
data,,458.7,443.2,15.5,443.2,Time=1.7s | BaseRaw=458.7 | CurrentRaw=443.2 | Change=15.5 => Liquid
data,,458.7,443.0,15.7,443.0,Time=1.8s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,443.8,14.9,443.8,Time=1.9s | BaseRaw=458.7 | CurrentRaw=443.8 | Change=14.9 => Liquid
data,,458.7,443.0,15.7,443.0,Time=2.0s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,442.8,15.9,442.8,Time=2.1s | BaseRaw=458.7 | CurrentRaw=442.8 | Change=15.9 => Liquid
data,,458.7,443.6,15.1,443.6,Time=2.2s | BaseRaw=458.7 | CurrentRaw=443.6 | Change=15.1 => Liquid
data,,458.7,442.8,15.9,442.8,Time=2.3s | BaseRaw=458.7 | CurrentRaw=442.8 | Change=15.9 => Liquid
data,,458.7,442.2,16.5,442.2,Time=2.4s | BaseRaw=458.7 | CurrentRaw=442.2 | Change=16.5 => Liquid
data,,458.7,443.0,15.7,443.0,Time=2.5s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,442.4,16.3,442.4,Time=2.6s | BaseRaw=458.7 | CurrentRaw=442.4 | Change=16.3 => Liquid
data,,458.7,441.8,16.9,441.8,Time=2.7s | BaseRaw=458.7 | CurrentRaw=441.8 | Change=16.9 => Liquid
data,,458.7,442.4,16.3,442.4,Time=2.8s | BaseRaw=458.7 | CurrentRaw=442.4 | Change=16.3 => Liquid
data,,458.7,442.6,16.1,442.6,Time=2.9s | BaseRaw=458.7 | CurrentRaw=442.6 | Change=16.1 => Liquid
data,,458.7,442.4,16.3,442.4,Time=3.0s | BaseRaw=458.7 | CurrentRaw=442.4 | Change=16.3 => Liquid
data,,458.7,443.2,15.5,443.2,Time=3.1s | BaseRaw=458.7 | CurrentRaw=443.2 | Change=15.5 => Liquid
data,,458.7,443.4,15.3,443.4,Time=3.2s | BaseRaw=458.7 | CurrentRaw=443.4 | Change=15.3 => Liquid
data,,458.7,443.4,15.3,443.4,Time=3.3s | BaseRaw=458.7 | CurrentRaw=443.4 | Change=15.3 => Liquid
data,,458.7,443.6,15.1,443.6,Time=3.4s | BaseRaw=458.7 | CurrentRaw=443.6 | Change=15.1 => Liquid
data,,458.7,443.2,15.5,443.2,Time=3.5s | BaseRaw=458.7 | CurrentRaw=443.2 | Change=15.5 => Liquid
data,,458.7,442.4,16.3,442.4,Time=3.6s | BaseRaw=458.7 | CurrentRaw=442.4 | Change=16.3 => Liquid
data,,458.7,442.6,16.1,442.6,Time=3.7s | BaseRaw=458.7 | CurrentRaw=442.6 | Change=16.1 => Liquid
data,,458.7,442.4,16.3,442.4,Time=3.8s | BaseRaw=458.7 | CurrentRaw=442.4 | Change=16.3 => Liquid
data,,458.7,442.2,16.5,442.2,Time=3.9s | BaseRaw=458.7 | CurrentRaw=442.2 | Change=16.5 => Liquid
data,,458.7,443.0,15.7,443.0,Time=4.0s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,443.0,15.7,443.0,Time=4.1s | BaseRaw=458.7 | CurrentRaw=443.0 | Change=15.7 => Liquid
data,,458.7,442.6,16.1,442.6,Time=4.2s | BaseRaw=458.7 | CurrentRaw=442.6 | Change=16.1 => Liquid
data,,458.7,442.8,15.9,442.8,Time=4.3s | BaseRaw=458.7 | CurrentRaw=442.8 | Change=15.9 => Liquid
data,,458.7,441.4,17.3,441.4,Time=4.4s | BaseRaw=458.7 | CurrentRaw=441.4 | Change=17.3 => Liquid
data,,458.7,440.2,18.5,440.2,Time=4.5s | BaseRaw=458.7 | CurrentRaw=440.2 | Change=18.5 => Liquid
data,,458.7,440.8,17.9,440.8,Time=4.6s | BaseRaw=458.7 | CurrentRaw=440.8 | Change=17.9 => Liquid
data,,458.7,440.2,18.5,440.2,Time=4.7s | BaseRaw=458.7 | CurrentRaw=440.2 | Change=18.5 => Liquid
data,,458.7,439.6,19.1,439.6,Time=4.8s | BaseRaw=458.7 | CurrentRaw=439.6 | Change=19.1 => Liquid
data,,458.7,441.4,17.3,441.4,Time=4.9s | BaseRaw=458.7 | CurrentRaw=441.4 | Change=17.3 => Liquid
data,,458.7,440.4,18.3,440.4,Time=5.0s | BaseRaw=458.7 | CurrentRaw=440.4 | Change=18.3 => Liquid
data,,458.7,439.0,19.7,439.0,Time=5.1s | BaseRaw=458.7 | CurrentRaw=439.0 | Change=19.7 => Liquid
data,,458.7,441.8,16.9,441.8,Time=5.2s | BaseRaw=458.7 | CurrentRaw=441.8 | Change=16.9 => Liquid
data,,458.7,445.4,13.3,445.4,Time=5.3s | BaseRaw=458.7 | CurrentRaw=445.4 | Change=13.3 => Liquid
data,,458.7,449.2,9.5,449.2,Time=5.4s | BaseRaw=458.7 | CurrentRaw=449.2 | Change=9.5 => Floor
data,,458.7,456.2,2.5,456.2,Time=5.5s | BaseRaw=458.7 | CurrentRaw=456.2 | Change=2.5 => Floor
data,,458.7,463.6,4.9,463.6,Time=5.6s | BaseRaw=458.7 | CurrentRaw=463.6 | Change=4.9 => Floor
data,,458.7,468.6,9.9,468.6,Time=5.7s | BaseRaw=458.7 | CurrentRaw=468.6 | Change=9.9 => Floor
data,,458.7,473.2,14.5,473.2,Time=5.8s | BaseRaw=458.7 | CurrentRaw=473.2 | Change=14.5 => Liquid
data,,458.7,478.0,19.3,478.0,Time=5.9s | BaseRaw=458.7 | CurrentRaw=478.0 | Change=19.3 => Liquid
data,,458.7,482.6,23.9,482.6,Time=6.0s | BaseRaw=458.7 | CurrentRaw=482.6 | Change=23.9 => Liquid
data,,458.7,486.0,27.3,486.0,Time=6.1s | BaseRaw=458.7 | CurrentRaw=486.0 | Change=27.3 => Liquid
data,,458.7,489.0,30.3,489.0,Time=6.2s | BaseRaw=458.7 | CurrentRaw=489.0 | Change=30.3 => Liquid
data,,458.7,491.4,32.7,491.4,Time=6.3s | BaseRaw=458.7 | CurrentRaw=491.4 | Change=32.7 => Liquid
data,,458.7,491.8,33.1,491.8,Time=6.4s | BaseRaw=458.7 | CurrentRaw=491.8 | Change=33.1 => Liquid
