record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,466.20,,,,466.20,Collecting baseline... RawAvg=466.20
baseline,466.60,,,,466.60,Collecting baseline... RawAvg=466.60
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,469.60,,,,469.60,Collecting baseline... RawAvg=469.60
baseline,471.80,,,,471.80,Collecting baseline... RawAvg=471.80
baseline,475.60,,,,475.60,Collecting baseline... RawAvg=475.60
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,479.00,,,,479.00,Collecting baseline... RawAvg=479.00
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.60,,,,478.60,Collecting baseline... RawAvg=478.60
baseline,479.00,,,,479.00,Collecting baseline... RawAvg=479.00
baseline,479.20,,,,479.20,Collecting baseline... RawAvg=479.20
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,479.80,,,,479.80,Collecting baseline... RawAvg=479.80
baseline,480.20,,,,480.20,Collecting baseline... RawAvg=480.20
baseline,480.20,,,,480.20,Collecting baseline... RawAvg=480.20
baseline,480.00,,,,480.00,Collecting baseline... RawAvg=480.00
baseline,479.80,,,,479.80,Collecting baseline... RawAvg=479.80
baseline,479.20,,,,479.20,Collecting baseline... RawAvg=479.20
baseline,478.60,,,,478.60,Collecting baseline... RawAvg=478.60
baseline,477.80,,,,477.80,Collecting baseline... RawAvg=477.80
baseline,477.20,,,,477.20,Collecting baseline... RawAvg=477.20
baseline,476.20,,,,476.20,Collecting baseline... RawAvg=476.20
baseline,475.60,,,,475.60,Collecting baseline... RawAvg=475.60
baseline,475.00,,,,475.00,Collecting baseline... RawAvg=475.00
baseline,475.00,,,,475.00,Collecting baseline... RawAvg=475.00
baseline,475.00,,,,475.00,Collecting baseline... RawAvg=475.00
baseline,475.60,,,,475.60,Collecting baseline... RawAvg=475.60
baseline,475.80,,,,475.80,Collecting baseline... RawAvg=475.80
baseline,476.40,,,,476.40,Collecting baseline... RawAvg=476.40
baseline,476.80,,,,476.80,Collecting baseline... RawAvg=476.80
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,478.20,,,,478.20,Collecting baseline... RawAvg=478.20
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,479.20,,,,479.20,Collecting baseline... RawAvg=479.20
baseline,479.20,,,,479.20,Collecting baseline... RawAvg=479.20
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.00,,,,478.00,Collecting baseline... RawAvg=478.00
baseline,477.40,,,,477.40,Collecting baseline... RawAvg=477.40
baseline,476.60,,,,476.60,Collecting baseline... RawAvg=476.60
baseline,476.00,,,,476.00,Collecting baseline... RawAvg=476.00
baseline,475.20,,,,475.20,Collecting baseline... RawAvg=475.20
baseline,474.80,,,,474.80,Collecting baseline... RawAvg=474.80
baseline,474.60,,,,474.60,Collecting baseline... RawAvg=474.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,476.79,,,476.79,Final Base Raw Average = 476.79
info,,,,,,--------------------------------------------------------------------------
data,,476.8,474.8,2.0,474.8,Time=0.1s | BaseRaw=476.8 | CurrentRaw=474.8 | Change=2.0 => Floor
data,,476.8,475.6,1.2,475.6,Time=0.2s | BaseRaw=476.8 | CurrentRaw=475.6 | Change=1.2 => Floor
data,,476.8,476.4,0.4,476.4,Time=0.3s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.4,0.4,476.4,Time=0.4s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.2,0.6,476.2,Time=0.5s | BaseRaw=476.8 | CurrentRaw=476.2 | Change=0.6 => Floor
data,,476.8,476.0,0.8,476.0,Time=0.6s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,476.0,0.8,476.0,Time=0.7s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,476.0,0.8,476.0,Time=0.8s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,476.2,0.6,476.2,Time=0.9s | BaseRaw=476.8 | CurrentRaw=476.2 | Change=0.6 => Floor
data,,476.8,476.0,0.8,476.0,Time=1.0s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,475.8,1.0,475.8,Time=1.1s | BaseRaw=476.8 | CurrentRaw=475.8 | Change=1.0 => Floor
data,,476.8,476.0,0.8,476.0,Time=1.2s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,475.8,1.0,475.8,Time=1.3s | BaseRaw=476.8 | CurrentRaw=475.8 | Change=1.0 => Floor
data,,476.8,475.6,1.2,475.6,Time=1.4s | BaseRaw=476.8 | CurrentRaw=475.6 | Change=1.2 => Floor
data,,476.8,476.0,0.8,476.0,Time=1.5s | BaseRaw=476.8 | CurrentRaw=476.0 | Change=0.8 => Floor
data,,476.8,476.4,0.4,476.4,Time=1.6s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.4,0.4,476.4,Time=1.7s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.4,0.4,476.4,Time=1.8s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.4,0.4,476.4,Time=1.9s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.4,0.4,476.4,Time=2.0s | BaseRaw=476.8 | CurrentRaw=476.4 | Change=0.4 => Floor
data,,476.8,476.8,0.0,476.8,Time=2.1s | BaseRaw=476.8 | CurrentRaw=476.8 | Change=0.0 => Floor
data,,476.8,477.0,0.2,477.0,Time=2.2s | BaseRaw=476.8 | CurrentRaw=477.0 | Change=0.2 => Floor
data,,476.8,477.4,0.6,477.4,Time=2.3s | BaseRaw=476.8 | CurrentRaw=477.4 | Change=0.6 => Floor
data,,476.8,477.8,1.0,477.8,Time=2.4s | BaseRaw=476.8 | CurrentRaw=477.8 | Change=1.0 => Floor
data,,476.8,478.6,1.8,478.6,Time=2.5s | BaseRaw=476.8 | CurrentRaw=478.6 | Change=1.8 => Floor
data,,476.8,479.4,2.6,479.4,Time=2.6s | BaseRaw=476.8 | CurrentRaw=479.4 | Change=2.6 => Floor
data,,476.8,480.2,3.4,480.2,Time=2.7s | BaseRaw=476.8 | CurrentRaw=480.2 | Change=3.4 => Floor
data,,476.8,480.6,3.8,480.6,Time=2.8s | BaseRaw=476.8 | CurrentRaw=480.6 | Change=3.8 => Floor
data,,476.8,481.0,4.2,481.0,Time=2.9s | BaseRaw=476.8 | CurrentRaw=481.0 | Change=4.2 => Floor
data,,476.8,481.4,4.6,481.4,Time=3.0s | BaseRaw=476.8 | CurrentRaw=481.4 | Change=4.6 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.1s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.2s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.3s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.4s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.5s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.8,5.0,481.8,Time=3.6s | BaseRaw=476.8 | CurrentRaw=481.8 | Change=5.0 => Floor
data,,476.8,481.6,4.8,481.6,Time=3.7s | BaseRaw=476.8 | CurrentRaw=481.6 | Change=4.8 => Floor
data,,476.8,481.6,4.8,481.6,Time=3.8s | BaseRaw=476.8 | CurrentRaw=481.6 | Change=4.8 => Floor
data,,476.8,481.4,4.6,481.4,Time=3.9s | BaseRaw=476.8 | CurrentRaw=481.4 | Change=4.6 => Floor
data,,476.8,481.6,4.8,481.6,Time=4.0s | BaseRaw=476.8 | CurrentRaw=481.6 | Change=4.8 => Floor
data,,476.8,481.4,4.6,481.4,Time=4.1s | BaseRaw=476.8 | CurrentRaw=481.4 | Change=4.6 => Floor
data,,476.8,480.8,4.0,480.8,Time=4.2s | BaseRaw=476.8 | CurrentRaw=480.8 | Change=4.0 => Floor
data,,476.8,480.2,3.4,480.2,Time=4.3s | BaseRaw=476.8 | CurrentRaw=480.2 | Change=3.4 => Floor
data,,476.8,480.2,3.4,480.2,Time=4.4s | BaseRaw=476.8 | CurrentRaw=480.2 | Change=3.4 => Floor
data,,476.8,480.0,3.2,480.0,Time=4.5s | BaseRaw=476.8 | CurrentRaw=480.0 | Change=3.2 => Floor
data,,476.8,480.2,3.4,480.2,Time=4.6s | BaseRaw=476.8 | CurrentRaw=480.2 | Change=3.4 => Floor
data,,476.8,480.4,3.6,480.4,Time=4.7s | BaseRaw=476.8 | CurrentRaw=480.4 | Change=3.6 => Floor
data,,476.8,480.2,3.4,480.2,Time=4.8s | BaseRaw=476.8 | CurrentRaw=480.2 | Change=3.4 => Floor
data,,476.8,479.4,2.6,479.4,Time=4.9s | BaseRaw=476.8 | CurrentRaw=479.4 | Change=2.6 => Floor
data,,476.8,478.6,1.8,478.6,Time=5.0s | BaseRaw=476.8 | CurrentRaw=478.6 | Change=1.8 => Floor
data,,476.8,476.6,0.2,476.6,Time=5.1s | BaseRaw=476.8 | CurrentRaw=476.6 | Change=0.2 => Floor
data,,476.8,475.2,1.6,475.2,Time=5.2s | BaseRaw=476.8 | CurrentRaw=475.2 | Change=1.6 => Floor
data,,476.8,474.8,2.0,474.8,Time=5.3s | BaseRaw=476.8 | CurrentRaw=474.8 | Change=2.0 => Floor
data,,476.8,474.8,2.0,474.8,Time=5.4s | BaseRaw=476.8 | CurrentRaw=474.8 | Change=2.0 => Floor
data,,476.8,474.4,2.4,474.4,Time=5.5s | BaseRaw=476.8 | CurrentRaw=474.4 | Change=2.4 => Floor
data,,476.8,474.6,2.2,474.6,Time=5.6s | BaseRaw=476.8 | CurrentRaw=474.6 | Change=2.2 => Floor
data,,476.8,475.4,1.4,475.4,Time=5.7s | BaseRaw=476.8 | CurrentRaw=475.4 | Change=1.4 => Floor
data,,476.8,477.6,0.8,477.6,Time=5.8s | BaseRaw=476.8 | CurrentRaw=477.6 | Change=0.8 => Floor
data,,476.8,483.0,6.2,483.0,Time=5.9s | BaseRaw=476.8 | CurrentRaw=483.0 | Change=6.2 => Floor
data,,476.8,491.0,14.2,491.0,Time=6.0s | BaseRaw=476.8 | CurrentRaw=491.0 | Change=14.2 => Liquid
data,,476.8,499.2,22.4,499.2,Time=6.1s | BaseRaw=476.8 | CurrentRaw=499.2 | Change=22.4 => Liquid
data,,476.8,506.8,30.0,506.8,Time=6.2s | BaseRaw=476.8 | CurrentRaw=506.8 | Change=30.0 => Liquid
data,,476.8,514.0,37.2,514.0,Time=6.3s | BaseRaw=476.8 | CurrentRaw=514.0 | Change=37.2 => Liquid
data,,476.8,517.4,40.6,517.4,Time=6.4s | BaseRaw=476.8 | CurrentRaw=517.4 | Change=40.6 => Liquid
data,,476.8,517.6,40.8,517.6,Time=6.5s | BaseRaw=476.8 | CurrentRaw=517.6 | Change=40.8 => Liquid
