record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,553.00,,,,553.00,Collecting baseline... RawAvg=553.00
baseline,552.60,,,,552.60,Collecting baseline... RawAvg=552.60
baseline,552.20,,,,552.20,Collecting baseline... RawAvg=552.20
baseline,552.20,,,,552.20,Collecting baseline... RawAvg=552.20
baseline,552.20,,,,552.20,Collecting baseline... RawAvg=552.20
baseline,553.20,,,,553.20,Collecting baseline... RawAvg=553.20
baseline,553.40,,,,553.40,Collecting baseline... RawAvg=553.40
baseline,553.60,,,,553.60,Collecting baseline... RawAvg=553.60
baseline,553.20,,,,553.20,Collecting baseline... RawAvg=553.20
baseline,552.80,,,,552.80,Collecting baseline... RawAvg=552.80
baseline,552.20,,,,552.20,Collecting baseline... RawAvg=552.20
baseline,551.80,,,,551.80,Collecting baseline... RawAvg=551.80
baseline,551.20,,,,551.20,Collecting baseline... RawAvg=551.20
baseline,550.80,,,,550.80,Collecting baseline... RawAvg=550.80
baseline,550.40,,,,550.40,Collecting baseline... RawAvg=550.40
baseline,550.20,,,,550.20,Collecting baseline... RawAvg=550.20
baseline,550.20,,,,550.20,Collecting baseline... RawAvg=550.20
baseline,550.60,,,,550.60,Collecting baseline... RawAvg=550.60
baseline,551.00,,,,551.00,Collecting baseline... RawAvg=551.00
baseline,551.40,,,,551.40,Collecting baseline... RawAvg=551.40
baseline,552.00,,,,552.00,Collecting baseline... RawAvg=552.00
baseline,552.60,,,,552.60,Collecting baseline... RawAvg=552.60
baseline,553.00,,,,553.00,Collecting baseline... RawAvg=553.00
baseline,553.20,,,,553.20,Collecting baseline... RawAvg=553.20
baseline,553.40,,,,553.40,Collecting baseline... RawAvg=553.40
baseline,553.20,,,,553.20,Collecting baseline... RawAvg=553.20
baseline,552.60,,,,552.60,Collecting baseline... RawAvg=552.60
baseline,552.00,,,,552.00,Collecting baseline... RawAvg=552.00
baseline,551.60,,,,551.60,Collecting baseline... RawAvg=551.60
baseline,551.00,,,,551.00,Collecting baseline... RawAvg=551.00
baseline,550.60,,,,550.60,Collecting baseline... RawAvg=550.60
baseline,550.40,,,,550.40,Collecting baseline... RawAvg=550.40
baseline,550.20,,,,550.20,Collecting baseline... RawAvg=550.20
baseline,550.20,,,,550.20,Collecting baseline... RawAvg=550.20
baseline,550.40,,,,550.40,Collecting baseline... RawAvg=550.40
baseline,550.80,,,,550.80,Collecting baseline... RawAvg=550.80
baseline,551.20,,,,551.20,Collecting baseline... RawAvg=551.20
baseline,552.00,,,,552.00,Collecting baseline... RawAvg=552.00
baseline,552.40,,,,552.40,Collecting baseline... RawAvg=552.40
baseline,553.00,,,,553.00,Collecting baseline... RawAvg=553.00
baseline,553.40,,,,553.40,Collecting baseline... RawAvg=553.40
baseline,553.60,,,,553.60,Collecting baseline... RawAvg=553.60
baseline,553.20,,,,553.20,Collecting baseline... RawAvg=553.20
baseline,552.80,,,,552.80,Collecting baseline... RawAvg=552.80
baseline,552.20,,,,552.20,Collecting baseline... RawAvg=552.20
baseline,551.60,,,,551.60,Collecting baseline... RawAvg=551.60
baseline,551.00,,,,551.00,Collecting baseline... RawAvg=551.00
baseline,550.60,,,,550.60,Collecting baseline... RawAvg=550.60
baseline,550.40,,,,550.40,Collecting baseline... RawAvg=550.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,551.89,,,551.89,Final Base Raw Average = 551.89
info,,,,,,--------------------------------------------------------------------------
data,,551.9,550.2,1.7,550.2,Time=0.1s | BaseRaw=551.9 | CurrentRaw=550.2 | Change=1.7 => Floor
data,,551.9,550.6,1.3,550.6,Time=0.2s | BaseRaw=551.9 | CurrentRaw=550.6 | Change=1.3 => Floor
data,,551.9,551.2,0.7,551.2,Time=0.3s | BaseRaw=551.9 | CurrentRaw=551.2 | Change=0.7 => Floor
data,,551.9,551.4,0.5,551.4,Time=0.4s | BaseRaw=551.9 | CurrentRaw=551.4 | Change=0.5 => Floor
data,,551.9,551.4,0.5,551.4,Time=0.5s | BaseRaw=551.9 | CurrentRaw=551.4 | Change=0.5 => Floor
data,,551.9,551.4,0.5,551.4,Time=0.6s | BaseRaw=551.9 | CurrentRaw=551.4 | Change=0.5 => Floor
data,,551.9,551.6,0.3,551.6,Time=0.7s | BaseRaw=551.9 | CurrentRaw=551.6 | Change=0.3 => Floor
data,,551.9,551.8,0.1,551.8,Time=0.8s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,552.0,0.1,552.0,Time=0.9s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=1.0s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=1.1s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,552.0,0.1,552.0,Time=1.2s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=1.3s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.6,0.3,551.6,Time=1.4s | BaseRaw=551.9 | CurrentRaw=551.6 | Change=0.3 => Floor
data,,551.9,552.0,0.1,552.0,Time=1.5s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,552.2,0.3,552.2,Time=1.6s | BaseRaw=551.9 | CurrentRaw=552.2 | Change=0.3 => Floor
data,,551.9,552.2,0.3,552.2,Time=1.7s | BaseRaw=551.9 | CurrentRaw=552.2 | Change=0.3 => Floor
data,,551.9,552.0,0.1,552.0,Time=1.8s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,551.6,0.3,551.6,Time=1.9s | BaseRaw=551.9 | CurrentRaw=551.6 | Change=0.3 => Floor
data,,551.9,551.2,0.7,551.2,Time=2.0s | BaseRaw=551.9 | CurrentRaw=551.2 | Change=0.7 => Floor
data,,551.9,551.0,0.9,551.0,Time=2.1s | BaseRaw=551.9 | CurrentRaw=551.0 | Change=0.9 => Floor
data,,551.9,550.8,1.1,550.8,Time=2.2s | BaseRaw=551.9 | CurrentRaw=550.8 | Change=1.1 => Floor
data,,551.9,550.8,1.1,550.8,Time=2.3s | BaseRaw=551.9 | CurrentRaw=550.8 | Change=1.1 => Floor
data,,551.9,550.6,1.3,550.6,Time=2.4s | BaseRaw=551.9 | CurrentRaw=550.6 | Change=1.3 => Floor
data,,551.9,550.8,1.1,550.8,Time=2.5s | BaseRaw=551.9 | CurrentRaw=550.8 | Change=1.1 => Floor
data,,551.9,551.0,0.9,551.0,Time=2.6s | BaseRaw=551.9 | CurrentRaw=551.0 | Change=0.9 => Floor
data,,551.9,551.2,0.7,551.2,Time=2.7s | BaseRaw=551.9 | CurrentRaw=551.2 | Change=0.7 => Floor
data,,551.9,551.0,0.9,551.0,Time=2.8s | BaseRaw=551.9 | CurrentRaw=551.0 | Change=0.9 => Floor
data,,551.9,551.2,0.7,551.2,Time=2.9s | BaseRaw=551.9 | CurrentRaw=551.2 | Change=0.7 => Floor
data,,551.9,551.4,0.5,551.4,Time=3.0s | BaseRaw=551.9 | CurrentRaw=551.4 | Change=0.5 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.1s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.2s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.3s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.4s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,552.2,0.3,552.2,Time=3.5s | BaseRaw=551.9 | CurrentRaw=552.2 | Change=0.3 => Floor
data,,551.9,552.2,0.3,552.2,Time=3.6s | BaseRaw=551.9 | CurrentRaw=552.2 | Change=0.3 => Floor
data,,551.9,552.0,0.1,552.0,Time=3.7s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.8s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.8,0.1,551.8,Time=3.9s | BaseRaw=551.9 | CurrentRaw=551.8 | Change=0.1 => Floor
data,,551.9,551.6,0.3,551.6,Time=4.0s | BaseRaw=551.9 | CurrentRaw=551.6 | Change=0.3 => Floor
data,,551.9,551.4,0.5,551.4,Time=4.1s | BaseRaw=551.9 | CurrentRaw=551.4 | Change=0.5 => Floor
data,,551.9,551.0,0.9,551.0,Time=4.2s | BaseRaw=551.9 | CurrentRaw=551.0 | Change=0.9 => Floor
data,,551.9,550.4,1.5,550.4,Time=4.3s | BaseRaw=551.9 | CurrentRaw=550.4 | Change=1.5 => Floor
data,,551.9,550.2,1.7,550.2,Time=4.4s | BaseRaw=551.9 | CurrentRaw=550.2 | Change=1.7 => Floor
data,,551.9,550.0,1.9,550.0,Time=4.5s | BaseRaw=551.9 | CurrentRaw=550.0 | Change=1.9 => Floor
data,,551.9,549.8,2.1,549.8,Time=4.6s | BaseRaw=551.9 | CurrentRaw=549.8 | Change=2.1 => Floor
data,,551.9,550.0,1.9,550.0,Time=4.7s | BaseRaw=551.9 | CurrentRaw=550.0 | Change=1.9 => Floor
data,,551.9,549.8,2.1,549.8,Time=4.8s | BaseRaw=551.9 | CurrentRaw=549.8 | Change=2.1 => Floor
data,,551.9,550.0,1.9,550.0,Time=4.9s | BaseRaw=551.9 | CurrentRaw=550.0 | Change=1.9 => Floor
data,,551.9,550.2,1.7,550.2,Time=5.0s | BaseRaw=551.9 | CurrentRaw=550.2 | Change=1.7 => Floor
data,,551.9,550.0,1.9,550.0,Time=5.1s | BaseRaw=551.9 | CurrentRaw=550.0 | Change=1.9 => Floor
data,,551.9,549.2,2.7,549.2,Time=5.2s | BaseRaw=551.9 | CurrentRaw=549.2 | Change=2.7 => Floor
data,,551.9,549.6,2.3,549.6,Time=5.3s | BaseRaw=551.9 | CurrentRaw=549.6 | Change=2.3 => Floor
data,,551.9,550.0,1.9,550.0,Time=5.4s | BaseRaw=551.9 | CurrentRaw=550.0 | Change=1.9 => Floor
data,,551.9,550.8,1.1,550.8,Time=5.5s | BaseRaw=551.9 | CurrentRaw=550.8 | Change=1.1 => Floor
data,,551.9,552.0,0.1,552.0,Time=5.6s | BaseRaw=551.9 | CurrentRaw=552.0 | Change=0.1 => Floor
data,,551.9,554.0,2.1,554.0,Time=5.7s | BaseRaw=551.9 | CurrentRaw=554.0 | Change=2.1 => Floor
data,,551.9,557.2,5.3,557.2,Time=5.8s | BaseRaw=551.9 | CurrentRaw=557.2 | Change=5.3 => Floor
data,,551.9,563.2,11.3,563.2,Time=5.9s | BaseRaw=551.9 | CurrentRaw=563.2 | Change=11.3 => Liquid
data,,551.9,573.2,21.3,573.2,Time=6.0s | BaseRaw=551.9 | CurrentRaw=573.2 | Change=21.3 => Liquid
data,,551.9,582.8,30.9,582.8,Time=6.1s | BaseRaw=551.9 | CurrentRaw=582.8 | Change=30.9 => Liquid
data,,551.9,592.0,40.1,592.0,Time=6.2s | BaseRaw=551.9 | CurrentRaw=592.0 | Change=40.1 => Liquid
data,,551.9,600.2,48.3,600.2,Time=6.3s | BaseRaw=551.9 | CurrentRaw=600.2 | Change=48.3 => Liquid
data,,551.9,604.2,52.3,604.2,Time=6.4s | BaseRaw=551.9 | CurrentRaw=604.2 | Change=52.3 => Liquid
data,,551.9,603.4,51.5,603.4,Time=6.5s | BaseRaw=551.9 | CurrentRaw=603.4 | Change=51.5 => Liquid
