record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,605.80,,,,605.80,Collecting baseline... RawAvg=605.80
baseline,606.00,,,,606.00,Collecting baseline... RawAvg=606.00
baseline,606.40,,,,606.40,Collecting baseline... RawAvg=606.40
baseline,606.60,,,,606.60,Collecting baseline... RawAvg=606.60
baseline,606.80,,,,606.80,Collecting baseline... RawAvg=606.80
baseline,607.40,,,,607.40,Collecting baseline... RawAvg=607.40
baseline,606.80,,,,606.80,Collecting baseline... RawAvg=606.80
baseline,606.20,,,,606.20,Collecting baseline... RawAvg=606.20
baseline,605.40,,,,605.40,Collecting baseline... RawAvg=605.40
baseline,604.60,,,,604.60,Collecting baseline... RawAvg=604.60
baseline,604.00,,,,604.00,Collecting baseline... RawAvg=604.00
baseline,603.80,,,,603.80,Collecting baseline... RawAvg=603.80
baseline,603.60,,,,603.60,Collecting baseline... RawAvg=603.60
baseline,603.80,,,,603.80,Collecting baseline... RawAvg=603.80
baseline,604.20,,,,604.20,Collecting baseline... RawAvg=604.20
baseline,604.80,,,,604.80,Collecting baseline... RawAvg=604.80
baseline,605.20,,,,605.20,Collecting baseline... RawAvg=605.20
baseline,606.00,,,,606.00,Collecting baseline... RawAvg=606.00
baseline,606.60,,,,606.60,Collecting baseline... RawAvg=606.60
baseline,607.20,,,,607.20,Collecting baseline... RawAvg=607.20
baseline,607.40,,,,607.40,Collecting baseline... RawAvg=607.40
baseline,607.80,,,,607.80,Collecting baseline... RawAvg=607.80
baseline,607.40,,,,607.40,Collecting baseline... RawAvg=607.40
baseline,607.00,,,,607.00,Collecting baseline... RawAvg=607.00
baseline,606.40,,,,606.40,Collecting baseline... RawAvg=606.40
baseline,605.80,,,,605.80,Collecting baseline... RawAvg=605.80
baseline,604.80,,,,604.80,Collecting baseline... RawAvg=604.80
baseline,604.20,,,,604.20,Collecting baseline... RawAvg=604.20
baseline,603.60,,,,603.60,Collecting baseline... RawAvg=603.60
baseline,603.20,,,,603.20,Collecting baseline... RawAvg=603.20
baseline,603.00,,,,603.00,Collecting baseline... RawAvg=603.00
baseline,603.20,,,,603.20,Collecting baseline... RawAvg=603.20
baseline,603.60,,,,603.60,Collecting baseline... RawAvg=603.60
baseline,604.00,,,,604.00,Collecting baseline... RawAvg=604.00
baseline,604.40,,,,604.40,Collecting baseline... RawAvg=604.40
baseline,605.20,,,,605.20,Collecting baseline... RawAvg=605.20
baseline,605.80,,,,605.80,Collecting baseline... RawAvg=605.80
baseline,606.20,,,,606.20,Collecting baseline... RawAvg=606.20
baseline,606.60,,,,606.60,Collecting baseline... RawAvg=606.60
baseline,606.80,,,,606.80,Collecting baseline... RawAvg=606.80
baseline,606.60,,,,606.60,Collecting baseline... RawAvg=606.60
baseline,606.00,,,,606.00,Collecting baseline... RawAvg=606.00
baseline,605.60,,,,605.60,Collecting baseline... RawAvg=605.60
baseline,604.60,,,,604.60,Collecting baseline... RawAvg=604.60
baseline,603.80,,,,603.80,Collecting baseline... RawAvg=603.80
baseline,603.00,,,,603.00,Collecting baseline... RawAvg=603.00
baseline,602.80,,,,602.80,Collecting baseline... RawAvg=602.80
baseline,602.40,,,,602.40,Collecting baseline... RawAvg=602.40
baseline,602.80,,,,602.80,Collecting baseline... RawAvg=602.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,605.21,,,605.21,Final Base Raw Average = 605.21
info,,,,,,--------------------------------------------------------------------------
data,,605.2,603.6,1.6,603.6,Time=0.1s | BaseRaw=605.2 | CurrentRaw=603.6 | Change=1.6 => Floor
data,,605.2,604.4,0.8,604.4,Time=0.2s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,605.0,0.2,605.0,Time=0.3s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,605.0,0.2,605.0,Time=0.4s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,604.8,0.4,604.8,Time=0.5s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,605.0,0.2,605.0,Time=0.6s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,605.0,0.2,605.0,Time=0.7s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,605.0,0.2,605.0,Time=0.8s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,604.6,0.6,604.6,Time=0.9s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=1.0s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=1.1s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=1.2s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.4,0.8,604.4,Time=1.3s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.4,0.8,604.4,Time=1.4s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.4,0.8,604.4,Time=1.5s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.6,0.6,604.6,Time=1.6s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.4,0.8,604.4,Time=1.7s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.2,1.0,604.2,Time=1.8s | BaseRaw=605.2 | CurrentRaw=604.2 | Change=1.0 => Floor
data,,605.2,604.2,1.0,604.2,Time=1.9s | BaseRaw=605.2 | CurrentRaw=604.2 | Change=1.0 => Floor
data,,605.2,604.4,0.8,604.4,Time=2.0s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.4,0.8,604.4,Time=2.1s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.6,0.6,604.6,Time=2.2s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=2.3s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.8,0.4,604.8,Time=2.4s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.8,0.4,604.8,Time=2.5s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,605.0,0.2,605.0,Time=2.6s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,605.0,0.2,605.0,Time=2.7s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,604.6,0.6,604.6,Time=2.8s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.4,0.8,604.4,Time=2.9s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.6,0.6,604.6,Time=3.0s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=3.1s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.4,0.8,604.4,Time=3.2s | BaseRaw=605.2 | CurrentRaw=604.4 | Change=0.8 => Floor
data,,605.2,604.6,0.6,604.6,Time=3.3s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.8,0.4,604.8,Time=3.4s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.8,0.4,604.8,Time=3.5s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.8,0.4,604.8,Time=3.6s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.6,0.6,604.6,Time=3.7s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,604.6,0.6,604.6,Time=3.8s | BaseRaw=605.2 | CurrentRaw=604.6 | Change=0.6 => Floor
data,,605.2,605.0,0.2,605.0,Time=3.9s | BaseRaw=605.2 | CurrentRaw=605.0 | Change=0.2 => Floor
data,,605.2,605.4,0.2,605.4,Time=4.0s | BaseRaw=605.2 | CurrentRaw=605.4 | Change=0.2 => Floor
data,,605.2,605.6,0.4,605.6,Time=4.1s | BaseRaw=605.2 | CurrentRaw=605.6 | Change=0.4 => Floor
data,,605.2,606.0,0.8,606.0,Time=4.2s | BaseRaw=605.2 | CurrentRaw=606.0 | Change=0.8 => Floor
data,,605.2,604.8,0.4,604.8,Time=4.3s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.8,0.4,604.8,Time=4.4s | BaseRaw=605.2 | CurrentRaw=604.8 | Change=0.4 => Floor
data,,605.2,604.2,1.0,604.2,Time=4.5s | BaseRaw=605.2 | CurrentRaw=604.2 | Change=1.0 => Floor
data,,605.2,601.2,4.0,601.2,Time=4.6s | BaseRaw=605.2 | CurrentRaw=601.2 | Change=4.0 => Floor
data,,605.2,597.6,7.6,597.6,Time=4.7s | BaseRaw=605.2 | CurrentRaw=597.6 | Change=7.6 => Floor
data,,605.2,595.0,10.2,595.0,Time=4.8s | BaseRaw=605.2 | CurrentRaw=595.0 | Change=10.2 => Liquid
data,,605.2,589.4,15.8,589.4,Time=4.9s | BaseRaw=605.2 | CurrentRaw=589.4 | Change=15.8 => Liquid
data,,605.2,582.8,22.4,582.8,Time=5.0s | BaseRaw=605.2 | CurrentRaw=582.8 | Change=22.4 => Liquid
data,,605.2,575.2,30.0,575.2,Time=5.1s | BaseRaw=605.2 | CurrentRaw=575.2 | Change=30.0 => Liquid
data,,605.2,568.0,37.2,568.0,Time=5.2s | BaseRaw=605.2 | CurrentRaw=568.0 | Change=37.2 => Liquid
data,,605.2,561.4,43.8,561.4,Time=5.3s | BaseRaw=605.2 | CurrentRaw=561.4 | Change=43.8 => Liquid
data,,605.2,555.0,50.2,555.0,Time=5.4s | BaseRaw=605.2 | CurrentRaw=555.0 | Change=50.2 => Liquid
data,,605.2,550.2,55.0,550.2,Time=5.5s | BaseRaw=605.2 | CurrentRaw=550.2 | Change=55.0 => Liquid
data,,605.2,548.8,56.4,548.8,Time=5.6s | BaseRaw=605.2 | CurrentRaw=548.8 | Change=56.4 => Liquid
data,,605.2,547.0,58.2,547.0,Time=5.7s | BaseRaw=605.2 | CurrentRaw=547.0 | Change=58.2 => Liquid
data,,605.2,546.2,59.0,546.2,Time=5.8s | BaseRaw=605.2 | CurrentRaw=546.2 | Change=59.0 => Liquid
data,,605.2,546.8,58.4,546.8,Time=5.9s | BaseRaw=605.2 | CurrentRaw=546.8 | Change=58.4 => Liquid
data,,605.2,546.2,59.0,546.2,Time=6.0s | BaseRaw=605.2 | CurrentRaw=546.2 | Change=59.0 => Liquid
data,,605.2,546.4,58.8,546.4,Time=6.1s | BaseRaw=605.2 | CurrentRaw=546.4 | Change=58.8 => Liquid
data,,605.2,547.8,57.4,547.8,Time=6.2s | BaseRaw=605.2 | CurrentRaw=547.8 | Change=57.4 => Liquid
data,,605.2,547.6,57.6,547.6,Time=6.3s | BaseRaw=605.2 | CurrentRaw=547.6 | Change=57.6 => Liquid
data,,605.2,547.8,57.4,547.8,Time=6.4s | BaseRaw=605.2 | CurrentRaw=547.8 | Change=57.4 => Liquid
data,,605.2,549.2,56.0,549.2,Time=6.5s | BaseRaw=605.2 | CurrentRaw=549.2 | Change=56.0 => Liquid
