record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,715.40,,,,715.40,Collecting baseline... RawAvg=715.40
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,715.64,,,715.64,Final Base Raw Average = 715.64
info,,,,,,--------------------------------------------------------------------------
data,,715.6,714.4,1.2,714.4,Time=0.1s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,715.0,0.6,715.0,Time=0.2s | BaseRaw=715.6 | CurrentRaw=715.0 | Change=0.6 => Floor
data,,715.6,715.6,0.0,715.6,Time=0.3s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.8,0.2,715.8,Time=0.4s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.6,0.0,715.6,Time=0.5s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.6,0.0,715.6,Time=0.6s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.8,0.2,715.8,Time=0.7s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.8,0.2,715.8,Time=0.8s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.8,0.2,715.8,Time=0.9s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,716.0,0.4,716.0,Time=1.0s | BaseRaw=715.6 | CurrentRaw=716.0 | Change=0.4 => Floor
data,,715.6,716.2,0.6,716.2,Time=1.1s | BaseRaw=715.6 | CurrentRaw=716.2 | Change=0.6 => Floor
data,,715.6,716.2,0.6,716.2,Time=1.2s | BaseRaw=715.6 | CurrentRaw=716.2 | Change=0.6 => Floor
data,,715.6,716.0,0.4,716.0,Time=1.3s | BaseRaw=715.6 | CurrentRaw=716.0 | Change=0.4 => Floor
data,,715.6,715.6,0.0,715.6,Time=1.4s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.4,0.2,715.4,Time=1.5s | BaseRaw=715.6 | CurrentRaw=715.4 | Change=0.2 => Floor
data,,715.6,715.4,0.2,715.4,Time=1.6s | BaseRaw=715.6 | CurrentRaw=715.4 | Change=0.2 => Floor
data,,715.6,715.2,0.4,715.2,Time=1.7s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.2,0.4,715.2,Time=1.8s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.4,0.2,715.4,Time=1.9s | BaseRaw=715.6 | CurrentRaw=715.4 | Change=0.2 => Floor
data,,715.6,715.6,0.0,715.6,Time=2.0s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.8,0.2,715.8,Time=2.1s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.8,0.2,715.8,Time=2.2s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.8,0.2,715.8,Time=2.3s | BaseRaw=715.6 | CurrentRaw=715.8 | Change=0.2 => Floor
data,,715.6,715.6,0.0,715.6,Time=2.4s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.6,0.0,715.6,Time=2.5s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.6,0.0,715.6,Time=2.6s | BaseRaw=715.6 | CurrentRaw=715.6 | Change=0.0 => Floor
data,,715.6,715.4,0.2,715.4,Time=2.7s | BaseRaw=715.6 | CurrentRaw=715.4 | Change=0.2 => Floor
data,,715.6,715.0,0.6,715.0,Time=2.8s | BaseRaw=715.6 | CurrentRaw=715.0 | Change=0.6 => Floor
data,,715.6,715.2,0.4,715.2,Time=2.9s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.2,0.4,715.2,Time=3.0s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.2,0.4,715.2,Time=3.1s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.2,0.4,715.2,Time=3.2s | BaseRaw=715.6 | CurrentRaw=715.2 | Change=0.4 => Floor
data,,715.6,715.0,0.6,715.0,Time=3.3s | BaseRaw=715.6 | CurrentRaw=715.0 | Change=0.6 => Floor
data,,715.6,714.8,0.8,714.8,Time=3.4s | BaseRaw=715.6 | CurrentRaw=714.8 | Change=0.8 => Floor
data,,715.6,714.6,1.0,714.6,Time=3.5s | BaseRaw=715.6 | CurrentRaw=714.6 | Change=1.0 => Floor
data,,715.6,714.2,1.4,714.2,Time=3.6s | BaseRaw=715.6 | CurrentRaw=714.2 | Change=1.4 => Floor
data,,715.6,713.8,1.8,713.8,Time=3.7s | BaseRaw=715.6 | CurrentRaw=713.8 | Change=1.8 => Floor
data,,715.6,713.6,2.0,713.6,Time=3.8s | BaseRaw=715.6 | CurrentRaw=713.6 | Change=2.0 => Floor
data,,715.6,713.8,1.8,713.8,Time=3.9s | BaseRaw=715.6 | CurrentRaw=713.8 | Change=1.8 => Floor
data,,715.6,714.2,1.4,714.2,Time=4.0s | BaseRaw=715.6 | CurrentRaw=714.2 | Change=1.4 => Floor
data,,715.6,714.4,1.2,714.4,Time=4.1s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,714.4,1.2,714.4,Time=4.2s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,714.4,1.2,714.4,Time=4.3s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,714.4,1.2,714.4,Time=4.4s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,714.6,1.0,714.6,Time=4.5s | BaseRaw=715.6 | CurrentRaw=714.6 | Change=1.0 => Floor
data,,715.6,714.4,1.2,714.4,Time=4.6s | BaseRaw=715.6 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,715.6,714.2,1.4,714.2,Time=4.7s | BaseRaw=715.6 | CurrentRaw=714.2 | Change=1.4 => Floor
data,,715.6,714.0,1.6,714.0,Time=4.8s | BaseRaw=715.6 | CurrentRaw=714.0 | Change=1.6 => Floor
data,,715.6,713.8,1.8,713.8,Time=4.9s | BaseRaw=715.6 | CurrentRaw=713.8 | Change=1.8 => Floor
data,,715.6,713.6,2.0,713.6,Time=5.0s | BaseRaw=715.6 | CurrentRaw=713.6 | Change=2.0 => Floor
data,,715.6,713.2,2.4,713.2,Time=5.1s | BaseRaw=715.6 | CurrentRaw=713.2 | Change=2.4 => Floor
data,,715.6,712.6,3.0,712.6,Time=5.2s | BaseRaw=715.6 | CurrentRaw=712.6 | Change=3.0 => Floor
data,,715.6,711.0,4.6,711.0,Time=5.3s | BaseRaw=715.6 | CurrentRaw=711.0 | Change=4.6 => Floor
data,,715.6,709.0,6.6,709.0,Time=5.4s | BaseRaw=715.6 | CurrentRaw=709.0 | Change=6.6 => Floor
data,,715.6,706.4,9.2,706.4,Time=5.5s | BaseRaw=715.6 | CurrentRaw=706.4 | Change=9.2 => Floor
data,,715.6,704.2,11.4,704.2,Time=5.6s | BaseRaw=715.6 | CurrentRaw=704.2 | Change=11.4 => Liquid
data,,715.6,702.6,13.0,702.6,Time=5.7s | BaseRaw=715.6 | CurrentRaw=702.6 | Change=13.0 => Liquid
data,,715.6,704.0,11.6,704.0,Time=5.8s | BaseRaw=715.6 | CurrentRaw=704.0 | Change=11.6 => Liquid
data,,715.6,705.0,10.6,705.0,Time=5.9s | BaseRaw=715.6 | CurrentRaw=705.0 | Change=10.6 => Liquid
data,,715.6,705.8,9.8,705.8,Time=6.0s | BaseRaw=715.6 | CurrentRaw=705.8 | Change=9.8 => Floor
data,,715.6,707.4,8.2,707.4,Time=6.1s | BaseRaw=715.6 | CurrentRaw=707.4 | Change=8.2 => Floor
data,,715.6,709.6,6.0,709.6,Time=6.2s | BaseRaw=715.6 | CurrentRaw=709.6 | Change=6.0 => Floor
data,,715.6,709.8,5.8,709.8,Time=6.3s | BaseRaw=715.6 | CurrentRaw=709.8 | Change=5.8 => Floor
data,,715.6,710.0,5.6,710.0,Time=6.4s | BaseRaw=715.6 | CurrentRaw=710.0 | Change=5.6 => Floor
data,,715.6,711.0,4.6,711.0,Time=6.5s | BaseRaw=715.6 | CurrentRaw=711.0 | Change=4.6 => Floor
