record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,715.40,,,,715.40,Collecting baseline... RawAvg=715.40
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,716.00,,,,716.00,Collecting baseline... RawAvg=716.00
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,714.20,,,714.20,Final Base Raw Average = 714.20
info,,,,,,--------------------------------------------------------------------------
data,,714.2,713.4,0.8,713.4,Time=0.1s | BaseRaw=714.2 | CurrentRaw=713.4 | Change=0.8 => Floor
data,,714.2,714.0,0.2,714.0,Time=0.2s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.6,0.4,714.6,Time=0.3s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.8,0.6,714.8,Time=0.4s | BaseRaw=714.2 | CurrentRaw=714.8 | Change=0.6 => Floor
data,,714.2,714.4,0.2,714.4,Time=0.5s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.4,0.2,714.4,Time=0.6s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.6,0.4,714.6,Time=0.7s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.4,0.2,714.4,Time=0.8s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=0.9s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.4,0.2,714.4,Time=1.0s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.4,0.2,714.4,Time=1.1s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=1.2s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=1.3s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.4s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.5s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.6s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.7s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.8s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=1.9s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=2.0s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.1s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.2s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.3s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.4s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.5s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.6s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=2.7s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.0,0.2,714.0,Time=2.8s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=2.9s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=3.0s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.6,0.4,714.6,Time=3.1s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.6,0.4,714.6,Time=3.2s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.6,0.4,714.6,Time=3.3s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.8,0.6,714.8,Time=3.4s | BaseRaw=714.2 | CurrentRaw=714.8 | Change=0.6 => Floor
data,,714.2,714.8,0.6,714.8,Time=3.5s | BaseRaw=714.2 | CurrentRaw=714.8 | Change=0.6 => Floor
data,,714.2,714.6,0.4,714.6,Time=3.6s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.4,0.2,714.4,Time=3.7s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.4,0.2,714.4,Time=3.8s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.4,0.2,714.4,Time=3.9s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.6,0.4,714.6,Time=4.0s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.6,0.4,714.6,Time=4.1s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.6,0.4,714.6,Time=4.2s | BaseRaw=714.2 | CurrentRaw=714.6 | Change=0.4 => Floor
data,,714.2,714.4,0.2,714.4,Time=4.3s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.4,0.2,714.4,Time=4.4s | BaseRaw=714.2 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=4.5s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=4.6s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=4.7s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.0,0.2,714.0,Time=4.8s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=4.9s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.2,0.0,714.2,Time=5.0s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.2,0.0,714.2,Time=5.1s | BaseRaw=714.2 | CurrentRaw=714.2 | Change=0.0 => Floor
data,,714.2,714.0,0.2,714.0,Time=5.2s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=5.3s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=5.4s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,714.0,0.2,714.0,Time=5.5s | BaseRaw=714.2 | CurrentRaw=714.0 | Change=0.2 => Floor
data,,714.2,713.8,0.4,713.8,Time=5.6s | BaseRaw=714.2 | CurrentRaw=713.8 | Change=0.4 => Floor
data,,714.2,713.6,0.6,713.6,Time=5.7s | BaseRaw=714.2 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,714.2,713.2,1.0,713.2,Time=5.8s | BaseRaw=714.2 | CurrentRaw=713.2 | Change=1.0 => Floor
data,,714.2,712.4,1.8,712.4,Time=5.9s | BaseRaw=714.2 | CurrentRaw=712.4 | Change=1.8 => Floor
data,,714.2,710.4,3.8,710.4,Time=6.0s | BaseRaw=714.2 | CurrentRaw=710.4 | Change=3.8 => Floor
data,,714.2,706.6,7.6,706.6,Time=6.1s | BaseRaw=714.2 | CurrentRaw=706.6 | Change=7.6 => Floor
data,,714.2,701.0,13.2,701.0,Time=6.2s | BaseRaw=714.2 | CurrentRaw=701.0 | Change=13.2 => Liquid
data,,714.2,694.8,19.4,694.8,Time=6.3s | BaseRaw=714.2 | CurrentRaw=694.8 | Change=19.4 => Liquid
data,,714.2,689.4,24.8,689.4,Time=6.4s | BaseRaw=714.2 | CurrentRaw=689.4 | Change=24.8 => Liquid
data,,714.2,684.0,30.2,684.0,Time=6.5s | BaseRaw=714.2 | CurrentRaw=684.0 | Change=30.2 => Liquid
