record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,701.00,,,,701.00,Collecting baseline... RawAvg=701.00
baseline,701.20,,,,701.20,Collecting baseline... RawAvg=701.20
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,702.00,,,,702.00,Collecting baseline... RawAvg=702.00
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,704.20,,,,704.20,Collecting baseline... RawAvg=704.20
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,702.60,,,,702.60,Collecting baseline... RawAvg=702.60
baseline,702.00,,,,702.00,Collecting baseline... RawAvg=702.00
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.00,,,,701.00,Collecting baseline... RawAvg=701.00
baseline,701.20,,,,701.20,Collecting baseline... RawAvg=701.20
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,702.00,,,,702.00,Collecting baseline... RawAvg=702.00
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,704.20,,,,704.20,Collecting baseline... RawAvg=704.20
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,703.00,,,,703.00,Collecting baseline... RawAvg=703.00
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,701.80,,,,701.80,Collecting baseline... RawAvg=701.80
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.20,,,,701.20,Collecting baseline... RawAvg=701.20
baseline,701.00,,,,701.00,Collecting baseline... RawAvg=701.00
baseline,701.20,,,,701.20,Collecting baseline... RawAvg=701.20
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.80,,,,701.80,Collecting baseline... RawAvg=701.80
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,704.20,,,,704.20,Collecting baseline... RawAvg=704.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,702.53,,,702.53,Final Base Raw Average = 702.53
info,,,,,,--------------------------------------------------------------------------
data,,702.5,704.6,2.1,704.6,Time=0.1s | BaseRaw=702.5 | CurrentRaw=704.6 | Change=2.1 => Floor
data,,702.5,704.0,1.5,704.0,Time=0.2s | BaseRaw=702.5 | CurrentRaw=704.0 | Change=1.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=0.3s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,702.8,0.3,702.8,Time=0.4s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,703.0,0.5,703.0,Time=0.5s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=0.6s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=0.7s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.2,0.7,703.2,Time=0.8s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=0.9s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=1.0s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.0,0.5,703.0,Time=1.1s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=1.2s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.2,0.7,703.2,Time=1.3s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=1.4s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=1.5s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=1.6s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.0,0.5,703.0,Time=1.7s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=1.8s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=1.9s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=2.0s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,702.8,0.3,702.8,Time=2.1s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.6,0.1,702.6,Time=2.2s | BaseRaw=702.5 | CurrentRaw=702.6 | Change=0.1 => Floor
data,,702.5,702.4,0.1,702.4,Time=2.3s | BaseRaw=702.5 | CurrentRaw=702.4 | Change=0.1 => Floor
data,,702.5,702.4,0.1,702.4,Time=2.4s | BaseRaw=702.5 | CurrentRaw=702.4 | Change=0.1 => Floor
data,,702.5,702.4,0.1,702.4,Time=2.5s | BaseRaw=702.5 | CurrentRaw=702.4 | Change=0.1 => Floor
data,,702.5,702.2,0.3,702.2,Time=2.6s | BaseRaw=702.5 | CurrentRaw=702.2 | Change=0.3 => Floor
data,,702.5,702.4,0.1,702.4,Time=2.7s | BaseRaw=702.5 | CurrentRaw=702.4 | Change=0.1 => Floor
data,,702.5,702.6,0.1,702.6,Time=2.8s | BaseRaw=702.5 | CurrentRaw=702.6 | Change=0.1 => Floor
data,,702.5,702.8,0.3,702.8,Time=2.9s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.8,0.3,702.8,Time=3.0s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,703.0,0.5,703.0,Time=3.1s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=3.2s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=3.3s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.2,0.7,703.2,Time=3.4s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=3.5s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=3.6s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=3.7s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.4,0.9,703.4,Time=3.8s | BaseRaw=702.5 | CurrentRaw=703.4 | Change=0.9 => Floor
data,,702.5,703.4,0.9,703.4,Time=3.9s | BaseRaw=702.5 | CurrentRaw=703.4 | Change=0.9 => Floor
data,,702.5,703.2,0.7,703.2,Time=4.0s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.0,0.5,703.0,Time=4.1s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.2,0.7,703.2,Time=4.2s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=4.3s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=4.4s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.2,0.7,703.2,Time=4.5s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.0,0.5,703.0,Time=4.6s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,702.8,0.3,702.8,Time=4.7s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.8,0.3,702.8,Time=4.8s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.8,0.3,702.8,Time=4.9s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.6,0.1,702.6,Time=5.0s | BaseRaw=702.5 | CurrentRaw=702.6 | Change=0.1 => Floor
data,,702.5,702.6,0.1,702.6,Time=5.1s | BaseRaw=702.5 | CurrentRaw=702.6 | Change=0.1 => Floor
data,,702.5,702.6,0.1,702.6,Time=5.2s | BaseRaw=702.5 | CurrentRaw=702.6 | Change=0.1 => Floor
data,,702.5,702.8,0.3,702.8,Time=5.3s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,702.8,0.3,702.8,Time=5.4s | BaseRaw=702.5 | CurrentRaw=702.8 | Change=0.3 => Floor
data,,702.5,703.0,0.5,703.0,Time=5.5s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.0,0.5,703.0,Time=5.6s | BaseRaw=702.5 | CurrentRaw=703.0 | Change=0.5 => Floor
data,,702.5,703.2,0.7,703.2,Time=5.7s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,703.4,0.9,703.4,Time=5.8s | BaseRaw=702.5 | CurrentRaw=703.4 | Change=0.9 => Floor
data,,702.5,703.2,0.7,703.2,Time=5.9s | BaseRaw=702.5 | CurrentRaw=703.2 | Change=0.7 => Floor
data,,702.5,702.4,0.1,702.4,Time=6.0s | BaseRaw=702.5 | CurrentRaw=702.4 | Change=0.1 => Floor
data,,702.5,702.2,0.3,702.2,Time=6.1s | BaseRaw=702.5 | CurrentRaw=702.2 | Change=0.3 => Floor
data,,702.5,702.0,0.5,702.0,Time=6.2s | BaseRaw=702.5 | CurrentRaw=702.0 | Change=0.5 => Floor
data,,702.5,701.6,0.9,701.6,Time=6.3s | BaseRaw=702.5 | CurrentRaw=701.6 | Change=0.9 => Floor
data,,702.5,701.6,0.9,701.6,Time=6.4s | BaseRaw=702.5 | CurrentRaw=701.6 | Change=0.9 => Floor
data,,702.5,702.0,0.5,702.0,Time=6.5s | BaseRaw=702.5 | CurrentRaw=702.0 | Change=0.5 => Floor
