record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,564.20,,,,564.20,Collecting baseline... RawAvg=564.20
baseline,563.80,,,,563.80,Collecting baseline... RawAvg=563.80
baseline,563.60,,,,563.60,Collecting baseline... RawAvg=563.60
baseline,564.20,,,,564.20,Collecting baseline... RawAvg=564.20
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,566.20,,,,566.20,Collecting baseline... RawAvg=566.20
baseline,566.20,,,,566.20,Collecting baseline... RawAvg=566.20
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,565.20,,,,565.20,Collecting baseline... RawAvg=565.20
baseline,564.40,,,,564.40,Collecting baseline... RawAvg=564.40
baseline,563.80,,,,563.80,Collecting baseline... RawAvg=563.80
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,563.60,,,,563.60,Collecting baseline... RawAvg=563.60
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,567.00,,,,567.00,Collecting baseline... RawAvg=567.00
baseline,567.20,,,,567.20,Collecting baseline... RawAvg=567.20
baseline,567.60,,,,567.60,Collecting baseline... RawAvg=567.60
baseline,567.40,,,,567.40,Collecting baseline... RawAvg=567.40
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,563.60,,,,563.60,Collecting baseline... RawAvg=563.60
baseline,563.00,,,,563.00,Collecting baseline... RawAvg=563.00
baseline,562.80,,,,562.80,Collecting baseline... RawAvg=562.80
baseline,563.20,,,,563.20,Collecting baseline... RawAvg=563.20
baseline,563.60,,,,563.60,Collecting baseline... RawAvg=563.60
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,566.20,,,,566.20,Collecting baseline... RawAvg=566.20
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,567.00,,,,567.00,Collecting baseline... RawAvg=567.00
baseline,567.20,,,,567.20,Collecting baseline... RawAvg=567.20
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,565.15,,,565.15,Final Base Raw Average = 565.15
info,,,,,,--------------------------------------------------------------------------
data,,565.1,565.4,0.3,565.4,Time=0.1s | BaseRaw=565.1 | CurrentRaw=565.4 | Change=0.3 => Floor
data,,565.1,564.4,0.7,564.4,Time=0.2s | BaseRaw=565.1 | CurrentRaw=564.4 | Change=0.7 => Floor
data,,565.1,564.0,1.1,564.0,Time=0.3s | BaseRaw=565.1 | CurrentRaw=564.0 | Change=1.1 => Floor
data,,565.1,564.4,0.7,564.4,Time=0.4s | BaseRaw=565.1 | CurrentRaw=564.4 | Change=0.7 => Floor
data,,565.1,564.6,0.5,564.6,Time=0.5s | BaseRaw=565.1 | CurrentRaw=564.6 | Change=0.5 => Floor
data,,565.1,564.6,0.5,564.6,Time=0.6s | BaseRaw=565.1 | CurrentRaw=564.6 | Change=0.5 => Floor
data,,565.1,564.6,0.5,564.6,Time=0.7s | BaseRaw=565.1 | CurrentRaw=564.6 | Change=0.5 => Floor
data,,565.1,564.8,0.3,564.8,Time=0.8s | BaseRaw=565.1 | CurrentRaw=564.8 | Change=0.3 => Floor
data,,565.1,564.6,0.5,564.6,Time=0.9s | BaseRaw=565.1 | CurrentRaw=564.6 | Change=0.5 => Floor
data,,565.1,564.4,0.7,564.4,Time=1.0s | BaseRaw=565.1 | CurrentRaw=564.4 | Change=0.7 => Floor
data,,565.1,564.2,0.9,564.2,Time=1.1s | BaseRaw=565.1 | CurrentRaw=564.2 | Change=0.9 => Floor
data,,565.1,564.2,0.9,564.2,Time=1.2s | BaseRaw=565.1 | CurrentRaw=564.2 | Change=0.9 => Floor
data,,565.1,564.0,1.1,564.0,Time=1.3s | BaseRaw=565.1 | CurrentRaw=564.0 | Change=1.1 => Floor
data,,565.1,563.6,1.5,563.6,Time=1.4s | BaseRaw=565.1 | CurrentRaw=563.6 | Change=1.5 => Floor
data,,565.1,562.4,2.7,562.4,Time=1.5s | BaseRaw=565.1 | CurrentRaw=562.4 | Change=2.7 => Floor
data,,565.1,561.2,3.9,561.2,Time=1.6s | BaseRaw=565.1 | CurrentRaw=561.2 | Change=3.9 => Floor
data,,565.1,560.8,4.3,560.8,Time=1.7s | BaseRaw=565.1 | CurrentRaw=560.8 | Change=4.3 => Floor
data,,565.1,560.4,4.7,560.4,Time=1.8s | BaseRaw=565.1 | CurrentRaw=560.4 | Change=4.7 => Floor
data,,565.1,561.0,4.1,561.0,Time=1.9s | BaseRaw=565.1 | CurrentRaw=561.0 | Change=4.1 => Floor
data,,565.1,560.8,4.3,560.8,Time=2.0s | BaseRaw=565.1 | CurrentRaw=560.8 | Change=4.3 => Floor
data,,565.1,561.4,3.7,561.4,Time=2.1s | BaseRaw=565.1 | CurrentRaw=561.4 | Change=3.7 => Floor
data,,565.1,562.4,2.7,562.4,Time=2.2s | BaseRaw=565.1 | CurrentRaw=562.4 | Change=2.7 => Floor
data,,565.1,564.4,0.7,564.4,Time=2.3s | BaseRaw=565.1 | CurrentRaw=564.4 | Change=0.7 => Floor
data,,565.1,566.0,0.9,566.0,Time=2.4s | BaseRaw=565.1 | CurrentRaw=566.0 | Change=0.9 => Floor
data,,565.1,569.2,4.1,569.2,Time=2.5s | BaseRaw=565.1 | CurrentRaw=569.2 | Change=4.1 => Floor
data,,565.1,571.8,6.7,571.8,Time=2.6s | BaseRaw=565.1 | CurrentRaw=571.8 | Change=6.7 => Floor
data,,565.1,574.0,8.9,574.0,Time=2.7s | BaseRaw=565.1 | CurrentRaw=574.0 | Change=8.9 => Floor
data,,565.1,576.4,11.3,576.4,Time=2.8s | BaseRaw=565.1 | CurrentRaw=576.4 | Change=11.3 => Liquid
data,,565.1,578.4,13.3,578.4,Time=2.9s | BaseRaw=565.1 | CurrentRaw=578.4 | Change=13.3 => Liquid
data,,565.1,579.8,14.7,579.8,Time=3.0s | BaseRaw=565.1 | CurrentRaw=579.8 | Change=14.7 => Liquid
data,,565.1,582.0,16.9,582.0,Time=3.1s | BaseRaw=565.1 | CurrentRaw=582.0 | Change=16.9 => Liquid
data,,565.1,583.8,18.7,583.8,Time=3.2s | BaseRaw=565.1 | CurrentRaw=583.8 | Change=18.7 => Liquid
data,,565.1,583.4,18.3,583.4,Time=3.3s | BaseRaw=565.1 | CurrentRaw=583.4 | Change=18.3 => Liquid
data,,565.1,584.0,18.9,584.0,Time=3.4s | BaseRaw=565.1 | CurrentRaw=584.0 | Change=18.9 => Liquid
data,,565.1,585.6,20.5,585.6,Time=3.5s | BaseRaw=565.1 | CurrentRaw=585.6 | Change=20.5 => Liquid
data,,565.1,586.4,21.3,586.4,Time=3.6s | BaseRaw=565.1 | CurrentRaw=586.4 | Change=21.3 => Liquid
data,,565.1,588.0,22.9,588.0,Time=3.7s | BaseRaw=565.1 | CurrentRaw=588.0 | Change=22.9 => Liquid
data,,565.1,591.0,25.9,591.0,Time=3.8s | BaseRaw=565.1 | CurrentRaw=591.0 | Change=25.9 => Liquid
data,,565.1,592.6,27.5,592.6,Time=3.9s | BaseRaw=565.1 | CurrentRaw=592.6 | Change=27.5 => Liquid
data,,565.1,595.4,30.3,595.4,Time=4.0s | BaseRaw=565.1 | CurrentRaw=595.4 | Change=30.3 => Liquid
data,,565.1,599.4,34.3,599.4,Time=4.1s | BaseRaw=565.1 | CurrentRaw=599.4 | Change=34.3 => Liquid
data,,565.1,602.0,36.9,602.0,Time=4.2s | BaseRaw=565.1 | CurrentRaw=602.0 | Change=36.9 => Liquid
data,,565.1,603.8,38.7,603.8,Time=4.3s | BaseRaw=565.1 | CurrentRaw=603.8 | Change=38.7 => Liquid
data,,565.1,605.4,40.3,605.4,Time=4.4s | BaseRaw=565.1 | CurrentRaw=605.4 | Change=40.3 => Liquid
data,,565.1,603.0,37.9,603.0,Time=4.5s | BaseRaw=565.1 | CurrentRaw=603.0 | Change=37.9 => Liquid
data,,565.1,601.6,36.5,601.6,Time=4.6s | BaseRaw=565.1 | CurrentRaw=601.6 | Change=36.5 => Liquid
data,,565.1,600.6,35.5,600.6,Time=4.7s | BaseRaw=565.1 | CurrentRaw=600.6 | Change=35.5 => Liquid
data,,565.1,597.4,32.3,597.4,Time=4.8s | BaseRaw=565.1 | CurrentRaw=597.4 | Change=32.3 => Liquid
data,,565.1,593.6,28.5,593.6,Time=4.9s | BaseRaw=565.1 | CurrentRaw=593.6 | Change=28.5 => Liquid
data,,565.1,591.6,26.5,591.6,Time=5.0s | BaseRaw=565.1 | CurrentRaw=591.6 | Change=26.5 => Liquid
data,,565.1,585.6,20.5,585.6,Time=5.1s | BaseRaw=565.1 | CurrentRaw=585.6 | Change=20.5 => Liquid
data,,565.1,579.0,13.9,579.0,Time=5.2s | BaseRaw=565.1 | CurrentRaw=579.0 | Change=13.9 => Liquid
data,,565.1,574.4,9.3,574.4,Time=5.3s | BaseRaw=565.1 | CurrentRaw=574.4 | Change=9.3 => Floor
data,,565.1,569.6,4.5,569.6,Time=5.4s | BaseRaw=565.1 | CurrentRaw=569.6 | Change=4.5 => Floor
data,,565.1,565.0,0.1,565.0,Time=5.5s | BaseRaw=565.1 | CurrentRaw=565.0 | Change=0.1 => Floor
data,,565.1,562.8,2.3,562.8,Time=5.6s | BaseRaw=565.1 | CurrentRaw=562.8 | Change=2.3 => Floor
data,,565.1,561.6,3.5,561.6,Time=5.7s | BaseRaw=565.1 | CurrentRaw=561.6 | Change=3.5 => Floor
data,,565.1,560.6,4.5,560.6,Time=5.8s | BaseRaw=565.1 | CurrentRaw=560.6 | Change=4.5 => Floor
data,,565.1,560.2,4.9,560.2,Time=5.9s | BaseRaw=565.1 | CurrentRaw=560.2 | Change=4.9 => Floor
data,,565.1,560.2,4.9,560.2,Time=6.0s | BaseRaw=565.1 | CurrentRaw=560.2 | Change=4.9 => Floor
data,,565.1,560.2,4.9,560.2,Time=6.1s | BaseRaw=565.1 | CurrentRaw=560.2 | Change=4.9 => Floor
data,,565.1,560.2,4.9,560.2,Time=6.2s | BaseRaw=565.1 | CurrentRaw=560.2 | Change=4.9 => Floor
data,,565.1,560.0,5.1,560.0,Time=6.3s | BaseRaw=565.1 | CurrentRaw=560.0 | Change=5.1 => Floor
data,,565.1,560.2,4.9,560.2,Time=6.4s | BaseRaw=565.1 | CurrentRaw=560.2 | Change=4.9 => Floor
data,,565.1,560.6,4.5,560.6,Time=6.5s | BaseRaw=565.1 | CurrentRaw=560.6 | Change=4.5 => Floor
