record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.20,,,,715.20,Collecting baseline... RawAvg=715.20
baseline,715.40,,,,715.40,Collecting baseline... RawAvg=715.40
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.80,,,,715.80,Collecting baseline... RawAvg=715.80
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,716.25,,,716.25,Final Base Raw Average = 716.25
info,,,,,,--------------------------------------------------------------------------
data,,716.2,714.4,1.8,714.4,Time=0.1s | BaseRaw=716.2 | CurrentRaw=714.4 | Change=1.8 => Floor
data,,716.2,714.8,1.4,714.8,Time=0.2s | BaseRaw=716.2 | CurrentRaw=714.8 | Change=1.4 => Floor
data,,716.2,715.6,0.6,715.6,Time=0.3s | BaseRaw=716.2 | CurrentRaw=715.6 | Change=0.6 => Floor
data,,716.2,716.2,0.0,716.2,Time=0.4s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=0.5s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=0.6s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=0.7s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=0.8s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.0,0.2,716.0,Time=0.9s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,715.8,0.4,715.8,Time=1.0s | BaseRaw=716.2 | CurrentRaw=715.8 | Change=0.4 => Floor
data,,716.2,715.8,0.4,715.8,Time=1.1s | BaseRaw=716.2 | CurrentRaw=715.8 | Change=0.4 => Floor
data,,716.2,716.0,0.2,716.0,Time=1.2s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=1.3s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.2,0.0,716.2,Time=1.4s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=1.5s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=1.6s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=1.7s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.2,0.0,716.2,Time=1.8s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.0,0.2,716.0,Time=1.9s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.0s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.1s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.2s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.3s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.4s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=2.5s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.2,0.0,716.2,Time=2.6s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.4,0.2,716.4,Time=2.7s | BaseRaw=716.2 | CurrentRaw=716.4 | Change=0.2 => Floor
data,,716.2,716.4,0.2,716.4,Time=2.8s | BaseRaw=716.2 | CurrentRaw=716.4 | Change=0.2 => Floor
data,,716.2,716.4,0.2,716.4,Time=2.9s | BaseRaw=716.2 | CurrentRaw=716.4 | Change=0.2 => Floor
data,,716.2,716.4,0.2,716.4,Time=3.0s | BaseRaw=716.2 | CurrentRaw=716.4 | Change=0.2 => Floor
data,,716.2,716.2,0.0,716.2,Time=3.1s | BaseRaw=716.2 | CurrentRaw=716.2 | Change=0.0 => Floor
data,,716.2,716.0,0.2,716.0,Time=3.2s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,716.0,0.2,716.0,Time=3.3s | BaseRaw=716.2 | CurrentRaw=716.0 | Change=0.2 => Floor
data,,716.2,715.8,0.4,715.8,Time=3.4s | BaseRaw=716.2 | CurrentRaw=715.8 | Change=0.4 => Floor
data,,716.2,715.4,0.8,715.4,Time=3.5s | BaseRaw=716.2 | CurrentRaw=715.4 | Change=0.8 => Floor
data,,716.2,715.4,0.8,715.4,Time=3.6s | BaseRaw=716.2 | CurrentRaw=715.4 | Change=0.8 => Floor
data,,716.2,715.4,0.8,715.4,Time=3.7s | BaseRaw=716.2 | CurrentRaw=715.4 | Change=0.8 => Floor
data,,716.2,715.4,0.8,715.4,Time=3.8s | BaseRaw=716.2 | CurrentRaw=715.4 | Change=0.8 => Floor
data,,716.2,715.6,0.6,715.6,Time=3.9s | BaseRaw=716.2 | CurrentRaw=715.6 | Change=0.6 => Floor
data,,716.2,715.6,0.6,715.6,Time=4.0s | BaseRaw=716.2 | CurrentRaw=715.6 | Change=0.6 => Floor
data,,716.2,715.2,1.0,715.2,Time=4.1s | BaseRaw=716.2 | CurrentRaw=715.2 | Change=1.0 => Floor
data,,716.2,715.2,1.0,715.2,Time=4.2s | BaseRaw=716.2 | CurrentRaw=715.2 | Change=1.0 => Floor
data,,716.2,714.8,1.4,714.8,Time=4.3s | BaseRaw=716.2 | CurrentRaw=714.8 | Change=1.4 => Floor
data,,716.2,714.2,2.0,714.2,Time=4.4s | BaseRaw=716.2 | CurrentRaw=714.2 | Change=2.0 => Floor
data,,716.2,714.4,1.8,714.4,Time=4.5s | BaseRaw=716.2 | CurrentRaw=714.4 | Change=1.8 => Floor
data,,716.2,714.4,1.8,714.4,Time=4.6s | BaseRaw=716.2 | CurrentRaw=714.4 | Change=1.8 => Floor
data,,716.2,714.2,2.0,714.2,Time=4.7s | BaseRaw=716.2 | CurrentRaw=714.2 | Change=2.0 => Floor
data,,716.2,714.0,2.2,714.0,Time=4.8s | BaseRaw=716.2 | CurrentRaw=714.0 | Change=2.2 => Floor
data,,716.2,714.0,2.2,714.0,Time=4.9s | BaseRaw=716.2 | CurrentRaw=714.0 | Change=2.2 => Floor
data,,716.2,713.0,3.2,713.0,Time=5.0s | BaseRaw=716.2 | CurrentRaw=713.0 | Change=3.2 => Floor
data,,716.2,710.6,5.6,710.6,Time=5.1s | BaseRaw=716.2 | CurrentRaw=710.6 | Change=5.6 => Floor
data,,716.2,707.4,8.8,707.4,Time=5.2s | BaseRaw=716.2 | CurrentRaw=707.4 | Change=8.8 => Floor
data,,716.2,704.6,11.6,704.6,Time=5.3s | BaseRaw=716.2 | CurrentRaw=704.6 | Change=11.6 => Liquid
data,,716.2,701.8,14.4,701.8,Time=5.4s | BaseRaw=716.2 | CurrentRaw=701.8 | Change=14.4 => Liquid
data,,716.2,700.8,15.4,700.8,Time=5.5s | BaseRaw=716.2 | CurrentRaw=700.8 | Change=15.4 => Liquid
data,,716.2,701.2,15.0,701.2,Time=5.6s | BaseRaw=716.2 | CurrentRaw=701.2 | Change=15.0 => Liquid
data,,716.2,700.6,15.6,700.6,Time=5.7s | BaseRaw=716.2 | CurrentRaw=700.6 | Change=15.6 => Liquid
data,,716.2,699.8,16.4,699.8,Time=5.8s | BaseRaw=716.2 | CurrentRaw=699.8 | Change=16.4 => Liquid
data,,716.2,699.2,17.0,699.2,Time=5.9s | BaseRaw=716.2 | CurrentRaw=699.2 | Change=17.0 => Liquid
data,,716.2,697.6,18.6,697.6,Time=6.0s | BaseRaw=716.2 | CurrentRaw=697.6 | Change=18.6 => Liquid
data,,716.2,696.4,19.8,696.4,Time=6.1s | BaseRaw=716.2 | CurrentRaw=696.4 | Change=19.8 => Liquid
data,,716.2,696.6,19.6,696.6,Time=6.2s | BaseRaw=716.2 | CurrentRaw=696.6 | Change=19.6 => Liquid
data,,716.2,696.0,20.2,696.0,Time=6.3s | BaseRaw=716.2 | CurrentRaw=696.0 | Change=20.2 => Liquid
data,,716.2,696.4,19.8,696.4,Time=6.4s | BaseRaw=716.2 | CurrentRaw=696.4 | Change=19.8 => Liquid
data,,716.2,697.0,19.2,697.0,Time=6.5s | BaseRaw=716.2 | CurrentRaw=697.0 | Change=19.2 => Liquid
