record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,654.60,,,,654.60,Collecting baseline... RawAvg=654.60
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,654.40,,,,654.40,Collecting baseline... RawAvg=654.40
baseline,654.00,,,,654.00,Collecting baseline... RawAvg=654.00
baseline,653.80,,,,653.80,Collecting baseline... RawAvg=653.80
baseline,654.40,,,,654.40,Collecting baseline... RawAvg=654.40
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,658.20,,,,658.20,Collecting baseline... RawAvg=658.20
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,654.00,,,,654.00,Collecting baseline... RawAvg=654.00
baseline,652.80,,,,652.80,Collecting baseline... RawAvg=652.80
baseline,652.60,,,,652.60,Collecting baseline... RawAvg=652.60
baseline,652.60,,,,652.60,Collecting baseline... RawAvg=652.60
baseline,653.00,,,,653.00,Collecting baseline... RawAvg=653.00
baseline,653.40,,,,653.40,Collecting baseline... RawAvg=653.40
baseline,654.00,,,,654.00,Collecting baseline... RawAvg=654.00
baseline,654.20,,,,654.20,Collecting baseline... RawAvg=654.20
baseline,654.20,,,,654.20,Collecting baseline... RawAvg=654.20
baseline,654.20,,,,654.20,Collecting baseline... RawAvg=654.20
baseline,654.60,,,,654.60,Collecting baseline... RawAvg=654.60
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,658.40,,,,658.40,Collecting baseline... RawAvg=658.40
baseline,658.60,,,,658.60,Collecting baseline... RawAvg=658.60
baseline,658.20,,,,658.20,Collecting baseline... RawAvg=658.20
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,655.51,,,655.51,Final Base Raw Average = 655.51
info,,,,,,--------------------------------------------------------------------------
data,,655.5,657.0,1.5,657.0,Time=0.1s | BaseRaw=655.5 | CurrentRaw=657.0 | Change=1.5 => Floor
data,,655.5,657.8,2.3,657.8,Time=0.2s | BaseRaw=655.5 | CurrentRaw=657.8 | Change=2.3 => Floor
data,,655.5,657.6,2.1,657.6,Time=0.3s | BaseRaw=655.5 | CurrentRaw=657.6 | Change=2.1 => Floor
data,,655.5,657.6,2.1,657.6,Time=0.4s | BaseRaw=655.5 | CurrentRaw=657.6 | Change=2.1 => Floor
data,,655.5,656.8,1.3,656.8,Time=0.5s | BaseRaw=655.5 | CurrentRaw=656.8 | Change=1.3 => Floor
data,,655.5,657.0,1.5,657.0,Time=0.6s | BaseRaw=655.5 | CurrentRaw=657.0 | Change=1.5 => Floor
data,,655.5,656.8,1.3,656.8,Time=0.7s | BaseRaw=655.5 | CurrentRaw=656.8 | Change=1.3 => Floor
data,,655.5,657.0,1.5,657.0,Time=0.8s | BaseRaw=655.5 | CurrentRaw=657.0 | Change=1.5 => Floor
data,,655.5,657.2,1.7,657.2,Time=0.9s | BaseRaw=655.5 | CurrentRaw=657.2 | Change=1.7 => Floor
data,,655.5,656.8,1.3,656.8,Time=1.0s | BaseRaw=655.5 | CurrentRaw=656.8 | Change=1.3 => Floor
data,,655.5,656.0,0.5,656.0,Time=1.1s | BaseRaw=655.5 | CurrentRaw=656.0 | Change=0.5 => Floor
data,,655.5,654.6,0.9,654.6,Time=1.2s | BaseRaw=655.5 | CurrentRaw=654.6 | Change=0.9 => Floor
data,,655.5,653.6,1.9,653.6,Time=1.3s | BaseRaw=655.5 | CurrentRaw=653.6 | Change=1.9 => Floor
data,,655.5,652.6,2.9,652.6,Time=1.4s | BaseRaw=655.5 | CurrentRaw=652.6 | Change=2.9 => Floor
data,,655.5,652.4,3.1,652.4,Time=1.5s | BaseRaw=655.5 | CurrentRaw=652.4 | Change=3.1 => Floor
data,,655.5,652.6,2.9,652.6,Time=1.6s | BaseRaw=655.5 | CurrentRaw=652.6 | Change=2.9 => Floor
data,,655.5,653.0,2.5,653.0,Time=1.7s | BaseRaw=655.5 | CurrentRaw=653.0 | Change=2.5 => Floor
data,,655.5,652.2,3.3,652.2,Time=1.8s | BaseRaw=655.5 | CurrentRaw=652.2 | Change=3.3 => Floor
data,,655.5,651.8,3.7,651.8,Time=1.9s | BaseRaw=655.5 | CurrentRaw=651.8 | Change=3.7 => Floor
data,,655.5,651.0,4.5,651.0,Time=2.0s | BaseRaw=655.5 | CurrentRaw=651.0 | Change=4.5 => Floor
data,,655.5,650.2,5.3,650.2,Time=2.1s | BaseRaw=655.5 | CurrentRaw=650.2 | Change=5.3 => Floor
data,,655.5,648.2,7.3,648.2,Time=2.2s | BaseRaw=655.5 | CurrentRaw=648.2 | Change=7.3 => Floor
data,,655.5,647.0,8.5,647.0,Time=2.3s | BaseRaw=655.5 | CurrentRaw=647.0 | Change=8.5 => Floor
data,,655.5,645.0,10.5,645.0,Time=2.4s | BaseRaw=655.5 | CurrentRaw=645.0 | Change=10.5 => Liquid
data,,655.5,644.2,11.3,644.2,Time=2.5s | BaseRaw=655.5 | CurrentRaw=644.2 | Change=11.3 => Liquid
data,,655.5,642.0,13.5,642.0,Time=2.6s | BaseRaw=655.5 | CurrentRaw=642.0 | Change=13.5 => Liquid
data,,655.5,642.6,12.9,642.6,Time=2.7s | BaseRaw=655.5 | CurrentRaw=642.6 | Change=12.9 => Liquid
data,,655.5,646.0,9.5,646.0,Time=2.8s | BaseRaw=655.5 | CurrentRaw=646.0 | Change=9.5 => Floor
data,,655.5,649.6,5.9,649.6,Time=2.9s | BaseRaw=655.5 | CurrentRaw=649.6 | Change=5.9 => Floor
data,,655.5,651.2,4.3,651.2,Time=3.0s | BaseRaw=655.5 | CurrentRaw=651.2 | Change=4.3 => Floor
data,,655.5,653.0,2.5,653.0,Time=3.1s | BaseRaw=655.5 | CurrentRaw=653.0 | Change=2.5 => Floor
data,,655.5,653.2,2.3,653.2,Time=3.2s | BaseRaw=655.5 | CurrentRaw=653.2 | Change=2.3 => Floor
data,,655.5,652.2,3.3,652.2,Time=3.3s | BaseRaw=655.5 | CurrentRaw=652.2 | Change=3.3 => Floor
data,,655.5,650.4,5.1,650.4,Time=3.4s | BaseRaw=655.5 | CurrentRaw=650.4 | Change=5.1 => Floor
data,,655.5,649.0,6.5,649.0,Time=3.5s | BaseRaw=655.5 | CurrentRaw=649.0 | Change=6.5 => Floor
data,,655.5,648.0,7.5,648.0,Time=3.6s | BaseRaw=655.5 | CurrentRaw=648.0 | Change=7.5 => Floor
data,,655.5,647.2,8.3,647.2,Time=3.7s | BaseRaw=655.5 | CurrentRaw=647.2 | Change=8.3 => Floor
data,,655.5,646.8,8.7,646.8,Time=3.8s | BaseRaw=655.5 | CurrentRaw=646.8 | Change=8.7 => Floor
data,,655.5,645.8,9.7,645.8,Time=3.9s | BaseRaw=655.5 | CurrentRaw=645.8 | Change=9.7 => Floor
data,,655.5,645.6,9.9,645.6,Time=4.0s | BaseRaw=655.5 | CurrentRaw=645.6 | Change=9.9 => Floor
data,,655.5,645.8,9.7,645.8,Time=4.1s | BaseRaw=655.5 | CurrentRaw=645.8 | Change=9.7 => Floor
data,,655.5,646.2,9.3,646.2,Time=4.2s | BaseRaw=655.5 | CurrentRaw=646.2 | Change=9.3 => Floor
data,,655.5,646.8,8.7,646.8,Time=4.3s | BaseRaw=655.5 | CurrentRaw=646.8 | Change=8.7 => Floor
data,,655.5,647.8,7.7,647.8,Time=4.4s | BaseRaw=655.5 | CurrentRaw=647.8 | Change=7.7 => Floor
data,,655.5,648.6,6.9,648.6,Time=4.5s | BaseRaw=655.5 | CurrentRaw=648.6 | Change=6.9 => Floor
data,,655.5,649.0,6.5,649.0,Time=4.6s | BaseRaw=655.5 | CurrentRaw=649.0 | Change=6.5 => Floor
data,,655.5,649.8,5.7,649.8,Time=4.7s | BaseRaw=655.5 | CurrentRaw=649.8 | Change=5.7 => Floor
data,,655.5,650.2,5.3,650.2,Time=4.8s | BaseRaw=655.5 | CurrentRaw=650.2 | Change=5.3 => Floor
data,,655.5,650.4,5.1,650.4,Time=4.9s | BaseRaw=655.5 | CurrentRaw=650.4 | Change=5.1 => Floor
data,,655.5,650.4,5.1,650.4,Time=5.0s | BaseRaw=655.5 | CurrentRaw=650.4 | Change=5.1 => Floor
data,,655.5,650.4,5.1,650.4,Time=5.1s | BaseRaw=655.5 | CurrentRaw=650.4 | Change=5.1 => Floor
data,,655.5,650.6,4.9,650.6,Time=5.2s | BaseRaw=655.5 | CurrentRaw=650.6 | Change=4.9 => Floor
data,,655.5,651.0,4.5,651.0,Time=5.3s | BaseRaw=655.5 | CurrentRaw=651.0 | Change=4.5 => Floor
data,,655.5,652.0,3.5,652.0,Time=5.4s | BaseRaw=655.5 | CurrentRaw=652.0 | Change=3.5 => Floor
data,,655.5,654.2,1.3,654.2,Time=5.5s | BaseRaw=655.5 | CurrentRaw=654.2 | Change=1.3 => Floor
data,,655.5,656.8,1.3,656.8,Time=5.6s | BaseRaw=655.5 | CurrentRaw=656.8 | Change=1.3 => Floor
data,,655.5,659.8,4.3,659.8,Time=5.7s | BaseRaw=655.5 | CurrentRaw=659.8 | Change=4.3 => Floor
data,,655.5,662.4,6.9,662.4,Time=5.8s | BaseRaw=655.5 | CurrentRaw=662.4 | Change=6.9 => Floor
data,,655.5,664.4,8.9,664.4,Time=5.9s | BaseRaw=655.5 | CurrentRaw=664.4 | Change=8.9 => Floor
data,,655.5,665.6,10.1,665.6,Time=6.0s | BaseRaw=655.5 | CurrentRaw=665.6 | Change=10.1 => Liquid
data,,655.5,665.8,10.3,665.8,Time=6.1s | BaseRaw=655.5 | CurrentRaw=665.8 | Change=10.3 => Liquid
data,,655.5,665.6,10.1,665.6,Time=6.2s | BaseRaw=655.5 | CurrentRaw=665.6 | Change=10.1 => Liquid
data,,655.5,664.2,8.7,664.2,Time=6.3s | BaseRaw=655.5 | CurrentRaw=664.2 | Change=8.7 => Floor
data,,655.5,663.4,7.9,663.4,Time=6.4s | BaseRaw=655.5 | CurrentRaw=663.4 | Change=7.9 => Floor
data,,655.5,663.6,8.1,663.6,Time=6.5s | BaseRaw=655.5 | CurrentRaw=663.6 | Change=8.1 => Floor
