record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,765.00,,,,765.00,Collecting baseline... RawAvg=765.00
baseline,765.40,,,,765.40,Collecting baseline... RawAvg=765.40
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.00,,,,765.00,Collecting baseline... RawAvg=765.00
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,763.20,,,,763.20,Collecting baseline... RawAvg=763.20
baseline,763.20,,,,763.20,Collecting baseline... RawAvg=763.20
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,765.40,,,,765.40,Collecting baseline... RawAvg=765.40
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,766.40,,,,766.40,Collecting baseline... RawAvg=766.40
baseline,766.80,,,,766.80,Collecting baseline... RawAvg=766.80
baseline,767.00,,,,767.00,Collecting baseline... RawAvg=767.00
baseline,766.60,,,,766.60,Collecting baseline... RawAvg=766.60
baseline,766.20,,,,766.20,Collecting baseline... RawAvg=766.20
baseline,765.80,,,,765.80,Collecting baseline... RawAvg=765.80
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,763.60,,,,763.60,Collecting baseline... RawAvg=763.60
baseline,763.20,,,,763.20,Collecting baseline... RawAvg=763.20
baseline,762.80,,,,762.80,Collecting baseline... RawAvg=762.80
baseline,762.80,,,,762.80,Collecting baseline... RawAvg=762.80
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
baseline,764.00,,,,764.00,Collecting baseline... RawAvg=764.00
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,765.00,,,,765.00,Collecting baseline... RawAvg=765.00
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,766.60,,,,766.60,Collecting baseline... RawAvg=766.60
baseline,767.00,,,,767.00,Collecting baseline... RawAvg=767.00
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.00,,,,767.00,Collecting baseline... RawAvg=767.00
baseline,766.80,,,,766.80,Collecting baseline... RawAvg=766.80
baseline,766.20,,,,766.20,Collecting baseline... RawAvg=766.20
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,763.60,,,,763.60,Collecting baseline... RawAvg=763.60
baseline,763.20,,,,763.20,Collecting baseline... RawAvg=763.20
baseline,763.20,,,,763.20,Collecting baseline... RawAvg=763.20
baseline,763.40,,,,763.40,Collecting baseline... RawAvg=763.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,764.88,,,764.88,Final Base Raw Average = 764.88
info,,,,,,--------------------------------------------------------------------------
data,,764.9,763.8,1.1,763.8,Time=0.1s | BaseRaw=764.9 | CurrentRaw=763.8 | Change=1.1 => Floor
data,,764.9,764.6,0.3,764.6,Time=0.2s | BaseRaw=764.9 | CurrentRaw=764.6 | Change=0.3 => Floor
data,,764.9,765.0,0.1,765.0,Time=0.3s | BaseRaw=764.9 | CurrentRaw=765.0 | Change=0.1 => Floor
data,,764.9,765.0,0.1,765.0,Time=0.4s | BaseRaw=764.9 | CurrentRaw=765.0 | Change=0.1 => Floor
data,,764.9,765.0,0.1,765.0,Time=0.5s | BaseRaw=764.9 | CurrentRaw=765.0 | Change=0.1 => Floor
data,,764.9,765.2,0.3,765.2,Time=0.6s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.2,0.3,765.2,Time=0.7s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.2,0.3,765.2,Time=0.8s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.2,0.3,765.2,Time=0.9s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.2,0.3,765.2,Time=1.0s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.1s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.2s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.3s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.4s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.5s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.6s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.7s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.8s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=1.9s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=2.0s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=2.1s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.4,0.5,765.4,Time=2.2s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.2,0.3,765.2,Time=2.3s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.2,0.3,765.2,Time=2.4s | BaseRaw=764.9 | CurrentRaw=765.2 | Change=0.3 => Floor
data,,764.9,765.4,0.5,765.4,Time=2.5s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.6,0.7,765.6,Time=2.6s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.8,0.9,765.8,Time=2.7s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,766.0,1.1,766.0,Time=2.8s | BaseRaw=764.9 | CurrentRaw=766.0 | Change=1.1 => Floor
data,,764.9,765.8,0.9,765.8,Time=2.9s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=3.0s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=3.1s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.6,0.7,765.6,Time=3.2s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=3.3s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.8,0.9,765.8,Time=3.4s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,766.0,1.1,766.0,Time=3.5s | BaseRaw=764.9 | CurrentRaw=766.0 | Change=1.1 => Floor
data,,764.9,766.2,1.3,766.2,Time=3.6s | BaseRaw=764.9 | CurrentRaw=766.2 | Change=1.3 => Floor
data,,764.9,766.4,1.5,766.4,Time=3.7s | BaseRaw=764.9 | CurrentRaw=766.4 | Change=1.5 => Floor
data,,764.9,766.2,1.3,766.2,Time=3.8s | BaseRaw=764.9 | CurrentRaw=766.2 | Change=1.3 => Floor
data,,764.9,766.2,1.3,766.2,Time=3.9s | BaseRaw=764.9 | CurrentRaw=766.2 | Change=1.3 => Floor
data,,764.9,766.2,1.3,766.2,Time=4.0s | BaseRaw=764.9 | CurrentRaw=766.2 | Change=1.3 => Floor
data,,764.9,766.4,1.5,766.4,Time=4.1s | BaseRaw=764.9 | CurrentRaw=766.4 | Change=1.5 => Floor
data,,764.9,766.0,1.1,766.0,Time=4.2s | BaseRaw=764.9 | CurrentRaw=766.0 | Change=1.1 => Floor
data,,764.9,765.8,0.9,765.8,Time=4.3s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=4.4s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=4.5s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.6,0.7,765.6,Time=4.6s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=4.7s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=4.8s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=4.9s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.8,0.9,765.8,Time=5.0s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=5.1s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.6,0.7,765.6,Time=5.2s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=5.3s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.8,0.9,765.8,Time=5.4s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.8,0.9,765.8,Time=5.5s | BaseRaw=764.9 | CurrentRaw=765.8 | Change=0.9 => Floor
data,,764.9,765.6,0.7,765.6,Time=5.6s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.6,0.7,765.6,Time=5.7s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,765.4,0.5,765.4,Time=5.8s | BaseRaw=764.9 | CurrentRaw=765.4 | Change=0.5 => Floor
data,,764.9,765.6,0.7,765.6,Time=5.9s | BaseRaw=764.9 | CurrentRaw=765.6 | Change=0.7 => Floor
data,,764.9,766.0,1.1,766.0,Time=6.0s | BaseRaw=764.9 | CurrentRaw=766.0 | Change=1.1 => Floor
data,,764.9,766.4,1.5,766.4,Time=6.1s | BaseRaw=764.9 | CurrentRaw=766.4 | Change=1.5 => Floor
data,,764.9,766.4,1.5,766.4,Time=6.2s | BaseRaw=764.9 | CurrentRaw=766.4 | Change=1.5 => Floor
data,,764.9,766.0,1.1,766.0,Time=6.3s | BaseRaw=764.9 | CurrentRaw=766.0 | Change=1.1 => Floor
data,,764.9,764.8,0.1,764.8,Time=6.4s | BaseRaw=764.9 | CurrentRaw=764.8 | Change=0.1 => Floor
data,,764.9,762.8,2.1,762.8,Time=6.5s | BaseRaw=764.9 | CurrentRaw=762.8 | Change=2.1 => Floor
