record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.60,,,,730.60,Collecting baseline... RawAvg=730.60
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,731.83,,,731.83,Final Base Raw Average = 731.83
info,,,,,,--------------------------------------------------------------------------
data,,731.8,730.8,1.0,730.8,Time=0.1s | BaseRaw=731.8 | CurrentRaw=730.8 | Change=1.0 => Floor
data,,731.8,731.6,0.2,731.6,Time=0.2s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,732.2,0.4,732.2,Time=0.3s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,732.0,0.2,732.0,Time=0.4s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,731.8,0.0,731.8,Time=0.5s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.8,0.0,731.8,Time=0.6s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.6,0.2,731.6,Time=0.7s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.4,0.4,731.4,Time=0.8s | BaseRaw=731.8 | CurrentRaw=731.4 | Change=0.4 => Floor
data,,731.8,731.2,0.6,731.2,Time=0.9s | BaseRaw=731.8 | CurrentRaw=731.2 | Change=0.6 => Floor
data,,731.8,731.2,0.6,731.2,Time=1.0s | BaseRaw=731.8 | CurrentRaw=731.2 | Change=0.6 => Floor
data,,731.8,731.4,0.4,731.4,Time=1.1s | BaseRaw=731.8 | CurrentRaw=731.4 | Change=0.4 => Floor
data,,731.8,731.6,0.2,731.6,Time=1.2s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.4,0.4,731.4,Time=1.3s | BaseRaw=731.8 | CurrentRaw=731.4 | Change=0.4 => Floor
data,,731.8,731.6,0.2,731.6,Time=1.4s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.8,0.0,731.8,Time=1.5s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,732.0,0.2,732.0,Time=1.6s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=1.7s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=1.8s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=1.9s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.2,0.4,732.2,Time=2.0s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,732.2,0.4,732.2,Time=2.1s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,731.8,0.0,731.8,Time=2.2s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.3s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.4s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.5s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.6s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.7s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.8s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.6,0.2,731.6,Time=2.9s | BaseRaw=731.8 | CurrentRaw=731.6 | Change=0.2 => Floor
data,,731.8,731.8,0.0,731.8,Time=3.0s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.8,0.0,731.8,Time=3.1s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.8,0.0,731.8,Time=3.2s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,731.8,0.0,731.8,Time=3.3s | BaseRaw=731.8 | CurrentRaw=731.8 | Change=0.0 => Floor
data,,731.8,732.2,0.4,732.2,Time=3.4s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,732.4,0.6,732.4,Time=3.5s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.4,0.6,732.4,Time=3.6s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.4,0.6,732.4,Time=3.7s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.4,0.6,732.4,Time=3.8s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.4,0.6,732.4,Time=3.9s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.6,0.8,732.6,Time=4.0s | BaseRaw=731.8 | CurrentRaw=732.6 | Change=0.8 => Floor
data,,731.8,732.6,0.8,732.6,Time=4.1s | BaseRaw=731.8 | CurrentRaw=732.6 | Change=0.8 => Floor
data,,731.8,732.4,0.6,732.4,Time=4.2s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.6,0.8,732.6,Time=4.3s | BaseRaw=731.8 | CurrentRaw=732.6 | Change=0.8 => Floor
data,,731.8,732.8,1.0,732.8,Time=4.4s | BaseRaw=731.8 | CurrentRaw=732.8 | Change=1.0 => Floor
data,,731.8,732.8,1.0,732.8,Time=4.5s | BaseRaw=731.8 | CurrentRaw=732.8 | Change=1.0 => Floor
data,,731.8,732.6,0.8,732.6,Time=4.6s | BaseRaw=731.8 | CurrentRaw=732.6 | Change=0.8 => Floor
data,,731.8,732.4,0.6,732.4,Time=4.7s | BaseRaw=731.8 | CurrentRaw=732.4 | Change=0.6 => Floor
data,,731.8,732.2,0.4,732.2,Time=4.8s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,732.0,0.2,732.0,Time=4.9s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=5.0s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=5.1s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.0,0.2,732.0,Time=5.2s | BaseRaw=731.8 | CurrentRaw=732.0 | Change=0.2 => Floor
data,,731.8,732.2,0.4,732.2,Time=5.3s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,732.6,0.8,732.6,Time=5.4s | BaseRaw=731.8 | CurrentRaw=732.6 | Change=0.8 => Floor
data,,731.8,733.2,1.4,733.2,Time=5.5s | BaseRaw=731.8 | CurrentRaw=733.2 | Change=1.4 => Floor
data,,731.8,735.4,3.6,735.4,Time=5.6s | BaseRaw=731.8 | CurrentRaw=735.4 | Change=3.6 => Floor
data,,731.8,738.2,6.4,738.2,Time=5.7s | BaseRaw=731.8 | CurrentRaw=738.2 | Change=6.4 => Floor
data,,731.8,739.6,7.8,739.6,Time=5.8s | BaseRaw=731.8 | CurrentRaw=739.6 | Change=7.8 => Floor
data,,731.8,738.8,7.0,738.8,Time=5.9s | BaseRaw=731.8 | CurrentRaw=738.8 | Change=7.0 => Floor
data,,731.8,736.4,4.6,736.4,Time=6.0s | BaseRaw=731.8 | CurrentRaw=736.4 | Change=4.6 => Floor
data,,731.8,732.2,0.4,732.2,Time=6.1s | BaseRaw=731.8 | CurrentRaw=732.2 | Change=0.4 => Floor
data,,731.8,727.8,4.0,727.8,Time=6.2s | BaseRaw=731.8 | CurrentRaw=727.8 | Change=4.0 => Floor
data,,731.8,725.6,6.2,725.6,Time=6.3s | BaseRaw=731.8 | CurrentRaw=725.6 | Change=6.2 => Floor
data,,731.8,725.8,6.0,725.8,Time=6.4s | BaseRaw=731.8 | CurrentRaw=725.8 | Change=6.0 => Floor
data,,731.8,726.8,5.0,726.8,Time=6.5s | BaseRaw=731.8 | CurrentRaw=726.8 | Change=5.0 => Floor
