record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.00,,,,729.00,Collecting baseline... RawAvg=729.00
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,729.00,,,,729.00,Collecting baseline... RawAvg=729.00
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,728.10,,,728.10,Final Base Raw Average = 728.10
info,,,,,,--------------------------------------------------------------------------
data,,728.1,726.6,1.5,726.6,Time=0.1s | BaseRaw=728.1 | CurrentRaw=726.6 | Change=1.5 => Floor
data,,728.1,726.2,1.9,726.2,Time=0.2s | BaseRaw=728.1 | CurrentRaw=726.2 | Change=1.9 => Floor
data,,728.1,726.4,1.7,726.4,Time=0.3s | BaseRaw=728.1 | CurrentRaw=726.4 | Change=1.7 => Floor
data,,728.1,727.0,1.1,727.0,Time=0.4s | BaseRaw=728.1 | CurrentRaw=727.0 | Change=1.1 => Floor
data,,728.1,727.4,0.7,727.4,Time=0.5s | BaseRaw=728.1 | CurrentRaw=727.4 | Change=0.7 => Floor
data,,728.1,727.6,0.5,727.6,Time=0.6s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.6,0.5,727.6,Time=0.7s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.8,0.3,727.8,Time=0.8s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,727.8,0.3,727.8,Time=0.9s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,727.8,0.3,727.8,Time=1.0s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,727.8,0.3,727.8,Time=1.1s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,728.0,0.1,728.0,Time=1.2s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.2,0.1,728.2,Time=1.3s | BaseRaw=728.1 | CurrentRaw=728.2 | Change=0.1 => Floor
data,,728.1,728.2,0.1,728.2,Time=1.4s | BaseRaw=728.1 | CurrentRaw=728.2 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=1.5s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,727.8,0.3,727.8,Time=1.6s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,728.0,0.1,728.0,Time=1.7s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=1.8s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,727.8,0.3,727.8,Time=1.9s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,727.8,0.3,727.8,Time=2.0s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,728.0,0.1,728.0,Time=2.1s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=2.2s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=2.3s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=2.4s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,727.6,0.5,727.6,Time=2.5s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.6,0.5,727.6,Time=2.6s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.6,0.5,727.6,Time=2.7s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.6,0.5,727.6,Time=2.8s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.4,0.7,727.4,Time=2.9s | BaseRaw=728.1 | CurrentRaw=727.4 | Change=0.7 => Floor
data,,728.1,727.6,0.5,727.6,Time=3.0s | BaseRaw=728.1 | CurrentRaw=727.6 | Change=0.5 => Floor
data,,728.1,727.8,0.3,727.8,Time=3.1s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,728.0,0.1,728.0,Time=3.2s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=3.3s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.0,0.1,728.0,Time=3.4s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,727.8,0.3,727.8,Time=3.5s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,728.0,0.1,728.0,Time=3.6s | BaseRaw=728.1 | CurrentRaw=728.0 | Change=0.1 => Floor
data,,728.1,728.4,0.3,728.4,Time=3.7s | BaseRaw=728.1 | CurrentRaw=728.4 | Change=0.3 => Floor
data,,728.1,728.6,0.5,728.6,Time=3.8s | BaseRaw=728.1 | CurrentRaw=728.6 | Change=0.5 => Floor
data,,728.1,728.6,0.5,728.6,Time=3.9s | BaseRaw=728.1 | CurrentRaw=728.6 | Change=0.5 => Floor
data,,728.1,729.0,0.9,729.0,Time=4.0s | BaseRaw=728.1 | CurrentRaw=729.0 | Change=0.9 => Floor
data,,728.1,729.2,1.1,729.2,Time=4.1s | BaseRaw=728.1 | CurrentRaw=729.2 | Change=1.1 => Floor
data,,728.1,729.2,1.1,729.2,Time=4.2s | BaseRaw=728.1 | CurrentRaw=729.2 | Change=1.1 => Floor
data,,728.1,729.0,0.9,729.0,Time=4.3s | BaseRaw=728.1 | CurrentRaw=729.0 | Change=0.9 => Floor
data,,728.1,728.8,0.7,728.8,Time=4.4s | BaseRaw=728.1 | CurrentRaw=728.8 | Change=0.7 => Floor
data,,728.1,728.8,0.7,728.8,Time=4.5s | BaseRaw=728.1 | CurrentRaw=728.8 | Change=0.7 => Floor
data,,728.1,728.6,0.5,728.6,Time=4.6s | BaseRaw=728.1 | CurrentRaw=728.6 | Change=0.5 => Floor
data,,728.1,728.6,0.5,728.6,Time=4.7s | BaseRaw=728.1 | CurrentRaw=728.6 | Change=0.5 => Floor
data,,728.1,728.2,0.1,728.2,Time=4.8s | BaseRaw=728.1 | CurrentRaw=728.2 | Change=0.1 => Floor
data,,728.1,727.8,0.3,727.8,Time=4.9s | BaseRaw=728.1 | CurrentRaw=727.8 | Change=0.3 => Floor
data,,728.1,727.2,0.9,727.2,Time=5.0s | BaseRaw=728.1 | CurrentRaw=727.2 | Change=0.9 => Floor
data,,728.1,726.8,1.3,726.8,Time=5.1s | BaseRaw=728.1 | CurrentRaw=726.8 | Change=1.3 => Floor
data,,728.1,726.2,1.9,726.2,Time=5.2s | BaseRaw=728.1 | CurrentRaw=726.2 | Change=1.9 => Floor
data,,728.1,726.0,2.1,726.0,Time=5.3s | BaseRaw=728.1 | CurrentRaw=726.0 | Change=2.1 => Floor
data,,728.1,726.4,1.7,726.4,Time=5.4s | BaseRaw=728.1 | CurrentRaw=726.4 | Change=1.7 => Floor
data,,728.1,727.4,0.7,727.4,Time=5.5s | BaseRaw=728.1 | CurrentRaw=727.4 | Change=0.7 => Floor
data,,728.1,728.6,0.5,728.6,Time=5.6s | BaseRaw=728.1 | CurrentRaw=728.6 | Change=0.5 => Floor
data,,728.1,730.0,1.9,730.0,Time=5.7s | BaseRaw=728.1 | CurrentRaw=730.0 | Change=1.9 => Floor
data,,728.1,731.6,3.5,731.6,Time=5.8s | BaseRaw=728.1 | CurrentRaw=731.6 | Change=3.5 => Floor
data,,728.1,732.8,4.7,732.8,Time=5.9s | BaseRaw=728.1 | CurrentRaw=732.8 | Change=4.7 => Floor
data,,728.1,733.8,5.7,733.8,Time=6.0s | BaseRaw=728.1 | CurrentRaw=733.8 | Change=5.7 => Floor
data,,728.1,734.8,6.7,734.8,Time=6.1s | BaseRaw=728.1 | CurrentRaw=734.8 | Change=6.7 => Floor
data,,728.1,735.0,6.9,735.0,Time=6.2s | BaseRaw=728.1 | CurrentRaw=735.0 | Change=6.9 => Floor
data,,728.1,734.8,6.7,734.8,Time=6.3s | BaseRaw=728.1 | CurrentRaw=734.8 | Change=6.7 => Floor
data,,728.1,735.0,6.9,735.0,Time=6.4s | BaseRaw=728.1 | CurrentRaw=735.0 | Change=6.9 => Floor
data,,728.1,735.0,6.9,735.0,Time=6.5s | BaseRaw=728.1 | CurrentRaw=735.0 | Change=6.9 => Floor
