record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,462.40,,,,462.40,Collecting baseline... RawAvg=462.40
baseline,462.40,,,,462.40,Collecting baseline... RawAvg=462.40
baseline,462.80,,,,462.80,Collecting baseline... RawAvg=462.80
baseline,463.00,,,,463.00,Collecting baseline... RawAvg=463.00
baseline,463.00,,,,463.00,Collecting baseline... RawAvg=463.00
baseline,462.20,,,,462.20,Collecting baseline... RawAvg=462.20
baseline,462.00,,,,462.00,Collecting baseline... RawAvg=462.00
baseline,461.80,,,,461.80,Collecting baseline... RawAvg=461.80
baseline,461.60,,,,461.60,Collecting baseline... RawAvg=461.60
baseline,462.00,,,,462.00,Collecting baseline... RawAvg=462.00
baseline,462.40,,,,462.40,Collecting baseline... RawAvg=462.40
baseline,463.00,,,,463.00,Collecting baseline... RawAvg=463.00
baseline,463.20,,,,463.20,Collecting baseline... RawAvg=463.20
baseline,463.80,,,,463.80,Collecting baseline... RawAvg=463.80
baseline,464.20,,,,464.20,Collecting baseline... RawAvg=464.20
baseline,464.80,,,,464.80,Collecting baseline... RawAvg=464.80
baseline,465.00,,,,465.00,Collecting baseline... RawAvg=465.00
baseline,465.20,,,,465.20,Collecting baseline... RawAvg=465.20
baseline,464.80,,,,464.80,Collecting baseline... RawAvg=464.80
baseline,464.20,,,,464.20,Collecting baseline... RawAvg=464.20
baseline,463.40,,,,463.40,Collecting baseline... RawAvg=463.40
baseline,462.80,,,,462.80,Collecting baseline... RawAvg=462.80
baseline,462.00,,,,462.00,Collecting baseline... RawAvg=462.00
baseline,461.60,,,,461.60,Collecting baseline... RawAvg=461.60
baseline,461.20,,,,461.20,Collecting baseline... RawAvg=461.20
baseline,461.00,,,,461.00,Collecting baseline... RawAvg=461.00
baseline,460.60,,,,460.60,Collecting baseline... RawAvg=460.60
baseline,460.60,,,,460.60,Collecting baseline... RawAvg=460.60
baseline,460.60,,,,460.60,Collecting baseline... RawAvg=460.60
baseline,461.20,,,,461.20,Collecting baseline... RawAvg=461.20
baseline,461.60,,,,461.60,Collecting baseline... RawAvg=461.60
baseline,462.40,,,,462.40,Collecting baseline... RawAvg=462.40
baseline,463.20,,,,463.20,Collecting baseline... RawAvg=463.20
baseline,463.80,,,,463.80,Collecting baseline... RawAvg=463.80
baseline,464.00,,,,464.00,Collecting baseline... RawAvg=464.00
baseline,464.40,,,,464.40,Collecting baseline... RawAvg=464.40
baseline,464.60,,,,464.60,Collecting baseline... RawAvg=464.60
baseline,464.60,,,,464.60,Collecting baseline... RawAvg=464.60
baseline,465.20,,,,465.20,Collecting baseline... RawAvg=465.20
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,467.40,,,,467.40,Collecting baseline... RawAvg=467.40
baseline,468.40,,,,468.40,Collecting baseline... RawAvg=468.40
baseline,469.80,,,,469.80,Collecting baseline... RawAvg=469.80
baseline,470.80,,,,470.80,Collecting baseline... RawAvg=470.80
baseline,471.00,,,,471.00,Collecting baseline... RawAvg=471.00
baseline,471.40,,,,471.40,Collecting baseline... RawAvg=471.40
baseline,471.80,,,,471.80,Collecting baseline... RawAvg=471.80
baseline,471.80,,,,471.80,Collecting baseline... RawAvg=471.80
baseline,471.80,,,,471.80,Collecting baseline... RawAvg=471.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,464.35,,,464.35,Final Base Raw Average = 464.35
info,,,,,,--------------------------------------------------------------------------
data,,464.4,472.4,8.0,472.4,Time=0.1s | BaseRaw=464.4 | CurrentRaw=472.4 | Change=8.0 => Floor
data,,464.4,472.6,8.2,472.6,Time=0.2s | BaseRaw=464.4 | CurrentRaw=472.6 | Change=8.2 => Floor
data,,464.4,472.4,8.0,472.4,Time=0.3s | BaseRaw=464.4 | CurrentRaw=472.4 | Change=8.0 => Floor
data,,464.4,472.0,7.6,472.0,Time=0.4s | BaseRaw=464.4 | CurrentRaw=472.0 | Change=7.6 => Floor
data,,464.4,471.6,7.2,471.6,Time=0.5s | BaseRaw=464.4 | CurrentRaw=471.6 | Change=7.2 => Floor
data,,464.4,471.8,7.4,471.8,Time=0.6s | BaseRaw=464.4 | CurrentRaw=471.8 | Change=7.4 => Floor
data,,464.4,471.8,7.4,471.8,Time=0.7s | BaseRaw=464.4 | CurrentRaw=471.8 | Change=7.4 => Floor
data,,464.4,471.8,7.4,471.8,Time=0.8s | BaseRaw=464.4 | CurrentRaw=471.8 | Change=7.4 => Floor
data,,464.4,471.6,7.2,471.6,Time=0.9s | BaseRaw=464.4 | CurrentRaw=471.6 | Change=7.2 => Floor
data,,464.4,471.8,7.4,471.8,Time=1.0s | BaseRaw=464.4 | CurrentRaw=471.8 | Change=7.4 => Floor
data,,464.4,471.8,7.4,471.8,Time=1.1s | BaseRaw=464.4 | CurrentRaw=471.8 | Change=7.4 => Floor
data,,464.4,471.6,7.2,471.6,Time=1.2s | BaseRaw=464.4 | CurrentRaw=471.6 | Change=7.2 => Floor
data,,464.4,471.4,7.0,471.4,Time=1.3s | BaseRaw=464.4 | CurrentRaw=471.4 | Change=7.0 => Floor
data,,464.4,471.2,6.8,471.2,Time=1.4s | BaseRaw=464.4 | CurrentRaw=471.2 | Change=6.8 => Floor
data,,464.4,470.8,6.4,470.8,Time=1.5s | BaseRaw=464.4 | CurrentRaw=470.8 | Change=6.4 => Floor
data,,464.4,470.8,6.4,470.8,Time=1.6s | BaseRaw=464.4 | CurrentRaw=470.8 | Change=6.4 => Floor
data,,464.4,470.8,6.4,470.8,Time=1.7s | BaseRaw=464.4 | CurrentRaw=470.8 | Change=6.4 => Floor
data,,464.4,470.6,6.2,470.6,Time=1.8s | BaseRaw=464.4 | CurrentRaw=470.6 | Change=6.2 => Floor
data,,464.4,470.4,6.0,470.4,Time=1.9s | BaseRaw=464.4 | CurrentRaw=470.4 | Change=6.0 => Floor
data,,464.4,470.0,5.6,470.0,Time=2.0s | BaseRaw=464.4 | CurrentRaw=470.0 | Change=5.6 => Floor
data,,464.4,469.4,5.0,469.4,Time=2.1s | BaseRaw=464.4 | CurrentRaw=469.4 | Change=5.0 => Floor
data,,464.4,469.0,4.6,469.0,Time=2.2s | BaseRaw=464.4 | CurrentRaw=469.0 | Change=4.6 => Floor
data,,464.4,468.8,4.4,468.8,Time=2.3s | BaseRaw=464.4 | CurrentRaw=468.8 | Change=4.4 => Floor
data,,464.4,469.0,4.6,469.0,Time=2.4s | BaseRaw=464.4 | CurrentRaw=469.0 | Change=4.6 => Floor
data,,464.4,469.2,4.8,469.2,Time=2.5s | BaseRaw=464.4 | CurrentRaw=469.2 | Change=4.8 => Floor
data,,464.4,469.2,4.8,469.2,Time=2.6s | BaseRaw=464.4 | CurrentRaw=469.2 | Change=4.8 => Floor
data,,464.4,469.0,4.6,469.0,Time=2.7s | BaseRaw=464.4 | CurrentRaw=469.0 | Change=4.6 => Floor
data,,464.4,468.8,4.4,468.8,Time=2.8s | BaseRaw=464.4 | CurrentRaw=468.8 | Change=4.4 => Floor
data,,464.4,468.6,4.2,468.6,Time=2.9s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.0s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.1s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.2s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.3s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.4s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.5s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.6s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,468.6,4.2,468.6,Time=3.7s | BaseRaw=464.4 | CurrentRaw=468.6 | Change=4.2 => Floor
data,,464.4,467.8,3.4,467.8,Time=3.8s | BaseRaw=464.4 | CurrentRaw=467.8 | Change=3.4 => Floor
data,,464.4,467.6,3.2,467.6,Time=3.9s | BaseRaw=464.4 | CurrentRaw=467.6 | Change=3.2 => Floor
data,,464.4,468.0,3.6,468.0,Time=4.0s | BaseRaw=464.4 | CurrentRaw=468.0 | Change=3.6 => Floor
data,,464.4,467.8,3.4,467.8,Time=4.1s | BaseRaw=464.4 | CurrentRaw=467.8 | Change=3.4 => Floor
data,,464.4,467.8,3.4,467.8,Time=4.2s | BaseRaw=464.4 | CurrentRaw=467.8 | Change=3.4 => Floor
data,,464.4,468.0,3.6,468.0,Time=4.3s | BaseRaw=464.4 | CurrentRaw=468.0 | Change=3.6 => Floor
data,,464.4,468.0,3.6,468.0,Time=4.4s | BaseRaw=464.4 | CurrentRaw=468.0 | Change=3.6 => Floor
data,,464.4,467.6,3.2,467.6,Time=4.5s | BaseRaw=464.4 | CurrentRaw=467.6 | Change=3.2 => Floor
data,,464.4,467.4,3.0,467.4,Time=4.6s | BaseRaw=464.4 | CurrentRaw=467.4 | Change=3.0 => Floor
data,,464.4,467.0,2.6,467.0,Time=4.7s | BaseRaw=464.4 | CurrentRaw=467.0 | Change=2.6 => Floor
data,,464.4,467.2,2.8,467.2,Time=4.8s | BaseRaw=464.4 | CurrentRaw=467.2 | Change=2.8 => Floor
data,,464.4,467.8,3.4,467.8,Time=4.9s | BaseRaw=464.4 | CurrentRaw=467.8 | Change=3.4 => Floor
data,,464.4,469.8,5.4,469.8,Time=5.0s | BaseRaw=464.4 | CurrentRaw=469.8 | Change=5.4 => Floor
data,,464.4,473.2,8.8,473.2,Time=5.1s | BaseRaw=464.4 | CurrentRaw=473.2 | Change=8.8 => Floor
data,,464.4,477.4,13.0,477.4,Time=5.2s | BaseRaw=464.4 | CurrentRaw=477.4 | Change=13.0 => Liquid
data,,464.4,482.8,18.4,482.8,Time=5.3s | BaseRaw=464.4 | CurrentRaw=482.8 | Change=18.4 => Liquid
data,,464.4,490.0,25.6,490.0,Time=5.4s | BaseRaw=464.4 | CurrentRaw=490.0 | Change=25.6 => Liquid
data,,464.4,494.8,30.4,494.8,Time=5.5s | BaseRaw=464.4 | CurrentRaw=494.8 | Change=30.4 => Liquid
data,,464.4,498.0,33.6,498.0,Time=5.6s | BaseRaw=464.4 | CurrentRaw=498.0 | Change=33.6 => Liquid
data,,464.4,501.8,37.4,501.8,Time=5.7s | BaseRaw=464.4 | CurrentRaw=501.8 | Change=37.4 => Liquid
data,,464.4,503.8,39.4,503.8,Time=5.8s | BaseRaw=464.4 | CurrentRaw=503.8 | Change=39.4 => Liquid
data,,464.4,503.0,38.6,503.0,Time=5.9s | BaseRaw=464.4 | CurrentRaw=503.0 | Change=38.6 => Liquid
data,,464.4,503.2,38.8,503.2,Time=6.0s | BaseRaw=464.4 | CurrentRaw=503.2 | Change=38.8 => Liquid
data,,464.4,503.2,38.8,503.2,Time=6.1s | BaseRaw=464.4 | CurrentRaw=503.2 | Change=38.8 => Liquid
data,,464.4,502.0,37.6,502.0,Time=6.2s | BaseRaw=464.4 | CurrentRaw=502.0 | Change=37.6 => Liquid
data,,464.4,502.4,38.0,502.4,Time=6.3s | BaseRaw=464.4 | CurrentRaw=502.4 | Change=38.0 => Liquid
data,,464.4,502.4,38.0,502.4,Time=6.4s | BaseRaw=464.4 | CurrentRaw=502.4 | Change=38.0 => Liquid
data,,464.4,501.8,37.4,501.8,Time=6.5s | BaseRaw=464.4 | CurrentRaw=501.8 | Change=37.4 => Liquid
