record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,478.80,,,,478.80,Collecting baseline... RawAvg=478.80
baseline,478.40,,,,478.40,Collecting baseline... RawAvg=478.40
baseline,478.00,,,,478.00,Collecting baseline... RawAvg=478.00
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,477.20,,,,477.20,Collecting baseline... RawAvg=477.20
baseline,477.40,,,,477.40,Collecting baseline... RawAvg=477.40
baseline,478.20,,,,478.20,Collecting baseline... RawAvg=478.20
baseline,479.00,,,,479.00,Collecting baseline... RawAvg=479.00
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,479.60,,,,479.60,Collecting baseline... RawAvg=479.60
baseline,480.00,,,,480.00,Collecting baseline... RawAvg=480.00
baseline,479.80,,,,479.80,Collecting baseline... RawAvg=479.80
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,479.00,,,,479.00,Collecting baseline... RawAvg=479.00
baseline,478.60,,,,478.60,Collecting baseline... RawAvg=478.60
baseline,477.80,,,,477.80,Collecting baseline... RawAvg=477.80
baseline,477.20,,,,477.20,Collecting baseline... RawAvg=477.20
baseline,476.60,,,,476.60,Collecting baseline... RawAvg=476.60
baseline,476.20,,,,476.20,Collecting baseline... RawAvg=476.20
baseline,476.00,,,,476.00,Collecting baseline... RawAvg=476.00
baseline,476.20,,,,476.20,Collecting baseline... RawAvg=476.20
baseline,476.60,,,,476.60,Collecting baseline... RawAvg=476.60
baseline,477.20,,,,477.20,Collecting baseline... RawAvg=477.20
baseline,478.00,,,,478.00,Collecting baseline... RawAvg=478.00
baseline,479.20,,,,479.20,Collecting baseline... RawAvg=479.20
baseline,480.40,,,,480.40,Collecting baseline... RawAvg=480.40
baseline,481.00,,,,481.00,Collecting baseline... RawAvg=481.00
baseline,481.20,,,,481.20,Collecting baseline... RawAvg=481.20
baseline,481.40,,,,481.40,Collecting baseline... RawAvg=481.40
baseline,481.00,,,,481.00,Collecting baseline... RawAvg=481.00
baseline,480.20,,,,480.20,Collecting baseline... RawAvg=480.20
baseline,479.60,,,,479.60,Collecting baseline... RawAvg=479.60
baseline,479.40,,,,479.40,Collecting baseline... RawAvg=479.40
baseline,478.60,,,,478.60,Collecting baseline... RawAvg=478.60
baseline,478.00,,,,478.00,Collecting baseline... RawAvg=478.00
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,477.40,,,,477.40,Collecting baseline... RawAvg=477.40
baseline,477.60,,,,477.60,Collecting baseline... RawAvg=477.60
baseline,478.00,,,,478.00,Collecting baseline... RawAvg=478.00
baseline,478.60,,,,478.60,Collecting baseline... RawAvg=478.60
baseline,479.00,,,,479.00,Collecting baseline... RawAvg=479.00
baseline,479.60,,,,479.60,Collecting baseline... RawAvg=479.60
baseline,480.40,,,,480.40,Collecting baseline... RawAvg=480.40
baseline,481.00,,,,481.00,Collecting baseline... RawAvg=481.00
baseline,481.40,,,,481.40,Collecting baseline... RawAvg=481.40
baseline,481.60,,,,481.60,Collecting baseline... RawAvg=481.60
baseline,481.60,,,,481.60,Collecting baseline... RawAvg=481.60
baseline,481.00,,,,481.00,Collecting baseline... RawAvg=481.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,478.87,,,478.87,Final Base Raw Average = 478.87
info,,,,,,--------------------------------------------------------------------------
data,,478.9,479.4,0.5,479.4,Time=0.1s | BaseRaw=478.9 | CurrentRaw=479.4 | Change=0.5 => Floor
data,,478.9,478.4,0.5,478.4,Time=0.2s | BaseRaw=478.9 | CurrentRaw=478.4 | Change=0.5 => Floor
data,,478.9,477.8,1.1,477.8,Time=0.3s | BaseRaw=478.9 | CurrentRaw=477.8 | Change=1.1 => Floor
data,,478.9,478.2,0.7,478.2,Time=0.4s | BaseRaw=478.9 | CurrentRaw=478.2 | Change=0.7 => Floor
data,,478.9,478.8,0.1,478.8,Time=0.5s | BaseRaw=478.9 | CurrentRaw=478.8 | Change=0.1 => Floor
data,,478.9,478.8,0.1,478.8,Time=0.6s | BaseRaw=478.9 | CurrentRaw=478.8 | Change=0.1 => Floor
data,,478.9,478.8,0.1,478.8,Time=0.7s | BaseRaw=478.9 | CurrentRaw=478.8 | Change=0.1 => Floor
data,,478.9,478.8,0.1,478.8,Time=0.8s | BaseRaw=478.9 | CurrentRaw=478.8 | Change=0.1 => Floor
data,,478.9,478.8,0.1,478.8,Time=0.9s | BaseRaw=478.9 | CurrentRaw=478.8 | Change=0.1 => Floor
data,,478.9,479.0,0.1,479.0,Time=1.0s | BaseRaw=478.9 | CurrentRaw=479.0 | Change=0.1 => Floor
data,,478.9,479.0,0.1,479.0,Time=1.1s | BaseRaw=478.9 | CurrentRaw=479.0 | Change=0.1 => Floor
data,,478.9,479.2,0.3,479.2,Time=1.2s | BaseRaw=478.9 | CurrentRaw=479.2 | Change=0.3 => Floor
data,,478.9,479.4,0.5,479.4,Time=1.3s | BaseRaw=478.9 | CurrentRaw=479.4 | Change=0.5 => Floor
data,,478.9,479.6,0.7,479.6,Time=1.4s | BaseRaw=478.9 | CurrentRaw=479.6 | Change=0.7 => Floor
data,,478.9,479.6,0.7,479.6,Time=1.5s | BaseRaw=478.9 | CurrentRaw=479.6 | Change=0.7 => Floor
data,,478.9,479.8,0.9,479.8,Time=1.6s | BaseRaw=478.9 | CurrentRaw=479.8 | Change=0.9 => Floor
data,,478.9,480.2,1.3,480.2,Time=1.7s | BaseRaw=478.9 | CurrentRaw=480.2 | Change=1.3 => Floor
data,,478.9,480.4,1.5,480.4,Time=1.8s | BaseRaw=478.9 | CurrentRaw=480.4 | Change=1.5 => Floor
data,,478.9,480.4,1.5,480.4,Time=1.9s | BaseRaw=478.9 | CurrentRaw=480.4 | Change=1.5 => Floor
data,,478.9,480.0,1.1,480.0,Time=2.0s | BaseRaw=478.9 | CurrentRaw=480.0 | Change=1.1 => Floor
data,,478.9,479.6,0.7,479.6,Time=2.1s | BaseRaw=478.9 | CurrentRaw=479.6 | Change=0.7 => Floor
data,,478.9,479.4,0.5,479.4,Time=2.2s | BaseRaw=478.9 | CurrentRaw=479.4 | Change=0.5 => Floor
data,,478.9,479.2,0.3,479.2,Time=2.3s | BaseRaw=478.9 | CurrentRaw=479.2 | Change=0.3 => Floor
data,,478.9,479.0,0.1,479.0,Time=2.4s | BaseRaw=478.9 | CurrentRaw=479.0 | Change=0.1 => Floor
data,,478.9,478.6,0.3,478.6,Time=2.5s | BaseRaw=478.9 | CurrentRaw=478.6 | Change=0.3 => Floor
data,,478.9,478.2,0.7,478.2,Time=2.6s | BaseRaw=478.9 | CurrentRaw=478.2 | Change=0.7 => Floor
data,,478.9,477.4,1.5,477.4,Time=2.7s | BaseRaw=478.9 | CurrentRaw=477.4 | Change=1.5 => Floor
data,,478.9,476.8,2.1,476.8,Time=2.8s | BaseRaw=478.9 | CurrentRaw=476.8 | Change=2.1 => Floor
data,,478.9,476.2,2.7,476.2,Time=2.9s | BaseRaw=478.9 | CurrentRaw=476.2 | Change=2.7 => Floor
data,,478.9,475.4,3.5,475.4,Time=3.0s | BaseRaw=478.9 | CurrentRaw=475.4 | Change=3.5 => Floor
data,,478.9,474.8,4.1,474.8,Time=3.1s | BaseRaw=478.9 | CurrentRaw=474.8 | Change=4.1 => Floor
data,,478.9,474.4,4.5,474.4,Time=3.2s | BaseRaw=478.9 | CurrentRaw=474.4 | Change=4.5 => Floor
data,,478.9,474.2,4.7,474.2,Time=3.3s | BaseRaw=478.9 | CurrentRaw=474.2 | Change=4.7 => Floor
data,,478.9,474.0,4.9,474.0,Time=3.4s | BaseRaw=478.9 | CurrentRaw=474.0 | Change=4.9 => Floor
data,,478.9,474.4,4.5,474.4,Time=3.5s | BaseRaw=478.9 | CurrentRaw=474.4 | Change=4.5 => Floor
data,,478.9,475.0,3.9,475.0,Time=3.6s | BaseRaw=478.9 | CurrentRaw=475.0 | Change=3.9 => Floor
data,,478.9,475.6,3.3,475.6,Time=3.7s | BaseRaw=478.9 | CurrentRaw=475.6 | Change=3.3 => Floor
data,,478.9,476.4,2.5,476.4,Time=3.8s | BaseRaw=478.9 | CurrentRaw=476.4 | Change=2.5 => Floor
data,,478.9,476.8,2.1,476.8,Time=3.9s | BaseRaw=478.9 | CurrentRaw=476.8 | Change=2.1 => Floor
data,,478.9,476.8,2.1,476.8,Time=4.0s | BaseRaw=478.9 | CurrentRaw=476.8 | Change=2.1 => Floor
data,,478.9,476.8,2.1,476.8,Time=4.1s | BaseRaw=478.9 | CurrentRaw=476.8 | Change=2.1 => Floor
data,,478.9,476.8,2.1,476.8,Time=4.2s | BaseRaw=478.9 | CurrentRaw=476.8 | Change=2.1 => Floor
data,,478.9,476.6,2.3,476.6,Time=4.3s | BaseRaw=478.9 | CurrentRaw=476.6 | Change=2.3 => Floor
data,,478.9,476.4,2.5,476.4,Time=4.4s | BaseRaw=478.9 | CurrentRaw=476.4 | Change=2.5 => Floor
data,,478.9,476.4,2.5,476.4,Time=4.5s | BaseRaw=478.9 | CurrentRaw=476.4 | Change=2.5 => Floor
data,,478.9,476.0,2.9,476.0,Time=4.6s | BaseRaw=478.9 | CurrentRaw=476.0 | Change=2.9 => Floor
data,,478.9,475.8,3.1,475.8,Time=4.7s | BaseRaw=478.9 | CurrentRaw=475.8 | Change=3.1 => Floor
data,,478.9,475.0,3.9,475.0,Time=4.8s | BaseRaw=478.9 | CurrentRaw=475.0 | Change=3.9 => Floor
data,,478.9,475.2,3.7,475.2,Time=4.9s | BaseRaw=478.9 | CurrentRaw=475.2 | Change=3.7 => Floor
data,,478.9,473.8,5.1,473.8,Time=5.0s | BaseRaw=478.9 | CurrentRaw=473.8 | Change=5.1 => Floor
data,,478.9,468.4,10.5,468.4,Time=5.1s | BaseRaw=478.9 | CurrentRaw=468.4 | Change=10.5 => Liquid
data,,478.9,463.4,15.5,463.4,Time=5.2s | BaseRaw=478.9 | CurrentRaw=463.4 | Change=15.5 => Liquid
data,,478.9,457.0,21.9,457.0,Time=5.3s | BaseRaw=478.9 | CurrentRaw=457.0 | Change=21.9 => Liquid
data,,478.9,449.6,29.3,449.6,Time=5.4s | BaseRaw=478.9 | CurrentRaw=449.6 | Change=29.3 => Liquid
data,,478.9,445.8,33.1,445.8,Time=5.5s | BaseRaw=478.9 | CurrentRaw=445.8 | Change=33.1 => Liquid
data,,478.9,447.8,31.1,447.8,Time=5.6s | BaseRaw=478.9 | CurrentRaw=447.8 | Change=31.1 => Liquid
data,,478.9,449.4,29.5,449.4,Time=5.7s | BaseRaw=478.9 | CurrentRaw=449.4 | Change=29.5 => Liquid
data,,478.9,453.6,25.3,453.6,Time=5.8s | BaseRaw=478.9 | CurrentRaw=453.6 | Change=25.3 => Liquid
data,,478.9,457.8,21.1,457.8,Time=5.9s | BaseRaw=478.9 | CurrentRaw=457.8 | Change=21.1 => Liquid
data,,478.9,459.8,19.1,459.8,Time=6.0s | BaseRaw=478.9 | CurrentRaw=459.8 | Change=19.1 => Liquid
data,,478.9,461.6,17.3,461.6,Time=6.1s | BaseRaw=478.9 | CurrentRaw=461.6 | Change=17.3 => Liquid
data,,478.9,462.8,16.1,462.8,Time=6.2s | BaseRaw=478.9 | CurrentRaw=462.8 | Change=16.1 => Liquid
data,,478.9,462.0,16.9,462.0,Time=6.3s | BaseRaw=478.9 | CurrentRaw=462.0 | Change=16.9 => Liquid
data,,478.9,462.0,16.9,462.0,Time=6.4s | BaseRaw=478.9 | CurrentRaw=462.0 | Change=16.9 => Liquid
data,,478.9,462.6,16.3,462.6,Time=6.5s | BaseRaw=478.9 | CurrentRaw=462.6 | Change=16.3 => Liquid
