record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,453.00,,,,453.00,Collecting baseline... RawAvg=453.00
baseline,453.40,,,,453.40,Collecting baseline... RawAvg=453.40
baseline,453.80,,,,453.80,Collecting baseline... RawAvg=453.80
baseline,454.20,,,,454.20,Collecting baseline... RawAvg=454.20
baseline,454.20,,,,454.20,Collecting baseline... RawAvg=454.20
baseline,454.40,,,,454.40,Collecting baseline... RawAvg=454.40
baseline,453.60,,,,453.60,Collecting baseline... RawAvg=453.60
baseline,452.60,,,,452.60,Collecting baseline... RawAvg=452.60
baseline,451.40,,,,451.40,Collecting baseline... RawAvg=451.40
baseline,450.40,,,,450.40,Collecting baseline... RawAvg=450.40
baseline,449.60,,,,449.60,Collecting baseline... RawAvg=449.60
baseline,449.00,,,,449.00,Collecting baseline... RawAvg=449.00
baseline,449.00,,,,449.00,Collecting baseline... RawAvg=449.00
baseline,449.20,,,,449.20,Collecting baseline... RawAvg=449.20
baseline,449.80,,,,449.80,Collecting baseline... RawAvg=449.80
baseline,450.40,,,,450.40,Collecting baseline... RawAvg=450.40
baseline,451.00,,,,451.00,Collecting baseline... RawAvg=451.00
baseline,451.60,,,,451.60,Collecting baseline... RawAvg=451.60
baseline,452.40,,,,452.40,Collecting baseline... RawAvg=452.40
baseline,452.80,,,,452.80,Collecting baseline... RawAvg=452.80
baseline,453.20,,,,453.20,Collecting baseline... RawAvg=453.20
baseline,453.60,,,,453.60,Collecting baseline... RawAvg=453.60
baseline,453.40,,,,453.40,Collecting baseline... RawAvg=453.40
baseline,453.00,,,,453.00,Collecting baseline... RawAvg=453.00
baseline,452.40,,,,452.40,Collecting baseline... RawAvg=452.40
baseline,451.60,,,,451.60,Collecting baseline... RawAvg=451.60
baseline,450.40,,,,450.40,Collecting baseline... RawAvg=450.40
baseline,449.40,,,,449.40,Collecting baseline... RawAvg=449.40
baseline,448.40,,,,448.40,Collecting baseline... RawAvg=448.40
baseline,447.80,,,,447.80,Collecting baseline... RawAvg=447.80
baseline,447.40,,,,447.40,Collecting baseline... RawAvg=447.40
baseline,447.40,,,,447.40,Collecting baseline... RawAvg=447.40
baseline,447.80,,,,447.80,Collecting baseline... RawAvg=447.80
baseline,448.40,,,,448.40,Collecting baseline... RawAvg=448.40
baseline,449.20,,,,449.20,Collecting baseline... RawAvg=449.20
baseline,450.20,,,,450.20,Collecting baseline... RawAvg=450.20
baseline,451.20,,,,451.20,Collecting baseline... RawAvg=451.20
baseline,452.00,,,,452.00,Collecting baseline... RawAvg=452.00
baseline,452.40,,,,452.40,Collecting baseline... RawAvg=452.40
baseline,452.80,,,,452.80,Collecting baseline... RawAvg=452.80
baseline,452.80,,,,452.80,Collecting baseline... RawAvg=452.80
baseline,452.20,,,,452.20,Collecting baseline... RawAvg=452.20
baseline,451.40,,,,451.40,Collecting baseline... RawAvg=451.40
baseline,450.80,,,,450.80,Collecting baseline... RawAvg=450.80
baseline,450.00,,,,450.00,Collecting baseline... RawAvg=450.00
baseline,449.00,,,,449.00,Collecting baseline... RawAvg=449.00
baseline,448.60,,,,448.60,Collecting baseline... RawAvg=448.60
baseline,448.20,,,,448.20,Collecting baseline... RawAvg=448.20
baseline,448.00,,,,448.00,Collecting baseline... RawAvg=448.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,451.00,,,451.00,Final Base Raw Average = 451.00
info,,,,,,--------------------------------------------------------------------------
data,,451.0,448.2,2.8,448.2,Time=0.1s | BaseRaw=451.0 | CurrentRaw=448.2 | Change=2.8 => Floor
data,,451.0,449.0,2.0,449.0,Time=0.2s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,450.2,0.8,450.2,Time=0.3s | BaseRaw=451.0 | CurrentRaw=450.2 | Change=0.8 => Floor
data,,451.0,451.0,0.0,451.0,Time=0.4s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,451.4,0.4,451.4,Time=0.5s | BaseRaw=451.0 | CurrentRaw=451.4 | Change=0.4 => Floor
data,,451.0,451.6,0.6,451.6,Time=0.6s | BaseRaw=451.0 | CurrentRaw=451.6 | Change=0.6 => Floor
data,,451.0,451.8,0.8,451.8,Time=0.7s | BaseRaw=451.0 | CurrentRaw=451.8 | Change=0.8 => Floor
data,,451.0,451.8,0.8,451.8,Time=0.8s | BaseRaw=451.0 | CurrentRaw=451.8 | Change=0.8 => Floor
data,,451.0,451.6,0.6,451.6,Time=0.9s | BaseRaw=451.0 | CurrentRaw=451.6 | Change=0.6 => Floor
data,,451.0,451.2,0.2,451.2,Time=1.0s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.2,0.2,451.2,Time=1.1s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.2,0.2,451.2,Time=1.2s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.2,0.2,451.2,Time=1.3s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.0,0.0,451.0,Time=1.4s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,451.0,0.0,451.0,Time=1.5s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,450.8,0.2,450.8,Time=1.6s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,450.8,0.2,450.8,Time=1.7s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,450.8,0.2,450.8,Time=1.8s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,450.8,0.2,450.8,Time=1.9s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,451.0,0.0,451.0,Time=2.0s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,451.0,0.0,451.0,Time=2.1s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,451.0,0.0,451.0,Time=2.2s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,451.0,0.0,451.0,Time=2.3s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,450.8,0.2,450.8,Time=2.4s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,450.8,0.2,450.8,Time=2.5s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,451.2,0.2,451.2,Time=2.6s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.4,0.4,451.4,Time=2.7s | BaseRaw=451.0 | CurrentRaw=451.4 | Change=0.4 => Floor
data,,451.0,451.4,0.4,451.4,Time=2.8s | BaseRaw=451.0 | CurrentRaw=451.4 | Change=0.4 => Floor
data,,451.0,451.2,0.2,451.2,Time=2.9s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.2,0.2,451.2,Time=3.0s | BaseRaw=451.0 | CurrentRaw=451.2 | Change=0.2 => Floor
data,,451.0,451.0,0.0,451.0,Time=3.1s | BaseRaw=451.0 | CurrentRaw=451.0 | Change=0.0 => Floor
data,,451.0,450.8,0.2,450.8,Time=3.2s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,450.4,0.6,450.4,Time=3.3s | BaseRaw=451.0 | CurrentRaw=450.4 | Change=0.6 => Floor
data,,451.0,450.4,0.6,450.4,Time=3.4s | BaseRaw=451.0 | CurrentRaw=450.4 | Change=0.6 => Floor
data,,451.0,450.2,0.8,450.2,Time=3.5s | BaseRaw=451.0 | CurrentRaw=450.2 | Change=0.8 => Floor
data,,451.0,450.0,1.0,450.0,Time=3.6s | BaseRaw=451.0 | CurrentRaw=450.0 | Change=1.0 => Floor
data,,451.0,450.0,1.0,450.0,Time=3.7s | BaseRaw=451.0 | CurrentRaw=450.0 | Change=1.0 => Floor
data,,451.0,449.6,1.4,449.6,Time=3.8s | BaseRaw=451.0 | CurrentRaw=449.6 | Change=1.4 => Floor
data,,451.0,449.4,1.6,449.4,Time=3.9s | BaseRaw=451.0 | CurrentRaw=449.4 | Change=1.6 => Floor
data,,451.0,449.2,1.8,449.2,Time=4.0s | BaseRaw=451.0 | CurrentRaw=449.2 | Change=1.8 => Floor
data,,451.0,449.0,2.0,449.0,Time=4.1s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,448.6,2.4,448.6,Time=4.2s | BaseRaw=451.0 | CurrentRaw=448.6 | Change=2.4 => Floor
data,,451.0,448.6,2.4,448.6,Time=4.3s | BaseRaw=451.0 | CurrentRaw=448.6 | Change=2.4 => Floor
data,,451.0,448.4,2.6,448.4,Time=4.4s | BaseRaw=451.0 | CurrentRaw=448.4 | Change=2.6 => Floor
data,,451.0,448.6,2.4,448.6,Time=4.5s | BaseRaw=451.0 | CurrentRaw=448.6 | Change=2.4 => Floor
data,,451.0,449.0,2.0,449.0,Time=4.6s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=4.7s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=4.8s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=4.9s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=5.0s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=5.1s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.0,2.0,449.0,Time=5.2s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,448.8,2.2,448.8,Time=5.3s | BaseRaw=451.0 | CurrentRaw=448.8 | Change=2.2 => Floor
data,,451.0,449.0,2.0,449.0,Time=5.4s | BaseRaw=451.0 | CurrentRaw=449.0 | Change=2.0 => Floor
data,,451.0,449.6,1.4,449.6,Time=5.5s | BaseRaw=451.0 | CurrentRaw=449.6 | Change=1.4 => Floor
data,,451.0,450.8,0.2,450.8,Time=5.6s | BaseRaw=451.0 | CurrentRaw=450.8 | Change=0.2 => Floor
data,,451.0,452.8,1.8,452.8,Time=5.7s | BaseRaw=451.0 | CurrentRaw=452.8 | Change=1.8 => Floor
data,,451.0,455.6,4.6,455.6,Time=5.8s | BaseRaw=451.0 | CurrentRaw=455.6 | Change=4.6 => Floor
data,,451.0,457.6,6.6,457.6,Time=5.9s | BaseRaw=451.0 | CurrentRaw=457.6 | Change=6.6 => Floor
data,,451.0,457.6,6.6,457.6,Time=6.0s | BaseRaw=451.0 | CurrentRaw=457.6 | Change=6.6 => Floor
data,,451.0,455.0,4.0,455.0,Time=6.1s | BaseRaw=451.0 | CurrentRaw=455.0 | Change=4.0 => Floor
data,,451.0,451.6,0.6,451.6,Time=6.2s | BaseRaw=451.0 | CurrentRaw=451.6 | Change=0.6 => Floor
data,,451.0,448.2,2.8,448.2,Time=6.3s | BaseRaw=451.0 | CurrentRaw=448.2 | Change=2.8 => Floor
data,,451.0,446.8,4.2,446.8,Time=6.4s | BaseRaw=451.0 | CurrentRaw=446.8 | Change=4.2 => Floor
data,,451.0,447.8,3.2,447.8,Time=6.5s | BaseRaw=451.0 | CurrentRaw=447.8 | Change=3.2 => Floor
