record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,704.20,,,,704.20,Collecting baseline... RawAvg=704.20
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,703.00,,,,703.00,Collecting baseline... RawAvg=703.00
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.20,,,,705.20,Collecting baseline... RawAvg=705.20
baseline,705.60,,,,705.60,Collecting baseline... RawAvg=705.60
baseline,706.00,,,,706.00,Collecting baseline... RawAvg=706.00
baseline,705.80,,,,705.80,Collecting baseline... RawAvg=705.80
baseline,705.60,,,,705.60,Collecting baseline... RawAvg=705.60
baseline,705.20,,,,705.20,Collecting baseline... RawAvg=705.20
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,702.60,,,,702.60,Collecting baseline... RawAvg=702.60
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,705.40,,,,705.40,Collecting baseline... RawAvg=705.40
baseline,705.80,,,,705.80,Collecting baseline... RawAvg=705.80
baseline,705.80,,,,705.80,Collecting baseline... RawAvg=705.80
baseline,705.40,,,,705.40,Collecting baseline... RawAvg=705.40
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,702.00,,,,702.00,Collecting baseline... RawAvg=702.00
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,703.97,,,703.97,Final Base Raw Average = 703.97
info,,,,,,--------------------------------------------------------------------------
data,,704.0,703.2,0.8,703.2,Time=0.1s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,704.0,0.0,704.0,Time=0.2s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.2,0.2,704.2,Time=0.3s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,703.8,0.2,703.8,Time=0.4s | BaseRaw=704.0 | CurrentRaw=703.8 | Change=0.2 => Floor
data,,704.0,703.4,0.6,703.4,Time=0.5s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.4,0.6,703.4,Time=0.6s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.4,0.6,703.4,Time=0.7s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.2,0.8,703.2,Time=0.8s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,703.2,0.8,703.2,Time=0.9s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,703.4,0.6,703.4,Time=1.0s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.4,0.6,703.4,Time=1.1s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.4,0.6,703.4,Time=1.2s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.6,0.4,703.6,Time=1.3s | BaseRaw=704.0 | CurrentRaw=703.6 | Change=0.4 => Floor
data,,704.0,703.6,0.4,703.6,Time=1.4s | BaseRaw=704.0 | CurrentRaw=703.6 | Change=0.4 => Floor
data,,704.0,703.6,0.4,703.6,Time=1.5s | BaseRaw=704.0 | CurrentRaw=703.6 | Change=0.4 => Floor
data,,704.0,704.0,0.0,704.0,Time=1.6s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=1.7s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,703.8,0.2,703.8,Time=1.8s | BaseRaw=704.0 | CurrentRaw=703.8 | Change=0.2 => Floor
data,,704.0,704.0,0.0,704.0,Time=1.9s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=2.0s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.1s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.2s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.3s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.4s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.4,0.4,704.4,Time=2.5s | BaseRaw=704.0 | CurrentRaw=704.4 | Change=0.4 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.6s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.0,0.0,704.0,Time=2.7s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=2.8s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.2,0.2,704.2,Time=2.9s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.4,0.4,704.4,Time=3.0s | BaseRaw=704.0 | CurrentRaw=704.4 | Change=0.4 => Floor
data,,704.0,704.6,0.6,704.6,Time=3.1s | BaseRaw=704.0 | CurrentRaw=704.6 | Change=0.6 => Floor
data,,704.0,704.4,0.4,704.4,Time=3.2s | BaseRaw=704.0 | CurrentRaw=704.4 | Change=0.4 => Floor
data,,704.0,704.2,0.2,704.2,Time=3.3s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=3.4s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=3.5s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.0,0.0,704.0,Time=3.6s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=3.7s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=3.8s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=3.9s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.0s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.1s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.2s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.3s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.4s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.2,0.2,704.2,Time=4.5s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=4.6s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.2,0.2,704.2,Time=4.7s | BaseRaw=704.0 | CurrentRaw=704.2 | Change=0.2 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.8s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=4.9s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=5.0s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,703.8,0.2,703.8,Time=5.1s | BaseRaw=704.0 | CurrentRaw=703.8 | Change=0.2 => Floor
data,,704.0,703.2,0.8,703.2,Time=5.2s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,703.4,0.6,703.4,Time=5.3s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.4,0.6,703.4,Time=5.4s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.2,0.8,703.2,Time=5.5s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,703.2,0.8,703.2,Time=5.6s | BaseRaw=704.0 | CurrentRaw=703.2 | Change=0.8 => Floor
data,,704.0,703.4,0.6,703.4,Time=5.7s | BaseRaw=704.0 | CurrentRaw=703.4 | Change=0.6 => Floor
data,,704.0,703.6,0.4,703.6,Time=5.8s | BaseRaw=704.0 | CurrentRaw=703.6 | Change=0.4 => Floor
data,,704.0,704.0,0.0,704.0,Time=5.9s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.4,0.4,704.4,Time=6.0s | BaseRaw=704.0 | CurrentRaw=704.4 | Change=0.4 => Floor
data,,704.0,704.0,0.0,704.0,Time=6.1s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.0,0.0,704.0,Time=6.2s | BaseRaw=704.0 | CurrentRaw=704.0 | Change=0.0 => Floor
data,,704.0,704.8,0.8,704.8,Time=6.3s | BaseRaw=704.0 | CurrentRaw=704.8 | Change=0.8 => Floor
data,,704.0,706.0,2.0,706.0,Time=6.4s | BaseRaw=704.0 | CurrentRaw=706.0 | Change=2.0 => Floor
data,,704.0,707.4,3.4,707.4,Time=6.5s | BaseRaw=704.0 | CurrentRaw=707.4 | Change=3.4 => Floor
