record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.00,,,,667.00,Collecting baseline... RawAvg=667.00
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,669.80,,,,669.80,Collecting baseline... RawAvg=669.80
baseline,671.20,,,,671.20,Collecting baseline... RawAvg=671.20
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.00,,,,671.00,Collecting baseline... RawAvg=671.00
baseline,669.80,,,,669.80,Collecting baseline... RawAvg=669.80
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,671.40,,,,671.40,Collecting baseline... RawAvg=671.40
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,670.80,,,,670.80,Collecting baseline... RawAvg=670.80
baseline,669.40,,,,669.40,Collecting baseline... RawAvg=669.40
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,666.60,,,,666.60,Collecting baseline... RawAvg=666.60
baseline,666.60,,,,666.60,Collecting baseline... RawAvg=666.60
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,669.40,,,,669.40,Collecting baseline... RawAvg=669.40
baseline,670.60,,,,670.60,Collecting baseline... RawAvg=670.60
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.00,,,,671.00,Collecting baseline... RawAvg=671.00
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,668.68,,,668.68,Final Base Raw Average = 668.68
info,,,,,,--------------------------------------------------------------------------
data,,668.7,666.4,2.3,666.4,Time=0.1s | BaseRaw=668.7 | CurrentRaw=666.4 | Change=2.3 => Floor
data,,668.7,666.4,2.3,666.4,Time=0.2s | BaseRaw=668.7 | CurrentRaw=666.4 | Change=2.3 => Floor
data,,668.7,666.6,2.1,666.6,Time=0.3s | BaseRaw=668.7 | CurrentRaw=666.6 | Change=2.1 => Floor
data,,668.7,667.8,0.9,667.8,Time=0.4s | BaseRaw=668.7 | CurrentRaw=667.8 | Change=0.9 => Floor
data,,668.7,667.8,0.9,667.8,Time=0.5s | BaseRaw=668.7 | CurrentRaw=667.8 | Change=0.9 => Floor
data,,668.7,668.2,0.5,668.2,Time=0.6s | BaseRaw=668.7 | CurrentRaw=668.2 | Change=0.5 => Floor
data,,668.7,668.2,0.5,668.2,Time=0.7s | BaseRaw=668.7 | CurrentRaw=668.2 | Change=0.5 => Floor
data,,668.7,668.4,0.3,668.4,Time=0.8s | BaseRaw=668.7 | CurrentRaw=668.4 | Change=0.3 => Floor
data,,668.7,668.6,0.1,668.6,Time=0.9s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.6,0.1,668.6,Time=1.0s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.6,0.1,668.6,Time=1.1s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.4,0.3,668.4,Time=1.2s | BaseRaw=668.7 | CurrentRaw=668.4 | Change=0.3 => Floor
data,,668.7,669.0,0.3,669.0,Time=1.3s | BaseRaw=668.7 | CurrentRaw=669.0 | Change=0.3 => Floor
data,,668.7,668.6,0.1,668.6,Time=1.4s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.6,0.1,668.6,Time=1.5s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,669.0,0.3,669.0,Time=1.6s | BaseRaw=668.7 | CurrentRaw=669.0 | Change=0.3 => Floor
data,,668.7,668.8,0.1,668.8,Time=1.7s | BaseRaw=668.7 | CurrentRaw=668.8 | Change=0.1 => Floor
data,,668.7,669.2,0.5,669.2,Time=1.8s | BaseRaw=668.7 | CurrentRaw=669.2 | Change=0.5 => Floor
data,,668.7,668.8,0.1,668.8,Time=1.9s | BaseRaw=668.7 | CurrentRaw=668.8 | Change=0.1 => Floor
data,,668.7,668.6,0.1,668.6,Time=2.0s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.4,0.3,668.4,Time=2.1s | BaseRaw=668.7 | CurrentRaw=668.4 | Change=0.3 => Floor
data,,668.7,668.6,0.1,668.6,Time=2.2s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.6,0.1,668.6,Time=2.3s | BaseRaw=668.7 | CurrentRaw=668.6 | Change=0.1 => Floor
data,,668.7,668.4,0.3,668.4,Time=2.4s | BaseRaw=668.7 | CurrentRaw=668.4 | Change=0.3 => Floor
data,,668.7,668.8,0.1,668.8,Time=2.5s | BaseRaw=668.7 | CurrentRaw=668.8 | Change=0.1 => Floor
data,,668.7,668.8,0.1,668.8,Time=2.6s | BaseRaw=668.7 | CurrentRaw=668.8 | Change=0.1 => Floor
data,,668.7,669.2,0.5,669.2,Time=2.7s | BaseRaw=668.7 | CurrentRaw=669.2 | Change=0.5 => Floor
data,,668.7,669.4,0.7,669.4,Time=2.8s | BaseRaw=668.7 | CurrentRaw=669.4 | Change=0.7 => Floor
data,,668.7,669.4,0.7,669.4,Time=2.9s | BaseRaw=668.7 | CurrentRaw=669.4 | Change=0.7 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.0s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.1s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.2,1.5,670.2,Time=3.2s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.3s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.4s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.5s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,669.6,0.9,669.6,Time=3.6s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,670.2,1.5,670.2,Time=3.7s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.8s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,669.8,1.1,669.8,Time=3.9s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,670.0,1.3,670.0,Time=4.0s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.4,1.7,670.4,Time=4.1s | BaseRaw=668.7 | CurrentRaw=670.4 | Change=1.7 => Floor
data,,668.7,670.8,2.1,670.8,Time=4.2s | BaseRaw=668.7 | CurrentRaw=670.8 | Change=2.1 => Floor
data,,668.7,670.6,1.9,670.6,Time=4.3s | BaseRaw=668.7 | CurrentRaw=670.6 | Change=1.9 => Floor
data,,668.7,670.6,1.9,670.6,Time=4.4s | BaseRaw=668.7 | CurrentRaw=670.6 | Change=1.9 => Floor
data,,668.7,670.2,1.5,670.2,Time=4.5s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.2,1.5,670.2,Time=4.6s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.2,1.5,670.2,Time=4.7s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,669.8,1.1,669.8,Time=4.8s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,670.0,1.3,670.0,Time=4.9s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,669.8,1.1,669.8,Time=5.0s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,670.0,1.3,670.0,Time=5.1s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.6,1.9,670.6,Time=5.2s | BaseRaw=668.7 | CurrentRaw=670.6 | Change=1.9 => Floor
data,,668.7,671.2,2.5,671.2,Time=5.3s | BaseRaw=668.7 | CurrentRaw=671.2 | Change=2.5 => Floor
data,,668.7,672.6,3.9,672.6,Time=5.4s | BaseRaw=668.7 | CurrentRaw=672.6 | Change=3.9 => Floor
data,,668.7,673.2,4.5,673.2,Time=5.5s | BaseRaw=668.7 | CurrentRaw=673.2 | Change=4.5 => Floor
data,,668.7,673.6,4.9,673.6,Time=5.6s | BaseRaw=668.7 | CurrentRaw=673.6 | Change=4.9 => Floor
data,,668.7,671.4,2.7,671.4,Time=5.7s | BaseRaw=668.7 | CurrentRaw=671.4 | Change=2.7 => Floor
data,,668.7,666.2,2.5,666.2,Time=5.8s | BaseRaw=668.7 | CurrentRaw=666.2 | Change=2.5 => Floor
data,,668.7,656.2,12.5,656.2,Time=5.9s | BaseRaw=668.7 | CurrentRaw=656.2 | Change=12.5 => Liquid
data,,668.7,644.0,24.7,644.0,Time=6.0s | BaseRaw=668.7 | CurrentRaw=644.0 | Change=24.7 => Liquid
data,,668.7,631.0,37.7,631.0,Time=6.1s | BaseRaw=668.7 | CurrentRaw=631.0 | Change=37.7 => Liquid
data,,668.7,620.8,47.9,620.8,Time=6.2s | BaseRaw=668.7 | CurrentRaw=620.8 | Change=47.9 => Liquid
data,,668.7,616.0,52.7,616.0,Time=6.3s | BaseRaw=668.7 | CurrentRaw=616.0 | Change=52.7 => Liquid
data,,668.7,615.4,53.3,615.4,Time=6.4s | BaseRaw=668.7 | CurrentRaw=615.4 | Change=53.3 => Liquid
data,,668.7,618.4,50.3,618.4,Time=6.5s | BaseRaw=668.7 | CurrentRaw=618.4 | Change=50.3 => Liquid
