record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,693.60,,,,693.60,Collecting baseline... RawAvg=693.60
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.60,,,,693.60,Collecting baseline... RawAvg=693.60
baseline,693.80,,,,693.80,Collecting baseline... RawAvg=693.80
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,693.80,,,,693.80,Collecting baseline... RawAvg=693.80
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,691.60,,,,691.60,Collecting baseline... RawAvg=691.60
baseline,690.20,,,,690.20,Collecting baseline... RawAvg=690.20
baseline,689.40,,,,689.40,Collecting baseline... RawAvg=689.40
baseline,689.80,,,,689.80,Collecting baseline... RawAvg=689.80
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,690.60,,,,690.60,Collecting baseline... RawAvg=690.60
baseline,691.20,,,,691.20,Collecting baseline... RawAvg=691.20
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,695.00,,,,695.00,Collecting baseline... RawAvg=695.00
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,689.60,,,,689.60,Collecting baseline... RawAvg=689.60
baseline,689.80,,,,689.80,Collecting baseline... RawAvg=689.80
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,690.60,,,,690.60,Collecting baseline... RawAvg=690.60
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,690.60,,,,690.60,Collecting baseline... RawAvg=690.60
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,693.60,,,,693.60,Collecting baseline... RawAvg=693.60
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,693.80,,,,693.80,Collecting baseline... RawAvg=693.80
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,691.20,,,,691.20,Collecting baseline... RawAvg=691.20
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,692.08,,,692.08,Final Base Raw Average = 692.08
info,,,,,,--------------------------------------------------------------------------
data,,692.1,691.4,0.7,691.4,Time=0.1s | BaseRaw=692.1 | CurrentRaw=691.4 | Change=0.7 => Floor
data,,692.1,691.8,0.3,691.8,Time=0.2s | BaseRaw=692.1 | CurrentRaw=691.8 | Change=0.3 => Floor
data,,692.1,692.2,0.1,692.2,Time=0.3s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,691.6,0.5,691.6,Time=0.4s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,692.2,0.1,692.2,Time=0.5s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.2,0.1,692.2,Time=0.6s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.4,0.3,692.4,Time=0.7s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.0,0.1,692.0,Time=0.8s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,691.8,0.3,691.8,Time=0.9s | BaseRaw=692.1 | CurrentRaw=691.8 | Change=0.3 => Floor
data,,692.1,691.6,0.5,691.6,Time=1.0s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,691.6,0.5,691.6,Time=1.1s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,691.6,0.5,691.6,Time=1.2s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,691.4,0.7,691.4,Time=1.3s | BaseRaw=692.1 | CurrentRaw=691.4 | Change=0.7 => Floor
data,,692.1,691.8,0.3,691.8,Time=1.4s | BaseRaw=692.1 | CurrentRaw=691.8 | Change=0.3 => Floor
data,,692.1,691.6,0.5,691.6,Time=1.5s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,691.8,0.3,691.8,Time=1.6s | BaseRaw=692.1 | CurrentRaw=691.8 | Change=0.3 => Floor
data,,692.1,691.8,0.3,691.8,Time=1.7s | BaseRaw=692.1 | CurrentRaw=691.8 | Change=0.3 => Floor
data,,692.1,691.6,0.5,691.6,Time=1.8s | BaseRaw=692.1 | CurrentRaw=691.6 | Change=0.5 => Floor
data,,692.1,692.0,0.1,692.0,Time=1.9s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.0,0.1,692.0,Time=2.0s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.0,0.1,692.0,Time=2.1s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.2,0.1,692.2,Time=2.2s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.0,0.1,692.0,Time=2.3s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.0,0.1,692.0,Time=2.4s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.0,0.1,692.0,Time=2.5s | BaseRaw=692.1 | CurrentRaw=692.0 | Change=0.1 => Floor
data,,692.1,692.8,0.7,692.8,Time=2.6s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,692.4,0.3,692.4,Time=2.7s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.6,0.5,692.6,Time=2.8s | BaseRaw=692.1 | CurrentRaw=692.6 | Change=0.5 => Floor
data,,692.1,692.8,0.7,692.8,Time=2.9s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,692.8,0.7,692.8,Time=3.0s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,693.0,0.9,693.0,Time=3.1s | BaseRaw=692.1 | CurrentRaw=693.0 | Change=0.9 => Floor
data,,692.1,692.8,0.7,692.8,Time=3.2s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,692.8,0.7,692.8,Time=3.3s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,693.0,0.9,693.0,Time=3.4s | BaseRaw=692.1 | CurrentRaw=693.0 | Change=0.9 => Floor
data,,692.1,693.2,1.1,693.2,Time=3.5s | BaseRaw=692.1 | CurrentRaw=693.2 | Change=1.1 => Floor
data,,692.1,693.6,1.5,693.6,Time=3.6s | BaseRaw=692.1 | CurrentRaw=693.6 | Change=1.5 => Floor
data,,692.1,693.2,1.1,693.2,Time=3.7s | BaseRaw=692.1 | CurrentRaw=693.2 | Change=1.1 => Floor
data,,692.1,693.2,1.1,693.2,Time=3.8s | BaseRaw=692.1 | CurrentRaw=693.2 | Change=1.1 => Floor
data,,692.1,692.8,0.7,692.8,Time=3.9s | BaseRaw=692.1 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,692.1,692.6,0.5,692.6,Time=4.0s | BaseRaw=692.1 | CurrentRaw=692.6 | Change=0.5 => Floor
data,,692.1,692.4,0.3,692.4,Time=4.1s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.4,0.3,692.4,Time=4.2s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.4,0.3,692.4,Time=4.3s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.2,0.1,692.2,Time=4.4s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.4,0.3,692.4,Time=4.5s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,692.2,0.1,692.2,Time=4.6s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.2,0.1,692.2,Time=4.7s | BaseRaw=692.1 | CurrentRaw=692.2 | Change=0.1 => Floor
data,,692.1,692.6,0.5,692.6,Time=4.8s | BaseRaw=692.1 | CurrentRaw=692.6 | Change=0.5 => Floor
data,,692.1,692.6,0.5,692.6,Time=4.9s | BaseRaw=692.1 | CurrentRaw=692.6 | Change=0.5 => Floor
data,,692.1,693.0,0.9,693.0,Time=5.0s | BaseRaw=692.1 | CurrentRaw=693.0 | Change=0.9 => Floor
data,,692.1,692.4,0.3,692.4,Time=5.1s | BaseRaw=692.1 | CurrentRaw=692.4 | Change=0.3 => Floor
data,,692.1,690.2,1.9,690.2,Time=5.2s | BaseRaw=692.1 | CurrentRaw=690.2 | Change=1.9 => Floor
data,,692.1,687.4,4.7,687.4,Time=5.3s | BaseRaw=692.1 | CurrentRaw=687.4 | Change=4.7 => Floor
data,,692.1,684.0,8.1,684.0,Time=5.4s | BaseRaw=692.1 | CurrentRaw=684.0 | Change=8.1 => Floor
data,,692.1,681.8,10.3,681.8,Time=5.5s | BaseRaw=692.1 | CurrentRaw=681.8 | Change=10.3 => Liquid
data,,692.1,679.6,12.5,679.6,Time=5.6s | BaseRaw=692.1 | CurrentRaw=679.6 | Change=12.5 => Liquid
data,,692.1,679.8,12.3,679.8,Time=5.7s | BaseRaw=692.1 | CurrentRaw=679.8 | Change=12.3 => Liquid
data,,692.1,681.4,10.7,681.4,Time=5.8s | BaseRaw=692.1 | CurrentRaw=681.4 | Change=10.7 => Liquid
data,,692.1,682.8,9.3,682.8,Time=5.9s | BaseRaw=692.1 | CurrentRaw=682.8 | Change=9.3 => Floor
data,,692.1,682.4,9.7,682.4,Time=6.0s | BaseRaw=692.1 | CurrentRaw=682.4 | Change=9.7 => Floor
data,,692.1,682.0,10.1,682.0,Time=6.1s | BaseRaw=692.1 | CurrentRaw=682.0 | Change=10.1 => Liquid
data,,692.1,683.0,9.1,683.0,Time=6.2s | BaseRaw=692.1 | CurrentRaw=683.0 | Change=9.1 => Floor
data,,692.1,682.2,9.9,682.2,Time=6.3s | BaseRaw=692.1 | CurrentRaw=682.2 | Change=9.9 => Floor
data,,692.1,682.0,10.1,682.0,Time=6.4s | BaseRaw=692.1 | CurrentRaw=682.0 | Change=10.1 => Liquid
data,,692.1,682.0,10.1,682.0,Time=6.5s | BaseRaw=692.1 | CurrentRaw=682.0 | Change=10.1 => Liquid
