record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,724.20,,,,724.20,Collecting baseline... RawAvg=724.20
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,725.40,,,,725.40,Collecting baseline... RawAvg=725.40
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.20,,,,724.20,Collecting baseline... RawAvg=724.20
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,722.80,,,,722.80,Collecting baseline... RawAvg=722.80
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,724.20,,,,724.20,Collecting baseline... RawAvg=724.20
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,725.40,,,,725.40,Collecting baseline... RawAvg=725.40
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,723.97,,,723.97,Final Base Raw Average = 723.97
info,,,,,,--------------------------------------------------------------------------
data,,724.0,725.2,1.2,725.2,Time=0.1s | BaseRaw=724.0 | CurrentRaw=725.2 | Change=1.2 => Floor
data,,724.0,724.0,0.0,724.0,Time=0.2s | BaseRaw=724.0 | CurrentRaw=724.0 | Change=0.0 => Floor
data,,724.0,723.0,1.0,723.0,Time=0.3s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,722.4,1.6,722.4,Time=0.4s | BaseRaw=724.0 | CurrentRaw=722.4 | Change=1.6 => Floor
data,,724.0,722.2,1.8,722.2,Time=0.5s | BaseRaw=724.0 | CurrentRaw=722.2 | Change=1.8 => Floor
data,,724.0,722.2,1.8,722.2,Time=0.6s | BaseRaw=724.0 | CurrentRaw=722.2 | Change=1.8 => Floor
data,,724.0,722.4,1.6,722.4,Time=0.7s | BaseRaw=724.0 | CurrentRaw=722.4 | Change=1.6 => Floor
data,,724.0,722.6,1.4,722.6,Time=0.8s | BaseRaw=724.0 | CurrentRaw=722.6 | Change=1.4 => Floor
data,,724.0,722.8,1.2,722.8,Time=0.9s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,723.0,1.0,723.0,Time=1.0s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,723.0,1.0,723.0,Time=1.1s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,722.8,1.2,722.8,Time=1.2s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.8,1.2,722.8,Time=1.3s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,723.0,1.0,723.0,Time=1.4s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,722.8,1.2,722.8,Time=1.5s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.6,1.4,722.6,Time=1.6s | BaseRaw=724.0 | CurrentRaw=722.6 | Change=1.4 => Floor
data,,724.0,723.0,1.0,723.0,Time=1.7s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,723.4,0.6,723.4,Time=1.8s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.6,0.4,723.6,Time=1.9s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.8,0.2,723.8,Time=2.0s | BaseRaw=724.0 | CurrentRaw=723.8 | Change=0.2 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.1s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.2s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.3s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.4s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.4,0.6,723.4,Time=2.5s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.4,0.6,723.4,Time=2.6s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.7s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.8,0.2,723.8,Time=2.8s | BaseRaw=724.0 | CurrentRaw=723.8 | Change=0.2 => Floor
data,,724.0,723.6,0.4,723.6,Time=2.9s | BaseRaw=724.0 | CurrentRaw=723.6 | Change=0.4 => Floor
data,,724.0,723.4,0.6,723.4,Time=3.0s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.4,0.6,723.4,Time=3.1s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.2,0.8,723.2,Time=3.2s | BaseRaw=724.0 | CurrentRaw=723.2 | Change=0.8 => Floor
data,,724.0,723.2,0.8,723.2,Time=3.3s | BaseRaw=724.0 | CurrentRaw=723.2 | Change=0.8 => Floor
data,,724.0,723.2,0.8,723.2,Time=3.4s | BaseRaw=724.0 | CurrentRaw=723.2 | Change=0.8 => Floor
data,,724.0,723.0,1.0,723.0,Time=3.5s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,723.0,1.0,723.0,Time=3.6s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,723.2,0.8,723.2,Time=3.7s | BaseRaw=724.0 | CurrentRaw=723.2 | Change=0.8 => Floor
data,,724.0,723.4,0.6,723.4,Time=3.8s | BaseRaw=724.0 | CurrentRaw=723.4 | Change=0.6 => Floor
data,,724.0,723.0,1.0,723.0,Time=3.9s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,722.8,1.2,722.8,Time=4.0s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.8,1.2,722.8,Time=4.1s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,723.0,1.0,723.0,Time=4.2s | BaseRaw=724.0 | CurrentRaw=723.0 | Change=1.0 => Floor
data,,724.0,722.8,1.2,722.8,Time=4.3s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.8,1.2,722.8,Time=4.4s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.6,1.4,722.6,Time=4.5s | BaseRaw=724.0 | CurrentRaw=722.6 | Change=1.4 => Floor
data,,724.0,722.8,1.2,722.8,Time=4.6s | BaseRaw=724.0 | CurrentRaw=722.8 | Change=1.2 => Floor
data,,724.0,722.4,1.6,722.4,Time=4.7s | BaseRaw=724.0 | CurrentRaw=722.4 | Change=1.6 => Floor
data,,724.0,722.2,1.8,722.2,Time=4.8s | BaseRaw=724.0 | CurrentRaw=722.2 | Change=1.8 => Floor
data,,724.0,722.0,2.0,722.0,Time=4.9s | BaseRaw=724.0 | CurrentRaw=722.0 | Change=2.0 => Floor
data,,724.0,722.0,2.0,722.0,Time=5.0s | BaseRaw=724.0 | CurrentRaw=722.0 | Change=2.0 => Floor
data,,724.0,722.6,1.4,722.6,Time=5.1s | BaseRaw=724.0 | CurrentRaw=722.6 | Change=1.4 => Floor
data,,724.0,723.8,0.2,723.8,Time=5.2s | BaseRaw=724.0 | CurrentRaw=723.8 | Change=0.2 => Floor
data,,724.0,724.2,0.2,724.2,Time=5.3s | BaseRaw=724.0 | CurrentRaw=724.2 | Change=0.2 => Floor
data,,724.0,722.0,2.0,722.0,Time=5.4s | BaseRaw=724.0 | CurrentRaw=722.0 | Change=2.0 => Floor
data,,724.0,719.4,4.6,719.4,Time=5.5s | BaseRaw=724.0 | CurrentRaw=719.4 | Change=4.6 => Floor
data,,724.0,717.2,6.8,717.2,Time=5.6s | BaseRaw=724.0 | CurrentRaw=717.2 | Change=6.8 => Floor
data,,724.0,715.6,8.4,715.6,Time=5.7s | BaseRaw=724.0 | CurrentRaw=715.6 | Change=8.4 => Floor
data,,724.0,714.0,10.0,714.0,Time=5.8s | BaseRaw=724.0 | CurrentRaw=714.0 | Change=10.0 => Floor
data,,724.0,714.6,9.4,714.6,Time=5.9s | BaseRaw=724.0 | CurrentRaw=714.6 | Change=9.4 => Floor
data,,724.0,716.4,7.6,716.4,Time=6.0s | BaseRaw=724.0 | CurrentRaw=716.4 | Change=7.6 => Floor
data,,724.0,717.4,6.6,717.4,Time=6.1s | BaseRaw=724.0 | CurrentRaw=717.4 | Change=6.6 => Floor
data,,724.0,717.4,6.6,717.4,Time=6.2s | BaseRaw=724.0 | CurrentRaw=717.4 | Change=6.6 => Floor
data,,724.0,717.2,6.8,717.2,Time=6.3s | BaseRaw=724.0 | CurrentRaw=717.2 | Change=6.8 => Floor
data,,724.0,717.4,6.6,717.4,Time=6.4s | BaseRaw=724.0 | CurrentRaw=717.4 | Change=6.6 => Floor
data,,724.0,717.6,6.4,717.6,Time=6.5s | BaseRaw=724.0 | CurrentRaw=717.6 | Change=6.4 => Floor
