record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,691.20,,,,691.20,Collecting baseline... RawAvg=691.20
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,692.00,,,,692.00,Collecting baseline... RawAvg=692.00
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,691.20,,,,691.20,Collecting baseline... RawAvg=691.20
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,690.20,,,,690.20,Collecting baseline... RawAvg=690.20
baseline,689.60,,,,689.60,Collecting baseline... RawAvg=689.60
baseline,689.00,,,,689.00,Collecting baseline... RawAvg=689.00
baseline,688.80,,,,688.80,Collecting baseline... RawAvg=688.80
baseline,688.40,,,,688.40,Collecting baseline... RawAvg=688.40
baseline,688.60,,,,688.60,Collecting baseline... RawAvg=688.60
baseline,689.00,,,,689.00,Collecting baseline... RawAvg=689.00
baseline,689.60,,,,689.60,Collecting baseline... RawAvg=689.60
baseline,690.00,,,,690.00,Collecting baseline... RawAvg=690.00
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,692.00,,,,692.00,Collecting baseline... RawAvg=692.00
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,691.20,,,,691.20,Collecting baseline... RawAvg=691.20
baseline,690.80,,,,690.80,Collecting baseline... RawAvg=690.80
baseline,690.20,,,,690.20,Collecting baseline... RawAvg=690.20
baseline,689.60,,,,689.60,Collecting baseline... RawAvg=689.60
baseline,689.00,,,,689.00,Collecting baseline... RawAvg=689.00
baseline,688.60,,,,688.60,Collecting baseline... RawAvg=688.60
baseline,688.20,,,,688.20,Collecting baseline... RawAvg=688.20
baseline,688.20,,,,688.20,Collecting baseline... RawAvg=688.20
baseline,688.60,,,,688.60,Collecting baseline... RawAvg=688.60
baseline,689.00,,,,689.00,Collecting baseline... RawAvg=689.00
baseline,689.40,,,,689.40,Collecting baseline... RawAvg=689.40
baseline,690.20,,,,690.20,Collecting baseline... RawAvg=690.20
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,692.00,,,,692.00,Collecting baseline... RawAvg=692.00
baseline,691.40,,,,691.40,Collecting baseline... RawAvg=691.40
baseline,691.00,,,,691.00,Collecting baseline... RawAvg=691.00
baseline,690.60,,,,690.60,Collecting baseline... RawAvg=690.60
baseline,690.00,,,,690.00,Collecting baseline... RawAvg=690.00
baseline,689.60,,,,689.60,Collecting baseline... RawAvg=689.60
baseline,689.00,,,,689.00,Collecting baseline... RawAvg=689.00
baseline,688.80,,,,688.80,Collecting baseline... RawAvg=688.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,690.38,,,690.38,Final Base Raw Average = 690.38
info,,,,,,--------------------------------------------------------------------------
data,,690.4,688.2,2.2,688.2,Time=0.1s | BaseRaw=690.4 | CurrentRaw=688.2 | Change=2.2 => Floor
data,,690.4,688.4,2.0,688.4,Time=0.2s | BaseRaw=690.4 | CurrentRaw=688.4 | Change=2.0 => Floor
data,,690.4,689.6,0.8,689.6,Time=0.3s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,690.0,0.4,690.0,Time=0.4s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,690.0,0.4,690.0,Time=0.5s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,690.0,0.4,690.0,Time=0.6s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,690.2,0.2,690.2,Time=0.7s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.0,0.4,690.0,Time=0.8s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,689.8,0.6,689.8,Time=0.9s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.6,0.8,689.6,Time=1.0s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.8,0.6,689.8,Time=1.1s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.6,0.8,689.6,Time=1.2s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.4,1.0,689.4,Time=1.3s | BaseRaw=690.4 | CurrentRaw=689.4 | Change=1.0 => Floor
data,,690.4,689.6,0.8,689.6,Time=1.4s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,690.0,0.4,690.0,Time=1.5s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,690.2,0.2,690.2,Time=1.6s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.6,0.2,690.6,Time=1.7s | BaseRaw=690.4 | CurrentRaw=690.6 | Change=0.2 => Floor
data,,690.4,691.0,0.6,691.0,Time=1.8s | BaseRaw=690.4 | CurrentRaw=691.0 | Change=0.6 => Floor
data,,690.4,690.8,0.4,690.8,Time=1.9s | BaseRaw=690.4 | CurrentRaw=690.8 | Change=0.4 => Floor
data,,690.4,690.6,0.2,690.6,Time=2.0s | BaseRaw=690.4 | CurrentRaw=690.6 | Change=0.2 => Floor
data,,690.4,690.6,0.2,690.6,Time=2.1s | BaseRaw=690.4 | CurrentRaw=690.6 | Change=0.2 => Floor
data,,690.4,690.6,0.2,690.6,Time=2.2s | BaseRaw=690.4 | CurrentRaw=690.6 | Change=0.2 => Floor
data,,690.4,690.4,0.0,690.4,Time=2.3s | BaseRaw=690.4 | CurrentRaw=690.4 | Change=0.0 => Floor
data,,690.4,690.4,0.0,690.4,Time=2.4s | BaseRaw=690.4 | CurrentRaw=690.4 | Change=0.0 => Floor
data,,690.4,690.2,0.2,690.2,Time=2.5s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.2,0.2,690.2,Time=2.6s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.2,0.2,690.2,Time=2.7s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.2,0.2,690.2,Time=2.8s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.2,0.2,690.2,Time=2.9s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,690.4,0.0,690.4,Time=3.0s | BaseRaw=690.4 | CurrentRaw=690.4 | Change=0.0 => Floor
data,,690.4,690.4,0.0,690.4,Time=3.1s | BaseRaw=690.4 | CurrentRaw=690.4 | Change=0.0 => Floor
data,,690.4,690.4,0.0,690.4,Time=3.2s | BaseRaw=690.4 | CurrentRaw=690.4 | Change=0.0 => Floor
data,,690.4,690.2,0.2,690.2,Time=3.3s | BaseRaw=690.4 | CurrentRaw=690.2 | Change=0.2 => Floor
data,,690.4,689.8,0.6,689.8,Time=3.4s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.8,0.6,689.8,Time=3.5s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.8,0.6,689.8,Time=3.6s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.8,0.6,689.8,Time=3.7s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.6,0.8,689.6,Time=3.8s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.4,1.0,689.4,Time=3.9s | BaseRaw=690.4 | CurrentRaw=689.4 | Change=1.0 => Floor
data,,690.4,689.6,0.8,689.6,Time=4.0s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.6,0.8,689.6,Time=4.1s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.6,0.8,689.6,Time=4.2s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.8,0.6,689.8,Time=4.3s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,690.0,0.4,690.0,Time=4.4s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,689.8,0.6,689.8,Time=4.5s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.8,0.6,689.8,Time=4.6s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.8,0.6,689.8,Time=4.7s | BaseRaw=690.4 | CurrentRaw=689.8 | Change=0.6 => Floor
data,,690.4,689.6,0.8,689.6,Time=4.8s | BaseRaw=690.4 | CurrentRaw=689.6 | Change=0.8 => Floor
data,,690.4,689.2,1.2,689.2,Time=4.9s | BaseRaw=690.4 | CurrentRaw=689.2 | Change=1.2 => Floor
data,,690.4,689.0,1.4,689.0,Time=5.0s | BaseRaw=690.4 | CurrentRaw=689.0 | Change=1.4 => Floor
data,,690.4,688.8,1.6,688.8,Time=5.1s | BaseRaw=690.4 | CurrentRaw=688.8 | Change=1.6 => Floor
data,,690.4,688.4,2.0,688.4,Time=5.2s | BaseRaw=690.4 | CurrentRaw=688.4 | Change=2.0 => Floor
data,,690.4,688.0,2.4,688.0,Time=5.3s | BaseRaw=690.4 | CurrentRaw=688.0 | Change=2.4 => Floor
data,,690.4,687.8,2.6,687.8,Time=5.4s | BaseRaw=690.4 | CurrentRaw=687.8 | Change=2.6 => Floor
data,,690.4,687.8,2.6,687.8,Time=5.5s | BaseRaw=690.4 | CurrentRaw=687.8 | Change=2.6 => Floor
data,,690.4,688.4,2.0,688.4,Time=5.6s | BaseRaw=690.4 | CurrentRaw=688.4 | Change=2.0 => Floor
data,,690.4,690.0,0.4,690.0,Time=5.7s | BaseRaw=690.4 | CurrentRaw=690.0 | Change=0.4 => Floor
data,,690.4,693.4,3.0,693.4,Time=5.8s | BaseRaw=690.4 | CurrentRaw=693.4 | Change=3.0 => Floor
data,,690.4,697.2,6.8,697.2,Time=5.9s | BaseRaw=690.4 | CurrentRaw=697.2 | Change=6.8 => Floor
data,,690.4,704.2,13.8,704.2,Time=6.0s | BaseRaw=690.4 | CurrentRaw=704.2 | Change=13.8 => Liquid
data,,690.4,713.6,23.2,713.6,Time=6.1s | BaseRaw=690.4 | CurrentRaw=713.6 | Change=23.2 => Liquid
data,,690.4,721.8,31.4,721.8,Time=6.2s | BaseRaw=690.4 | CurrentRaw=721.8 | Change=31.4 => Liquid
data,,690.4,730.0,39.6,730.0,Time=6.3s | BaseRaw=690.4 | CurrentRaw=730.0 | Change=39.6 => Liquid
data,,690.4,739.4,49.0,739.4,Time=6.4s | BaseRaw=690.4 | CurrentRaw=739.4 | Change=49.0 => Liquid
data,,690.4,745.8,55.4,745.8,Time=6.5s | BaseRaw=690.4 | CurrentRaw=745.8 | Change=55.4 => Liquid
