record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,643.20,,,,643.20,Collecting baseline... RawAvg=643.20
baseline,627.60,,,,627.60,Collecting baseline... RawAvg=627.60
baseline,613.80,,,,613.80,Collecting baseline... RawAvg=613.80
baseline,604.80,,,,604.80,Collecting baseline... RawAvg=604.80
baseline,601.80,,,,601.80,Collecting baseline... RawAvg=601.80
baseline,609.00,,,,609.00,Collecting baseline... RawAvg=609.00
baseline,622.40,,,,622.40,Collecting baseline... RawAvg=622.40
baseline,629.40,,,,629.40,Collecting baseline... RawAvg=629.40
baseline,627.60,,,,627.60,Collecting baseline... RawAvg=627.60
baseline,616.60,,,,616.60,Collecting baseline... RawAvg=616.60
baseline,600.60,,,,600.60,Collecting baseline... RawAvg=600.60
baseline,588.60,,,,588.60,Collecting baseline... RawAvg=588.60
baseline,586.00,,,,586.00,Collecting baseline... RawAvg=586.00
baseline,593.40,,,,593.40,Collecting baseline... RawAvg=593.40
baseline,607.60,,,,607.60,Collecting baseline... RawAvg=607.60
baseline,621.60,,,,621.60,Collecting baseline... RawAvg=621.60
baseline,628.80,,,,628.80,Collecting baseline... RawAvg=628.80
baseline,626.60,,,,626.60,Collecting baseline... RawAvg=626.60
baseline,615.40,,,,615.40,Collecting baseline... RawAvg=615.40
baseline,599.20,,,,599.20,Collecting baseline... RawAvg=599.20
baseline,587.00,,,,587.00,Collecting baseline... RawAvg=587.00
baseline,584.40,,,,584.40,Collecting baseline... RawAvg=584.40
baseline,593.00,,,,593.00,Collecting baseline... RawAvg=593.00
baseline,608.20,,,,608.20,Collecting baseline... RawAvg=608.20
baseline,622.80,,,,622.80,Collecting baseline... RawAvg=622.80
baseline,631.00,,,,631.00,Collecting baseline... RawAvg=631.00
baseline,630.20,,,,630.20,Collecting baseline... RawAvg=630.20
baseline,619.40,,,,619.40,Collecting baseline... RawAvg=619.40
baseline,603.60,,,,603.60,Collecting baseline... RawAvg=603.60
baseline,591.40,,,,591.40,Collecting baseline... RawAvg=591.40
baseline,588.00,,,,588.00,Collecting baseline... RawAvg=588.00
baseline,594.60,,,,594.60,Collecting baseline... RawAvg=594.60
baseline,608.00,,,,608.00,Collecting baseline... RawAvg=608.00
baseline,621.20,,,,621.20,Collecting baseline... RawAvg=621.20
baseline,628.00,,,,628.00,Collecting baseline... RawAvg=628.00
baseline,625.40,,,,625.40,Collecting baseline... RawAvg=625.40
baseline,614.20,,,,614.20,Collecting baseline... RawAvg=614.20
baseline,597.80,,,,597.80,Collecting baseline... RawAvg=597.80
baseline,585.00,,,,585.00,Collecting baseline... RawAvg=585.00
baseline,581.80,,,,581.80,Collecting baseline... RawAvg=581.80
baseline,589.60,,,,589.60,Collecting baseline... RawAvg=589.60
baseline,604.20,,,,604.20,Collecting baseline... RawAvg=604.20
baseline,618.80,,,,618.80,Collecting baseline... RawAvg=618.80
baseline,627.20,,,,627.20,Collecting baseline... RawAvg=627.20
baseline,626.40,,,,626.40,Collecting baseline... RawAvg=626.40
baseline,616.00,,,,616.00,Collecting baseline... RawAvg=616.00
baseline,600.40,,,,600.40,Collecting baseline... RawAvg=600.40
baseline,587.80,,,,587.80,Collecting baseline... RawAvg=587.80
baseline,584.20,,,,584.20,Collecting baseline... RawAvg=584.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,608.85,,,608.85,Final Base Raw Average = 608.85
info,,,,,,--------------------------------------------------------------------------
data,,608.8,601.8,7.0,601.8,Time=0.1s | BaseRaw=608.8 | CurrentRaw=601.8 | Change=7.0 => Floor
data,,608.8,607.0,1.8,607.0,Time=0.2s | BaseRaw=608.8 | CurrentRaw=607.0 | Change=1.8 => Floor
data,,608.8,608.0,0.8,608.0,Time=0.3s | BaseRaw=608.8 | CurrentRaw=608.0 | Change=0.8 => Floor
data,,608.8,615.2,6.4,615.2,Time=0.4s | BaseRaw=608.8 | CurrentRaw=615.2 | Change=6.4 => Floor
data,,608.8,603.6,5.2,603.6,Time=0.5s | BaseRaw=608.8 | CurrentRaw=603.6 | Change=5.2 => Floor
data,,608.8,605.6,3.2,605.6,Time=0.6s | BaseRaw=608.8 | CurrentRaw=605.6 | Change=3.2 => Floor
data,,608.8,603.8,5.0,603.8,Time=0.7s | BaseRaw=608.8 | CurrentRaw=603.8 | Change=5.0 => Floor
data,,608.8,606.6,2.2,606.6,Time=0.8s | BaseRaw=608.8 | CurrentRaw=606.6 | Change=2.2 => Floor
data,,608.8,605.0,3.8,605.0,Time=0.9s | BaseRaw=608.8 | CurrentRaw=605.0 | Change=3.8 => Floor
data,,608.8,605.2,3.6,605.2,Time=1.0s | BaseRaw=608.8 | CurrentRaw=605.2 | Change=3.6 => Floor
data,,608.8,606.4,2.4,606.4,Time=1.1s | BaseRaw=608.8 | CurrentRaw=606.4 | Change=2.4 => Floor
data,,608.8,604.8,4.0,604.8,Time=1.2s | BaseRaw=608.8 | CurrentRaw=604.8 | Change=4.0 => Floor
data,,608.8,607.2,1.6,607.2,Time=1.3s | BaseRaw=608.8 | CurrentRaw=607.2 | Change=1.6 => Floor
data,,608.8,604.8,4.0,604.8,Time=1.4s | BaseRaw=608.8 | CurrentRaw=604.8 | Change=4.0 => Floor
data,,608.8,605.4,3.4,605.4,Time=1.5s | BaseRaw=608.8 | CurrentRaw=605.4 | Change=3.4 => Floor
data,,608.8,605.0,3.8,605.0,Time=1.6s | BaseRaw=608.8 | CurrentRaw=605.0 | Change=3.8 => Floor
data,,608.8,603.8,5.0,603.8,Time=1.7s | BaseRaw=608.8 | CurrentRaw=603.8 | Change=5.0 => Floor
data,,608.8,606.4,2.4,606.4,Time=1.8s | BaseRaw=608.8 | CurrentRaw=606.4 | Change=2.4 => Floor
data,,608.8,604.0,4.8,604.0,Time=1.9s | BaseRaw=608.8 | CurrentRaw=604.0 | Change=4.8 => Floor
data,,608.8,604.6,4.2,604.6,Time=2.0s | BaseRaw=608.8 | CurrentRaw=604.6 | Change=4.2 => Floor
data,,608.8,603.2,5.6,603.2,Time=2.1s | BaseRaw=608.8 | CurrentRaw=603.2 | Change=5.6 => Floor
data,,608.8,602.0,6.8,602.0,Time=2.2s | BaseRaw=608.8 | CurrentRaw=602.0 | Change=6.8 => Floor
data,,608.8,604.0,4.8,604.0,Time=2.3s | BaseRaw=608.8 | CurrentRaw=604.0 | Change=4.8 => Floor
data,,608.8,602.2,6.6,602.2,Time=2.4s | BaseRaw=608.8 | CurrentRaw=602.2 | Change=6.6 => Floor
data,,608.8,604.2,4.6,604.2,Time=2.5s | BaseRaw=608.8 | CurrentRaw=604.2 | Change=4.6 => Floor
data,,608.8,602.4,6.4,602.4,Time=2.6s | BaseRaw=608.8 | CurrentRaw=602.4 | Change=6.4 => Floor
data,,608.8,601.6,7.2,601.6,Time=2.7s | BaseRaw=608.8 | CurrentRaw=601.6 | Change=7.2 => Floor
data,,608.8,603.6,5.2,603.6,Time=2.8s | BaseRaw=608.8 | CurrentRaw=603.6 | Change=5.2 => Floor
data,,608.8,601.4,7.4,601.4,Time=2.9s | BaseRaw=608.8 | CurrentRaw=601.4 | Change=7.4 => Floor
data,,608.8,603.6,5.2,603.6,Time=3.0s | BaseRaw=608.8 | CurrentRaw=603.6 | Change=5.2 => Floor
data,,608.8,601.4,7.4,601.4,Time=3.1s | BaseRaw=608.8 | CurrentRaw=601.4 | Change=7.4 => Floor
data,,608.8,601.4,7.4,601.4,Time=3.2s | BaseRaw=608.8 | CurrentRaw=601.4 | Change=7.4 => Floor
data,,608.8,602.0,6.8,602.0,Time=3.3s | BaseRaw=608.8 | CurrentRaw=602.0 | Change=6.8 => Floor
data,,608.8,600.4,8.4,600.4,Time=3.4s | BaseRaw=608.8 | CurrentRaw=600.4 | Change=8.4 => Floor
data,,608.8,602.8,6.0,602.8,Time=3.5s | BaseRaw=608.8 | CurrentRaw=602.8 | Change=6.0 => Floor
data,,608.8,600.4,8.4,600.4,Time=3.6s | BaseRaw=608.8 | CurrentRaw=600.4 | Change=8.4 => Floor
data,,608.8,601.4,7.4,601.4,Time=3.7s | BaseRaw=608.8 | CurrentRaw=601.4 | Change=7.4 => Floor
data,,608.8,601.0,7.8,601.0,Time=3.8s | BaseRaw=608.8 | CurrentRaw=601.0 | Change=7.8 => Floor
data,,608.8,600.0,8.8,600.0,Time=3.9s | BaseRaw=608.8 | CurrentRaw=600.0 | Change=8.8 => Floor
data,,608.8,602.8,6.0,602.8,Time=4.0s | BaseRaw=608.8 | CurrentRaw=602.8 | Change=6.0 => Floor
data,,608.8,600.4,8.4,600.4,Time=4.1s | BaseRaw=608.8 | CurrentRaw=600.4 | Change=8.4 => Floor
data,,608.8,601.6,7.2,601.6,Time=4.2s | BaseRaw=608.8 | CurrentRaw=601.6 | Change=7.2 => Floor
data,,608.8,600.2,8.6,600.2,Time=4.3s | BaseRaw=608.8 | CurrentRaw=600.2 | Change=8.6 => Floor
data,,608.8,599.2,9.6,599.2,Time=4.4s | BaseRaw=608.8 | CurrentRaw=599.2 | Change=9.6 => Floor
data,,608.8,601.6,7.2,601.6,Time=4.5s | BaseRaw=608.8 | CurrentRaw=601.6 | Change=7.2 => Floor
data,,608.8,599.6,9.2,599.6,Time=4.6s | BaseRaw=608.8 | CurrentRaw=599.6 | Change=9.2 => Floor
data,,608.8,602.0,6.8,602.0,Time=4.7s | BaseRaw=608.8 | CurrentRaw=602.0 | Change=6.8 => Floor
data,,608.8,600.0,8.8,600.0,Time=4.8s | BaseRaw=608.8 | CurrentRaw=600.0 | Change=8.8 => Floor
data,,608.8,600.4,8.4,600.4,Time=4.9s | BaseRaw=608.8 | CurrentRaw=600.4 | Change=8.4 => Floor
data,,608.8,601.6,7.2,601.6,Time=5.0s | BaseRaw=608.8 | CurrentRaw=601.6 | Change=7.2 => Floor
data,,608.8,599.6,9.2,599.6,Time=5.1s | BaseRaw=608.8 | CurrentRaw=599.6 | Change=9.2 => Floor
data,,608.8,601.6,7.2,601.6,Time=5.2s | BaseRaw=608.8 | CurrentRaw=601.6 | Change=7.2 => Floor
data,,608.8,598.4,10.4,598.4,Time=5.3s | BaseRaw=608.8 | CurrentRaw=598.4 | Change=10.4 => Liquid
data,,608.8,608.2,0.6,608.2,Time=5.4s | BaseRaw=608.8 | CurrentRaw=608.2 | Change=0.6 => Floor
data,,608.8,597.6,11.2,597.6,Time=5.5s | BaseRaw=608.8 | CurrentRaw=597.6 | Change=11.2 => Liquid
data,,608.8,608.0,0.8,608.0,Time=5.6s | BaseRaw=608.8 | CurrentRaw=608.0 | Change=0.8 => Floor
data,,608.8,603.6,5.2,603.6,Time=5.7s | BaseRaw=608.8 | CurrentRaw=603.6 | Change=5.2 => Floor
data,,608.8,598.2,10.6,598.2,Time=5.8s | BaseRaw=608.8 | CurrentRaw=598.2 | Change=10.6 => Liquid
data,,608.8,586.0,22.8,586.0,Time=5.9s | BaseRaw=608.8 | CurrentRaw=586.0 | Change=22.8 => Liquid
data,,608.8,592.0,16.8,592.0,Time=6.0s | BaseRaw=608.8 | CurrentRaw=592.0 | Change=16.8 => Liquid
data,,608.8,580.4,28.4,580.4,Time=6.1s | BaseRaw=608.8 | CurrentRaw=580.4 | Change=28.4 => Liquid
data,,608.8,576.6,32.2,576.6,Time=6.2s | BaseRaw=608.8 | CurrentRaw=576.6 | Change=32.2 => Liquid
data,,608.8,584.4,24.4,584.4,Time=6.3s | BaseRaw=608.8 | CurrentRaw=584.4 | Change=24.4 => Liquid
data,,608.8,586.0,22.8,586.0,Time=6.4s | BaseRaw=608.8 | CurrentRaw=586.0 | Change=22.8 => Liquid
data,,608.8,573.6,35.2,573.6,Time=6.5s | BaseRaw=608.8 | CurrentRaw=573.6 | Change=35.2 => Liquid
