record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,591.20,,,,591.20,Collecting baseline... RawAvg=591.20
baseline,598.80,,,,598.80,Collecting baseline... RawAvg=598.80
baseline,602.20,,,,602.20,Collecting baseline... RawAvg=602.20
baseline,602.40,,,,602.40,Collecting baseline... RawAvg=602.40
baseline,600.40,,,,600.40,Collecting baseline... RawAvg=600.40
baseline,600.60,,,,600.60,Collecting baseline... RawAvg=600.60
baseline,598.60,,,,598.60,Collecting baseline... RawAvg=598.60
baseline,606.00,,,,606.00,Collecting baseline... RawAvg=606.00
baseline,617.60,,,,617.60,Collecting baseline... RawAvg=617.60
baseline,627.80,,,,627.80,Collecting baseline... RawAvg=627.80
baseline,632.00,,,,632.00,Collecting baseline... RawAvg=632.00
baseline,628.20,,,,628.20,Collecting baseline... RawAvg=628.20
baseline,617.00,,,,617.00,Collecting baseline... RawAvg=617.00
baseline,605.40,,,,605.40,Collecting baseline... RawAvg=605.40
baseline,600.40,,,,600.40,Collecting baseline... RawAvg=600.40
baseline,605.00,,,,605.00,Collecting baseline... RawAvg=605.00
baseline,616.40,,,,616.40,Collecting baseline... RawAvg=616.40
baseline,628.20,,,,628.20,Collecting baseline... RawAvg=628.20
baseline,634.80,,,,634.80,Collecting baseline... RawAvg=634.80
baseline,634.00,,,,634.00,Collecting baseline... RawAvg=634.00
baseline,624.60,,,,624.60,Collecting baseline... RawAvg=624.60
baseline,610.40,,,,610.40,Collecting baseline... RawAvg=610.40
baseline,600.00,,,,600.00,Collecting baseline... RawAvg=600.00
baseline,598.80,,,,598.80,Collecting baseline... RawAvg=598.80
baseline,606.80,,,,606.80,Collecting baseline... RawAvg=606.80
baseline,618.80,,,,618.80,Collecting baseline... RawAvg=618.80
baseline,628.80,,,,628.80,Collecting baseline... RawAvg=628.80
baseline,632.60,,,,632.60,Collecting baseline... RawAvg=632.60
baseline,628.00,,,,628.00,Collecting baseline... RawAvg=628.00
baseline,616.40,,,,616.40,Collecting baseline... RawAvg=616.40
baseline,604.80,,,,604.80,Collecting baseline... RawAvg=604.80
baseline,600.20,,,,600.20,Collecting baseline... RawAvg=600.20
baseline,605.00,,,,605.00,Collecting baseline... RawAvg=605.00
baseline,616.80,,,,616.80,Collecting baseline... RawAvg=616.80
baseline,628.20,,,,628.20,Collecting baseline... RawAvg=628.20
baseline,634.60,,,,634.60,Collecting baseline... RawAvg=634.60
baseline,633.20,,,,633.20,Collecting baseline... RawAvg=633.20
baseline,623.40,,,,623.40,Collecting baseline... RawAvg=623.40
baseline,609.40,,,,609.40,Collecting baseline... RawAvg=609.40
baseline,599.40,,,,599.40,Collecting baseline... RawAvg=599.40
baseline,598.80,,,,598.80,Collecting baseline... RawAvg=598.80
baseline,607.40,,,,607.40,Collecting baseline... RawAvg=607.40
baseline,619.40,,,,619.40,Collecting baseline... RawAvg=619.40
baseline,628.80,,,,628.80,Collecting baseline... RawAvg=628.80
baseline,632.20,,,,632.20,Collecting baseline... RawAvg=632.20
baseline,627.20,,,,627.20,Collecting baseline... RawAvg=627.20
baseline,615.40,,,,615.40,Collecting baseline... RawAvg=615.40
baseline,604.20,,,,604.20,Collecting baseline... RawAvg=604.20
baseline,600.60,,,,600.60,Collecting baseline... RawAvg=600.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,614.31,,,614.31,Final Base Raw Average = 614.31
info,,,,,,--------------------------------------------------------------------------
data,,614.3,616.4,2.1,616.4,Time=0.1s | BaseRaw=614.3 | CurrentRaw=616.4 | Change=2.1 => Floor
data,,614.3,620.0,5.7,620.0,Time=0.2s | BaseRaw=614.3 | CurrentRaw=620.0 | Change=5.7 => Floor
data,,614.3,622.6,8.3,622.6,Time=0.3s | BaseRaw=614.3 | CurrentRaw=622.6 | Change=8.3 => Floor
data,,614.3,626.2,11.9,626.2,Time=0.4s | BaseRaw=614.3 | CurrentRaw=626.2 | Change=11.9 => Liquid
data,,614.3,624.2,9.9,624.2,Time=0.5s | BaseRaw=614.3 | CurrentRaw=624.2 | Change=9.9 => Floor
data,,614.3,618.6,4.3,618.6,Time=0.6s | BaseRaw=614.3 | CurrentRaw=618.6 | Change=4.3 => Floor
data,,614.3,616.0,1.7,616.0,Time=0.7s | BaseRaw=614.3 | CurrentRaw=616.0 | Change=1.7 => Floor
data,,614.3,623.6,9.3,623.6,Time=0.8s | BaseRaw=614.3 | CurrentRaw=623.6 | Change=9.3 => Floor
data,,614.3,614.8,0.5,614.8,Time=0.9s | BaseRaw=614.3 | CurrentRaw=614.8 | Change=0.5 => Floor
data,,614.3,618.6,4.3,618.6,Time=1.0s | BaseRaw=614.3 | CurrentRaw=618.6 | Change=4.3 => Floor
data,,614.3,615.6,1.3,615.6,Time=1.1s | BaseRaw=614.3 | CurrentRaw=615.6 | Change=1.3 => Floor
data,,614.3,619.0,4.7,619.0,Time=1.2s | BaseRaw=614.3 | CurrentRaw=619.0 | Change=4.7 => Floor
data,,614.3,616.0,1.7,616.0,Time=1.3s | BaseRaw=614.3 | CurrentRaw=616.0 | Change=1.7 => Floor
data,,614.3,616.4,2.1,616.4,Time=1.4s | BaseRaw=614.3 | CurrentRaw=616.4 | Change=2.1 => Floor
data,,614.3,617.2,2.9,617.2,Time=1.5s | BaseRaw=614.3 | CurrentRaw=617.2 | Change=2.9 => Floor
data,,614.3,614.8,0.5,614.8,Time=1.6s | BaseRaw=614.3 | CurrentRaw=614.8 | Change=0.5 => Floor
data,,614.3,619.6,5.3,619.6,Time=1.7s | BaseRaw=614.3 | CurrentRaw=619.6 | Change=5.3 => Floor
data,,614.3,616.4,2.1,616.4,Time=1.8s | BaseRaw=614.3 | CurrentRaw=616.4 | Change=2.1 => Floor
data,,614.3,618.8,4.5,618.8,Time=1.9s | BaseRaw=614.3 | CurrentRaw=618.8 | Change=4.5 => Floor
data,,614.3,616.2,1.9,616.2,Time=2.0s | BaseRaw=614.3 | CurrentRaw=616.2 | Change=1.9 => Floor
data,,614.3,614.8,0.5,614.8,Time=2.1s | BaseRaw=614.3 | CurrentRaw=614.8 | Change=0.5 => Floor
data,,614.3,618.0,3.7,618.0,Time=2.2s | BaseRaw=614.3 | CurrentRaw=618.0 | Change=3.7 => Floor
data,,614.3,615.2,0.9,615.2,Time=2.3s | BaseRaw=614.3 | CurrentRaw=615.2 | Change=0.9 => Floor
data,,614.3,619.6,5.3,619.6,Time=2.4s | BaseRaw=614.3 | CurrentRaw=619.6 | Change=5.3 => Floor
data,,614.3,616.0,1.7,616.0,Time=2.5s | BaseRaw=614.3 | CurrentRaw=616.0 | Change=1.7 => Floor
data,,614.3,617.0,2.7,617.0,Time=2.6s | BaseRaw=614.3 | CurrentRaw=617.0 | Change=2.7 => Floor
data,,614.3,616.6,2.3,616.6,Time=2.7s | BaseRaw=614.3 | CurrentRaw=616.6 | Change=2.3 => Floor
data,,614.3,614.6,0.3,614.6,Time=2.8s | BaseRaw=614.3 | CurrentRaw=614.6 | Change=0.3 => Floor
data,,614.3,619.0,4.7,619.0,Time=2.9s | BaseRaw=614.3 | CurrentRaw=619.0 | Change=4.7 => Floor
data,,614.3,615.8,1.5,615.8,Time=3.0s | BaseRaw=614.3 | CurrentRaw=615.8 | Change=1.5 => Floor
data,,614.3,618.8,4.5,618.8,Time=3.1s | BaseRaw=614.3 | CurrentRaw=618.8 | Change=4.5 => Floor
data,,614.3,615.8,1.5,615.8,Time=3.2s | BaseRaw=614.3 | CurrentRaw=615.8 | Change=1.5 => Floor
data,,614.3,615.8,1.5,615.8,Time=3.3s | BaseRaw=614.3 | CurrentRaw=615.8 | Change=1.5 => Floor
data,,614.3,617.6,3.3,617.6,Time=3.4s | BaseRaw=614.3 | CurrentRaw=617.6 | Change=3.3 => Floor
data,,614.3,615.0,0.7,615.0,Time=3.5s | BaseRaw=614.3 | CurrentRaw=615.0 | Change=0.7 => Floor
data,,614.3,619.8,5.5,619.8,Time=3.6s | BaseRaw=614.3 | CurrentRaw=619.8 | Change=5.5 => Floor
data,,614.3,616.4,2.1,616.4,Time=3.7s | BaseRaw=614.3 | CurrentRaw=616.4 | Change=2.1 => Floor
data,,614.3,618.4,4.1,618.4,Time=3.8s | BaseRaw=614.3 | CurrentRaw=618.4 | Change=4.1 => Floor
data,,614.3,616.8,2.5,616.8,Time=3.9s | BaseRaw=614.3 | CurrentRaw=616.8 | Change=2.5 => Floor
data,,614.3,615.0,0.7,615.0,Time=4.0s | BaseRaw=614.3 | CurrentRaw=615.0 | Change=0.7 => Floor
data,,614.3,619.0,4.7,619.0,Time=4.1s | BaseRaw=614.3 | CurrentRaw=619.0 | Change=4.7 => Floor
data,,614.3,616.2,1.9,616.2,Time=4.2s | BaseRaw=614.3 | CurrentRaw=616.2 | Change=1.9 => Floor
data,,614.3,620.2,5.9,620.2,Time=4.3s | BaseRaw=614.3 | CurrentRaw=620.2 | Change=5.9 => Floor
data,,614.3,616.8,2.5,616.8,Time=4.4s | BaseRaw=614.3 | CurrentRaw=616.8 | Change=2.5 => Floor
data,,614.3,617.6,3.3,617.6,Time=4.5s | BaseRaw=614.3 | CurrentRaw=617.6 | Change=3.3 => Floor
data,,614.3,618.2,3.9,618.2,Time=4.6s | BaseRaw=614.3 | CurrentRaw=618.2 | Change=3.9 => Floor
data,,614.3,616.4,2.1,616.4,Time=4.7s | BaseRaw=614.3 | CurrentRaw=616.4 | Change=2.1 => Floor
data,,614.3,621.2,6.9,621.2,Time=4.8s | BaseRaw=614.3 | CurrentRaw=621.2 | Change=6.9 => Floor
data,,614.3,618.0,3.7,618.0,Time=4.9s | BaseRaw=614.3 | CurrentRaw=618.0 | Change=3.7 => Floor
data,,614.3,620.6,6.3,620.6,Time=5.0s | BaseRaw=614.3 | CurrentRaw=620.6 | Change=6.3 => Floor
data,,614.3,618.2,3.9,618.2,Time=5.1s | BaseRaw=614.3 | CurrentRaw=618.2 | Change=3.9 => Floor
data,,614.3,618.2,3.9,618.2,Time=5.2s | BaseRaw=614.3 | CurrentRaw=618.2 | Change=3.9 => Floor
data,,614.3,621.8,7.5,621.8,Time=5.3s | BaseRaw=614.3 | CurrentRaw=621.8 | Change=7.5 => Floor
data,,614.3,619.8,5.5,619.8,Time=5.4s | BaseRaw=614.3 | CurrentRaw=619.8 | Change=5.5 => Floor
data,,614.3,625.2,10.9,625.2,Time=5.5s | BaseRaw=614.3 | CurrentRaw=625.2 | Change=10.9 => Liquid
data,,614.3,618.4,4.1,618.4,Time=5.6s | BaseRaw=614.3 | CurrentRaw=618.4 | Change=4.1 => Floor
data,,614.3,631.4,17.1,631.4,Time=5.7s | BaseRaw=614.3 | CurrentRaw=631.4 | Change=17.1 => Liquid
data,,614.3,619.4,5.1,619.4,Time=5.8s | BaseRaw=614.3 | CurrentRaw=619.4 | Change=5.1 => Floor
data,,614.3,630.8,16.5,630.8,Time=5.9s | BaseRaw=614.3 | CurrentRaw=630.8 | Change=16.5 => Liquid
data,,614.3,627.2,12.9,627.2,Time=6.0s | BaseRaw=614.3 | CurrentRaw=627.2 | Change=12.9 => Liquid
data,,614.3,630.4,16.1,630.4,Time=6.1s | BaseRaw=614.3 | CurrentRaw=630.4 | Change=16.1 => Liquid
data,,614.3,631.2,16.9,631.2,Time=6.2s | BaseRaw=614.3 | CurrentRaw=631.2 | Change=16.9 => Liquid
data,,614.3,633.4,19.1,633.4,Time=6.3s | BaseRaw=614.3 | CurrentRaw=633.4 | Change=19.1 => Liquid
data,,614.3,624.8,10.5,624.8,Time=6.4s | BaseRaw=614.3 | CurrentRaw=624.8 | Change=10.5 => Liquid
data,,614.3,634.8,20.5,634.8,Time=6.5s | BaseRaw=614.3 | CurrentRaw=634.8 | Change=20.5 => Liquid
