record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,723.8,,,,723.8,Collecting baseline... RawAvg=723.80
baseline,724.0,,,,724.0,Collecting baseline... RawAvg=724.00
baseline,723.6,,,,723.6,Collecting baseline... RawAvg=723.60
baseline,723.4,,,,723.4,Collecting baseline... RawAvg=723.40
baseline,723.2,,,,723.2,Collecting baseline... RawAvg=723.20
baseline,722.4,,,,722.4,Collecting baseline... RawAvg=722.40
baseline,722.0,,,,722.0,Collecting baseline... RawAvg=722.00
baseline,722.2,,,,722.2,Collecting baseline... RawAvg=722.20
baseline,722.6,,,,722.6,Collecting baseline... RawAvg=722.60
baseline,723.2,,,,723.2,Collecting baseline... RawAvg=723.20
baseline,724.0,,,,724.0,Collecting baseline... RawAvg=724.00
baseline,724.8,,,,724.8,Collecting baseline... RawAvg=724.80
baseline,725.6,,,,725.6,Collecting baseline... RawAvg=725.60
baseline,725.8,,,,725.8,Collecting baseline... RawAvg=725.80
baseline,726.0,,,,726.0,Collecting baseline... RawAvg=726.00
baseline,725.8,,,,725.8,Collecting baseline... RawAvg=725.80
baseline,725.6,,,,725.6,Collecting baseline... RawAvg=725.60
baseline,725.0,,,,725.0,Collecting baseline... RawAvg=725.00
baseline,724.6,,,,724.6,Collecting baseline... RawAvg=724.60
baseline,723.8,,,,723.8,Collecting baseline... RawAvg=723.80
baseline,723.2,,,,723.2,Collecting baseline... RawAvg=723.20
baseline,722.6,,,,722.6,Collecting baseline... RawAvg=722.60
baseline,722.2,,,,722.2,Collecting baseline... RawAvg=722.20
baseline,722.2,,,,722.2,Collecting baseline... RawAvg=722.20
baseline,722.6,,,,722.6,Collecting baseline... RawAvg=722.60
baseline,723.0,,,,723.0,Collecting baseline... RawAvg=723.00
baseline,723.6,,,,723.6,Collecting baseline... RawAvg=723.60
baseline,724.2,,,,724.2,Collecting baseline... RawAvg=724.20
baseline,724.8,,,,724.8,Collecting baseline... RawAvg=724.80
baseline,725.4,,,,725.4,Collecting baseline... RawAvg=725.40
baseline,725.8,,,,725.8,Collecting baseline... RawAvg=725.80
baseline,726.0,,,,726.0,Collecting baseline... RawAvg=726.00
baseline,726.0,,,,726.0,Collecting baseline... RawAvg=726.00
baseline,725.6,,,,725.6,Collecting baseline... RawAvg=725.60
baseline,725.0,,,,725.0,Collecting baseline... RawAvg=725.00
baseline,724.2,,,,724.2,Collecting baseline... RawAvg=724.20
baseline,723.4,,,,723.4,Collecting baseline... RawAvg=723.40
baseline,722.8,,,,722.8,Collecting baseline... RawAvg=722.80
baseline,722.4,,,,722.4,Collecting baseline... RawAvg=722.40
baseline,722.0,,,,722.0,Collecting baseline... RawAvg=722.00
baseline,722.2,,,,722.2,Collecting baseline... RawAvg=722.20
baseline,722.6,,,,722.6,Collecting baseline... RawAvg=722.60
baseline,723.0,,,,723.0,Collecting baseline... RawAvg=723.00
baseline,723.4,,,,723.4,Collecting baseline... RawAvg=723.40
baseline,724.2,,,,724.2,Collecting baseline... RawAvg=724.20
baseline,724.6,,,,724.6,Collecting baseline... RawAvg=724.60
baseline,725.0,,,,725.0,Collecting baseline... RawAvg=725.00
baseline,725.4,,,,725.4,Collecting baseline... RawAvg=725.40
baseline,725.8,,,,725.8,Collecting baseline... RawAvg=725.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,723.97,,,723.97,Final Base Raw Average = 723.97
info,,,,,,--------------------------------------------------------------------------
data,,724.0,716.4,7.6,716.4,Time=11.7s | BaseRaw=724.0 | CurrentRaw=716.4 | Change=7.6 => Floor
data,,724.0,715.6,8.4,715.6,Time=11.8s | BaseRaw=724.0 | CurrentRaw=715.6 | Change=8.4 => Floor
data,,724.0,715.2,8.8,715.2,Time=11.9s | BaseRaw=724.0 | CurrentRaw=715.2 | Change=8.8 => Floor
data,,724.0,716.0,8.0,716.0,Time=12.0s | BaseRaw=724.0 | CurrentRaw=716.0 | Change=8.0 => Floor
data,,724.0,718.8,5.2,718.8,Time=12.1s | BaseRaw=724.0 | CurrentRaw=718.8 | Change=5.2 => Floor
data,,724.0,722.0,2.0,722.0,Time=12.2s | BaseRaw=724.0 | CurrentRaw=722.0 | Change=2.0 => Floor
data,,724.0,724.2,0.2,724.2,Time=12.3s | BaseRaw=724.0 | CurrentRaw=724.2 | Change=0.2 => Floor
data,,724.0,725.4,1.4,725.4,Time=12.4s | BaseRaw=724.0 | CurrentRaw=725.4 | Change=1.4 => Floor
data,,724.0,726.6,2.6,726.6,Time=12.5s | BaseRaw=724.0 | CurrentRaw=726.6 | Change=2.6 => Floor
data,,724.0,726.4,2.4,726.4,Time=12.6s | BaseRaw=724.0 | CurrentRaw=726.4 | Change=2.4 => Floor
data,,724.0,725.0,1.0,725.0,Time=12.7s | BaseRaw=724.0 | CurrentRaw=725.0 | Change=1.0 => Floor
