record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,713.18,,,713.18,Final Base Raw Average = 713.18
info,,,,,,--------------------------------------------------------------------------
data,,713.2,713.0,0.2,713.0,Time=0.1s | BaseRaw=713.2 | CurrentRaw=713.0 | Change=0.2 => Floor
data,,713.2,712.6,0.6,712.6,Time=0.2s | BaseRaw=713.2 | CurrentRaw=712.6 | Change=0.6 => Floor
data,,713.2,712.6,0.6,712.6,Time=0.3s | BaseRaw=713.2 | CurrentRaw=712.6 | Change=0.6 => Floor
data,,713.2,712.2,1.0,712.2,Time=0.4s | BaseRaw=713.2 | CurrentRaw=712.2 | Change=1.0 => Floor
data,,713.2,712.4,0.8,712.4,Time=0.5s | BaseRaw=713.2 | CurrentRaw=712.4 | Change=0.8 => Floor
data,,713.2,712.4,0.8,712.4,Time=0.6s | BaseRaw=713.2 | CurrentRaw=712.4 | Change=0.8 => Floor
data,,713.2,712.6,0.6,712.6,Time=0.7s | BaseRaw=713.2 | CurrentRaw=712.6 | Change=0.6 => Floor
data,,713.2,713.2,0.0,713.2,Time=0.8s | BaseRaw=713.2 | CurrentRaw=713.2 | Change=0.0 => Floor
data,,713.2,713.4,0.2,713.4,Time=0.9s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,714.4,1.2,714.4,Time=1.0s | BaseRaw=713.2 | CurrentRaw=714.4 | Change=1.2 => Floor
data,,713.2,714.6,1.4,714.6,Time=1.1s | BaseRaw=713.2 | CurrentRaw=714.6 | Change=1.4 => Floor
data,,713.2,714.6,1.4,714.6,Time=1.2s | BaseRaw=713.2 | CurrentRaw=714.6 | Change=1.4 => Floor
data,,713.2,714.2,1.0,714.2,Time=1.3s | BaseRaw=713.2 | CurrentRaw=714.2 | Change=1.0 => Floor
data,,713.2,714.6,1.4,714.6,Time=1.4s | BaseRaw=713.2 | CurrentRaw=714.6 | Change=1.4 => Floor
data,,713.2,713.2,0.0,713.2,Time=1.5s | BaseRaw=713.2 | CurrentRaw=713.2 | Change=0.0 => Floor
data,,713.2,713.4,0.2,713.4,Time=1.6s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,713.4,0.2,713.4,Time=1.7s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,713.4,0.2,713.4,Time=1.8s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,713.2,0.0,713.2,Time=1.9s | BaseRaw=713.2 | CurrentRaw=713.2 | Change=0.0 => Floor
data,,713.2,714.2,1.0,714.2,Time=2.0s | BaseRaw=713.2 | CurrentRaw=714.2 | Change=1.0 => Floor
data,,713.2,713.8,0.6,713.8,Time=2.1s | BaseRaw=713.2 | CurrentRaw=713.8 | Change=0.6 => Floor
data,,713.2,713.8,0.6,713.8,Time=2.2s | BaseRaw=713.2 | CurrentRaw=713.8 | Change=0.6 => Floor
data,,713.2,713.6,0.4,713.6,Time=2.3s | BaseRaw=713.2 | CurrentRaw=713.6 | Change=0.4 => Floor
data,,713.2,713.4,0.2,713.4,Time=2.4s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,713.0,0.2,713.0,Time=2.5s | BaseRaw=713.2 | CurrentRaw=713.0 | Change=0.2 => Floor
data,,713.2,713.6,0.4,713.6,Time=2.6s | BaseRaw=713.2 | CurrentRaw=713.6 | Change=0.4 => Floor
data,,713.2,713.4,0.2,713.4,Time=2.7s | BaseRaw=713.2 | CurrentRaw=713.4 | Change=0.2 => Floor
data,,713.2,713.8,0.6,713.8,Time=2.8s | BaseRaw=713.2 | CurrentRaw=713.8 | Change=0.6 => Floor
data,,713.2,713.8,0.6,713.8,Time=2.9s | BaseRaw=713.2 | CurrentRaw=713.8 | Change=0.6 => Floor
data,,713.2,713.2,0.0,713.2,Time=3.0s | BaseRaw=713.2 | CurrentRaw=713.2 | Change=0.0 => Floor
data,,713.2,713.0,0.2,713.0,Time=3.1s | BaseRaw=713.2 | CurrentRaw=713.0 | Change=0.2 => Floor
data,,713.2,712.8,0.4,712.8,Time=3.2s | BaseRaw=713.2 | CurrentRaw=712.8 | Change=0.4 => Floor
data,,713.2,712.6,0.6,712.6,Time=3.3s | BaseRaw=713.2 | CurrentRaw=712.6 | Change=0.6 => Floor
data,,713.2,712.6,0.6,712.6,Time=3.4s | BaseRaw=713.2 | CurrentRaw=712.6 | Change=0.6 => Floor
data,,713.2,712.8,0.4,712.8,Time=3.5s | BaseRaw=713.2 | CurrentRaw=712.8 | Change=0.4 => Floor
data,,713.2,711.4,1.8,711.4,Time=3.6s | BaseRaw=713.2 | CurrentRaw=711.4 | Change=1.8 => Floor
data,,713.2,711.0,2.2,711.0,Time=3.7s | BaseRaw=713.2 | CurrentRaw=711.0 | Change=2.2 => Floor
data,,713.2,710.6,2.6,710.6,Time=3.8s | BaseRaw=713.2 | CurrentRaw=710.6 | Change=2.6 => Floor
data,,713.2,709.8,3.4,709.8,Time=3.9s | BaseRaw=713.2 | CurrentRaw=709.8 | Change=3.4 => Floor
data,,713.2,709.4,3.8,709.4,Time=4.0s | BaseRaw=713.2 | CurrentRaw=709.4 | Change=3.8 => Floor
data,,713.2,709.6,3.6,709.6,Time=4.1s | BaseRaw=713.2 | CurrentRaw=709.6 | Change=3.6 => Floor
data,,713.2,709.2,4.0,709.2,Time=4.2s | BaseRaw=713.2 | CurrentRaw=709.2 | Change=4.0 => Floor
data,,713.2,708.6,4.6,708.6,Time=4.3s | BaseRaw=713.2 | CurrentRaw=708.6 | Change=4.6 => Floor
data,,713.2,708.6,4.6,708.6,Time=4.4s | BaseRaw=713.2 | CurrentRaw=708.6 | Change=4.6 => Floor
data,,713.2,708.0,5.2,708.0,Time=4.5s | BaseRaw=713.2 | CurrentRaw=708.0 | Change=5.2 => Floor
data,,713.2,708.0,5.2,708.0,Time=4.6s | BaseRaw=713.2 | CurrentRaw=708.0 | Change=5.2 => Floor
data,,713.2,707.8,5.4,707.8,Time=4.7s | BaseRaw=713.2 | CurrentRaw=707.8 | Change=5.4 => Floor
data,,713.2,707.8,5.4,707.8,Time=4.8s | BaseRaw=713.2 | CurrentRaw=707.8 | Change=5.4 => Floor
data,,713.2,707.6,5.6,707.6,Time=4.9s | BaseRaw=713.2 | CurrentRaw=707.6 | Change=5.6 => Floor
data,,713.2,707.8,5.4,707.8,Time=5.0s | BaseRaw=713.2 | CurrentRaw=707.8 | Change=5.4 => Floor
data,,713.2,707.4,5.8,707.4,Time=5.1s | BaseRaw=713.2 | CurrentRaw=707.4 | Change=5.8 => Floor
data,,713.2,708.4,4.8,708.4,Time=5.2s | BaseRaw=713.2 | CurrentRaw=708.4 | Change=4.8 => Floor
data,,713.2,708.8,4.4,708.8,Time=5.3s | BaseRaw=713.2 | CurrentRaw=708.8 | Change=4.4 => Floor
data,,713.2,709.4,3.8,709.4,Time=5.4s | BaseRaw=713.2 | CurrentRaw=709.4 | Change=3.8 => Floor
data,,713.2,710.8,2.4,710.8,Time=5.5s | BaseRaw=713.2 | CurrentRaw=710.8 | Change=2.4 => Floor
data,,713.2,712.4,0.8,712.4,Time=5.6s | BaseRaw=713.2 | CurrentRaw=712.4 | Change=0.8 => Floor
data,,713.2,713.6,0.4,713.6,Time=5.7s | BaseRaw=713.2 | CurrentRaw=713.6 | Change=0.4 => Floor
data,,713.2,714.6,1.4,714.6,Time=5.8s | BaseRaw=713.2 | CurrentRaw=714.6 | Change=1.4 => Floor
data,,713.2,715.8,2.6,715.8,Time=5.9s | BaseRaw=713.2 | CurrentRaw=715.8 | Change=2.6 => Floor
data,,713.2,715.0,1.8,715.0,Time=6.0s | BaseRaw=713.2 | CurrentRaw=715.0 | Change=1.8 => Floor
data,,713.2,714.8,1.6,714.8,Time=6.1s | BaseRaw=713.2 | CurrentRaw=714.8 | Change=1.6 => Floor
data,,713.2,714.0,0.8,714.0,Time=6.2s | BaseRaw=713.2 | CurrentRaw=714.0 | Change=0.8 => Floor
data,,713.2,713.8,0.6,713.8,Time=6.3s | BaseRaw=713.2 | CurrentRaw=713.8 | Change=0.6 => Floor
data,,713.2,714.8,1.6,714.8,Time=6.4s | BaseRaw=713.2 | CurrentRaw=714.8 | Change=1.6 => Floor
data,,713.2,715.6,2.4,715.6,Time=6.5s | BaseRaw=713.2 | CurrentRaw=715.6 | Change=2.4 => Floor
