record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,676.40,,,,676.40,Collecting baseline... RawAvg=676.40
baseline,676.40,,,,676.40,Collecting baseline... RawAvg=676.40
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,677.20,,,,677.20,Collecting baseline... RawAvg=677.20
baseline,677.40,,,,677.40,Collecting baseline... RawAvg=677.40
baseline,677.40,,,,677.40,Collecting baseline... RawAvg=677.40
baseline,677.20,,,,677.20,Collecting baseline... RawAvg=677.20
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,677.20,,,,677.20,Collecting baseline... RawAvg=677.20
baseline,677.20,,,,677.20,Collecting baseline... RawAvg=677.20
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,677.80,,,,677.80,Collecting baseline... RawAvg=677.80
baseline,677.80,,,,677.80,Collecting baseline... RawAvg=677.80
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,677.40,,,,677.40,Collecting baseline... RawAvg=677.40
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,677.20,,,,677.20,Collecting baseline... RawAvg=677.20
baseline,677.40,,,,677.40,Collecting baseline... RawAvg=677.40
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,677.80,,,,677.80,Collecting baseline... RawAvg=677.80
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,677.40,,,,677.40,Collecting baseline... RawAvg=677.40
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,677.06,,,677.06,Final Base Raw Average = 677.06
info,,,,,,--------------------------------------------------------------------------
data,,677.1,677.2,0.1,677.2,Time=0.1s | BaseRaw=677.1 | CurrentRaw=677.2 | Change=0.1 => Floor
data,,677.1,677.6,0.5,677.6,Time=0.2s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.6,0.5,677.6,Time=0.3s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.8,0.7,677.8,Time=0.4s | BaseRaw=677.1 | CurrentRaw=677.8 | Change=0.7 => Floor
data,,677.1,677.8,0.7,677.8,Time=0.5s | BaseRaw=677.1 | CurrentRaw=677.8 | Change=0.7 => Floor
data,,677.1,677.6,0.5,677.6,Time=0.6s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.4,0.3,677.4,Time=0.7s | BaseRaw=677.1 | CurrentRaw=677.4 | Change=0.3 => Floor
data,,677.1,677.0,0.1,677.0,Time=0.8s | BaseRaw=677.1 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,677.1,676.8,0.3,676.8,Time=0.9s | BaseRaw=677.1 | CurrentRaw=676.8 | Change=0.3 => Floor
data,,677.1,677.0,0.1,677.0,Time=1.0s | BaseRaw=677.1 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,677.1,677.2,0.1,677.2,Time=1.1s | BaseRaw=677.1 | CurrentRaw=677.2 | Change=0.1 => Floor
data,,677.1,677.2,0.1,677.2,Time=1.2s | BaseRaw=677.1 | CurrentRaw=677.2 | Change=0.1 => Floor
data,,677.1,677.4,0.3,677.4,Time=1.3s | BaseRaw=677.1 | CurrentRaw=677.4 | Change=0.3 => Floor
data,,677.1,677.4,0.3,677.4,Time=1.4s | BaseRaw=677.1 | CurrentRaw=677.4 | Change=0.3 => Floor
data,,677.1,677.0,0.1,677.0,Time=1.5s | BaseRaw=677.1 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,677.1,676.6,0.5,676.6,Time=1.6s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.4,0.7,676.4,Time=1.7s | BaseRaw=677.1 | CurrentRaw=676.4 | Change=0.7 => Floor
data,,677.1,676.2,0.9,676.2,Time=1.8s | BaseRaw=677.1 | CurrentRaw=676.2 | Change=0.9 => Floor
data,,677.1,676.4,0.7,676.4,Time=1.9s | BaseRaw=677.1 | CurrentRaw=676.4 | Change=0.7 => Floor
data,,677.1,676.6,0.5,676.6,Time=2.0s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=2.1s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=2.2s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.2,0.9,676.2,Time=2.3s | BaseRaw=677.1 | CurrentRaw=676.2 | Change=0.9 => Floor
data,,677.1,676.0,1.1,676.0,Time=2.4s | BaseRaw=677.1 | CurrentRaw=676.0 | Change=1.1 => Floor
data,,677.1,675.4,1.7,675.4,Time=2.5s | BaseRaw=677.1 | CurrentRaw=675.4 | Change=1.7 => Floor
data,,677.1,675.4,1.7,675.4,Time=2.6s | BaseRaw=677.1 | CurrentRaw=675.4 | Change=1.7 => Floor
data,,677.1,675.0,2.1,675.0,Time=2.7s | BaseRaw=677.1 | CurrentRaw=675.0 | Change=2.1 => Floor
data,,677.1,675.0,2.1,675.0,Time=2.8s | BaseRaw=677.1 | CurrentRaw=675.0 | Change=2.1 => Floor
data,,677.1,675.0,2.1,675.0,Time=2.9s | BaseRaw=677.1 | CurrentRaw=675.0 | Change=2.1 => Floor
data,,677.1,675.6,1.5,675.6,Time=3.0s | BaseRaw=677.1 | CurrentRaw=675.6 | Change=1.5 => Floor
data,,677.1,675.8,1.3,675.8,Time=3.1s | BaseRaw=677.1 | CurrentRaw=675.8 | Change=1.3 => Floor
data,,677.1,676.0,1.1,676.0,Time=3.2s | BaseRaw=677.1 | CurrentRaw=676.0 | Change=1.1 => Floor
data,,677.1,676.6,0.5,676.6,Time=3.3s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=3.4s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=3.5s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=3.6s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.6,0.5,676.6,Time=3.7s | BaseRaw=677.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,677.1,676.2,0.9,676.2,Time=3.8s | BaseRaw=677.1 | CurrentRaw=676.2 | Change=0.9 => Floor
data,,677.1,676.2,0.9,676.2,Time=3.9s | BaseRaw=677.1 | CurrentRaw=676.2 | Change=0.9 => Floor
data,,677.1,676.4,0.7,676.4,Time=4.0s | BaseRaw=677.1 | CurrentRaw=676.4 | Change=0.7 => Floor
data,,677.1,676.4,0.7,676.4,Time=4.1s | BaseRaw=677.1 | CurrentRaw=676.4 | Change=0.7 => Floor
data,,677.1,676.8,0.3,676.8,Time=4.2s | BaseRaw=677.1 | CurrentRaw=676.8 | Change=0.3 => Floor
data,,677.1,677.4,0.3,677.4,Time=4.3s | BaseRaw=677.1 | CurrentRaw=677.4 | Change=0.3 => Floor
data,,677.1,677.6,0.5,677.6,Time=4.4s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.6,0.5,677.6,Time=4.5s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.6,0.5,677.6,Time=4.6s | BaseRaw=677.1 | CurrentRaw=677.6 | Change=0.5 => Floor
data,,677.1,677.0,0.1,677.0,Time=4.7s | BaseRaw=677.1 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,677.1,676.4,0.7,676.4,Time=4.8s | BaseRaw=677.1 | CurrentRaw=676.4 | Change=0.7 => Floor
data,,677.1,676.0,1.1,676.0,Time=4.9s | BaseRaw=677.1 | CurrentRaw=676.0 | Change=1.1 => Floor
data,,677.1,675.4,1.7,675.4,Time=5.0s | BaseRaw=677.1 | CurrentRaw=675.4 | Change=1.7 => Floor
data,,677.1,675.6,1.5,675.6,Time=5.1s | BaseRaw=677.1 | CurrentRaw=675.6 | Change=1.5 => Floor
data,,677.1,676.0,1.1,676.0,Time=5.2s | BaseRaw=677.1 | CurrentRaw=676.0 | Change=1.1 => Floor
data,,677.1,677.0,0.1,677.0,Time=5.3s | BaseRaw=677.1 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,677.1,678.4,1.3,678.4,Time=5.4s | BaseRaw=677.1 | CurrentRaw=678.4 | Change=1.3 => Floor
data,,677.1,680.0,2.9,680.0,Time=5.5s | BaseRaw=677.1 | CurrentRaw=680.0 | Change=2.9 => Floor
data,,677.1,681.6,4.5,681.6,Time=5.6s | BaseRaw=677.1 | CurrentRaw=681.6 | Change=4.5 => Floor
data,,677.1,683.0,5.9,683.0,Time=5.7s | BaseRaw=677.1 | CurrentRaw=683.0 | Change=5.9 => Floor
data,,677.1,684.2,7.1,684.2,Time=5.8s | BaseRaw=677.1 | CurrentRaw=684.2 | Change=7.1 => Floor
data,,677.1,685.4,8.3,685.4,Time=5.9s | BaseRaw=677.1 | CurrentRaw=685.4 | Change=8.3 => Floor
data,,677.1,686.6,9.5,686.6,Time=6.0s | BaseRaw=677.1 | CurrentRaw=686.6 | Change=9.5 => Floor
data,,677.1,686.8,9.7,686.8,Time=6.1s | BaseRaw=677.1 | CurrentRaw=686.8 | Change=9.7 => Floor
data,,677.1,687.0,9.9,687.0,Time=6.2s | BaseRaw=677.1 | CurrentRaw=687.0 | Change=9.9 => Floor
data,,677.1,687.4,10.3,687.4,Time=6.3s | BaseRaw=677.1 | CurrentRaw=687.4 | Change=10.3 => Liquid
data,,677.1,687.6,10.5,687.6,Time=6.4s | BaseRaw=677.1 | CurrentRaw=687.6 | Change=10.5 => Liquid
data,,677.1,687.0,9.9,687.0,Time=6.5s | BaseRaw=677.1 | CurrentRaw=687.0 | Change=9.9 => Floor
