record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,709.00,,,,709.00,Collecting baseline... RawAvg=709.00
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.40,,,,708.40,Collecting baseline... RawAvg=708.40
baseline,708.40,,,,708.40,Collecting baseline... RawAvg=708.40
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,708.20,,,,708.20,Collecting baseline... RawAvg=708.20
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,708.40,,,,708.40,Collecting baseline... RawAvg=708.40
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,709.40,,,,709.40,Collecting baseline... RawAvg=709.40
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,709.00,,,,709.00,Collecting baseline... RawAvg=709.00
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.40,,,,708.40,Collecting baseline... RawAvg=708.40
baseline,708.20,,,,708.20,Collecting baseline... RawAvg=708.20
baseline,708.20,,,,708.20,Collecting baseline... RawAvg=708.20
baseline,707.60,,,,707.60,Collecting baseline... RawAvg=707.60
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,708.00,,,,708.00,Collecting baseline... RawAvg=708.00
baseline,708.40,,,,708.40,Collecting baseline... RawAvg=708.40
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,709.40,,,,709.40,Collecting baseline... RawAvg=709.40
baseline,709.40,,,,709.40,Collecting baseline... RawAvg=709.40
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.80,,,,708.80,Collecting baseline... RawAvg=708.80
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.20,,,,708.20,Collecting baseline... RawAvg=708.20
baseline,708.60,,,,708.60,Collecting baseline... RawAvg=708.60
baseline,708.20,,,,708.20,Collecting baseline... RawAvg=708.20
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,708.49,,,708.49,Final Base Raw Average = 708.49
info,,,,,,--------------------------------------------------------------------------
data,,708.5,709.0,0.5,709.0,Time=0.1s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,709.4,0.9,709.4,Time=0.2s | BaseRaw=708.5 | CurrentRaw=709.4 | Change=0.9 => Floor
data,,708.5,709.8,1.3,709.8,Time=0.3s | BaseRaw=708.5 | CurrentRaw=709.8 | Change=1.3 => Floor
data,,708.5,710.0,1.5,710.0,Time=0.4s | BaseRaw=708.5 | CurrentRaw=710.0 | Change=1.5 => Floor
data,,708.5,709.4,0.9,709.4,Time=0.5s | BaseRaw=708.5 | CurrentRaw=709.4 | Change=0.9 => Floor
data,,708.5,709.2,0.7,709.2,Time=0.6s | BaseRaw=708.5 | CurrentRaw=709.2 | Change=0.7 => Floor
data,,708.5,709.2,0.7,709.2,Time=0.7s | BaseRaw=708.5 | CurrentRaw=709.2 | Change=0.7 => Floor
data,,708.5,709.0,0.5,709.0,Time=0.8s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,708.6,0.1,708.6,Time=0.9s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.6,0.1,708.6,Time=1.0s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=1.1s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.2,0.3,708.2,Time=1.2s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,708.0,0.5,708.0,Time=1.3s | BaseRaw=708.5 | CurrentRaw=708.0 | Change=0.5 => Floor
data,,708.5,708.0,0.5,708.0,Time=1.4s | BaseRaw=708.5 | CurrentRaw=708.0 | Change=0.5 => Floor
data,,708.5,708.2,0.3,708.2,Time=1.5s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,708.4,0.1,708.4,Time=1.6s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=1.7s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.6,0.1,708.6,Time=1.8s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.6,0.1,708.6,Time=1.9s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=2.0s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.1s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.2s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.3s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,709.0,0.5,709.0,Time=2.4s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,709.0,0.5,709.0,Time=2.5s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.6s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.7s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.6,0.1,708.6,Time=2.8s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.8,0.3,708.8,Time=2.9s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=3.0s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.6,0.1,708.6,Time=3.1s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=3.2s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.2,0.3,708.2,Time=3.3s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,708.2,0.3,708.2,Time=3.4s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=3.5s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,709.0,0.5,709.0,Time=3.6s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,709.0,0.5,709.0,Time=3.7s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,709.2,0.7,709.2,Time=3.8s | BaseRaw=708.5 | CurrentRaw=709.2 | Change=0.7 => Floor
data,,708.5,709.0,0.5,709.0,Time=3.9s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,708.4,0.1,708.4,Time=4.0s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.2,0.3,708.2,Time=4.1s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=4.2s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,709.0,0.5,709.0,Time=4.3s | BaseRaw=708.5 | CurrentRaw=709.0 | Change=0.5 => Floor
data,,708.5,708.8,0.3,708.8,Time=4.4s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.8,0.3,708.8,Time=4.5s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,708.6,0.1,708.6,Time=4.6s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=4.7s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.0,0.5,708.0,Time=4.8s | BaseRaw=708.5 | CurrentRaw=708.0 | Change=0.5 => Floor
data,,708.5,708.6,0.1,708.6,Time=4.9s | BaseRaw=708.5 | CurrentRaw=708.6 | Change=0.1 => Floor
data,,708.5,708.4,0.1,708.4,Time=5.0s | BaseRaw=708.5 | CurrentRaw=708.4 | Change=0.1 => Floor
data,,708.5,708.2,0.3,708.2,Time=5.1s | BaseRaw=708.5 | CurrentRaw=708.2 | Change=0.3 => Floor
data,,708.5,707.4,1.1,707.4,Time=5.2s | BaseRaw=708.5 | CurrentRaw=707.4 | Change=1.1 => Floor
data,,708.5,707.4,1.1,707.4,Time=5.3s | BaseRaw=708.5 | CurrentRaw=707.4 | Change=1.1 => Floor
data,,708.5,707.4,1.1,707.4,Time=5.4s | BaseRaw=708.5 | CurrentRaw=707.4 | Change=1.1 => Floor
data,,708.5,707.8,0.7,707.8,Time=5.5s | BaseRaw=708.5 | CurrentRaw=707.8 | Change=0.7 => Floor
data,,708.5,707.2,1.3,707.2,Time=5.6s | BaseRaw=708.5 | CurrentRaw=707.2 | Change=1.3 => Floor
data,,708.5,707.0,1.5,707.0,Time=5.7s | BaseRaw=708.5 | CurrentRaw=707.0 | Change=1.5 => Floor
data,,708.5,707.4,1.1,707.4,Time=5.8s | BaseRaw=708.5 | CurrentRaw=707.4 | Change=1.1 => Floor
data,,708.5,707.8,0.7,707.8,Time=5.9s | BaseRaw=708.5 | CurrentRaw=707.8 | Change=0.7 => Floor
data,,708.5,708.8,0.3,708.8,Time=6.0s | BaseRaw=708.5 | CurrentRaw=708.8 | Change=0.3 => Floor
data,,708.5,709.6,1.1,709.6,Time=6.1s | BaseRaw=708.5 | CurrentRaw=709.6 | Change=1.1 => Floor
data,,708.5,710.6,2.1,710.6,Time=6.2s | BaseRaw=708.5 | CurrentRaw=710.6 | Change=2.1 => Floor
data,,708.5,711.6,3.1,711.6,Time=6.3s | BaseRaw=708.5 | CurrentRaw=711.6 | Change=3.1 => Floor
data,,708.5,712.4,3.9,712.4,Time=6.4s | BaseRaw=708.5 | CurrentRaw=712.4 | Change=3.9 => Floor
data,,708.5,713.0,4.5,713.0,Time=6.5s | BaseRaw=708.5 | CurrentRaw=713.0 | Change=4.5 => Floor
