record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.40,,,,657.40,Collecting baseline... RawAvg=657.40
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,654.80,,,,654.80,Collecting baseline... RawAvg=654.80
baseline,654.60,,,,654.60,Collecting baseline... RawAvg=654.60
baseline,654.40,,,,654.40,Collecting baseline... RawAvg=654.40
baseline,654.60,,,,654.60,Collecting baseline... RawAvg=654.60
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.00,,,,655.00,Collecting baseline... RawAvg=655.00
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,655.40,,,,655.40,Collecting baseline... RawAvg=655.40
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,655.80,,,,655.80,Collecting baseline... RawAvg=655.80
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,655.87,,,655.87,Final Base Raw Average = 655.87
info,,,,,,--------------------------------------------------------------------------
data,,655.9,656.8,0.9,656.8,Time=0.1s | BaseRaw=655.9 | CurrentRaw=656.8 | Change=0.9 => Floor
data,,655.9,657.0,1.1,657.0,Time=0.2s | BaseRaw=655.9 | CurrentRaw=657.0 | Change=1.1 => Floor
data,,655.9,656.6,0.7,656.6,Time=0.3s | BaseRaw=655.9 | CurrentRaw=656.6 | Change=0.7 => Floor
data,,655.9,656.4,0.5,656.4,Time=0.4s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.4,0.5,656.4,Time=0.5s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.4,0.5,656.4,Time=0.6s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.2,0.3,656.2,Time=0.7s | BaseRaw=655.9 | CurrentRaw=656.2 | Change=0.3 => Floor
data,,655.9,656.4,0.5,656.4,Time=0.8s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.6,0.7,656.6,Time=0.9s | BaseRaw=655.9 | CurrentRaw=656.6 | Change=0.7 => Floor
data,,655.9,656.8,0.9,656.8,Time=1.0s | BaseRaw=655.9 | CurrentRaw=656.8 | Change=0.9 => Floor
data,,655.9,657.0,1.1,657.0,Time=1.1s | BaseRaw=655.9 | CurrentRaw=657.0 | Change=1.1 => Floor
data,,655.9,657.4,1.5,657.4,Time=1.2s | BaseRaw=655.9 | CurrentRaw=657.4 | Change=1.5 => Floor
data,,655.9,657.4,1.5,657.4,Time=1.3s | BaseRaw=655.9 | CurrentRaw=657.4 | Change=1.5 => Floor
data,,655.9,657.2,1.3,657.2,Time=1.4s | BaseRaw=655.9 | CurrentRaw=657.2 | Change=1.3 => Floor
data,,655.9,657.0,1.1,657.0,Time=1.5s | BaseRaw=655.9 | CurrentRaw=657.0 | Change=1.1 => Floor
data,,655.9,656.8,0.9,656.8,Time=1.6s | BaseRaw=655.9 | CurrentRaw=656.8 | Change=0.9 => Floor
data,,655.9,656.4,0.5,656.4,Time=1.7s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.4,0.5,656.4,Time=1.8s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.4,0.5,656.4,Time=1.9s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.2,0.3,656.2,Time=2.0s | BaseRaw=655.9 | CurrentRaw=656.2 | Change=0.3 => Floor
data,,655.9,656.4,0.5,656.4,Time=2.1s | BaseRaw=655.9 | CurrentRaw=656.4 | Change=0.5 => Floor
data,,655.9,656.2,0.3,656.2,Time=2.2s | BaseRaw=655.9 | CurrentRaw=656.2 | Change=0.3 => Floor
data,,655.9,656.2,0.3,656.2,Time=2.3s | BaseRaw=655.9 | CurrentRaw=656.2 | Change=0.3 => Floor
data,,655.9,656.6,0.7,656.6,Time=2.4s | BaseRaw=655.9 | CurrentRaw=656.6 | Change=0.7 => Floor
data,,655.9,657.4,1.5,657.4,Time=2.5s | BaseRaw=655.9 | CurrentRaw=657.4 | Change=1.5 => Floor
data,,655.9,657.2,1.3,657.2,Time=2.6s | BaseRaw=655.9 | CurrentRaw=657.2 | Change=1.3 => Floor
data,,655.9,657.8,1.9,657.8,Time=2.7s | BaseRaw=655.9 | CurrentRaw=657.8 | Change=1.9 => Floor
data,,655.9,658.0,2.1,658.0,Time=2.8s | BaseRaw=655.9 | CurrentRaw=658.0 | Change=2.1 => Floor
data,,655.9,657.8,1.9,657.8,Time=2.9s | BaseRaw=655.9 | CurrentRaw=657.8 | Change=1.9 => Floor
data,,655.9,657.6,1.7,657.6,Time=3.0s | BaseRaw=655.9 | CurrentRaw=657.6 | Change=1.7 => Floor
data,,655.9,657.8,1.9,657.8,Time=3.1s | BaseRaw=655.9 | CurrentRaw=657.8 | Change=1.9 => Floor
data,,655.9,658.0,2.1,658.0,Time=3.2s | BaseRaw=655.9 | CurrentRaw=658.0 | Change=2.1 => Floor
data,,655.9,658.0,2.1,658.0,Time=3.3s | BaseRaw=655.9 | CurrentRaw=658.0 | Change=2.1 => Floor
data,,655.9,658.4,2.5,658.4,Time=3.4s | BaseRaw=655.9 | CurrentRaw=658.4 | Change=2.5 => Floor
data,,655.9,658.4,2.5,658.4,Time=3.5s | BaseRaw=655.9 | CurrentRaw=658.4 | Change=2.5 => Floor
data,,655.9,658.8,2.9,658.8,Time=3.6s | BaseRaw=655.9 | CurrentRaw=658.8 | Change=2.9 => Floor
data,,655.9,659.0,3.1,659.0,Time=3.7s | BaseRaw=655.9 | CurrentRaw=659.0 | Change=3.1 => Floor
data,,655.9,659.4,3.5,659.4,Time=3.8s | BaseRaw=655.9 | CurrentRaw=659.4 | Change=3.5 => Floor
data,,655.9,659.8,3.9,659.8,Time=3.9s | BaseRaw=655.9 | CurrentRaw=659.8 | Change=3.9 => Floor
data,,655.9,660.0,4.1,660.0,Time=4.0s | BaseRaw=655.9 | CurrentRaw=660.0 | Change=4.1 => Floor
data,,655.9,660.4,4.5,660.4,Time=4.1s | BaseRaw=655.9 | CurrentRaw=660.4 | Change=4.5 => Floor
data,,655.9,660.8,4.9,660.8,Time=4.2s | BaseRaw=655.9 | CurrentRaw=660.8 | Change=4.9 => Floor
data,,655.9,661.4,5.5,661.4,Time=4.3s | BaseRaw=655.9 | CurrentRaw=661.4 | Change=5.5 => Floor
data,,655.9,662.0,6.1,662.0,Time=4.4s | BaseRaw=655.9 | CurrentRaw=662.0 | Change=6.1 => Floor
data,,655.9,663.2,7.3,663.2,Time=4.5s | BaseRaw=655.9 | CurrentRaw=663.2 | Change=7.3 => Floor
data,,655.9,663.8,7.9,663.8,Time=4.6s | BaseRaw=655.9 | CurrentRaw=663.8 | Change=7.9 => Floor
data,,655.9,664.4,8.5,664.4,Time=4.7s | BaseRaw=655.9 | CurrentRaw=664.4 | Change=8.5 => Floor
data,,655.9,665.0,9.1,665.0,Time=4.8s | BaseRaw=655.9 | CurrentRaw=665.0 | Change=9.1 => Floor
data,,655.9,665.2,9.3,665.2,Time=4.9s | BaseRaw=655.9 | CurrentRaw=665.2 | Change=9.3 => Floor
data,,655.9,665.0,9.1,665.0,Time=5.0s | BaseRaw=655.9 | CurrentRaw=665.0 | Change=9.1 => Floor
data,,655.9,664.4,8.5,664.4,Time=5.1s | BaseRaw=655.9 | CurrentRaw=664.4 | Change=8.5 => Floor
data,,655.9,663.6,7.7,663.6,Time=5.2s | BaseRaw=655.9 | CurrentRaw=663.6 | Change=7.7 => Floor
data,,655.9,663.0,7.1,663.0,Time=5.3s | BaseRaw=655.9 | CurrentRaw=663.0 | Change=7.1 => Floor
data,,655.9,662.8,6.9,662.8,Time=5.4s | BaseRaw=655.9 | CurrentRaw=662.8 | Change=6.9 => Floor
data,,655.9,662.4,6.5,662.4,Time=5.5s | BaseRaw=655.9 | CurrentRaw=662.4 | Change=6.5 => Floor
data,,655.9,662.4,6.5,662.4,Time=5.6s | BaseRaw=655.9 | CurrentRaw=662.4 | Change=6.5 => Floor
data,,655.9,662.2,6.3,662.2,Time=5.7s | BaseRaw=655.9 | CurrentRaw=662.2 | Change=6.3 => Floor
data,,655.9,662.0,6.1,662.0,Time=5.8s | BaseRaw=655.9 | CurrentRaw=662.0 | Change=6.1 => Floor
data,,655.9,661.8,5.9,661.8,Time=5.9s | BaseRaw=655.9 | CurrentRaw=661.8 | Change=5.9 => Floor
data,,655.9,661.6,5.7,661.6,Time=6.0s | BaseRaw=655.9 | CurrentRaw=661.6 | Change=5.7 => Floor
data,,655.9,661.2,5.3,661.2,Time=6.1s | BaseRaw=655.9 | CurrentRaw=661.2 | Change=5.3 => Floor
data,,655.9,661.4,5.5,661.4,Time=6.2s | BaseRaw=655.9 | CurrentRaw=661.4 | Change=5.5 => Floor
data,,655.9,661.0,5.1,661.0,Time=6.3s | BaseRaw=655.9 | CurrentRaw=661.0 | Change=5.1 => Floor
data,,655.9,660.2,4.3,660.2,Time=6.4s | BaseRaw=655.9 | CurrentRaw=660.2 | Change=4.3 => Floor
data,,655.9,659.4,3.5,659.4,Time=6.5s | BaseRaw=655.9 | CurrentRaw=659.4 | Change=3.5 => Floor
