record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,692.40,,,,692.40,Collecting baseline... RawAvg=692.40
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.60,,,,693.60,Collecting baseline... RawAvg=693.60
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,692.00,,,,692.00,Collecting baseline... RawAvg=692.00
baseline,692.00,,,,692.00,Collecting baseline... RawAvg=692.00
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,691.80,,,,691.80,Collecting baseline... RawAvg=691.80
baseline,692.20,,,,692.20,Collecting baseline... RawAvg=692.20
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,692.81,,,692.81,Final Base Raw Average = 692.81
info,,,,,,--------------------------------------------------------------------------
data,,692.8,692.6,0.2,692.6,Time=0.1s | BaseRaw=692.8 | CurrentRaw=692.6 | Change=0.2 => Floor
data,,692.8,692.6,0.2,692.6,Time=0.2s | BaseRaw=692.8 | CurrentRaw=692.6 | Change=0.2 => Floor
data,,692.8,692.6,0.2,692.6,Time=0.3s | BaseRaw=692.8 | CurrentRaw=692.6 | Change=0.2 => Floor
data,,692.8,692.8,0.0,692.8,Time=0.4s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,692.8,0.0,692.8,Time=0.5s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,693.0,0.2,693.0,Time=0.6s | BaseRaw=692.8 | CurrentRaw=693.0 | Change=0.2 => Floor
data,,692.8,692.8,0.0,692.8,Time=0.7s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,692.8,0.0,692.8,Time=0.8s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,692.8,0.0,692.8,Time=0.9s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,692.6,0.2,692.6,Time=1.0s | BaseRaw=692.8 | CurrentRaw=692.6 | Change=0.2 => Floor
data,,692.8,692.4,0.4,692.4,Time=1.1s | BaseRaw=692.8 | CurrentRaw=692.4 | Change=0.4 => Floor
data,,692.8,692.8,0.0,692.8,Time=1.2s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,693.0,0.2,693.0,Time=1.3s | BaseRaw=692.8 | CurrentRaw=693.0 | Change=0.2 => Floor
data,,692.8,693.0,0.2,693.0,Time=1.4s | BaseRaw=692.8 | CurrentRaw=693.0 | Change=0.2 => Floor
data,,692.8,693.0,0.2,693.0,Time=1.5s | BaseRaw=692.8 | CurrentRaw=693.0 | Change=0.2 => Floor
data,,692.8,692.8,0.0,692.8,Time=1.6s | BaseRaw=692.8 | CurrentRaw=692.8 | Change=0.0 => Floor
data,,692.8,692.4,0.4,692.4,Time=1.7s | BaseRaw=692.8 | CurrentRaw=692.4 | Change=0.4 => Floor
data,,692.8,692.2,0.6,692.2,Time=1.8s | BaseRaw=692.8 | CurrentRaw=692.2 | Change=0.6 => Floor
data,,692.8,692.0,0.8,692.0,Time=1.9s | BaseRaw=692.8 | CurrentRaw=692.0 | Change=0.8 => Floor
data,,692.8,692.0,0.8,692.0,Time=2.0s | BaseRaw=692.8 | CurrentRaw=692.0 | Change=0.8 => Floor
data,,692.8,691.8,1.0,691.8,Time=2.1s | BaseRaw=692.8 | CurrentRaw=691.8 | Change=1.0 => Floor
data,,692.8,691.6,1.2,691.6,Time=2.2s | BaseRaw=692.8 | CurrentRaw=691.6 | Change=1.2 => Floor
data,,692.8,691.4,1.4,691.4,Time=2.3s | BaseRaw=692.8 | CurrentRaw=691.4 | Change=1.4 => Floor
data,,692.8,691.0,1.8,691.0,Time=2.4s | BaseRaw=692.8 | CurrentRaw=691.0 | Change=1.8 => Floor
data,,692.8,690.4,2.4,690.4,Time=2.5s | BaseRaw=692.8 | CurrentRaw=690.4 | Change=2.4 => Floor
data,,692.8,690.2,2.6,690.2,Time=2.6s | BaseRaw=692.8 | CurrentRaw=690.2 | Change=2.6 => Floor
data,,692.8,689.8,3.0,689.8,Time=2.7s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,689.4,3.4,689.4,Time=2.8s | BaseRaw=692.8 | CurrentRaw=689.4 | Change=3.4 => Floor
data,,692.8,689.2,3.6,689.2,Time=2.9s | BaseRaw=692.8 | CurrentRaw=689.2 | Change=3.6 => Floor
data,,692.8,689.0,3.8,689.0,Time=3.0s | BaseRaw=692.8 | CurrentRaw=689.0 | Change=3.8 => Floor
data,,692.8,688.8,4.0,688.8,Time=3.1s | BaseRaw=692.8 | CurrentRaw=688.8 | Change=4.0 => Floor
data,,692.8,688.8,4.0,688.8,Time=3.2s | BaseRaw=692.8 | CurrentRaw=688.8 | Change=4.0 => Floor
data,,692.8,688.8,4.0,688.8,Time=3.3s | BaseRaw=692.8 | CurrentRaw=688.8 | Change=4.0 => Floor
data,,692.8,688.8,4.0,688.8,Time=3.4s | BaseRaw=692.8 | CurrentRaw=688.8 | Change=4.0 => Floor
data,,692.8,689.2,3.6,689.2,Time=3.5s | BaseRaw=692.8 | CurrentRaw=689.2 | Change=3.6 => Floor
data,,692.8,689.4,3.4,689.4,Time=3.6s | BaseRaw=692.8 | CurrentRaw=689.4 | Change=3.4 => Floor
data,,692.8,689.6,3.2,689.6,Time=3.7s | BaseRaw=692.8 | CurrentRaw=689.6 | Change=3.2 => Floor
data,,692.8,689.8,3.0,689.8,Time=3.8s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,689.8,3.0,689.8,Time=3.9s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,689.8,3.0,689.8,Time=4.0s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,690.4,2.4,690.4,Time=4.1s | BaseRaw=692.8 | CurrentRaw=690.4 | Change=2.4 => Floor
data,,692.8,691.0,1.8,691.0,Time=4.2s | BaseRaw=692.8 | CurrentRaw=691.0 | Change=1.8 => Floor
data,,692.8,691.4,1.4,691.4,Time=4.3s | BaseRaw=692.8 | CurrentRaw=691.4 | Change=1.4 => Floor
data,,692.8,691.6,1.2,691.6,Time=4.4s | BaseRaw=692.8 | CurrentRaw=691.6 | Change=1.2 => Floor
data,,692.8,691.4,1.4,691.4,Time=4.5s | BaseRaw=692.8 | CurrentRaw=691.4 | Change=1.4 => Floor
data,,692.8,691.0,1.8,691.0,Time=4.6s | BaseRaw=692.8 | CurrentRaw=691.0 | Change=1.8 => Floor
data,,692.8,690.8,2.0,690.8,Time=4.7s | BaseRaw=692.8 | CurrentRaw=690.8 | Change=2.0 => Floor
data,,692.8,690.4,2.4,690.4,Time=4.8s | BaseRaw=692.8 | CurrentRaw=690.4 | Change=2.4 => Floor
data,,692.8,690.2,2.6,690.2,Time=4.9s | BaseRaw=692.8 | CurrentRaw=690.2 | Change=2.6 => Floor
data,,692.8,690.2,2.6,690.2,Time=5.0s | BaseRaw=692.8 | CurrentRaw=690.2 | Change=2.6 => Floor
data,,692.8,690.0,2.8,690.0,Time=5.1s | BaseRaw=692.8 | CurrentRaw=690.0 | Change=2.8 => Floor
data,,692.8,689.8,3.0,689.8,Time=5.2s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,689.4,3.4,689.4,Time=5.3s | BaseRaw=692.8 | CurrentRaw=689.4 | Change=3.4 => Floor
data,,692.8,689.4,3.4,689.4,Time=5.4s | BaseRaw=692.8 | CurrentRaw=689.4 | Change=3.4 => Floor
data,,692.8,689.4,3.4,689.4,Time=5.5s | BaseRaw=692.8 | CurrentRaw=689.4 | Change=3.4 => Floor
data,,692.8,689.2,3.6,689.2,Time=5.6s | BaseRaw=692.8 | CurrentRaw=689.2 | Change=3.6 => Floor
data,,692.8,689.0,3.8,689.0,Time=5.7s | BaseRaw=692.8 | CurrentRaw=689.0 | Change=3.8 => Floor
data,,692.8,689.2,3.6,689.2,Time=5.8s | BaseRaw=692.8 | CurrentRaw=689.2 | Change=3.6 => Floor
data,,692.8,689.6,3.2,689.6,Time=5.9s | BaseRaw=692.8 | CurrentRaw=689.6 | Change=3.2 => Floor
data,,692.8,689.8,3.0,689.8,Time=6.0s | BaseRaw=692.8 | CurrentRaw=689.8 | Change=3.0 => Floor
data,,692.8,690.2,2.6,690.2,Time=6.1s | BaseRaw=692.8 | CurrentRaw=690.2 | Change=2.6 => Floor
data,,692.8,690.2,2.6,690.2,Time=6.2s | BaseRaw=692.8 | CurrentRaw=690.2 | Change=2.6 => Floor
data,,692.8,690.4,2.4,690.4,Time=6.3s | BaseRaw=692.8 | CurrentRaw=690.4 | Change=2.4 => Floor
data,,692.8,690.0,2.8,690.0,Time=6.4s | BaseRaw=692.8 | CurrentRaw=690.0 | Change=2.8 => Floor
data,,692.8,689.2,3.6,689.2,Time=6.5s | BaseRaw=692.8 | CurrentRaw=689.2 | Change=3.6 => Floor
