record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.00,,,,685.00,Collecting baseline... RawAvg=685.00
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,686.00,,,,686.00,Collecting baseline... RawAvg=686.00
baseline,686.20,,,,686.20,Collecting baseline... RawAvg=686.20
baseline,686.20,,,,686.20,Collecting baseline... RawAvg=686.20
baseline,686.20,,,,686.20,Collecting baseline... RawAvg=686.20
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,685.00,,,,685.00,Collecting baseline... RawAvg=685.00
baseline,685.00,,,,685.00,Collecting baseline... RawAvg=685.00
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,686.00,,,,686.00,Collecting baseline... RawAvg=686.00
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.00,,,,686.00,Collecting baseline... RawAvg=686.00
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,686.00,,,,686.00,Collecting baseline... RawAvg=686.00
baseline,685.40,,,,685.40,Collecting baseline... RawAvg=685.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,685.82,,,685.82,Final Base Raw Average = 685.82
info,,,,,,--------------------------------------------------------------------------
data,,685.8,684.6,1.2,684.6,Time=0.1s | BaseRaw=685.8 | CurrentRaw=684.6 | Change=1.2 => Floor
data,,685.8,684.6,1.2,684.6,Time=0.2s | BaseRaw=685.8 | CurrentRaw=684.6 | Change=1.2 => Floor
data,,685.8,684.6,1.2,684.6,Time=0.3s | BaseRaw=685.8 | CurrentRaw=684.6 | Change=1.2 => Floor
data,,685.8,685.4,0.4,685.4,Time=0.4s | BaseRaw=685.8 | CurrentRaw=685.4 | Change=0.4 => Floor
data,,685.8,685.6,0.2,685.6,Time=0.5s | BaseRaw=685.8 | CurrentRaw=685.6 | Change=0.2 => Floor
data,,685.8,685.4,0.4,685.4,Time=0.6s | BaseRaw=685.8 | CurrentRaw=685.4 | Change=0.4 => Floor
data,,685.8,685.4,0.4,685.4,Time=0.7s | BaseRaw=685.8 | CurrentRaw=685.4 | Change=0.4 => Floor
data,,685.8,685.6,0.2,685.6,Time=0.8s | BaseRaw=685.8 | CurrentRaw=685.6 | Change=0.2 => Floor
data,,685.8,686.0,0.2,686.0,Time=0.9s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.2,0.4,686.2,Time=1.0s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.2,0.4,686.2,Time=1.1s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.0,0.2,686.0,Time=1.2s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,685.8,0.0,685.8,Time=1.3s | BaseRaw=685.8 | CurrentRaw=685.8 | Change=0.0 => Floor
data,,685.8,685.0,0.8,685.0,Time=1.4s | BaseRaw=685.8 | CurrentRaw=685.0 | Change=0.8 => Floor
data,,685.8,684.8,1.0,684.8,Time=1.5s | BaseRaw=685.8 | CurrentRaw=684.8 | Change=1.0 => Floor
data,,685.8,684.8,1.0,684.8,Time=1.6s | BaseRaw=685.8 | CurrentRaw=684.8 | Change=1.0 => Floor
data,,685.8,685.0,0.8,685.0,Time=1.7s | BaseRaw=685.8 | CurrentRaw=685.0 | Change=0.8 => Floor
data,,685.8,685.2,0.6,685.2,Time=1.8s | BaseRaw=685.8 | CurrentRaw=685.2 | Change=0.6 => Floor
data,,685.8,686.4,0.6,686.4,Time=1.9s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,686.4,0.6,686.4,Time=2.0s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,686.6,0.8,686.6,Time=2.1s | BaseRaw=685.8 | CurrentRaw=686.6 | Change=0.8 => Floor
data,,685.8,686.8,1.0,686.8,Time=2.2s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,687.0,1.2,687.0,Time=2.3s | BaseRaw=685.8 | CurrentRaw=687.0 | Change=1.2 => Floor
data,,685.8,686.2,0.4,686.2,Time=2.4s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.4,0.6,686.4,Time=2.5s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,686.4,0.6,686.4,Time=2.6s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,686.6,0.8,686.6,Time=2.7s | BaseRaw=685.8 | CurrentRaw=686.6 | Change=0.8 => Floor
data,,685.8,686.8,1.0,686.8,Time=2.8s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,686.8,1.0,686.8,Time=2.9s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,686.8,1.0,686.8,Time=3.0s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,686.8,1.0,686.8,Time=3.1s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,686.6,0.8,686.6,Time=3.2s | BaseRaw=685.8 | CurrentRaw=686.6 | Change=0.8 => Floor
data,,685.8,686.6,0.8,686.6,Time=3.3s | BaseRaw=685.8 | CurrentRaw=686.6 | Change=0.8 => Floor
data,,685.8,686.2,0.4,686.2,Time=3.4s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.0,0.2,686.0,Time=3.5s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.0,0.2,686.0,Time=3.6s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.0,0.2,686.0,Time=3.7s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,685.8,0.0,685.8,Time=3.8s | BaseRaw=685.8 | CurrentRaw=685.8 | Change=0.0 => Floor
data,,685.8,686.0,0.2,686.0,Time=3.9s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.0,0.2,686.0,Time=4.0s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.0,0.2,686.0,Time=4.1s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.4,0.6,686.4,Time=4.2s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,686.2,0.4,686.2,Time=4.3s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.0,0.2,686.0,Time=4.4s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.2,0.4,686.2,Time=4.5s | BaseRaw=685.8 | CurrentRaw=686.2 | Change=0.4 => Floor
data,,685.8,686.0,0.2,686.0,Time=4.6s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,685.8,0.0,685.8,Time=4.7s | BaseRaw=685.8 | CurrentRaw=685.8 | Change=0.0 => Floor
data,,685.8,685.6,0.2,685.6,Time=4.8s | BaseRaw=685.8 | CurrentRaw=685.6 | Change=0.2 => Floor
data,,685.8,685.4,0.4,685.4,Time=4.9s | BaseRaw=685.8 | CurrentRaw=685.4 | Change=0.4 => Floor
data,,685.8,685.4,0.4,685.4,Time=5.0s | BaseRaw=685.8 | CurrentRaw=685.4 | Change=0.4 => Floor
data,,685.8,685.8,0.0,685.8,Time=5.1s | BaseRaw=685.8 | CurrentRaw=685.8 | Change=0.0 => Floor
data,,685.8,686.0,0.2,686.0,Time=5.2s | BaseRaw=685.8 | CurrentRaw=686.0 | Change=0.2 => Floor
data,,685.8,686.6,0.8,686.6,Time=5.3s | BaseRaw=685.8 | CurrentRaw=686.6 | Change=0.8 => Floor
data,,685.8,687.2,1.4,687.2,Time=5.4s | BaseRaw=685.8 | CurrentRaw=687.2 | Change=1.4 => Floor
data,,685.8,687.0,1.2,687.0,Time=5.5s | BaseRaw=685.8 | CurrentRaw=687.0 | Change=1.2 => Floor
data,,685.8,686.8,1.0,686.8,Time=5.6s | BaseRaw=685.8 | CurrentRaw=686.8 | Change=1.0 => Floor
data,,685.8,686.4,0.6,686.4,Time=5.7s | BaseRaw=685.8 | CurrentRaw=686.4 | Change=0.6 => Floor
data,,685.8,685.8,0.0,685.8,Time=5.8s | BaseRaw=685.8 | CurrentRaw=685.8 | Change=0.0 => Floor
data,,685.8,685.0,0.8,685.0,Time=5.9s | BaseRaw=685.8 | CurrentRaw=685.0 | Change=0.8 => Floor
data,,685.8,684.2,1.6,684.2,Time=6.0s | BaseRaw=685.8 | CurrentRaw=684.2 | Change=1.6 => Floor
data,,685.8,682.2,3.6,682.2,Time=6.1s | BaseRaw=685.8 | CurrentRaw=682.2 | Change=3.6 => Floor
data,,685.8,679.2,6.6,679.2,Time=6.2s | BaseRaw=685.8 | CurrentRaw=679.2 | Change=6.6 => Floor
data,,685.8,675.0,10.8,675.0,Time=6.3s | BaseRaw=685.8 | CurrentRaw=675.0 | Change=10.8 => Liquid
data,,685.8,671.8,14.0,671.8,Time=6.4s | BaseRaw=685.8 | CurrentRaw=671.8 | Change=14.0 => Liquid
data,,685.8,669.4,16.4,669.4,Time=6.5s | BaseRaw=685.8 | CurrentRaw=669.4 | Change=16.4 => Liquid
