record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,582,993.0,411.0,583.0,993.2,410.2,,,,"BASELINE,582,993.0,411.0,583.0,993.2,410.2"
baseline,,583,993.5,410.5,582.8,993.3,410.5,,,,"BASELINE,583,993.5,410.5,582.8,993.3,410.5"
baseline,,583,993.5,410.5,582.8,993.3,410.5,,,,"BASELINE,583,993.5,410.5,582.8,993.3,410.5"
baseline,,582,993.0,411.0,582.6,993.2,410.6,,,,"BASELINE,582,993.0,411.0,582.6,993.2,410.6"
baseline,,582,993.5,411.5,582.4,993.3,410.9,,,,"BASELINE,582,993.5,411.5,582.4,993.3,410.9"
baseline,,582,994.0,412.0,582.4,993.5,411.1,,,,"BASELINE,582,994.0,412.0,582.4,993.5,411.1"
baseline,,583,993.5,410.5,582.4,993.5,411.1,,,,"BASELINE,583,993.5,410.5,582.4,993.5,411.1"
baseline,,582,993.5,411.5,582.2,993.5,411.3,,,,"BASELINE,582,993.5,411.5,582.2,993.5,411.3"
baseline,,582,993.5,411.5,582.2,993.6,411.4,,,,"BASELINE,582,993.5,411.5,582.2,993.6,411.4"
baseline,,582,993.5,411.5,582.2,993.6,411.4,,,,"BASELINE,582,993.5,411.5,582.2,993.6,411.4"
baseline,,582,993.5,411.5,582.2,993.5,411.3,,,,"BASELINE,582,993.5,411.5,582.2,993.5,411.3"
baseline,,582,993.0,411.0,582.0,993.4,411.4,,,,"BASELINE,582,993.0,411.0,582.0,993.4,411.4"
baseline,,582,994.0,412.0,582.0,993.5,411.5,,,,"BASELINE,582,994.0,412.0,582.0,993.5,411.5"
baseline,,582,993.5,411.5,582.0,993.5,411.5,,,,"BASELINE,582,993.5,411.5,582.0,993.5,411.5"
baseline,,582,993.5,411.5,582.0,993.5,411.5,,,,"BASELINE,582,993.5,411.5,582.0,993.5,411.5"
baseline,,582,993.0,411.0,582.0,993.4,411.4,,,,"BASELINE,582,993.0,411.0,582.0,993.4,411.4"
baseline,,582,993.5,411.5,582.0,993.5,411.5,,,,"BASELINE,582,993.5,411.5,582.0,993.5,411.5"
baseline,,582,993.5,411.5,582.0,993.4,411.4,,,,"BASELINE,582,993.5,411.5,582.0,993.4,411.4"
baseline,,582,993.0,411.0,582.0,993.3,411.3,,,,"BASELINE,582,993.0,411.0,582.0,993.3,411.3"
baseline,,582,993.0,411.0,582.0,993.2,411.2,,,,"BASELINE,582,993.0,411.0,582.0,993.2,411.2"
baseline,,582,993.0,411.0,582.0,993.2,411.2,,,,"BASELINE,582,993.0,411.0,582.0,993.2,411.2"
baseline,,582,993.0,411.0,582.0,993.1,411.1,,,,"BASELINE,582,993.0,411.0,582.0,993.1,411.1"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,993.5,411.5,582.0,993.1,411.1,,,,"BASELINE,582,993.5,411.5,582.0,993.1,411.1"
baseline,,582,993.0,411.0,582.0,993.1,411.1,,,,"BASELINE,582,993.0,411.0,582.0,993.1,411.1"
baseline,,582,993.5,411.5,582.0,993.2,411.2,,,,"BASELINE,582,993.5,411.5,582.0,993.2,411.2"
baseline,,582,993.5,411.5,582.0,993.3,411.3,,,,"BASELINE,582,993.5,411.5,582.0,993.3,411.3"
baseline,,582,993.0,411.0,582.0,993.3,411.3,,,,"BASELINE,582,993.0,411.0,582.0,993.3,411.3"
baseline,,582,993.5,411.5,582.0,993.3,411.3,,,,"BASELINE,582,993.5,411.5,582.0,993.3,411.3"
baseline,,582,994.0,412.0,582.0,993.5,411.5,,,,"BASELINE,582,994.0,412.0,582.0,993.5,411.5"
baseline,,582,993.5,411.5,582.0,993.5,411.5,,,,"BASELINE,582,993.5,411.5,582.0,993.5,411.5"
baseline,,582,993.5,411.5,582.0,993.5,411.5,,,,"BASELINE,582,993.5,411.5,582.0,993.5,411.5"
info,,,,,,,,,,,,"SYSTEM,Baseline done,411.19"
data,0.0,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor,"DATA,0.0,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor"
data,0.1,582,994.0,412.0,582.0,993.6,411.6,411.2,0.4,Floor,"DATA,0.1,582,994.0,412.0,582.0,993.6,411.6,411.2,0.4,Floor"
data,0.2,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor,"DATA,0.2,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor"
data,0.3,582,993.0,411.0,582.0,993.5,411.5,411.2,0.3,Floor,"DATA,0.3,582,993.0,411.0,582.0,993.5,411.5,411.2,0.3,Floor"
data,0.4,582,994.0,412.0,582.0,993.6,411.6,411.2,0.4,Floor,"DATA,0.4,582,994.0,412.0,582.0,993.6,411.6,411.2,0.4,Floor"
data,0.5,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor,"DATA,0.5,582,993.5,411.5,582.0,993.6,411.6,411.2,0.4,Floor"
data,0.6,582,993.0,411.0,582.0,993.4,411.4,411.2,0.2,Floor,"DATA,0.6,582,993.0,411.0,582.0,993.4,411.4,411.2,0.2,Floor"
data,0.7,582,994.0,412.0,582.0,993.5,411.5,411.2,0.3,Floor,"DATA,0.7,582,994.0,412.0,582.0,993.5,411.5,411.2,0.3,Floor"
data,0.8,582,994.0,412.0,582.0,993.7,411.7,411.2,0.5,Floor,"DATA,0.8,582,994.0,412.0,582.0,993.7,411.7,411.2,0.5,Floor"
