record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,588,992.0,404.0,587.6,992.1,404.5,,,,"BASELINE,588,992.0,404.0,587.6,992.1,404.5"
baseline,,587,992.0,405.0,587.4,992.1,404.7,,,,"BASELINE,587,992.0,405.0,587.4,992.1,404.7"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,588,992.0,404.0,587.2,992.0,404.8,,,,"BASELINE,588,992.0,404.0,587.2,992.0,404.8"
baseline,,587,992.5,405.5,587.4,992.1,404.7,,,,"BASELINE,587,992.5,405.5,587.4,992.1,404.7"
baseline,,587,992.0,405.0,587.2,992.1,404.9,,,,"BASELINE,587,992.0,405.0,587.2,992.1,404.9"
baseline,,587,992.0,405.0,587.2,992.1,404.9,,,,"BASELINE,587,992.0,405.0,587.2,992.1,404.9"
baseline,,587,992.0,405.0,587.2,992.1,404.9,,,,"BASELINE,587,992.0,405.0,587.2,992.1,404.9"
baseline,,587,992.0,405.0,587.0,992.1,405.1,,,,"BASELINE,587,992.0,405.0,587.0,992.1,405.1"
baseline,,586,992.0,406.0,586.8,992.0,405.2,,,,"BASELINE,586,992.0,406.0,586.8,992.0,405.2"
baseline,,587,992.0,405.0,586.8,992.0,405.2,,,,"BASELINE,587,992.0,405.0,586.8,992.0,405.2"
baseline,,586,992.0,406.0,586.6,992.0,405.4,,,,"BASELINE,586,992.0,406.0,586.6,992.0,405.4"
baseline,,586,992.0,406.0,586.4,992.0,405.6,,,,"BASELINE,586,992.0,406.0,586.4,992.0,405.6"
baseline,,586,992.0,406.0,586.2,992.0,405.8,,,,"BASELINE,586,992.0,406.0,586.2,992.0,405.8"
baseline,,586,992.5,406.5,586.2,992.1,405.9,,,,"BASELINE,586,992.5,406.5,586.2,992.1,405.9"
baseline,,586,992.0,406.0,586.0,992.1,406.1,,,,"BASELINE,586,992.0,406.0,586.0,992.1,406.1"
baseline,,587,992.0,405.0,586.2,992.1,405.9,,,,"BASELINE,587,992.0,405.0,586.2,992.1,405.9"
baseline,,586,992.0,406.0,586.2,992.1,405.9,,,,"BASELINE,586,992.0,406.0,586.2,992.1,405.9"
baseline,,587,992.0,405.0,586.4,992.1,405.7,,,,"BASELINE,587,992.0,405.0,586.4,992.1,405.7"
baseline,,586,992.0,406.0,586.4,992.0,405.6,,,,"BASELINE,586,992.0,406.0,586.4,992.0,405.6"
baseline,,586,992.0,406.0,586.4,992.0,405.6,,,,"BASELINE,586,992.0,406.0,586.4,992.0,405.6"
baseline,,586,991.5,405.5,586.2,991.9,405.7,,,,"BASELINE,586,991.5,405.5,586.2,991.9,405.7"
baseline,,586,992.0,406.0,586.2,991.9,405.7,,,,"BASELINE,586,992.0,406.0,586.2,991.9,405.7"
baseline,,586,992.0,406.0,586.0,991.9,405.9,,,,"BASELINE,586,992.0,406.0,586.0,991.9,405.9"
baseline,,586,992.0,406.0,586.0,991.9,405.9,,,,"BASELINE,586,992.0,406.0,586.0,991.9,405.9"
baseline,,586,992.0,406.0,586.0,991.9,405.9,,,,"BASELINE,586,992.0,406.0,586.0,991.9,405.9"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
baseline,,586,992.0,406.0,586.0,992.0,406.0,,,,"BASELINE,586,992.0,406.0,586.0,992.0,406.0"
info,,,,,,,,,,,,"SYSTEM,Baseline done,405.52"
data,0.0,586,991.5,405.5,586.0,991.8,405.8,405.5,0.3,Floor,"DATA,0.0,586,991.5,405.5,586.0,991.8,405.8,405.5,0.3,Floor"
data,0.1,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor,"DATA,0.1,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor"
data,0.2,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor,"DATA,0.2,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor"
data,0.3,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor,"DATA,0.3,586,992.0,406.0,586.0,991.8,405.8,405.5,0.3,Floor"
data,0.4,585,992.0,407.0,585.8,991.9,406.1,405.5,0.6,Floor,"DATA,0.4,585,992.0,407.0,585.8,991.9,406.1,405.5,0.6,Floor"
data,0.5,586,992.0,406.0,585.8,992.0,406.2,405.5,0.7,Floor,"DATA,0.5,586,992.0,406.0,585.8,992.0,406.2,405.5,0.7,Floor"
data,0.6,586,992.0,406.0,585.8,992.0,406.2,405.5,0.7,Floor,"DATA,0.6,586,992.0,406.0,585.8,992.0,406.2,405.5,0.7,Floor"
data,0.7,585,992.0,407.0,585.6,992.0,406.4,405.5,0.9,Floor,"DATA,0.7,585,992.0,407.0,585.6,992.0,406.4,405.5,0.9,Floor"
data,0.8,585,992.0,407.0,585.4,992.0,406.6,405.5,1.1,Floor,"DATA,0.8,585,992.0,407.0,585.4,992.0,406.6,405.5,1.1,Floor"
