record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,628,1023.0,395.0,628.8,1023.0,394.2,,,,"BASELINE,628,1023.0,395.0,628.8,1023.0,394.2"
baseline,,628,1023.0,395.0,628.4,1023.0,394.6,,,,"BASELINE,628,1023.0,395.0,628.4,1023.0,394.6"
baseline,,628,1023.0,395.0,628.2,1023.0,394.8,,,,"BASELINE,628,1023.0,395.0,628.2,1023.0,394.8"
baseline,,628,1023.0,395.0,628.0,1023.0,395.0,,,,"BASELINE,628,1023.0,395.0,628.0,1023.0,395.0"
baseline,,628,1023.0,395.0,628.0,1023.0,395.0,,,,"BASELINE,628,1023.0,395.0,628.0,1023.0,395.0"
baseline,,628,1023.0,395.0,628.0,1023.0,395.0,,,,"BASELINE,628,1023.0,395.0,628.0,1023.0,395.0"
baseline,,628,1023.0,395.0,628.0,1023.0,395.0,,,,"BASELINE,628,1023.0,395.0,628.0,1023.0,395.0"
baseline,,627,1023.0,396.0,627.8,1023.0,395.2,,,,"BASELINE,627,1023.0,396.0,627.8,1023.0,395.2"
baseline,,627,1023.0,396.0,627.6,1023.0,395.4,,,,"BASELINE,627,1023.0,396.0,627.6,1023.0,395.4"
baseline,,627,1023.0,396.0,627.4,1023.0,395.6,,,,"BASELINE,627,1023.0,396.0,627.4,1023.0,395.6"
baseline,,627,1023.0,396.0,627.2,1023.0,395.8,,,,"BASELINE,627,1023.0,396.0,627.2,1023.0,395.8"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,627,1023.0,396.0,627.0,1023.0,396.0,,,,"BASELINE,627,1023.0,396.0,627.0,1023.0,396.0"
baseline,,626,1023.0,397.0,626.8,1023.0,396.2,,,,"BASELINE,626,1023.0,397.0,626.8,1023.0,396.2"
baseline,,626,1023.0,397.0,626.6,1023.0,396.4,,,,"BASELINE,626,1023.0,397.0,626.6,1023.0,396.4"
baseline,,626,1023.0,397.0,626.4,1023.0,396.6,,,,"BASELINE,626,1023.0,397.0,626.4,1023.0,396.6"
baseline,,626,1023.0,397.0,626.2,1023.0,396.8,,,,"BASELINE,626,1023.0,397.0,626.2,1023.0,396.8"
baseline,,626,1023.0,397.0,626.0,1023.0,397.0,,,,"BASELINE,626,1023.0,397.0,626.0,1023.0,397.0"
baseline,,626,1023.0,397.0,626.0,1023.0,397.0,,,,"BASELINE,626,1023.0,397.0,626.0,1023.0,397.0"
baseline,,626,1023.0,397.0,626.0,1023.0,397.0,,,,"BASELINE,626,1023.0,397.0,626.0,1023.0,397.0"
baseline,,626,1023.0,397.0,626.0,1023.0,397.0,,,,"BASELINE,626,1023.0,397.0,626.0,1023.0,397.0"
baseline,,626,1023.0,397.0,626.0,1023.0,397.0,,,,"BASELINE,626,1023.0,397.0,626.0,1023.0,397.0"
baseline,,625,1023.0,398.0,625.8,1023.0,397.2,,,,"BASELINE,625,1023.0,398.0,625.8,1023.0,397.2"
baseline,,625,1023.0,398.0,625.6,1023.0,397.4,,,,"BASELINE,625,1023.0,398.0,625.6,1023.0,397.4"
baseline,,625,1023.0,398.0,625.4,1023.0,397.6,,,,"BASELINE,625,1023.0,398.0,625.4,1023.0,397.6"
baseline,,623,1023.0,400.0,624.8,1023.0,398.2,,,,"BASELINE,623,1023.0,400.0,624.8,1023.0,398.2"
info,,,,,,,,,,,,"SYSTEM,Baseline done,396.09"
data,0.0,621,1023.0,402.0,623.2,1023.0,399.8,396.1,3.7,Floor,"DATA,0.0,621,1023.0,402.0,623.2,1023.0,399.8,396.1,3.7,Floor"
data,0.1,621,1023.0,402.0,622.4,1023.0,400.6,396.1,4.5,Floor,"DATA,0.1,621,1023.0,402.0,622.4,1023.0,400.6,396.1,4.5,Floor"
data,0.2,620,1023.0,403.0,621.4,1023.0,401.6,396.1,5.5,Floor,"DATA,0.2,620,1023.0,403.0,621.4,1023.0,401.6,396.1,5.5,Floor"
data,0.3,620,1023.0,403.0,620.8,1023.0,402.2,396.1,6.1,Floor,"DATA,0.3,620,1023.0,403.0,620.8,1023.0,402.2,396.1,6.1,Floor"
data,0.4,619,1023.0,404.0,620.2,1023.0,402.8,396.1,6.7,Floor,"DATA,0.4,619,1023.0,404.0,620.2,1023.0,402.8,396.1,6.7,Floor"
data,0.5,619,1023.0,404.0,619.8,1023.0,403.2,396.1,7.1,Floor,"DATA,0.5,619,1023.0,404.0,619.8,1023.0,403.2,396.1,7.1,Floor"
data,0.6,619,1023.0,404.0,619.4,1023.0,403.6,396.1,7.5,Floor,"DATA,0.6,619,1023.0,404.0,619.4,1023.0,403.6,396.1,7.5,Floor"
