record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,611,1023.0,412.0,612.8,1023.0,410.2,,,,"BASELINE,611,1023.0,412.0,612.8,1023.0,410.2"
baseline,,612,1023.0,411.0,612.4,1023.0,410.6,,,,"BASELINE,612,1023.0,411.0,612.4,1023.0,410.6"
baseline,,612,1023.0,411.0,612.0,1023.0,411.0,,,,"BASELINE,612,1023.0,411.0,612.0,1023.0,411.0"
baseline,,612,1023.0,411.0,611.8,1023.0,411.2,,,,"BASELINE,612,1023.0,411.0,611.8,1023.0,411.2"
baseline,,611,1023.0,412.0,611.6,1023.0,411.4,,,,"BASELINE,611,1023.0,412.0,611.6,1023.0,411.4"
baseline,,611,1023.0,412.0,611.6,1023.0,411.4,,,,"BASELINE,611,1023.0,412.0,611.6,1023.0,411.4"
baseline,,611,1023.0,412.0,611.4,1023.0,411.6,,,,"BASELINE,611,1023.0,412.0,611.4,1023.0,411.6"
baseline,,611,1023.0,412.0,611.2,1023.0,411.8,,,,"BASELINE,611,1023.0,412.0,611.2,1023.0,411.8"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,610,1023.0,413.0,610.8,1023.0,412.2,,,,"BASELINE,610,1023.0,413.0,610.8,1023.0,412.2"
baseline,,610,1023.0,413.0,610.6,1023.0,412.4,,,,"BASELINE,610,1023.0,413.0,610.6,1023.0,412.4"
baseline,,611,1023.0,412.0,610.6,1023.0,412.4,,,,"BASELINE,611,1023.0,412.0,610.6,1023.0,412.4"
baseline,,611,1023.0,412.0,610.6,1023.0,412.4,,,,"BASELINE,611,1023.0,412.0,610.6,1023.0,412.4"
baseline,,611,1023.0,412.0,610.6,1023.0,412.4,,,,"BASELINE,611,1023.0,412.0,610.6,1023.0,412.4"
info,,,,,,,,,,,,"SYSTEM,Baseline done,411.84"
data,0.0,611,1023.0,412.0,610.8,1023.0,412.2,411.8,0.4,Floor,"DATA,0.0,611,1023.0,412.0,610.8,1023.0,412.2,411.8,0.4,Floor"
data,0.1,610,1023.0,413.0,610.6,1023.0,412.4,411.8,0.6,Floor,"DATA,0.1,610,1023.0,413.0,610.6,1023.0,412.4,411.8,0.6,Floor"
data,0.2,611,1023.0,412.0,610.6,1023.0,412.4,411.8,0.6,Floor,"DATA,0.2,611,1023.0,412.0,610.6,1023.0,412.4,411.8,0.6,Floor"
data,0.3,611,1023.0,412.0,610.6,1023.0,412.4,411.8,0.6,Floor,"DATA,0.3,611,1023.0,412.0,610.6,1023.0,412.4,411.8,0.6,Floor"
data,0.4,610,1023.0,413.0,610.6,1023.0,412.4,411.8,0.6,Floor,"DATA,0.4,610,1023.0,413.0,610.6,1023.0,412.4,411.8,0.6,Floor"
data,0.5,610,1023.0,413.0,610.4,1023.0,412.6,411.8,0.8,Floor,"DATA,0.5,610,1023.0,413.0,610.4,1023.0,412.6,411.8,0.8,Floor"
data,0.6,610,1023.0,413.0,610.4,1023.0,412.6,411.8,0.8,Floor,"DATA,0.6,610,1023.0,413.0,610.4,1023.0,412.6,411.8,0.8,Floor"
