record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,578,993.0,415.0,579.6,992.8,413.2,,,,"BASELINE,578,993.0,415.0,579.6,992.8,413.2"
baseline,,578,992.5,414.5,579.0,992.7,413.7,,,,"BASELINE,578,992.5,414.5,579.0,992.7,413.7"
baseline,,579,992.5,413.5,578.8,992.6,413.8,,,,"BASELINE,579,992.5,413.5,578.8,992.6,413.8"
baseline,,578,993.0,415.0,578.4,992.8,414.4,,,,"BASELINE,578,993.0,415.0,578.4,992.8,414.4"
baseline,,578,992.5,414.5,578.2,992.7,414.5,,,,"BASELINE,578,992.5,414.5,578.2,992.7,414.5"
baseline,,578,992.5,414.5,578.2,992.6,414.4,,,,"BASELINE,578,992.5,414.5,578.2,992.6,414.4"
baseline,,578,992.5,414.5,578.2,992.6,414.4,,,,"BASELINE,578,992.5,414.5,578.2,992.6,414.4"
baseline,,577,992.0,415.0,577.8,992.5,414.7,,,,"BASELINE,577,992.0,415.0,577.8,992.5,414.7"
baseline,,577,992.5,415.5,577.6,992.4,414.8,,,,"BASELINE,577,992.5,415.5,577.6,992.4,414.8"
baseline,,577,993.0,416.0,577.4,992.5,415.1,,,,"BASELINE,577,993.0,416.0,577.4,992.5,415.1"
baseline,,578,993.0,415.0,577.4,992.6,415.2,,,,"BASELINE,578,993.0,415.0,577.4,992.6,415.2"
baseline,,578,993.0,415.0,577.4,992.7,415.3,,,,"BASELINE,578,993.0,415.0,577.4,992.7,415.3"
baseline,,577,993.0,416.0,577.4,992.9,415.5,,,,"BASELINE,577,993.0,416.0,577.4,992.9,415.5"
baseline,,577,992.5,415.5,577.4,992.9,415.5,,,,"BASELINE,577,992.5,415.5,577.4,992.9,415.5"
baseline,,577,992.5,415.5,577.4,992.8,415.4,,,,"BASELINE,577,992.5,415.5,577.4,992.8,415.4"
baseline,,577,993.0,416.0,577.2,992.8,415.6,,,,"BASELINE,577,993.0,416.0,577.2,992.8,415.6"
baseline,,577,992.5,415.5,577.0,992.7,415.7,,,,"BASELINE,577,992.5,415.5,577.0,992.7,415.7"
baseline,,577,992.5,415.5,577.0,992.6,415.6,,,,"BASELINE,577,992.5,415.5,577.0,992.6,415.6"
baseline,,577,992.0,415.0,577.0,992.5,415.5,,,,"BASELINE,577,992.0,415.0,577.0,992.5,415.5"
baseline,,577,993.0,416.0,577.0,992.6,415.6,,,,"BASELINE,577,993.0,416.0,577.0,992.6,415.6"
baseline,,576,993.0,417.0,576.8,992.6,415.8,,,,"BASELINE,576,993.0,417.0,576.8,992.6,415.8"
baseline,,577,993.0,416.0,576.8,992.7,415.9,,,,"BASELINE,577,993.0,416.0,576.8,992.7,415.9"
baseline,,577,993.0,416.0,576.8,992.8,416.0,,,,"BASELINE,577,993.0,416.0,576.8,992.8,416.0"
baseline,,577,993.0,416.0,576.8,993.0,416.2,,,,"BASELINE,577,993.0,416.0,576.8,993.0,416.2"
baseline,,577,993.0,416.0,576.8,993.0,416.2,,,,"BASELINE,577,993.0,416.0,576.8,993.0,416.2"
baseline,,577,993.0,416.0,577.0,993.0,416.0,,,,"BASELINE,577,993.0,416.0,577.0,993.0,416.0"
baseline,,577,993.0,416.0,577.0,993.0,416.0,,,,"BASELINE,577,993.0,416.0,577.0,993.0,416.0"
baseline,,577,993.0,416.0,577.0,993.0,416.0,,,,"BASELINE,577,993.0,416.0,577.0,993.0,416.0"
baseline,,577,993.0,416.0,577.0,993.0,416.0,,,,"BASELINE,577,993.0,416.0,577.0,993.0,416.0"
baseline,,577,993.0,416.0,577.0,993.0,416.0,,,,"BASELINE,577,993.0,416.0,577.0,993.0,416.0"
baseline,,578,993.0,415.0,577.2,993.0,415.8,,,,"BASELINE,578,993.0,415.0,577.2,993.0,415.8"
baseline,,577,993.0,416.0,577.2,993.0,415.8,,,,"BASELINE,577,993.0,416.0,577.2,993.0,415.8"
info,,,,,,,,,,,,"SYSTEM,Baseline done,415.30"
data,0.0,576,993.5,417.5,577.0,993.1,416.1,415.3,0.8,Floor,"DATA,0.0,576,993.5,417.5,577.0,993.1,416.1,415.3,0.8,Floor"
data,0.1,577,993.0,416.0,577.0,993.1,416.1,415.3,0.8,Floor,"DATA,0.1,577,993.0,416.0,577.0,993.1,416.1,415.3,0.8,Floor"
data,0.2,577,993.0,416.0,576.8,993.1,416.3,415.3,1.0,Floor,"DATA,0.2,577,993.0,416.0,576.8,993.1,416.3,415.3,1.0,Floor"
data,0.3,576,993.5,417.5,576.6,993.2,416.6,415.3,1.3,Floor,"DATA,0.3,576,993.5,417.5,576.6,993.2,416.6,415.3,1.3,Floor"
data,0.4,576,993.0,417.0,576.4,993.2,416.8,415.3,1.5,Floor,"DATA,0.4,576,993.0,417.0,576.4,993.2,416.8,415.3,1.5,Floor"
data,0.5,577,993.0,416.0,576.6,993.1,416.5,415.3,1.2,Floor,"DATA,0.5,577,993.0,416.0,576.6,993.1,416.5,415.3,1.2,Floor"
data,0.6,577,993.0,416.0,576.6,993.1,416.5,415.3,1.2,Floor,"DATA,0.6,577,993.0,416.0,576.6,993.1,416.5,415.3,1.2,Floor"
data,0.7,576,993.0,417.0,576.4,993.1,416.7,415.3,1.4,Floor,"DATA,0.7,576,993.0,417.0,576.4,993.1,416.7,415.3,1.4,Floor"
data,0.8,576,993.0,417.0,576.4,993.0,416.6,415.3,1.3,Floor,"DATA,0.8,576,993.0,417.0,576.4,993.0,416.6,415.3,1.3,Floor"
