record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,605,1023.0,418.0,606.2,1023.0,416.8,,,,"BASELINE,605,1023.0,418.0,606.2,1023.0,416.8"
baseline,,605,1023.0,418.0,605.8,1023.0,417.2,,,,"BASELINE,605,1023.0,418.0,605.8,1023.0,417.2"
baseline,,605,1023.0,418.0,605.4,1023.0,417.6,,,,"BASELINE,605,1023.0,418.0,605.4,1023.0,417.6"
baseline,,605,1023.0,418.0,605.2,1023.0,417.8,,,,"BASELINE,605,1023.0,418.0,605.2,1023.0,417.8"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,604,1023.0,419.0,604.8,1023.0,418.2,,,,"BASELINE,604,1023.0,419.0,604.8,1023.0,418.2"
baseline,,604,1023.0,419.0,604.6,1023.0,418.4,,,,"BASELINE,604,1023.0,419.0,604.6,1023.0,418.4"
baseline,,604,1023.0,419.0,604.4,1023.0,418.6,,,,"BASELINE,604,1023.0,419.0,604.4,1023.0,418.6"
baseline,,604,1023.0,419.0,604.2,1023.0,418.8,,,,"BASELINE,604,1023.0,419.0,604.2,1023.0,418.8"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,603,1023.0,420.0,603.8,1023.0,419.2,,,,"BASELINE,603,1023.0,420.0,603.8,1023.0,419.2"
baseline,,603,1023.0,420.0,603.6,1023.0,419.4,,,,"BASELINE,603,1023.0,420.0,603.6,1023.0,419.4"
baseline,,603,1023.0,420.0,603.4,1023.0,419.6,,,,"BASELINE,603,1023.0,420.0,603.4,1023.0,419.6"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,604,1023.0,419.0,603.2,1023.0,419.8,,,,"BASELINE,604,1023.0,419.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
info,,,,,,,,,,,,"SYSTEM,Baseline done,418.84"
data,0.0,603,1023.0,420.0,603.4,1023.0,419.6,418.8,0.8,Floor,"DATA,0.0,603,1023.0,420.0,603.4,1023.0,419.6,418.8,0.8,Floor"
data,0.1,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor,"DATA,0.1,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor"
data,0.2,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor,"DATA,0.2,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor"
data,0.3,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor,"DATA,0.3,603,1023.0,420.0,603.2,1023.0,419.8,418.8,1.0,Floor"
data,0.4,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor,"DATA,0.4,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor"
data,0.5,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor,"DATA,0.5,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor"
data,0.6,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor,"DATA,0.6,603,1023.0,420.0,603.0,1023.0,420.0,418.8,1.2,Floor"
