record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,603,1023.0,420.0,604.8,1023.0,418.2,,,,"BASELINE,603,1023.0,420.0,604.8,1023.0,418.2"
baseline,,604,1023.0,419.0,604.4,1023.0,418.6,,,,"BASELINE,604,1023.0,419.0,604.4,1023.0,418.6"
baseline,,604,1023.0,419.0,604.2,1023.0,418.8,,,,"BASELINE,604,1023.0,419.0,604.2,1023.0,418.8"
baseline,,604,1023.0,419.0,604.0,1023.0,419.0,,,,"BASELINE,604,1023.0,419.0,604.0,1023.0,419.0"
baseline,,603,1023.0,420.0,603.6,1023.0,419.4,,,,"BASELINE,603,1023.0,420.0,603.6,1023.0,419.4"
baseline,,603,1023.0,420.0,603.6,1023.0,419.4,,,,"BASELINE,603,1023.0,420.0,603.6,1023.0,419.4"
baseline,,604,1023.0,419.0,603.6,1023.0,419.4,,,,"BASELINE,604,1023.0,419.0,603.6,1023.0,419.4"
baseline,,603,1023.0,420.0,603.4,1023.0,419.6,,,,"BASELINE,603,1023.0,420.0,603.4,1023.0,419.6"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.2,1023.0,419.8,,,,"BASELINE,603,1023.0,420.0,603.2,1023.0,419.8"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,603,1023.0,420.0,603.0,1023.0,420.0,,,,"BASELINE,603,1023.0,420.0,603.0,1023.0,420.0"
baseline,,602,1023.0,421.0,602.8,1023.0,420.2,,,,"BASELINE,602,1023.0,421.0,602.8,1023.0,420.2"
baseline,,602,1023.0,421.0,602.6,1023.0,420.4,,,,"BASELINE,602,1023.0,421.0,602.6,1023.0,420.4"
baseline,,602,1023.0,421.0,602.4,1023.0,420.6,,,,"BASELINE,602,1023.0,421.0,602.4,1023.0,420.6"
baseline,,602,1023.0,421.0,602.2,1023.0,420.8,,,,"BASELINE,602,1023.0,421.0,602.2,1023.0,420.8"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
baseline,,602,1023.0,421.0,602.0,1023.0,421.0,,,,"BASELINE,602,1023.0,421.0,602.0,1023.0,421.0"
info,,,,,,,,,,,,"SYSTEM,Baseline done,420.15"
data,0.0,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.0,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.1,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.1,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.2,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.2,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.3,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.3,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.4,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.4,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.5,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.5,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
data,0.6,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor,"DATA,0.6,602,1023.0,421.0,602.0,1023.0,421.0,420.1,0.9,Floor"
