record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,605,1023.0,418.0,606.4,1023.0,416.6,,,,"BASELINE,605,1023.0,418.0,606.4,1023.0,416.6"
baseline,,605,1023.0,418.0,605.8,1023.0,417.2,,,,"BASELINE,605,1023.0,418.0,605.8,1023.0,417.2"
baseline,,605,1023.0,418.0,605.4,1023.0,417.6,,,,"BASELINE,605,1023.0,418.0,605.4,1023.0,417.6"
baseline,,604,1023.0,419.0,605.0,1023.0,418.0,,,,"BASELINE,604,1023.0,419.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,604.8,1023.0,418.2,,,,"BASELINE,605,1023.0,418.0,604.8,1023.0,418.2"
baseline,,604,1023.0,419.0,604.6,1023.0,418.4,,,,"BASELINE,604,1023.0,419.0,604.6,1023.0,418.4"
baseline,,604,1023.0,419.0,604.4,1023.0,418.6,,,,"BASELINE,604,1023.0,419.0,604.4,1023.0,418.6"
baseline,,604,1023.0,419.0,604.2,1023.0,418.8,,,,"BASELINE,604,1023.0,419.0,604.2,1023.0,418.8"
baseline,,603,1023.0,420.0,604.0,1023.0,419.0,,,,"BASELINE,603,1023.0,420.0,604.0,1023.0,419.0"
baseline,,603,1023.0,420.0,603.6,1023.0,419.4,,,,"BASELINE,603,1023.0,420.0,603.6,1023.0,419.4"
baseline,,603,1023.0,420.0,603.4,1023.0,419.6,,,,"BASELINE,603,1023.0,420.0,603.4,1023.0,419.6"
baseline,,601,1023.0,422.0,602.8,1023.0,420.2,,,,"BASELINE,601,1023.0,422.0,602.8,1023.0,420.2"
baseline,,601,1023.0,422.0,602.2,1023.0,420.8,,,,"BASELINE,601,1023.0,422.0,602.2,1023.0,420.8"
baseline,,601,1023.0,422.0,601.8,1023.0,421.2,,,,"BASELINE,601,1023.0,422.0,601.8,1023.0,421.2"
baseline,,602,1023.0,421.0,601.6,1023.0,421.4,,,,"BASELINE,602,1023.0,421.0,601.6,1023.0,421.4"
baseline,,602,1023.0,421.0,601.4,1023.0,421.6,,,,"BASELINE,602,1023.0,421.0,601.4,1023.0,421.6"
baseline,,602,1023.0,421.0,601.6,1023.0,421.4,,,,"BASELINE,602,1023.0,421.0,601.6,1023.0,421.4"
baseline,,602,1023.0,421.0,601.8,1023.0,421.2,,,,"BASELINE,602,1023.0,421.0,601.8,1023.0,421.2"
baseline,,601,1023.0,422.0,601.8,1023.0,421.2,,,,"BASELINE,601,1023.0,422.0,601.8,1023.0,421.2"
baseline,,598,1023.0,425.0,601.0,1023.0,422.0,,,,"BASELINE,598,1023.0,425.0,601.0,1023.0,422.0"
baseline,,600,1023.0,423.0,600.6,1023.0,422.4,,,,"BASELINE,600,1023.0,423.0,600.6,1023.0,422.4"
baseline,,600,1023.0,423.0,600.2,1023.0,422.8,,,,"BASELINE,600,1023.0,423.0,600.2,1023.0,422.8"
baseline,,601,1023.0,422.0,600.0,1023.0,423.0,,,,"BASELINE,601,1023.0,422.0,600.0,1023.0,423.0"
baseline,,601,1023.0,422.0,600.0,1023.0,423.0,,,,"BASELINE,601,1023.0,422.0,600.0,1023.0,423.0"
baseline,,601,1023.0,422.0,600.6,1023.0,422.4,,,,"BASELINE,601,1023.0,422.0,600.6,1023.0,422.4"
baseline,,600,1023.0,423.0,600.6,1023.0,422.4,,,,"BASELINE,600,1023.0,423.0,600.6,1023.0,422.4"
baseline,,600,1023.0,423.0,600.6,1023.0,422.4,,,,"BASELINE,600,1023.0,423.0,600.6,1023.0,422.4"
baseline,,600,1023.0,423.0,600.4,1023.0,422.6,,,,"BASELINE,600,1023.0,423.0,600.4,1023.0,422.6"
baseline,,600,1023.0,423.0,600.2,1023.0,422.8,,,,"BASELINE,600,1023.0,423.0,600.2,1023.0,422.8"
baseline,,599,1023.0,424.0,599.8,1023.0,423.2,,,,"BASELINE,599,1023.0,424.0,599.8,1023.0,423.2"
baseline,,600,1023.0,423.0,599.8,1023.0,423.2,,,,"BASELINE,600,1023.0,423.0,599.8,1023.0,423.2"
baseline,,600,1023.0,423.0,599.8,1023.0,423.2,,,,"BASELINE,600,1023.0,423.0,599.8,1023.0,423.2"
info,,,,,,,,,,,,"SYSTEM,Baseline done,420.81"
data,0.0,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.0,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor"
data,0.1,600,1023.0,423.0,600.0,1023.0,423.0,420.8,2.2,Floor,"DATA,0.1,600,1023.0,423.0,600.0,1023.0,423.0,420.8,2.2,Floor"
data,0.2,599,1023.0,424.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.2,599,1023.0,424.0,599.8,1023.0,423.2,420.8,2.4,Floor"
data,0.3,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.3,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor"
data,0.4,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.4,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor"
data,0.5,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.5,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor"
data,0.6,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor,"DATA,0.6,600,1023.0,423.0,599.8,1023.0,423.2,420.8,2.4,Floor"
