record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,586,992.0,406.0,586.8,991.9,405.1,,,,"BASELINE,586,992.0,406.0,586.8,991.9,405.1"
baseline,,587,992.0,405.0,586.6,991.9,405.3,,,,"BASELINE,587,992.0,405.0,586.6,991.9,405.3"
baseline,,587,992.0,405.0,586.6,991.9,405.3,,,,"BASELINE,587,992.0,405.0,586.6,991.9,405.3"
baseline,,587,992.0,405.0,586.8,991.9,405.1,,,,"BASELINE,587,992.0,405.0,586.8,991.9,405.1"
baseline,,587,992.5,405.5,586.8,992.1,405.3,,,,"BASELINE,587,992.5,405.5,586.8,992.1,405.3"
baseline,,587,992.0,405.0,587.0,992.1,405.1,,,,"BASELINE,587,992.0,405.0,587.0,992.1,405.1"
baseline,,587,992.0,405.0,587.0,992.1,405.1,,,,"BASELINE,587,992.0,405.0,587.0,992.1,405.1"
baseline,,587,992.0,405.0,587.0,992.1,405.1,,,,"BASELINE,587,992.0,405.0,587.0,992.1,405.1"
baseline,,587,992.0,405.0,587.0,992.1,405.1,,,,"BASELINE,587,992.0,405.0,587.0,992.1,405.1"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,587,991.5,404.5,587.0,991.9,404.9,,,,"BASELINE,587,991.5,404.5,587.0,991.9,404.9"
baseline,,586,992.0,406.0,586.8,991.9,405.1,,,,"BASELINE,586,992.0,406.0,586.8,991.9,405.1"
baseline,,587,992.0,405.0,586.8,991.9,405.1,,,,"BASELINE,587,992.0,405.0,586.8,991.9,405.1"
baseline,,587,991.5,404.5,586.8,991.8,405.0,,,,"BASELINE,587,991.5,404.5,586.8,991.8,405.0"
baseline,,587,992.0,405.0,586.8,991.8,405.0,,,,"BASELINE,587,992.0,405.0,586.8,991.8,405.0"
baseline,,587,992.5,405.5,586.8,992.0,405.2,,,,"BASELINE,587,992.5,405.5,586.8,992.0,405.2"
baseline,,587,992.0,405.0,587.0,992.0,405.0,,,,"BASELINE,587,992.0,405.0,587.0,992.0,405.0"
baseline,,586,992.5,406.5,586.8,992.1,405.3,,,,"BASELINE,586,992.5,406.5,586.8,992.1,405.3"
baseline,,587,992.0,405.0,586.8,992.2,405.4,,,,"BASELINE,587,992.0,405.0,586.8,992.2,405.4"
baseline,,587,992.0,405.0,586.8,992.2,405.4,,,,"BASELINE,587,992.0,405.0,586.8,992.2,405.4"
baseline,,587,992.0,405.0,586.8,992.1,405.3,,,,"BASELINE,587,992.0,405.0,586.8,992.1,405.3"
baseline,,586,992.0,406.0,586.6,992.1,405.5,,,,"BASELINE,586,992.0,406.0,586.6,992.1,405.5"
baseline,,587,991.5,404.5,586.8,991.9,405.1,,,,"BASELINE,587,991.5,404.5,586.8,991.9,405.1"
baseline,,587,992.0,405.0,586.8,991.9,405.1,,,,"BASELINE,587,992.0,405.0,586.8,991.9,405.1"
baseline,,586,992.0,406.0,586.6,991.9,405.3,,,,"BASELINE,586,992.0,406.0,586.6,991.9,405.3"
baseline,,587,991.5,404.5,586.6,991.8,405.2,,,,"BASELINE,587,991.5,404.5,586.6,991.8,405.2"
baseline,,587,991.5,404.5,586.8,991.7,404.9,,,,"BASELINE,587,991.5,404.5,586.8,991.7,404.9"
info,,,,,,,,,,,,[SYSTEM] Camera index 1 opened via DEFAULT: 1280x720.
info,,,,,,,,,,,,[SYSTEM] Camera preview started: index 1
baseline,,586,992.5,406.5,586.6,991.9,405.3,,,,"BASELINE,586,992.5,406.5,586.6,991.9,405.3"
baseline,,587,992.0,405.0,586.6,991.9,405.3,,,,"BASELINE,587,992.0,405.0,586.6,991.9,405.3"
baseline,,587,992.5,405.5,586.8,992.0,405.2,,,,"BASELINE,587,992.5,405.5,586.8,992.0,405.2"
baseline,,587,992.0,405.0,586.8,992.1,405.3,,,,"BASELINE,587,992.0,405.0,586.8,992.1,405.3"
baseline,,586,992.0,406.0,586.6,992.2,405.6,,,,"BASELINE,586,992.0,406.0,586.6,992.2,405.6"
baseline,,586,992.0,406.0,586.6,992.1,405.5,,,,"BASELINE,586,992.0,406.0,586.6,992.1,405.5"
baseline,,587,992.0,405.0,586.6,992.1,405.5,,,,"BASELINE,587,992.0,405.0,586.6,992.1,405.5"
baseline,,586,992.0,406.0,586.4,992.0,405.6,,,,"BASELINE,586,992.0,406.0,586.4,992.0,405.6"
baseline,,587,992.0,405.0,586.4,992.0,405.6,,,,"BASELINE,587,992.0,405.0,586.4,992.0,405.6"
