record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,580,992.0,412.0,581.0,992.0,411.0,,,,"BASELINE,580,992.0,412.0,581.0,992.0,411.0"
baseline,,580,992.0,412.0,580.6,992.0,411.4,,,,"BASELINE,580,992.0,412.0,580.6,992.0,411.4"
baseline,,580,992.0,412.0,580.4,992.0,411.6,,,,"BASELINE,580,992.0,412.0,580.4,992.0,411.6"
baseline,,580,992.0,412.0,580.2,992.0,411.8,,,,"BASELINE,580,992.0,412.0,580.2,992.0,411.8"
baseline,,579,992.0,413.0,579.8,992.0,412.2,,,,"BASELINE,579,992.0,413.0,579.8,992.0,412.2"
baseline,,579,992.0,413.0,579.6,992.0,412.4,,,,"BASELINE,579,992.0,413.0,579.6,992.0,412.4"
baseline,,579,992.0,413.0,579.4,992.0,412.6,,,,"BASELINE,579,992.0,413.0,579.4,992.0,412.6"
baseline,,579,992.0,413.0,579.2,992.0,412.8,,,,"BASELINE,579,992.0,413.0,579.2,992.0,412.8"
baseline,,579,992.0,413.0,579.0,992.0,413.0,,,,"BASELINE,579,992.0,413.0,579.0,992.0,413.0"
baseline,,579,992.0,413.0,579.0,992.0,413.0,,,,"BASELINE,579,992.0,413.0,579.0,992.0,413.0"
baseline,,579,992.0,413.0,579.0,992.0,413.0,,,,"BASELINE,579,992.0,413.0,579.0,992.0,413.0"
baseline,,579,991.5,412.5,579.0,991.9,412.9,,,,"BASELINE,579,991.5,412.5,579.0,991.9,412.9"
baseline,,579,992.0,413.0,579.0,991.9,412.9,,,,"BASELINE,579,992.0,413.0,579.0,991.9,412.9"
baseline,,579,991.0,412.0,579.0,991.7,412.7,,,,"BASELINE,579,991.0,412.0,579.0,991.7,412.7"
baseline,,579,991.5,412.5,579.0,991.6,412.6,,,,"BASELINE,579,991.5,412.5,579.0,991.6,412.6"
baseline,,579,992.0,413.0,579.0,991.6,412.6,,,,"BASELINE,579,992.0,413.0,579.0,991.6,412.6"
baseline,,579,992.0,413.0,579.0,991.7,412.7,,,,"BASELINE,579,992.0,413.0,579.0,991.7,412.7"
baseline,,579,992.0,413.0,579.0,991.7,412.7,,,,"BASELINE,579,992.0,413.0,579.0,991.7,412.7"
baseline,,579,992.0,413.0,579.0,991.9,412.9,,,,"BASELINE,579,992.0,413.0,579.0,991.9,412.9"
baseline,,579,991.5,412.5,579.0,991.9,412.9,,,,"BASELINE,579,991.5,412.5,579.0,991.9,412.9"
baseline,,579,992.0,413.0,579.0,991.9,412.9,,,,"BASELINE,579,992.0,413.0,579.0,991.9,412.9"
baseline,,578,991.5,413.5,578.8,991.8,413.0,,,,"BASELINE,578,991.5,413.5,578.8,991.8,413.0"
baseline,,578,992.0,414.0,578.6,991.8,413.2,,,,"BASELINE,578,992.0,414.0,578.6,991.8,413.2"
baseline,,579,992.0,413.0,578.6,991.8,413.2,,,,"BASELINE,579,992.0,413.0,578.6,991.8,413.2"
baseline,,578,992.5,414.5,578.4,992.0,413.6,,,,"BASELINE,578,992.5,414.5,578.4,992.0,413.6"
baseline,,578,992.0,414.0,578.2,992.0,413.8,,,,"BASELINE,578,992.0,414.0,578.2,992.0,413.8"
baseline,,578,992.0,414.0,578.2,992.1,413.9,,,,"BASELINE,578,992.0,414.0,578.2,992.1,413.9"
baseline,,578,991.5,413.5,578.2,992.0,413.8,,,,"BASELINE,578,991.5,413.5,578.2,992.0,413.8"
baseline,,578,992.0,414.0,578.0,992.0,414.0,,,,"BASELINE,578,992.0,414.0,578.0,992.0,414.0"
baseline,,578,992.0,414.0,578.0,991.9,413.9,,,,"BASELINE,578,992.0,414.0,578.0,991.9,413.9"
baseline,,578,992.5,414.5,578.0,992.0,414.0,,,,"BASELINE,578,992.5,414.5,578.0,992.0,414.0"
baseline,,578,992.0,414.0,578.0,992.0,414.0,,,,"BASELINE,578,992.0,414.0,578.0,992.0,414.0"
info,,,,,,,,,,,,"SYSTEM,Baseline done,412.91"
data,0.0,578,991.5,413.5,578.0,992.0,414.0,412.9,1.1,Floor,"DATA,0.0,578,991.5,413.5,578.0,992.0,414.0,412.9,1.1,Floor"
data,0.1,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor,"DATA,0.1,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor"
data,0.2,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor,"DATA,0.2,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor"
data,0.3,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor,"DATA,0.3,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor"
data,0.4,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor,"DATA,0.4,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor"
data,0.5,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor,"DATA,0.5,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor"
data,0.6,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor,"DATA,0.6,578,992.0,414.0,578.0,992.0,414.0,412.9,1.1,Floor"
data,0.7,578,991.5,413.5,578.0,991.9,413.9,412.9,1.0,Floor,"DATA,0.7,578,991.5,413.5,578.0,991.9,413.9,412.9,1.0,Floor"
data,0.8,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor,"DATA,0.8,578,992.0,414.0,578.0,991.9,413.9,412.9,1.0,Floor"
