record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,606,1023.0,417.0,607.2,1023.0,415.8,,,,"BASELINE,606,1023.0,417.0,607.2,1023.0,415.8"
baseline,,606,1023.0,417.0,606.8,1023.0,416.2,,,,"BASELINE,606,1023.0,417.0,606.8,1023.0,416.2"
baseline,,606,1023.0,417.0,606.4,1023.0,416.6,,,,"BASELINE,606,1023.0,417.0,606.4,1023.0,416.6"
baseline,,606,1023.0,417.0,606.2,1023.0,416.8,,,,"BASELINE,606,1023.0,417.0,606.2,1023.0,416.8"
baseline,,606,1023.0,417.0,606.0,1023.0,417.0,,,,"BASELINE,606,1023.0,417.0,606.0,1023.0,417.0"
baseline,,606,1023.0,417.0,606.0,1023.0,417.0,,,,"BASELINE,606,1023.0,417.0,606.0,1023.0,417.0"
baseline,,606,1023.0,417.0,606.0,1023.0,417.0,,,,"BASELINE,606,1023.0,417.0,606.0,1023.0,417.0"
baseline,,606,1023.0,417.0,606.0,1023.0,417.0,,,,"BASELINE,606,1023.0,417.0,606.0,1023.0,417.0"
baseline,,606,1023.0,417.0,606.0,1023.0,417.0,,,,"BASELINE,606,1023.0,417.0,606.0,1023.0,417.0"
baseline,,605,1023.0,418.0,605.8,1023.0,417.2,,,,"BASELINE,605,1023.0,418.0,605.8,1023.0,417.2"
baseline,,605,1023.0,418.0,605.6,1023.0,417.4,,,,"BASELINE,605,1023.0,418.0,605.6,1023.0,417.4"
baseline,,605,1023.0,418.0,605.4,1023.0,417.6,,,,"BASELINE,605,1023.0,418.0,605.4,1023.0,417.6"
baseline,,605,1023.0,418.0,605.2,1023.0,417.8,,,,"BASELINE,605,1023.0,418.0,605.2,1023.0,417.8"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,605,1023.0,418.0,605.0,1023.0,418.0,,,,"BASELINE,605,1023.0,418.0,605.0,1023.0,418.0"
baseline,,604,1023.0,419.0,604.8,1023.0,418.2,,,,"BASELINE,604,1023.0,419.0,604.8,1023.0,418.2"
baseline,,605,1023.0,418.0,604.8,1023.0,418.2,,,,"BASELINE,605,1023.0,418.0,604.8,1023.0,418.2"
baseline,,604,1023.0,419.0,604.6,1023.0,418.4,,,,"BASELINE,604,1023.0,419.0,604.6,1023.0,418.4"
baseline,,604,1023.0,419.0,604.4,1023.0,418.6,,,,"BASELINE,604,1023.0,419.0,604.4,1023.0,418.6"
info,,,,,,,,,,,,"SYSTEM,Baseline done,417.62"
data,0.0,604,1023.0,419.0,604.4,1023.0,418.6,417.6,1.0,Floor,"DATA,0.0,604,1023.0,419.0,604.4,1023.0,418.6,417.6,1.0,Floor"
data,0.1,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor,"DATA,0.1,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor"
data,0.2,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor,"DATA,0.2,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor"
data,0.3,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor,"DATA,0.3,604,1023.0,419.0,604.2,1023.0,418.8,417.6,1.2,Floor"
data,0.4,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor,"DATA,0.4,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor"
data,0.5,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor,"DATA,0.5,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor"
data,0.6,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor,"DATA,0.6,604,1023.0,419.0,604.0,1023.0,419.0,417.6,1.4,Floor"
