record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,583,993.0,410.0,584.4,992.9,408.5,,,,"BASELINE,583,993.0,410.0,584.4,992.9,408.5"
baseline,,584,993.0,409.0,584.0,993.0,409.0,,,,"BASELINE,584,993.0,409.0,584.0,993.0,409.0"
baseline,,583,993.0,410.0,583.6,993.0,409.4,,,,"BASELINE,583,993.0,410.0,583.6,993.0,409.4"
baseline,,583,993.0,410.0,583.4,993.0,409.6,,,,"BASELINE,583,993.0,410.0,583.4,993.0,409.6"
baseline,,583,993.0,410.0,583.2,993.0,409.8,,,,"BASELINE,583,993.0,410.0,583.2,993.0,409.8"
baseline,,583,993.0,410.0,583.2,993.0,409.8,,,,"BASELINE,583,993.0,410.0,583.2,993.0,409.8"
baseline,,583,993.0,410.0,583.0,993.0,410.0,,,,"BASELINE,583,993.0,410.0,583.0,993.0,410.0"
baseline,,582,993.0,411.0,582.8,993.0,410.2,,,,"BASELINE,582,993.0,411.0,582.8,993.0,410.2"
baseline,,582,992.5,410.5,582.6,992.9,410.3,,,,"BASELINE,582,992.5,410.5,582.6,992.9,410.3"
baseline,,582,993.0,411.0,582.4,992.9,410.5,,,,"BASELINE,582,993.0,411.0,582.4,992.9,410.5"
baseline,,582,992.5,410.5,582.2,992.8,410.6,,,,"BASELINE,582,992.5,410.5,582.2,992.8,410.6"
baseline,,582,992.5,410.5,582.0,992.7,410.7,,,,"BASELINE,582,992.5,410.5,582.0,992.7,410.7"
baseline,,582,993.0,411.0,582.0,992.7,410.7,,,,"BASELINE,582,993.0,411.0,582.0,992.7,410.7"
baseline,,582,993.0,411.0,582.0,992.8,410.8,,,,"BASELINE,582,993.0,411.0,582.0,992.8,410.8"
baseline,,582,993.0,411.0,582.0,992.8,410.8,,,,"BASELINE,582,993.0,411.0,582.0,992.8,410.8"
baseline,,582,993.0,411.0,582.0,992.9,410.9,,,,"BASELINE,582,993.0,411.0,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,992.5,410.5,582.0,992.9,410.9,,,,"BASELINE,582,992.5,410.5,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,992.9,410.9,,,,"BASELINE,582,993.0,411.0,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,992.9,410.9,,,,"BASELINE,582,993.0,411.0,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,992.9,410.9,,,,"BASELINE,582,993.0,411.0,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,992.9,410.9,,,,"BASELINE,582,993.0,411.0,582.0,992.9,410.9"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,993.0,411.0,582.0,993.0,411.0,,,,"BASELINE,582,993.0,411.0,582.0,993.0,411.0"
baseline,,582,992.5,410.5,582.0,992.9,410.9,,,,"BASELINE,582,992.5,410.5,582.0,992.9,410.9"
baseline,,582,992.5,410.5,582.0,992.8,410.8,,,,"BASELINE,582,992.5,410.5,582.0,992.8,410.8"
baseline,,582,992.5,410.5,582.0,992.7,410.7,,,,"BASELINE,582,992.5,410.5,582.0,992.7,410.7"
baseline,,581,993.0,412.0,581.8,992.7,410.9,,,,"BASELINE,581,993.0,412.0,581.8,992.7,410.9"
baseline,,581,993.0,412.0,581.6,992.7,411.1,,,,"BASELINE,581,993.0,412.0,581.6,992.7,411.1"
info,,,,,,,,,,,,"SYSTEM,Baseline done,410.52"
data,0.0,581,993.0,412.0,581.2,992.9,411.7,410.5,1.2,Floor,"DATA,0.0,581,993.0,412.0,581.2,992.9,411.7,410.5,1.2,Floor"
data,0.1,581,993.0,412.0,581.0,993.0,412.0,410.5,1.5,Floor,"DATA,0.1,581,993.0,412.0,581.0,993.0,412.0,410.5,1.5,Floor"
data,0.2,582,993.0,411.0,581.2,993.0,411.8,410.5,1.3,Floor,"DATA,0.2,582,993.0,411.0,581.2,993.0,411.8,410.5,1.3,Floor"
data,0.3,581,993.0,412.0,581.2,993.0,411.8,410.5,1.3,Floor,"DATA,0.3,581,993.0,412.0,581.2,993.0,411.8,410.5,1.3,Floor"
data,0.4,582,993.0,411.0,581.4,993.0,411.6,410.5,1.1,Floor,"DATA,0.4,582,993.0,411.0,581.4,993.0,411.6,410.5,1.1,Floor"
data,0.5,581,992.5,411.5,581.4,992.9,411.5,410.5,1.0,Floor,"DATA,0.5,581,992.5,411.5,581.4,992.9,411.5,410.5,1.0,Floor"
data,0.6,581,992.5,411.5,581.4,992.8,411.4,410.5,0.9,Floor,"DATA,0.6,581,992.5,411.5,581.4,992.8,411.4,410.5,0.9,Floor"
data,0.7,581,993.0,412.0,581.2,992.8,411.6,410.5,1.1,Floor,"DATA,0.7,581,993.0,412.0,581.2,992.8,411.6,410.5,1.1,Floor"
data,0.8,582,993.0,411.0,581.4,992.8,411.4,410.5,0.9,Floor,"DATA,0.8,582,993.0,411.0,581.4,992.8,411.4,410.5,0.9,Floor"
