record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,610,1023.0,413.0,611.4,1023.0,411.6,,,,"BASELINE,610,1023.0,413.0,611.4,1023.0,411.6"
baseline,,611,1023.0,412.0,611.0,1023.0,412.0,,,,"BASELINE,611,1023.0,412.0,611.0,1023.0,412.0"
baseline,,610,1023.0,413.0,610.6,1023.0,412.4,,,,"BASELINE,610,1023.0,413.0,610.6,1023.0,412.4"
baseline,,610,1023.0,413.0,610.4,1023.0,412.6,,,,"BASELINE,610,1023.0,413.0,610.4,1023.0,412.6"
baseline,,610,1023.0,413.0,610.2,1023.0,412.8,,,,"BASELINE,610,1023.0,413.0,610.2,1023.0,412.8"
baseline,,610,1023.0,413.0,610.2,1023.0,412.8,,,,"BASELINE,610,1023.0,413.0,610.2,1023.0,412.8"
baseline,,610,1023.0,413.0,610.0,1023.0,413.0,,,,"BASELINE,610,1023.0,413.0,610.0,1023.0,413.0"
baseline,,610,1023.0,413.0,610.0,1023.0,413.0,,,,"BASELINE,610,1023.0,413.0,610.0,1023.0,413.0"
baseline,,610,1023.0,413.0,610.0,1023.0,413.0,,,,"BASELINE,610,1023.0,413.0,610.0,1023.0,413.0"
baseline,,610,1023.0,413.0,610.0,1023.0,413.0,,,,"BASELINE,610,1023.0,413.0,610.0,1023.0,413.0"
baseline,,609,1023.0,414.0,609.8,1023.0,413.2,,,,"BASELINE,609,1023.0,414.0,609.8,1023.0,413.2"
baseline,,609,1023.0,414.0,609.6,1023.0,413.4,,,,"BASELINE,609,1023.0,414.0,609.6,1023.0,413.4"
baseline,,609,1023.0,414.0,609.4,1023.0,413.6,,,,"BASELINE,609,1023.0,414.0,609.4,1023.0,413.6"
baseline,,609,1023.0,414.0,609.2,1023.0,413.8,,,,"BASELINE,609,1023.0,414.0,609.2,1023.0,413.8"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,609,1023.0,414.0,609.0,1023.0,414.0,,,,"BASELINE,609,1023.0,414.0,609.0,1023.0,414.0"
baseline,,608,1023.0,415.0,608.8,1023.0,414.2,,,,"BASELINE,608,1023.0,415.0,608.8,1023.0,414.2"
baseline,,609,1023.0,414.0,608.8,1023.0,414.2,,,,"BASELINE,609,1023.0,414.0,608.8,1023.0,414.2"
baseline,,609,1023.0,414.0,608.8,1023.0,414.2,,,,"BASELINE,609,1023.0,414.0,608.8,1023.0,414.2"
baseline,,609,1023.0,414.0,608.8,1023.0,414.2,,,,"BASELINE,609,1023.0,414.0,608.8,1023.0,414.2"
baseline,,609,1023.0,414.0,608.8,1023.0,414.2,,,,"BASELINE,609,1023.0,414.0,608.8,1023.0,414.2"
baseline,,608,1023.0,415.0,608.8,1023.0,414.2,,,,"BASELINE,608,1023.0,415.0,608.8,1023.0,414.2"
baseline,,608,1023.0,415.0,608.6,1023.0,414.4,,,,"BASELINE,608,1023.0,415.0,608.6,1023.0,414.4"
info,,,,,,,,,,,,"SYSTEM,Baseline done,413.56"
data,0.0,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor,"DATA,0.0,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor"
data,0.1,608,1023.0,415.0,608.0,1023.0,415.0,413.6,1.4,Floor,"DATA,0.1,608,1023.0,415.0,608.0,1023.0,415.0,413.6,1.4,Floor"
data,0.2,608,1023.0,415.0,608.0,1023.0,415.0,413.6,1.4,Floor,"DATA,0.2,608,1023.0,415.0,608.0,1023.0,415.0,413.6,1.4,Floor"
data,0.3,609,1023.0,414.0,608.2,1023.0,414.8,413.6,1.2,Floor,"DATA,0.3,609,1023.0,414.0,608.2,1023.0,414.8,413.6,1.2,Floor"
data,0.4,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor,"DATA,0.4,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor"
data,0.5,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor,"DATA,0.5,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor"
data,0.6,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor,"DATA,0.6,608,1023.0,415.0,608.2,1023.0,414.8,413.6,1.2,Floor"
