record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,517,960.5,443.5,518.2,960.8,442.6,,,,"BASELINE,517,960.5,443.5,518.2,960.8,442.6"
baseline,,517,960.0,443.0,517.0,960.9,443.9,,,,"BASELINE,517,960.0,443.0,517.0,960.9,443.9"
baseline,,519,960.5,441.5,517.8,960.8,443.0,,,,"BASELINE,519,960.5,441.5,517.8,960.8,443.0"
baseline,,521,955.5,434.5,518.2,960.1,441.9,,,,"BASELINE,521,955.5,434.5,518.2,960.1,441.9"
baseline,,521,955.5,434.5,519.0,958.4,439.4,,,,"BASELINE,521,955.5,434.5,519.0,958.4,439.4"
baseline,,520,957.0,437.0,519.6,957.7,438.1,,,,"BASELINE,520,957.0,437.0,519.6,957.7,438.1"
baseline,,518,961.0,443.0,519.8,957.9,438.1,,,,"BASELINE,518,961.0,443.0,519.8,957.9,438.1"
baseline,,515,963.0,448.0,519.0,958.4,439.4,,,,"BASELINE,515,963.0,448.0,519.0,958.4,439.4"
baseline,,517,961.5,444.5,518.2,959.6,441.4,,,,"BASELINE,517,961.5,444.5,518.2,959.6,441.4"
baseline,,516,960.5,444.5,517.2,960.6,443.4,,,,"BASELINE,516,960.5,444.5,517.2,960.6,443.4"
baseline,,518,959.0,441.0,516.8,961.0,444.2,,,,"BASELINE,518,959.0,441.0,516.8,961.0,444.2"
baseline,,518,960.0,442.0,516.8,960.8,444.0,,,,"BASELINE,518,960.0,442.0,516.8,960.8,444.0"
baseline,,517,960.0,443.0,517.2,960.2,443.0,,,,"BASELINE,517,960.0,443.0,517.2,960.2,443.0"
baseline,,517,960.5,443.5,517.2,960.0,442.8,,,,"BASELINE,517,960.5,443.5,517.2,960.0,442.8"
baseline,,518,959.5,441.5,517.6,959.8,442.2,,,,"BASELINE,518,959.5,441.5,517.6,959.8,442.2"
baseline,,515,961.5,446.5,517.0,960.3,443.3,,,,"BASELINE,515,961.5,446.5,517.0,960.3,443.3"
baseline,,518,960.0,442.0,517.0,960.3,443.3,,,,"BASELINE,518,960.0,442.0,517.0,960.3,443.3"
baseline,,521,959.0,438.0,517.8,960.1,442.3,,,,"BASELINE,521,959.0,438.0,517.8,960.1,442.3"
baseline,,522,957.0,435.0,518.8,959.4,440.6,,,,"BASELINE,522,957.0,435.0,518.8,959.4,440.6"
baseline,,522,956.5,434.5,519.6,958.8,439.2,,,,"BASELINE,522,956.5,434.5,519.6,958.8,439.2"
baseline,,517,959.0,442.0,520.0,958.3,438.3,,,,"BASELINE,517,959.0,442.0,520.0,958.3,438.3"
baseline,,516,960.0,444.0,519.6,958.3,438.7,,,,"BASELINE,516,960.0,444.0,519.6,958.3,438.7"
baseline,,516,960.5,444.5,518.6,958.6,440.0,,,,"BASELINE,516,960.5,444.5,518.6,958.6,440.0"
baseline,,513,965.5,452.5,516.8,960.3,443.5,,,,"BASELINE,513,965.5,452.5,516.8,960.3,443.5"
baseline,,513,963.0,450.0,515.0,961.6,446.6,,,,"BASELINE,513,963.0,450.0,515.0,961.6,446.6"
baseline,,521,960.5,439.5,515.8,961.9,446.1,,,,"BASELINE,521,960.5,439.5,515.8,961.9,446.1"
baseline,,517,960.5,443.5,516.0,962.0,446.0,,,,"BASELINE,517,960.5,443.5,516.0,962.0,446.0"
baseline,,513,960.5,447.5,515.4,962.0,446.6,,,,"BASELINE,513,960.5,447.5,515.4,962.0,446.6"
baseline,,524,960.5,436.5,517.6,961.0,443.4,,,,"BASELINE,524,960.5,436.5,517.6,961.0,443.4"
baseline,,519,961.5,442.5,518.8,960.7,441.9,,,,"BASELINE,519,961.5,442.5,518.8,960.7,441.9"
baseline,,519,958.5,439.5,518.4,960.3,441.9,,,,"BASELINE,519,958.5,439.5,518.4,960.3,441.9"
baseline,,516,959.5,443.5,518.2,960.1,441.9,,,,"BASELINE,516,959.5,443.5,518.2,960.1,441.9"
baseline,,521,960.5,439.5,519.8,960.1,440.3,,,,"BASELINE,521,960.5,439.5,519.8,960.1,440.3"
baseline,,521,959.5,438.5,519.2,959.9,440.7,,,,"BASELINE,521,959.5,438.5,519.2,959.9,440.7"
baseline,,516,957.0,441.0,518.6,959.0,440.4,,,,"BASELINE,516,957.0,441.0,518.6,959.0,440.4"
baseline,,515,963.0,448.0,517.8,959.9,442.1,,,,"BASELINE,515,963.0,448.0,517.8,959.9,442.1"
baseline,,515,962.0,447.0,517.6,960.4,442.8,,,,"BASELINE,515,962.0,447.0,517.6,960.4,442.8"
baseline,,517,961.0,444.0,516.8,960.5,443.7,,,,"BASELINE,517,961.0,444.0,516.8,960.5,443.7"
baseline,,519,956.5,437.5,516.4,959.9,443.5,,,,"BASELINE,519,956.5,437.5,516.4,959.9,443.5"
baseline,,517,960.0,443.0,516.6,960.5,443.9,,,,"BASELINE,517,960.0,443.0,516.6,960.5,443.9"
baseline,,518,960.0,442.0,517.2,959.9,442.7,,,,"BASELINE,518,960.0,442.0,517.2,959.9,442.7"
info,,,,,,,,,,,,"SYSTEM,Baseline done,442.22"
data,0.0,510,963.5,453.5,516.2,960.0,443.8,442.2,1.6,Floor,"DATA,0.0,510,963.5,453.5,516.2,960.0,443.8,442.2,1.6,Floor"
data,0.1,512,963.5,451.5,514.8,961.4,446.6,442.2,4.4,Floor,"DATA,0.1,512,963.5,451.5,514.8,961.4,446.6,442.2,4.4,Floor"
